Symbol, Date, Open, High, Low, Close, Volume 
LH, 10/30/2015, 120.34, 123.66, 120.34, 122.68, -1 
LH, 11/02/2015, 122.24, 124.61, 122.24, 124.42, -1 
LH, 11/03/2015, 123.75, 124.6, 123.03, 124.09, -1 
LH, 11/04/2015, 124.18, 124.66, 122.71, 123.1, -1 
LH, 11/05/2015, 122.63, 123.49, 121.43, 121.9, -1 
LH, 11/06/2015, 121.1, 122.1, 120.65, 121.72, -1 
LH, 11/09/2015, 121.07, 122.95, 120.82, 122.85, -1 
LH, 11/10/2015, 121.44, 124.22, 121.44, 123.84, -1 
LH, 11/11/2015, 123.47, 124.09, 120.89, 121.04, -1 
LH, 11/12/2015, 119.86, 121.01, 119.57, 119.62, -1 
LH, 11/13/2015, 118.8, 120.41, 118.69, 119.71, -1 
LH, 11/16/2015, 119.13, 120.87, 119.1, 120.8, -1 
LH, 11/17/2015, 114.72, 123.82, 114.68, 123.43, -1 
LH, 11/18/2015, 119.77, 124.66, 119.77, 124.16, -1 
LH, 11/19/2015, 123.31, 123.33, 119.47, 120.15, -1 
LH, 11/20/2015, 114.19, 122.03, 114.18, 121.43, -1 
LH, 11/23/2015, 120.88, 122.07, 120.86, 121.11, -1 
LH, 11/24/2015, 119.84, 121.16, 119.8, 121.09, -1 
LH, 11/25/2015, 120.64, 122.35, 120.64, 121.82, -1 
LH, 11/27/2015, 121.34, 123.1, 121.34, 122.07, -1 
LH, 11/30/2015, 121.66, 122.47, 120.75, 121.5, -1 
LH, 12/01/2015, 111.25, 125.83, 110.82, 125.32, -1 
LH, 12/02/2015, 124.66, 126.2, 123.53, 124.15, -1 
LH, 12/03/2015, 123.53, 124.59, 120.03, 120.98, -1 
LH, 12/04/2015, 120.56, 124.92, 120.55, 124.7, -1 
LH, 12/07/2015, 123.61, 124.76, 123.6, 124.68, -1 
LH, 12/08/2015, 121.44, 125.33, 121.44, 125.12, -1 
LH, 12/09/2015, 123.48, 125.62, 122.41, 122.92, -1 
LH, 12/10/2015, 121.66, 123.99, 121.66, 122.55, -1 
LH, 12/11/2015, 120.94, 121.99, 120.52, 121.13, -1 
LH, 12/14/2015, 120.64, 121.96, 117.63, 119.68, -1 
LH, 12/15/2015, 119.72, 123.5, 119.72, 122.74, -1 
LH, 12/16/2015, 122.85, 124.61, 120.56, 121.94, -1 
LH, 12/17/2015, 118.71, 123.23, 118.71, 121.68, -1 
LH, 12/18/2015, 120.95, 123.11, 120.95, 121.71, -1 
LH, 12/21/2015, 116.84, 125.16, 115.49, 124.48, -1 
LH, 12/22/2015, 124.2, 124.68, 122.55, 124.3, -1 
LH, 12/23/2015, 124.09, 125.1, 124.09, 124.66, -1 
LH, 12/24/2015, 123.24, 125.06, 123.24, 124.66, -1 
LH, 12/28/2015, 123.62, 124.42, 123.27, 124.37, -1 
LH, 12/29/2015, 124.45, 126.07, 124.45, 125.15, -1 
LH, 12/30/2015, 118.42, 125.54, 118.42, 124.2, -1 
LH, 12/31/2015, 122.84, 124.64, 122.84, 123.6, -1 
LH, 01/04/2016, 118.94, 123.19, 118.94, 122.89, -1 
LH, 01/05/2016, 122.65, 123.94, 121.56, 121.99, -1 
LH, 01/06/2016, 120.07, 122.01, 119.98, 120.84, -1 
LH, 01/07/2016, 118.52, 120.45, 118.08, 118.54, -1 
LH, 01/08/2016, 116.58, 120.36, 116.13, 116.26, -1 
LH, 01/11/2016, 112.66, 117.69, 112.64, 115.59, -1 
LH, 01/12/2016, 115.83, 117.96, 113.4, 115.14, -1 
LH, 01/13/2016, 112.34, 115.9, 110.69, 111.77, -1 
LH, 01/14/2016, 111.67, 112.5, 110.34, 111.65, -1 
LH, 01/15/2016, 105.84, 111.24, 104.88, 111.04, -1 
LH, 01/19/2016, 111.48, 112.34, 108.23, 109.9, -1 
