Symbol, Date, Open, High, Low, Close, Volume 
LOW, 10/30/2015, 73.31, 74.57, 73.31, 73.81, -1 
LOW, 11/02/2015, 73.62, 74.27, 73.05, 73.77, -1 
LOW, 11/03/2015, 73.41, 74.11, 73.3, 73.95, -1 
LOW, 11/04/2015, 73.32, 74.17, 73.02, 73.13, -1 
LOW, 11/05/2015, 73.14, 74.06, 73.0, 73.58, -1 
LOW, 11/06/2015, 72.96, 73.57, 72.64, 73.15, -1 
LOW, 11/09/2015, 72.7, 73.09, 71.47, 72.04, -1 
LOW, 11/10/2015, 71.56, 73.37, 71.56, 73.35, -1 
LOW, 11/11/2015, 72.19, 73.16, 72.11, 72.11, -1 
LOW, 11/12/2015, 71.39, 73.74, 71.39, 72.71, -1 
LOW, 11/13/2015, 72.05, 72.36, 69.93, 70.07, -1 
LOW, 11/16/2015, 69.7, 71.7, 69.7, 71.64, -1 
LOW, 11/17/2015, 74.15, 74.34, 72.6, 72.84, -1 
LOW, 11/18/2015, 74.27, 74.52, 71.59, 73.45, -1 
LOW, 11/19/2015, 73.06, 74.1, 72.69, 73.4, -1 
LOW, 11/20/2015, 73.3, 76.01, 73.3, 75.78, -1 
LOW, 11/23/2015, 75.52, 77.24, 75.52, 76.68, -1 
LOW, 11/24/2015, 76.44, 77.94, 76.27, 77.39, -1 
LOW, 11/25/2015, 77.26, 78.12, 76.81, 77.62, -1 
LOW, 11/27/2015, 77.39, 77.88, 77.14, 77.35, -1 
LOW, 11/30/2015, 77.25, 77.43, 76.42, 76.62, -1 
LOW, 12/01/2015, 76.7, 77.36, 76.46, 77.12, -1 
LOW, 12/02/2015, 76.8, 77.32, 76.23, 76.31, -1 
LOW, 12/03/2015, 75.6, 76.52, 74.88, 75.13, -1 
LOW, 12/04/2015, 74.98, 76.86, 74.98, 76.74, -1 
LOW, 12/07/2015, 76.05, 76.69, 75.72, 76.45, -1 
LOW, 12/08/2015, 75.35, 77.47, 75.35, 77.15, -1 
LOW, 12/09/2015, 76.83, 77.63, 75.85, 76.13, -1 
LOW, 12/10/2015, 75.88, 76.75, 75.88, 76.15, -1 
LOW, 12/11/2015, 75.12, 76.12, 74.76, 75.0, -1 
LOW, 12/14/2015, 74.83, 75.94, 74.76, 75.64, -1 
LOW, 12/15/2015, 75.96, 76.75, 74.85, 74.88, -1 
LOW, 12/16/2015, 74.91, 76.33, 73.89, 76.11, -1 
LOW, 12/17/2015, 76.05, 76.57, 74.65, 74.9, -1 
LOW, 12/18/2015, 74.32, 74.74, 73.87, 73.89, -1 
LOW, 12/21/2015, 74.08, 75.08, 74.02, 74.89, -1 
LOW, 12/22/2015, 73.41, 75.44, 73.41, 75.18, -1 
LOW, 12/23/2015, 75.11, 76.43, 75.11, 76.16, -1 
LOW, 12/24/2015, 75.67, 76.63, 75.67, 76.26, -1 
LOW, 12/28/2015, 75.76, 76.55, 75.76, 76.44, -1 
LOW, 12/29/2015, 76.44, 77.67, 76.44, 77.14, -1 
LOW, 12/30/2015, 76.67, 77.53, 76.64, 76.86, -1 
LOW, 12/31/2015, 76.29, 76.93, 76.01, 76.02, -1 
LOW, 01/04/2016, 74.69, 75.56, 74.49, 75.31, -1 
LOW, 01/05/2016, 75.19, 76.45, 74.9, 75.44, -1 
LOW, 01/06/2016, 74.21, 74.74, 73.39, 73.94, -1 
LOW, 01/07/2016, 72.2, 73.88, 71.74, 72.08, -1 
LOW, 01/08/2016, 71.81, 72.66, 70.67, 70.86, -1 
