Symbol, Date, Open, High, Low, Close, Volume 
LUK, 10/30/2015, 19.77, 20.13, 19.77, 20.0, -1 
LUK, 11/02/2015, 19.98, 20.18, 19.97, 20.12, -1 
LUK, 11/03/2015, 20.04, 20.17, 19.94, 20.08, -1 
LUK, 11/04/2015, 19.98, 20.17, 19.87, 19.96, -1 
LUK, 11/05/2015, 19.9, 20.0, 19.33, 19.34, -1 
LUK, 11/06/2015, 19.24, 19.6, 19.24, 19.47, -1 
LUK, 11/09/2015, 19.05, 19.53, 18.76, 18.9, -1 
LUK, 11/10/2015, 18.69, 18.99, 18.65, 18.93, -1 
LUK, 11/11/2015, 18.87, 19.13, 18.76, 18.8, -1 
LUK, 11/12/2015, 18.64, 18.88, 18.4, 18.43, -1 
LUK, 11/13/2015, 18.27, 18.37, 17.95, 18.0, -1 
LUK, 11/16/2015, 17.94, 18.52, 17.94, 18.42, -1 
LUK, 11/17/2015, 18.12, 18.51, 18.04, 18.1, -1 
LUK, 11/18/2015, 18.08, 18.38, 17.98, 18.34, -1 
LUK, 11/19/2015, 18.29, 18.39, 18.06, 18.12, -1 
LUK, 11/20/2015, 18.13, 18.25, 17.93, 18.04, -1 
LUK, 11/23/2015, 17.99, 18.23, 17.98, 18.04, -1 
LUK, 11/24/2015, 17.91, 18.06, 17.83, 17.99, -1 
LUK, 11/25/2015, 17.93, 18.02, 17.9, 17.94, -1 
LUK, 11/27/2015, 17.91, 18.02, 17.86, 17.88, -1 
LUK, 11/30/2015, 17.83, 17.9, 17.67, 17.68, -1 
LUK, 12/01/2015, 17.72, 18.07, 17.68, 17.74, -1 
LUK, 12/02/2015, 17.72, 18.17, 17.64, 17.99, -1 
LUK, 12/03/2015, 17.96, 18.12, 17.9, 17.96, -1 
LUK, 12/04/2015, 17.94, 18.03, 17.64, 17.79, -1 
LUK, 12/07/2015, 17.72, 17.82, 17.45, 17.52, -1 
LUK, 12/08/2015, 17.23, 17.65, 17.23, 17.63, -1 
