Symbol, Date, Open, High, Low, Close, Volume 
LUV, 10/30/2015, 45.59, 46.94, 45.59, 46.28, -1 
LUV, 11/02/2015, 46.37, 46.94, 46.35, 46.72, -1 
LUV, 11/03/2015, 46.81, 47.01, 46.41, 46.95, -1 
LUV, 11/04/2015, 46.79, 46.96, 46.34, 46.64, -1 
LUV, 11/05/2015, 46.47, 46.89, 46.3, 46.66, -1 
LUV, 11/06/2015, 46.73, 47.32, 46.52, 46.84, -1 
LUV, 11/09/2015, 46.69, 46.72, 45.93, 46.37, -1 
LUV, 11/10/2015, 45.97, 46.59, 45.62, 46.46, -1 
LUV, 11/11/2015, 46.43, 47.23, 46.43, 46.71, -1 
LUV, 11/12/2015, 46.36, 47.18, 46.36, 46.69, -1 
LUV, 11/13/2015, 46.35, 46.81, 45.66, 45.87, -1 
LUV, 11/16/2015, 45.13, 45.77, 44.68, 45.73, -1 
LUV, 11/17/2015, 45.91, 46.65, 45.75, 45.93, -1 
LUV, 11/18/2015, 45.84, 46.41, 45.1, 46.31, -1 
LUV, 11/19/2015, 46.57, 47.15, 46.5, 46.88, -1 
LUV, 11/20/2015, 46.84, 47.39, 46.84, 47.3, -1 
LUV, 11/23/2015, 47.3, 47.76, 46.93, 47.48, -1 
LUV, 11/24/2015, 46.28, 46.61, 45.41, 46.22, -1 
LUV, 11/25/2015, 46.24, 46.59, 45.7, 45.87, -1 
LUV, 11/27/2015, 45.84, 46.28, 45.6, 45.82, -1 
LUV, 11/30/2015, 45.63, 45.99, 45.4, 45.88, -1 
LUV, 12/01/2015, 45.84, 47.07, 45.84, 47.03, -1 
LUV, 12/02/2015, 47.62, 48.48, 47.26, 47.51, -1 
LUV, 12/03/2015, 47.5, 47.92, 46.68, 47.27, -1 
LUV, 12/04/2015, 47.66, 49.44, 47.65, 49.39, -1 
LUV, 12/07/2015, 49.82, 51.33, 49.41, 49.58, -1 
LUV, 12/08/2015, 47.47, 47.6, 44.19, 45.03, -1 
LUV, 12/09/2015, 45.14, 45.88, 43.85, 44.49, -1 
LUV, 12/10/2015, 44.62, 45.85, 44.56, 45.24, -1 
LUV, 12/11/2015, 44.55, 44.55, 43.22, 43.41, -1 
LUV, 12/14/2015, 43.55, 43.97, 42.66, 43.77, -1 
LUV, 12/15/2015, 44.11, 44.74, 43.79, 44.2, -1 
LUV, 12/16/2015, 44.26, 45.1, 43.89, 44.8, -1 
LUV, 12/17/2015, 44.69, 45.2, 43.49, 43.5, -1 
LUV, 12/18/2015, 43.12, 43.83, 42.67, 42.74, -1 
LUV, 12/21/2015, 42.88, 43.64, 42.88, 43.36, -1 
LUV, 12/22/2015, 43.38, 43.67, 43.02, 43.53, -1 
LUV, 12/23/2015, 43.34, 43.62, 42.92, 43.44, -1 
LUV, 12/24/2015, 43.15, 44.43, 43.15, 43.88, -1 
LUV, 12/28/2015, 43.64, 44.39, 43.28, 43.82, -1 
LUV, 12/29/2015, 43.72, 44.42, 43.72, 44.33, -1 
LUV, 12/30/2015, 44.16, 44.35, 43.31, 43.35, -1 
LUV, 12/31/2015, 43.15, 43.29, 42.75, 43.06, -1 
LUV, 01/04/2016, 41.5, 42.18, 41.18, 41.97, -1 
LUV, 01/05/2016, 42.14, 43.07, 41.43, 42.46, -1 
LUV, 01/06/2016, 41.78, 43.49, 41.78, 42.86, -1 
LUV, 01/07/2016, 42.68, 43.15, 41.55, 41.95, -1 
LUV, 01/08/2016, 42.42, 43.05, 42.11, 42.21, -1 
LUV, 01/11/2016, 42.14, 42.88, 41.25, 42.03, -1 
LUV, 01/12/2016, 42.31, 42.76, 41.31, 42.68, -1 
LUV, 01/13/2016, 42.67, 42.98, 40.08, 40.4, -1 
LUV, 01/14/2016, 40.05, 40.96, 39.26, 40.44, -1 
