Symbol, Date, Open, High, Low, Close, Volume 
MAC, 10/30/2015, 85.48, 86.14, 84.47, 84.7, -1 
MAC, 11/02/2015, 82.06, 86.28, 82.06, 85.89, -1 
MAC, 11/03/2015, 85.35, 85.98, 84.92, 85.37, -1 
MAC, 11/04/2015, 84.85, 85.65, 84.61, 84.9, -1 
MAC, 11/05/2015, 84.6, 86.03, 84.56, 85.96, -1 
MAC, 11/06/2015, 84.06, 85.47, 83.72, 84.09, -1 
MAC, 11/09/2015, 79.05, 79.56, 77.02, 77.69, -1 
MAC, 11/10/2015, 77.39, 78.4, 77.17, 77.98, -1 
MAC, 11/11/2015, 77.57, 78.08, 77.54, 77.65, -1 
MAC, 11/12/2015, 76.22, 77.77, 76.22, 77.33, -1 
MAC, 11/13/2015, 75.97, 77.89, 75.0, 75.14, -1 
MAC, 11/16/2015, 74.41, 75.46, 74.41, 75.45, -1 
MAC, 11/17/2015, 71.64, 76.32, 71.62, 76.16, -1 
MAC, 11/18/2015, 75.9, 79.23, 75.88, 79.14, -1 
MAC, 11/19/2015, 78.84, 80.27, 78.84, 79.77, -1 
MAC, 11/20/2015, 79.53, 80.36, 79.53, 80.15, -1 
MAC, 11/23/2015, 79.76, 80.63, 79.71, 79.81, -1 
MAC, 11/24/2015, 79.18, 79.56, 78.17, 78.99, -1 
MAC, 11/25/2015, 78.66, 79.67, 78.66, 79.06, -1 
MAC, 11/27/2015, 75.31, 79.47, 75.3, 79.34, -1 
MAC, 11/30/2015, 75.37, 80.1, 75.35, 78.15, -1 
MAC, 12/01/2015, 76.6, 79.33, 76.6, 79.09, -1 
MAC, 12/02/2015, 75.13, 78.99, 75.12, 76.82, -1 
MAC, 12/03/2015, 75.37, 76.9, 75.37, 76.37, -1 
MAC, 12/04/2015, 72.48, 79.06, 72.47, 78.97, -1 
MAC, 12/07/2015, 75.0, 79.35, 74.99, 78.96, -1 
MAC, 12/08/2015, 78.13, 78.93, 77.89, 78.42, -1 
MAC, 12/09/2015, 77.79, 78.69, 77.19, 78.24, -1 
MAC, 12/10/2015, 77.93, 79.19, 77.77, 77.84, -1 
MAC, 12/11/2015, 69.53, 78.52, 69.53, 77.09, -1 
MAC, 12/14/2015, 76.85, 77.3, 76.17, 76.64, -1 
MAC, 12/15/2015, 76.82, 79.39, 76.82, 78.95, -1 
MAC, 12/16/2015, 78.83, 80.64, 78.83, 80.41, -1 
MAC, 12/17/2015, 80.06, 80.48, 79.71, 79.87, -1 
MAC, 12/18/2015, 79.16, 79.91, 77.47, 77.52, -1 
MAC, 12/21/2015, 77.28, 79.41, 77.28, 79.31, -1 
MAC, 12/22/2015, 79.62, 79.89, 79.14, 79.3, -1 
MAC, 12/23/2015, 79.16, 80.7, 79.16, 80.66, -1 
MAC, 12/24/2015, 80.11, 80.5, 79.65, 80.12, -1 
MAC, 12/28/2015, 75.72, 81.09, 75.72, 81.06, -1 
MAC, 12/29/2015, 80.93, 82.13, 80.9, 81.72, -1 
MAC, 12/30/2015, 81.34, 82.45, 81.31, 81.67, -1 
MAC, 12/31/2015, 81.3, 81.97, 80.64, 80.69, -1 
MAC, 01/04/2016, 79.49, 80.59, 78.61, 79.44, -1 
MAC, 01/05/2016, 72.04, 82.88, 71.35, 82.5, -1 
MAC, 01/06/2016, 77.92, 82.48, 77.26, 81.78, -1 
MAC, 01/07/2016, 76.93, 81.6, 76.25, 80.75, -1 
MAC, 01/08/2016, 80.81, 81.53, 78.71, 78.83, -1 
MAC, 01/11/2016, 78.79, 79.48, 78.54, 78.77, -1 
MAC, 01/12/2016, 79.73, 79.88, 78.14, 78.83, -1 
MAC, 01/13/2016, 78.69, 80.19, 78.04, 78.13, -1 
MAC, 01/14/2016, 77.84, 78.85, 76.94, 77.05, -1 
MAC, 01/15/2016, 74.99, 76.75, 74.99, 76.23, -1 
MAC, 01/19/2016, 63.69, 77.54, 63.69, 76.67, -1 
MAC, 01/20/2016, 75.65, 76.05, 73.56, 75.25, -1 
MAC, 01/21/2016, 68.58, 77.06, 68.27, 75.79, -1 
MAC, 01/22/2016, 76.05, 79.12, 76.05, 78.68, -1 
MAC, 01/25/2016, 74.51, 79.08, 74.49, 77.75, -1 
MAC, 01/26/2016, 77.77, 78.69, 77.68, 78.38, -1 
MAC, 01/27/2016, 77.87, 78.37, 75.76, 76.36, -1 
MAC, 01/28/2016, 76.45, 77.04, 75.6, 76.03, -1 
MAC, 01/29/2016, 69.19, 78.01, 69.1, 77.92, -1 
MAC, 02/01/2016, 77.44, 79.0, 77.04, 78.53, -1 
MAC, 02/02/2016, 77.77, 78.28, 76.7, 77.69, -1 
MAC, 02/03/2016, 77.68, 78.64, 77.01, 78.3, -1 
MAC, 02/04/2016, 64.39, 78.7, 64.39, 78.58, -1 
MAC, 02/05/2016, 74.55, 78.23, 74.55, 76.08, -1 
MAC, 02/08/2016, 75.21, 75.92, 74.41, 75.15, -1 
MAC, 02/09/2016, 73.82, 75.47, 73.82, 74.96, -1 
MAC, 02/10/2016, 74.73, 76.11, 74.72, 74.85, -1 
MAC, 02/11/2016, 73.21, 74.22, 72.99, 73.86, -1 
MAC, 02/12/2016, 73.21, 75.52, 73.21, 75.28, -1 
MAC, 02/16/2016, 73.21, 76.13, 73.21, 75.51, -1 
MAC, 02/17/2016, 72.28, 76.17, 72.28, 75.79, -1 
MAC, 02/18/2016, 72.29, 77.02, 72.23, 76.75, -1 
MAC, 02/19/2016, 72.44, 77.4, 72.42, 76.9, -1 
MAC, 02/22/2016, 76.8, 79.57, 76.8, 79.29, -1 
MAC, 02/23/2016, 75.98, 79.95, 75.97, 78.51, -1 
MAC, 02/24/2016, 77.68, 78.71, 77.66, 78.36, -1 
MAC, 02/25/2016, 78.09, 79.99, 78.09, 79.94, -1 
MAC, 02/26/2016, 79.33, 80.88, 79.33, 79.55, -1 
MAC, 02/29/2016, 79.06, 80.63, 79.0, 79.04, -1 
MAC, 03/01/2016, 79.02, 80.4, 79.02, 80.33, -1 
MAC, 03/02/2016, 79.75, 80.88, 79.75, 80.41, -1 
MAC, 03/03/2016, 80.11, 80.95, 79.48, 79.51, -1 
MAC, 03/04/2016, 75.43, 79.81, 75.41, 79.14, -1 
MAC, 03/07/2016, 78.41, 79.46, 78.41, 78.74, -1 
MAC, 03/08/2016, 77.25, 78.99, 77.25, 78.14, -1 
MAC, 03/09/2016, 78.21, 79.45, 78.21, 78.59, -1 
MAC, 03/10/2016, 78.52, 79.66, 78.06, 78.83, -1 
MAC, 03/11/2016, 78.87, 80.11, 78.62, 79.96, -1 
MAC, 03/14/2016, 79.43, 80.14, 79.23, 79.85, -1 
MAC, 03/15/2016, 78.83, 80.08, 78.83, 79.72, -1 
MAC, 03/16/2016, 79.21, 80.05, 78.92, 79.78, -1 
MAC, 03/17/2016, 74.66, 81.11, 74.66, 80.75, -1 
MAC, 03/18/2016, 76.34, 81.24, 76.34, 79.89, -1 
MAC, 03/21/2016, 79.2, 80.41, 79.2, 79.66, -1 
MAC, 03/22/2016, 78.68, 79.97, 78.68, 79.45, -1 
MAC, 03/23/2016, 78.84, 79.69, 78.68, 78.7, -1 
MAC, 03/24/2016, 77.97, 78.71, 77.97, 78.56, -1 
MAC, 03/28/2016, 75.39, 78.79, 75.39, 78.59, -1 
MAC, 03/29/2016, 78.24, 79.52, 78.24, 79.37, -1 
MAC, 03/30/2016, 79.14, 79.59, 79.01, 79.03, -1 
MAC, 03/31/2016, 76.03, 79.43, 76.03, 79.23, -1 
MAC, 04/01/2016, 77.99, 80.16, 77.99, 79.94, -1 
MAC, 04/04/2016, 79.44, 80.1, 78.41, 79.35, -1 
MAC, 04/05/2016, 78.58, 79.34, 78.58, 79.16, -1 
MAC, 04/06/2016, 76.02, 79.74, 76.02, 79.59, -1 
MAC, 04/07/2016, 78.87, 79.34, 78.5, 78.98, -1 
MAC, 04/08/2016, 78.72, 79.77, 78.72, 79.35, -1 
MAC, 04/11/2016, 76.53, 79.79, 76.53, 78.94, -1 
MAC, 04/12/2016, 78.42, 79.53, 78.42, 79.08, -1 
MAC, 04/13/2016, 78.9, 79.34, 78.44, 79.02, -1 
MAC, 04/14/2016, 75.73, 78.93, 75.73, 78.83, -1 
MAC, 04/15/2016, 78.48, 79.1, 78.48, 78.96, -1 
MAC, 04/18/2016, 78.15, 79.04, 78.15, 78.89, -1 
MAC, 04/19/2016, 78.56, 79.3, 78.27, 78.63, -1 
MAC, 04/20/2016, 77.89, 78.59, 77.75, 78.01, -1 
MAC, 04/21/2016, 77.43, 78.03, 76.46, 76.51, -1 
MAC, 04/22/2016, 76.05, 77.02, 76.05, 76.82, -1 
MAC, 04/25/2016, 76.15, 77.06, 76.15, 76.99, -1 
MAC, 04/26/2016, 76.73, 77.69, 76.64, 77.02, -1 
MAC, 04/27/2016, 76.37, 77.37, 76.37, 77.17, -1 
MAC, 04/28/2016, 76.28, 77.56, 76.28, 76.9, -1 
MAC, 04/29/2016, 76.13, 76.65, 75.7, 76.09, -1 
MAC, 05/02/2016, 75.74, 77.68, 75.74, 77.46, -1 
MAC, 05/03/2016, 70.04, 77.0, 70.04, 76.92, -1 
MAC, 05/04/2016, 70.59, 78.26, 70.59, 77.97, -1 
MAC, 05/05/2016, 75.27, 78.81, 75.27, 78.8, -1 
MAC, 05/06/2016, 78.23, 80.18, 78.23, 80.15, -1 
MAC, 05/09/2016, 80.03, 80.71, 79.94, 80.7, -1 
MAC, 05/10/2016, 80.33, 81.44, 80.33, 81.41, -1 
MAC, 05/11/2016, 80.67, 81.08, 77.55, 77.65, -1 
MAC, 05/12/2016, 77.08, 77.64, 75.44, 76.98, -1 
MAC, 05/13/2016, 73.64, 76.17, 73.64, 74.82, -1 
MAC, 05/16/2016, 74.22, 76.22, 74.22, 75.79, -1 
MAC, 05/17/2016, 74.94, 75.44, 73.43, 73.65, -1 
MAC, 05/18/2016, 72.87, 73.71, 72.15, 72.78, -1 
MAC, 05/19/2016, 69.67, 73.12, 69.67, 72.91, -1 
MAC, 05/20/2016, 72.65, 75.54, 72.65, 74.76, -1 
MAC, 05/23/2016, 74.31, 75.31, 74.31, 74.86, -1 
MAC, 05/24/2016, 71.35, 75.94, 71.35, 75.57, -1 
MAC, 05/25/2016, 75.05, 75.7, 74.62, 75.42, -1 
MAC, 05/26/2016, 72.42, 76.02, 72.42, 75.74, -1 
MAC, 05/27/2016, 75.25, 76.4, 75.25, 76.17, -1 
MAC, 05/31/2016, 76.21, 76.47, 75.85, 76.32, -1 
MAC, 06/01/2016, 75.76, 76.75, 75.76, 76.66, -1 
MAC, 06/02/2016, 76.04, 77.29, 76.04, 77.29, -1 
MAC, 06/03/2016, 76.17, 77.82, 76.17, 77.21, -1 
MAC, 06/06/2016, 77.0, 77.81, 76.67, 76.91, -1 
MAC, 06/07/2016, 73.0, 77.92, 73.0, 77.52, -1 
MAC, 06/08/2016, 76.94, 78.63, 76.94, 78.42, -1 
MAC, 06/09/2016, 77.9, 78.98, 77.9, 78.25, -1 
MAC, 06/10/2016, 70.99, 78.73, 70.99, 78.65, -1 
MAC, 06/13/2016, 77.97, 79.31, 77.97, 78.65, -1 
MAC, 06/14/2016, 78.3, 79.19, 78.2, 78.9, -1 
MAC, 06/15/2016, 78.49, 79.72, 78.49, 79.23, -1 
MAC, 06/16/2016, 76.97, 79.84, 76.97, 79.78, -1 
MAC, 06/17/2016, 79.2, 80.04, 78.84, 80.02, -1 
MAC, 06/20/2016, 72.56, 81.22, 72.56, 80.63, -1 
MAC, 06/21/2016, 80.17, 81.85, 80.17, 81.53, -1 
MAC, 06/22/2016, 80.9, 81.97, 80.9, 81.52, -1 
MAC, 06/23/2016, 81.09, 82.21, 81.09, 81.91, -1 
MAC, 06/24/2016, 79.82, 82.03, 79.6, 80.9, -1 
MAC, 06/27/2016, 69.21, 81.77, 69.21, 81.03, -1 
MAC, 06/28/2016, 81.14, 82.81, 81.14, 82.74, -1 
MAC, 06/29/2016, 82.32, 84.47, 82.32, 83.91, -1 
MAC, 06/30/2016, 83.48, 85.39, 83.47, 85.38, -1 
MAC, 07/01/2016, 85.05, 86.0, 85.05, 85.25, -1 
MAC, 07/05/2016, 84.62, 87.11, 84.62, 86.67, -1 
MAC, 07/06/2016, 85.79, 86.65, 85.79, 86.39, -1 
MAC, 07/07/2016, 85.74, 86.09, 85.2, 85.72, -1 
MAC, 07/08/2016, 85.47, 87.53, 85.47, 87.47, -1 
MAC, 07/11/2016, 87.09, 88.87, 87.08, 88.48, -1 
MAC, 07/12/2016, 87.6, 88.6, 87.53, 88.54, -1 
MAC, 07/13/2016, 88.2, 89.35, 88.2, 88.97, -1 
MAC, 07/14/2016, 88.13, 88.94, 88.1, 88.49, -1 
MAC, 07/15/2016, 87.83, 88.77, 87.74, 88.56, -1 
MAC, 07/18/2016, 87.99, 88.94, 87.99, 88.59, -1 
MAC, 07/19/2016, 88.0, 89.01, 88.0, 89.01, -1 
MAC, 07/20/2016, 88.51, 89.15, 88.5, 89.13, -1 
MAC, 07/21/2016, 88.29, 89.01, 88.29, 88.97, -1 
MAC, 07/22/2016, 84.6, 89.51, 84.6, 88.96, -1 
MAC, 07/25/2016, 88.43, 89.36, 88.33, 88.76, -1 
MAC, 07/26/2016, 88.08, 88.98, 87.95, 88.35, -1 
MAC, 07/27/2016, 87.65, 88.29, 87.11, 88.03, -1 
MAC, 07/28/2016, 87.51, 89.47, 87.51, 89.08, -1 
MAC, 07/29/2016, 88.4, 90.23, 88.4, 89.21, -1 
MAC, 08/01/2016, 81.41, 92.36, 80.27, 89.72, -1 
