Symbol, Date, Open, High, Low, Close, Volume 
MAR, 10/30/2015, 75.49, 77.86, 75.49, 76.77, -1 
MAR, 11/02/2015, 76.39, 77.89, 76.39, 77.44, -1 
MAR, 11/03/2015, 77.21, 77.56, 75.9, 76.71, -1 
MAR, 11/04/2015, 76.62, 77.04, 76.26, 77.01, -1 
MAR, 11/05/2015, 76.09, 77.4, 76.09, 76.72, -1 
MAR, 11/06/2015, 76.39, 77.32, 76.14, 76.68, -1 
MAR, 11/09/2015, 75.82, 76.37, 74.43, 75.74, -1 
MAR, 11/10/2015, 74.72, 76.64, 74.72, 76.52, -1 
MAR, 11/11/2015, 75.2, 76.83, 75.2, 75.46, -1 
MAR, 11/12/2015, 75.0, 75.41, 74.44, 74.52, -1 
MAR, 11/13/2015, 74.16, 74.19, 72.69, 72.74, -1 
MAR, 11/16/2015, 71.35, 74.46, 70.41, 73.71, -1 
MAR, 11/17/2015, 74.14, 74.26, 72.55, 72.77, -1 
MAR, 11/18/2015, 72.49, 73.31, 70.8, 72.22, -1 
MAR, 11/19/2015, 71.49, 72.68, 71.49, 72.56, -1 
MAR, 11/20/2015, 72.65, 72.91, 71.9, 72.31, -1 
MAR, 11/23/2015, 71.69, 73.08, 71.69, 72.39, -1 
MAR, 11/24/2015, 70.93, 71.64, 69.92, 70.98, -1 
MAR, 11/25/2015, 71.26, 72.06, 71.0, 71.84, -1 
MAR, 11/27/2015, 71.39, 71.89, 71.36, 71.48, -1 
MAR, 11/30/2015, 71.21, 71.4, 69.89, 70.9, -1 
MAR, 12/01/2015, 71.1, 72.38, 71.07, 72.23, -1 
MAR, 12/02/2015, 71.21, 72.63, 71.21, 71.69, -1 
MAR, 12/03/2015, 70.92, 71.87, 68.54, 68.79, -1 
MAR, 12/04/2015, 68.92, 71.08, 68.92, 71.02, -1 
MAR, 12/07/2015, 69.63, 70.81, 69.15, 69.5, -1 
MAR, 12/08/2015, 68.59, 69.91, 68.47, 69.58, -1 
MAR, 12/09/2015, 68.76, 70.01, 67.56, 68.02, -1 
MAR, 12/10/2015, 68.4, 68.9, 67.86, 68.23, -1 
MAR, 12/11/2015, 67.01, 67.82, 66.68, 66.85, -1 
MAR, 12/14/2015, 66.29, 67.2, 65.56, 66.42, -1 
MAR, 12/15/2015, 67.11, 67.11, 66.02, 66.6, -1 
MAR, 12/16/2015, 65.25, 68.04, 65.25, 67.15, -1 
MAR, 12/17/2015, 66.73, 67.82, 66.01, 66.03, -1 
MAR, 12/18/2015, 65.36, 66.52, 64.63, 65.09, -1 
MAR, 12/21/2015, 65.02, 65.92, 64.98, 65.17, -1 
MAR, 12/22/2015, 65.01, 68.91, 65.01, 68.49, -1 
MAR, 12/23/2015, 68.17, 68.99, 67.92, 68.86, -1 
MAR, 12/24/2015, 67.61, 69.28, 67.61, 68.77, -1 
MAR, 12/28/2015, 67.69, 68.95, 67.69, 68.86, -1 
MAR, 12/29/2015, 68.69, 69.26, 68.37, 68.73, -1 
MAR, 12/30/2015, 68.21, 68.89, 67.85, 68.02, -1 
MAR, 12/31/2015, 67.5, 68.2, 67.04, 67.04, -1 
MAR, 01/04/2016, 65.55, 66.04, 64.97, 65.38, -1 
MAR, 01/05/2016, 64.54, 66.02, 64.54, 65.57, -1 
MAR, 01/06/2016, 63.89, 64.66, 62.52, 63.62, -1 
MAR, 01/07/2016, 61.47, 63.12, 61.47, 61.82, -1 
MAR, 01/08/2016, 61.92, 63.8, 61.92, 62.65, -1 
MAR, 01/11/2016, 62.2, 63.49, 62.11, 63.16, -1 
MAR, 01/12/2016, 62.14, 64.5, 62.14, 64.31, -1 
MAR, 01/13/2016, 63.16, 64.01, 60.07, 60.26, -1 
MAR, 01/14/2016, 60.25, 61.73, 58.91, 60.74, -1 
MAR, 01/15/2016, 58.97, 60.12, 58.31, 59.55, -1 
MAR, 01/19/2016, 59.37, 60.47, 57.62, 58.36, -1 
MAR, 01/20/2016, 57.07, 60.6, 56.42, 59.81, -1 
MAR, 01/21/2016, 59.59, 62.55, 59.1, 61.65, -1 
MAR, 01/22/2016, 61.36, 63.59, 61.36, 62.45, -1 
MAR, 01/25/2016, 61.51, 62.37, 59.99, 60.1, -1 
MAR, 01/26/2016, 60.7, 62.06, 60.26, 61.93, -1 
MAR, 01/27/2016, 60.21, 62.43, 60.01, 60.64, -1 
MAR, 01/28/2016, 60.21, 61.6, 58.76, 59.2, -1 
MAR, 01/29/2016, 59.28, 61.3, 59.28, 61.27, -1 
MAR, 02/01/2016, 60.1, 61.89, 60.0, 61.41, -1 
MAR, 02/02/2016, 60.01, 60.75, 58.98, 59.07, -1 
MAR, 02/03/2016, 59.12, 59.71, 57.67, 59.38, -1 
MAR, 02/04/2016, 59.27, 60.89, 58.87, 60.71, -1 
