Symbol, Date, Open, High, Low, Close, Volume 
MAS, 10/30/2015, 28.04, 29.19, 28.04, 29.0, -1 
MAS, 11/02/2015, 28.91, 29.4, 28.91, 29.36, -1 
MAS, 11/03/2015, 29.1, 29.52, 28.92, 29.39, -1 
MAS, 11/04/2015, 29.34, 29.54, 28.98, 29.01, -1 
MAS, 11/05/2015, 28.01, 29.3, 28.01, 29.24, -1 
MAS, 11/06/2015, 29.05, 29.23, 28.57, 28.57, -1 
MAS, 11/09/2015, 28.46, 28.58, 28.07, 28.41, -1 
MAS, 11/10/2015, 28.2, 28.83, 28.17, 28.8, -1 
MAS, 11/11/2015, 28.54, 29.32, 28.54, 29.16, -1 
MAS, 11/12/2015, 28.82, 29.06, 28.63, 28.67, -1 
MAS, 11/13/2015, 28.6, 28.73, 28.23, 28.29, -1 
MAS, 11/16/2015, 28.15, 28.86, 28.13, 28.77, -1 
MAS, 11/17/2015, 28.84, 29.51, 28.84, 29.32, -1 
MAS, 11/18/2015, 29.23, 29.88, 29.23, 29.83, -1 
MAS, 11/19/2015, 29.68, 30.09, 29.68, 29.95, -1 
MAS, 11/20/2015, 29.89, 30.33, 29.89, 30.19, -1 
MAS, 11/23/2015, 30.21, 30.6, 29.97, 30.16, -1 
MAS, 11/24/2015, 29.86, 30.35, 29.86, 30.2, -1 
MAS, 11/25/2015, 30.11, 30.51, 30.11, 30.49, -1 
MAS, 11/27/2015, 28.81, 30.55, 28.81, 30.23, -1 
MAS, 11/30/2015, 30.15, 30.39, 29.83, 29.91, -1 
MAS, 12/01/2015, 29.86, 30.45, 29.8, 30.41, -1 
MAS, 12/02/2015, 30.28, 30.48, 30.11, 30.16, -1 
MAS, 12/03/2015, 30.12, 30.24, 29.3, 29.51, -1 
MAS, 12/04/2015, 29.43, 30.09, 29.43, 30.01, -1 
MAS, 12/07/2015, 29.82, 30.01, 29.72, 29.95, -1 
MAS, 12/08/2015, 29.38, 29.99, 29.38, 29.74, -1 
MAS, 12/09/2015, 29.42, 29.98, 29.13, 29.3, -1 
MAS, 12/10/2015, 28.52, 29.47, 28.52, 29.24, -1 
MAS, 12/11/2015, 28.87, 29.31, 28.83, 28.96, -1 
MAS, 12/14/2015, 28.92, 29.23, 28.64, 29.22, -1 
MAS, 12/15/2015, 29.25, 29.59, 28.76, 28.81, -1 
MAS, 12/16/2015, 28.92, 29.64, 28.92, 29.42, -1 
MAS, 12/17/2015, 29.38, 29.47, 28.37, 28.37, -1 
MAS, 12/18/2015, 28.17, 28.22, 27.68, 27.86, -1 
MAS, 12/21/2015, 27.9, 28.21, 27.81, 28.04, -1 
MAS, 12/22/2015, 28.07, 28.36, 27.88, 28.31, -1 
MAS, 12/23/2015, 28.32, 28.62, 28.3, 28.37, -1 
