Symbol, Date, Open, High, Low, Close, Volume 
MCD, 10/30/2015, 112.57, 113.28, 112.26, 112.26, -1 
MCD, 11/02/2015, 112.27, 112.79, 111.22, 112.08, -1 
MCD, 11/03/2015, 111.55, 112.3, 111.26, 112.09, -1 
MCD, 11/04/2015, 111.93, 112.51, 111.31, 112.43, -1 
MCD, 11/05/2015, 112.46, 113.44, 112.14, 112.85, -1 
MCD, 11/06/2015, 112.3, 113.44, 112.14, 113.32, -1 
MCD, 11/09/2015, 113.63, 113.63, 112.4, 112.95, -1 
MCD, 11/10/2015, 112.45, 114.95, 110.75, 113.28, -1 
MCD, 11/11/2015, 113.56, 114.42, 113.53, 113.82, -1 
MCD, 11/12/2015, 112.87, 113.74, 112.06, 112.11, -1 
MCD, 11/13/2015, 111.73, 112.23, 109.91, 109.97, -1 
MCD, 11/16/2015, 109.58, 111.03, 109.58, 111.01, -1 
MCD, 11/17/2015, 110.57, 111.81, 110.45, 110.9, -1 
MCD, 11/18/2015, 110.91, 112.58, 110.84, 112.53, -1 
MCD, 11/19/2015, 111.99, 113.7, 111.99, 113.33, -1 
MCD, 11/20/2015, 113.17, 114.15, 113.16, 113.94, -1 
MCD, 11/23/2015, 113.78, 114.88, 113.78, 114.6, -1 
MCD, 11/24/2015, 113.77, 114.55, 113.35, 114.27, -1 
MCD, 11/25/2015, 113.6, 114.91, 113.6, 114.35, -1 
MCD, 11/27/2015, 113.63, 114.39, 113.52, 114.23, -1 
MCD, 11/30/2015, 114.13, 114.49, 113.55, 114.25, -1 
MCD, 12/01/2015, 114.43, 114.93, 113.76, 114.44, -1 
MCD, 12/02/2015, 113.76, 114.27, 113.44, 113.72, -1 
MCD, 12/03/2015, 113.09, 114.42, 112.9, 113.39, -1 
MCD, 12/04/2015, 113.29, 116.38, 113.29, 116.11, -1 
MCD, 12/07/2015, 115.47, 116.51, 115.47, 116.45, -1 
MCD, 12/08/2015, 115.48, 116.86, 115.24, 116.6, -1 
MCD, 12/09/2015, 116.05, 117.28, 115.88, 116.61, -1 
MCD, 12/10/2015, 116.5, 117.5, 116.2, 117.2, -1 
MCD, 12/11/2015, 115.77, 116.6, 115.62, 116.1, -1 
MCD, 12/14/2015, 115.86, 117.05, 114.65, 116.38, -1 
MCD, 12/15/2015, 117.13, 118.23, 116.84, 116.95, -1 
MCD, 12/16/2015, 117.43, 118.75, 116.43, 117.84, -1 
MCD, 12/17/2015, 118.11, 118.89, 117.49, 117.54, -1 
MCD, 12/18/2015, 116.5, 117.27, 115.88, 116.58, -1 
MCD, 12/21/2015, 116.88, 117.73, 116.53, 117.7, -1 
MCD, 12/22/2015, 117.5, 117.99, 116.64, 117.7, -1 
MCD, 12/23/2015, 117.73, 118.84, 117.73, 118.77, -1 
MCD, 12/24/2015, 118.39, 118.97, 118.39, 118.57, -1 
MCD, 12/28/2015, 117.9, 118.9, 117.9, 118.74, -1 
MCD, 12/29/2015, 118.79, 120.22, 118.78, 120.01, -1 
MCD, 12/30/2015, 119.6, 119.98, 119.22, 119.43, -1 
MCD, 12/31/2015, 118.7, 119.17, 117.94, 118.14, -1 
MCD, 01/04/2016, 117.26, 117.7, 115.87, 117.7, -1 
MCD, 01/05/2016, 117.16, 119.21, 117.16, 119.2, -1 
MCD, 01/06/2016, 117.73, 119.25, 117.73, 118.44, -1 
MCD, 01/07/2016, 116.7, 117.95, 115.58, 115.76, -1 
MCD, 01/08/2016, 115.66, 117.46, 115.26, 115.49, -1 
MCD, 01/11/2016, 115.57, 117.04, 115.57, 116.67, -1 
MCD, 01/12/2016, 116.92, 117.73, 116.16, 117.41, -1 
MCD, 01/13/2016, 117.14, 117.82, 115.08, 115.12, -1 
MCD, 01/14/2016, 115.41, 117.13, 113.0, 116.57, -1 
MCD, 01/15/2016, 113.95, 116.45, 113.9, 115.15, -1 
MCD, 01/19/2016, 116.57, 117.7, 115.93, 117.5, -1 
MCD, 01/20/2016, 116.7, 117.93, 114.37, 115.8, -1 
MCD, 01/21/2016, 116.03, 118.42, 115.78, 117.8, -1 
MCD, 01/22/2016, 118.33, 118.72, 117.37, 118.4, -1 
MCD, 01/25/2016, 121.86, 121.86, 118.2, 119.26, -1 
MCD, 01/26/2016, 119.35, 121.3, 119.0, 120.39, -1 
MCD, 01/27/2016, 120.75, 121.62, 119.82, 120.87, -1 
MCD, 01/28/2016, 120.54, 122.59, 120.18, 122.44, -1 
MCD, 01/29/2016, 122.55, 124.34, 122.55, 123.75, -1 
MCD, 02/01/2016, 123.08, 124.82, 123.06, 124.56, -1 
MCD, 02/02/2016, 123.62, 124.14, 123.1, 123.92, -1 
MCD, 02/03/2016, 124.11, 124.53, 120.83, 121.47, -1 
MCD, 02/04/2016, 120.84, 121.22, 118.72, 120.62, -1 
MCD, 02/05/2016, 120.37, 120.6, 114.96, 115.35, -1 
MCD, 02/08/2016, 113.93, 116.35, 112.69, 116.01, -1 
MCD, 02/09/2016, 115.05, 117.79, 115.05, 117.04, -1 
MCD, 02/10/2016, 117.39, 118.51, 117.24, 117.49, -1 
MCD, 02/11/2016, 115.54, 117.47, 115.54, 116.65, -1 
MCD, 02/12/2016, 116.28, 118.33, 116.1, 117.6, -1 
MCD, 02/16/2016, 118.16, 119.14, 117.59, 119.04, -1 
MCD, 02/17/2016, 119.1, 119.33, 116.71, 118.59, -1 
MCD, 02/18/2016, 117.6, 119.09, 116.93, 117.09, -1 
MCD, 02/19/2016, 116.62, 117.29, 115.8, 116.44, -1 
MCD, 02/22/2016, 117.02, 118.13, 116.87, 117.61, -1 
MCD, 02/23/2016, 117.0, 118.14, 116.84, 116.91, -1 
MCD, 02/24/2016, 116.22, 117.33, 115.8, 117.05, -1 
MCD, 02/25/2016, 117.36, 118.5, 117.13, 118.41, -1 
MCD, 02/26/2016, 117.96, 118.25, 116.16, 117.02, -1 
MCD, 02/29/2016, 116.64, 118.36, 116.64, 117.18, -1 
MCD, 03/01/2016, 117.55, 119.19, 117.55, 118.81, -1 
MCD, 03/02/2016, 118.44, 118.62, 117.66, 118.45, -1 
MCD, 03/03/2016, 117.42, 117.44, 115.31, 116.64, -1 
MCD, 03/04/2016, 116.29, 117.44, 115.88, 117.13, -1 
MCD, 03/07/2016, 116.76, 117.56, 116.12, 117.11, -1 
MCD, 03/08/2016, 116.1, 119.05, 116.1, 118.42, -1 
MCD, 03/09/2016, 118.68, 120.18, 118.45, 119.63, -1 
MCD, 03/10/2016, 119.88, 120.82, 118.63, 120.02, -1 
MCD, 03/11/2016, 120.36, 122.0, 120.33, 121.5, -1 
MCD, 03/14/2016, 121.27, 123.47, 121.27, 122.93, -1 
MCD, 03/15/2016, 122.23, 123.75, 122.15, 123.42, -1 
MCD, 03/16/2016, 123.23, 124.06, 122.63, 123.61, -1 
MCD, 03/17/2016, 123.08, 123.84, 123.08, 123.22, -1 
MCD, 03/18/2016, 122.93, 124.11, 122.75, 123.62, -1 
MCD, 03/21/2016, 123.66, 124.49, 123.05, 123.82, -1 
MCD, 03/22/2016, 123.53, 124.38, 123.5, 123.85, -1 
MCD, 03/23/2016, 123.55, 124.96, 123.55, 124.22, -1 
MCD, 03/24/2016, 123.63, 123.97, 122.66, 123.32, -1 
MCD, 03/28/2016, 123.54, 124.07, 123.12, 123.17, -1 
MCD, 03/29/2016, 123.21, 124.57, 123.21, 123.98, -1 
MCD, 03/30/2016, 124.6, 126.09, 124.6, 125.82, -1 
MCD, 03/31/2016, 126.12, 126.93, 125.61, 125.86, -1 
MCD, 04/01/2016, 124.54, 127.37, 124.54, 127.05, -1 
MCD, 04/04/2016, 126.9, 127.86, 126.87, 127.59, -1 
MCD, 04/05/2016, 126.74, 127.78, 126.39, 127.37, -1 
MCD, 04/06/2016, 127.19, 127.67, 126.83, 127.56, -1 
MCD, 04/07/2016, 127.02, 128.51, 127.02, 128.17, -1 
MCD, 04/08/2016, 128.02, 128.71, 127.27, 127.96, -1 
MCD, 04/11/2016, 128.04, 128.68, 127.45, 127.58, -1 
MCD, 04/12/2016, 127.72, 128.24, 126.85, 127.58, -1 
MCD, 04/13/2016, 127.33, 127.7, 126.07, 126.89, -1 
MCD, 04/14/2016, 127.01, 128.06, 127.0, 127.47, -1 
MCD, 04/15/2016, 127.08, 128.0, 126.96, 127.77, -1 
MCD, 04/18/2016, 127.54, 128.89, 127.54, 128.84, -1 
MCD, 04/19/2016, 128.86, 129.3, 128.09, 128.86, -1 
MCD, 04/20/2016, 128.88, 129.8, 128.51, 128.56, -1 
MCD, 04/21/2016, 128.34, 128.69, 125.6, 125.82, -1 
MCD, 04/22/2016, 128.0, 128.27, 125.35, 125.49, -1 
MCD, 04/25/2016, 125.01, 127.52, 125.01, 127.49, -1 
MCD, 04/26/2016, 127.1, 128.34, 127.03, 127.65, -1 
MCD, 04/27/2016, 127.23, 128.55, 127.23, 128.34, -1 
MCD, 04/28/2016, 127.52, 128.83, 127.44, 127.94, -1 
MCD, 04/29/2016, 127.7, 127.84, 126.08, 126.54, -1 
MCD, 05/02/2016, 126.6, 128.22, 126.25, 128.17, -1 
MCD, 05/03/2016, 127.36, 128.98, 127.35, 128.37, -1 
MCD, 05/04/2016, 127.78, 130.42, 127.51, 129.35, -1 
MCD, 05/05/2016, 129.27, 129.95, 129.0, 129.29, -1 
MCD, 05/06/2016, 128.83, 130.55, 128.55, 130.55, -1 
MCD, 05/09/2016, 130.27, 131.49, 130.25, 130.84, -1 
MCD, 05/10/2016, 130.41, 131.95, 130.41, 131.62, -1 
MCD, 05/11/2016, 131.15, 131.57, 129.17, 129.21, -1 
MCD, 05/12/2016, 129.65, 130.53, 129.15, 130.17, -1 
MCD, 05/13/2016, 129.74, 130.04, 128.7, 128.83, -1 
MCD, 05/16/2016, 128.17, 129.72, 128.05, 129.59, -1 
MCD, 05/17/2016, 129.18, 129.97, 127.31, 127.67, -1 
MCD, 05/18/2016, 127.01, 127.47, 125.72, 126.22, -1 
MCD, 05/19/2016, 125.14, 125.6, 124.68, 125.25, -1 
MCD, 05/20/2016, 124.58, 124.99, 122.14, 122.55, -1 
MCD, 05/23/2016, 122.57, 123.71, 122.47, 122.84, -1 
MCD, 05/24/2016, 123.02, 124.76, 123.01, 123.87, -1 
MCD, 05/25/2016, 123.75, 123.97, 123.03, 123.19, -1 
MCD, 05/26/2016, 123.12, 123.98, 123.01, 123.77, -1 
MCD, 05/27/2016, 123.87, 124.59, 123.11, 123.23, -1 
MCD, 05/31/2016, 123.25, 123.39, 121.61, 122.14, -1 
MCD, 06/01/2016, 121.6, 122.73, 121.5, 121.92, -1 
MCD, 06/02/2016, 120.6, 121.49, 120.49, 121.18, -1 
MCD, 06/03/2016, 120.91, 121.67, 120.34, 121.37, -1 
MCD, 06/06/2016, 121.26, 122.15, 121.19, 121.99, -1 
MCD, 06/07/2016, 122.02, 123.37, 121.9, 121.92, -1 
MCD, 06/08/2016, 121.88, 122.31, 120.87, 122.08, -1 
MCD, 06/09/2016, 121.8, 123.08, 121.8, 122.79, -1 
MCD, 06/10/2016, 121.8, 122.65, 121.55, 122.38, -1 
MCD, 06/13/2016, 121.56, 123.96, 121.56, 122.91, -1 
MCD, 06/14/2016, 122.48, 123.07, 121.93, 122.52, -1 
MCD, 06/15/2016, 122.34, 123.27, 122.12, 122.28, -1 
MCD, 06/16/2016, 121.75, 122.63, 120.95, 122.47, -1 
MCD, 06/17/2016, 122.13, 122.7, 121.4, 122.28, -1 
MCD, 06/20/2016, 122.99, 124.07, 122.99, 123.47, -1 
MCD, 06/21/2016, 123.06, 123.8, 122.3, 122.59, -1 
MCD, 06/22/2016, 121.3, 121.35, 120.04, 120.6, -1 
MCD, 06/23/2016, 121.02, 121.66, 120.64, 121.14, -1 
MCD, 06/24/2016, 118.3, 121.08, 118.2, 119.44, -1 
MCD, 06/27/2016, 117.39, 117.82, 116.08, 116.31, -1 
MCD, 06/28/2016, 116.92, 118.62, 116.81, 118.49, -1 
MCD, 06/29/2016, 118.72, 119.96, 118.72, 119.44, -1 
MCD, 06/30/2016, 119.61, 120.45, 119.27, 120.32, -1 
MCD, 07/01/2016, 119.64, 120.84, 119.64, 120.38, -1 
MCD, 07/05/2016, 120.1, 120.79, 120.1, 120.72, -1 
