Symbol, Date, Open, High, Low, Close, Volume 
MDLZ, 10/30/2015, 45.91, 46.62, 45.91, 46.16, -1 
MDLZ, 11/02/2015, 45.07, 46.62, 45.07, 46.43, -1 
MDLZ, 11/03/2015, 46.31, 46.49, 45.88, 46.39, -1 
MDLZ, 11/04/2015, 45.58, 46.4, 45.58, 45.88, -1 
MDLZ, 11/05/2015, 45.87, 45.92, 45.38, 45.87, -1 
MDLZ, 11/06/2015, 45.29, 45.65, 44.41, 44.88, -1 
MDLZ, 11/09/2015, 44.58, 44.68, 43.89, 44.37, -1 
MDLZ, 11/10/2015, 44.02, 44.77, 44.02, 44.58, -1 
MDLZ, 11/11/2015, 44.72, 44.95, 44.44, 44.46, -1 
MDLZ, 11/12/2015, 43.92, 44.43, 43.6, 43.65, -1 
MDLZ, 11/13/2015, 43.52, 43.87, 43.12, 43.26, -1 
MDLZ, 11/16/2015, 43.3, 44.07, 43.3, 44.05, -1 
MDLZ, 11/17/2015, 44.07, 44.25, 43.68, 43.82, -1 
MDLZ, 11/18/2015, 43.51, 44.54, 43.51, 44.47, -1 
MDLZ, 11/19/2015, 43.46, 44.81, 43.46, 44.58, -1 
MDLZ, 11/20/2015, 44.44, 44.99, 43.85, 43.95, -1 
MDLZ, 11/23/2015, 43.58, 44.26, 43.58, 44.07, -1 
MDLZ, 11/24/2015, 43.77, 44.15, 43.75, 43.98, -1 
MDLZ, 11/25/2015, 43.56, 44.14, 43.56, 43.93, -1 
MDLZ, 11/27/2015, 43.51, 44.56, 43.51, 44.42, -1 
MDLZ, 11/30/2015, 44.47, 44.56, 43.62, 43.68, -1 
MDLZ, 12/01/2015, 43.58, 44.53, 43.58, 44.3, -1 
MDLZ, 12/02/2015, 44.33, 44.35, 43.75, 43.86, -1 
MDLZ, 12/03/2015, 43.61, 44.03, 42.41, 42.61, -1 
MDLZ, 12/04/2015, 42.83, 44.52, 42.76, 44.49, -1 
MDLZ, 12/07/2015, 44.36, 44.46, 43.73, 44.02, -1 
MDLZ, 12/08/2015, 43.24, 44.2, 43.13, 44.0, -1 
MDLZ, 12/09/2015, 42.68, 44.24, 42.68, 43.64, -1 
MDLZ, 12/10/2015, 42.09, 44.33, 42.09, 43.98, -1 
MDLZ, 12/11/2015, 43.03, 43.57, 42.57, 42.72, -1 
MDLZ, 12/14/2015, 42.92, 43.38, 42.62, 43.31, -1 
MDLZ, 12/15/2015, 43.77, 44.51, 43.77, 44.01, -1 
MDLZ, 12/16/2015, 43.44, 44.93, 43.44, 44.84, -1 
MDLZ, 12/17/2015, 44.59, 44.87, 44.21, 44.35, -1 
MDLZ, 12/18/2015, 43.23, 44.12, 42.95, 43.2, -1 
MDLZ, 12/21/2015, 42.96, 44.51, 42.96, 44.44, -1 
MDLZ, 12/22/2015, 44.52, 44.8, 44.0, 44.7, -1 
MDLZ, 12/23/2015, 44.63, 45.61, 44.63, 45.58, -1 
MDLZ, 12/24/2015, 43.98, 45.58, 43.98, 45.34, -1 
MDLZ, 12/28/2015, 44.53, 45.48, 44.53, 45.07, -1 
MDLZ, 12/29/2015, 43.99, 45.81, 43.99, 45.73, -1 
MDLZ, 12/30/2015, 45.33, 45.94, 45.33, 45.51, -1 
MDLZ, 12/31/2015, 44.31, 45.44, 44.31, 44.84, -1 
MDLZ, 01/04/2016, 43.89, 44.44, 43.25, 43.78, -1 
MDLZ, 01/05/2016, 43.6, 44.45, 43.6, 44.14, -1 
MDLZ, 01/06/2016, 43.33, 44.16, 43.28, 43.99, -1 
MDLZ, 01/07/2016, 42.78, 43.0, 41.34, 41.58, -1 
MDLZ, 01/08/2016, 41.63, 42.05, 40.97, 40.98, -1 
MDLZ, 01/11/2016, 41.36, 41.79, 41.03, 41.66, -1 
MDLZ, 01/12/2016, 41.51, 42.21, 41.5, 42.1, -1 
MDLZ, 01/13/2016, 42.11, 42.32, 40.51, 40.59, -1 
MDLZ, 01/14/2016, 40.93, 41.84, 40.57, 41.34, -1 
MDLZ, 01/15/2016, 40.09, 40.86, 39.78, 40.3, -1 
MDLZ, 01/19/2016, 41.09, 41.65, 40.65, 41.46, -1 
MDLZ, 01/20/2016, 40.66, 41.13, 39.67, 40.66, -1 
MDLZ, 01/21/2016, 40.74, 40.86, 40.0, 40.32, -1 
MDLZ, 01/22/2016, 39.51, 41.73, 39.51, 41.59, -1 
MDLZ, 01/25/2016, 40.98, 41.75, 40.15, 40.19, -1 
MDLZ, 01/26/2016, 40.26, 41.54, 40.26, 41.35, -1 
MDLZ, 01/27/2016, 40.65, 41.95, 40.65, 41.12, -1 
MDLZ, 01/28/2016, 41.81, 42.52, 41.42, 41.54, -1 
MDLZ, 01/29/2016, 41.81, 43.09, 41.8, 42.97, -1 
MDLZ, 02/01/2016, 42.28, 42.95, 42.1, 42.71, -1 
MDLZ, 02/02/2016, 42.11, 42.7, 41.66, 41.96, -1 
MDLZ, 02/03/2016, 38.43, 40.07, 38.22, 39.22, -1 
MDLZ, 02/04/2016, 39.01, 39.04, 37.86, 38.01, -1 
MDLZ, 02/05/2016, 37.31, 38.67, 37.31, 37.69, -1 
MDLZ, 02/08/2016, 37.27, 37.29, 35.88, 36.33, -1 
MDLZ, 02/09/2016, 35.5, 37.38, 35.5, 37.04, -1 
MDLZ, 02/10/2016, 37.69, 38.56, 37.29, 38.02, -1 
MDLZ, 02/11/2016, 36.41, 37.94, 36.41, 37.66, -1 
MDLZ, 02/12/2016, 38.13, 38.15, 37.63, 38.08, -1 
MDLZ, 02/16/2016, 38.08, 39.14, 38.08, 39.11, -1 
MDLZ, 02/17/2016, 39.33, 39.91, 39.15, 39.79, -1 
MDLZ, 02/18/2016, 39.95, 40.27, 39.8, 39.96, -1 
MDLZ, 02/19/2016, 39.38, 40.76, 39.38, 39.81, -1 
MDLZ, 02/22/2016, 40.04, 40.11, 39.5, 39.7, -1 
MDLZ, 02/23/2016, 39.16, 40.16, 39.16, 40.06, -1 
MDLZ, 02/24/2016, 39.46, 40.99, 39.46, 40.76, -1 
MDLZ, 02/25/2016, 40.48, 41.58, 40.48, 41.58, -1 
MDLZ, 02/26/2016, 41.48, 41.82, 40.67, 40.68, -1 
MDLZ, 02/29/2016, 40.2, 41.16, 40.2, 40.52, -1 
MDLZ, 03/01/2016, 40.51, 41.41, 40.51, 41.32, -1 
MDLZ, 03/02/2016, 40.9, 41.27, 40.55, 41.2, -1 
MDLZ, 03/03/2016, 41.05, 41.88, 40.93, 41.87, -1 
MDLZ, 03/04/2016, 41.04, 42.53, 41.04, 42.12, -1 
MDLZ, 03/07/2016, 41.54, 42.33, 41.54, 41.72, -1 
MDLZ, 03/08/2016, 40.67, 41.75, 40.67, 41.38, -1 
MDLZ, 03/09/2016, 41.3, 42.21, 41.3, 41.94, -1 
MDLZ, 03/10/2016, 41.9, 42.15, 41.11, 41.66, -1 
MDLZ, 03/11/2016, 40.37, 42.42, 40.37, 42.35, -1 
MDLZ, 03/14/2016, 41.69, 42.34, 41.69, 42.23, -1 
MDLZ, 03/15/2016, 41.59, 42.14, 41.55, 41.64, -1 
MDLZ, 03/16/2016, 41.16, 42.17, 41.16, 41.71, -1 
MDLZ, 03/17/2016, 40.5, 41.29, 40.5, 40.78, -1 
MDLZ, 03/18/2016, 40.91, 41.17, 40.66, 40.69, -1 
MDLZ, 03/21/2016, 40.46, 40.91, 40.46, 40.68, -1 
MDLZ, 03/22/2016, 40.42, 40.7, 39.76, 39.9, -1 
MDLZ, 03/23/2016, 39.75, 40.2, 39.52, 39.94, -1 
MDLZ, 03/24/2016, 39.59, 40.01, 39.49, 39.5, -1 
MDLZ, 03/28/2016, 39.29, 39.65, 39.21, 39.44, -1 
MDLZ, 03/29/2016, 39.21, 40.18, 39.21, 40.1, -1 
MDLZ, 03/30/2016, 40.53, 40.58, 40.0, 40.46, -1 
MDLZ, 03/31/2016, 40.24, 40.57, 40.07, 40.12, -1 
MDLZ, 04/01/2016, 39.53, 41.29, 39.53, 41.23, -1 
MDLZ, 04/04/2016, 40.93, 41.29, 40.83, 41.21, -1 
MDLZ, 04/05/2016, 40.7, 41.14, 40.7, 41.03, -1 
MDLZ, 04/06/2016, 40.32, 41.88, 40.32, 41.87, -1 
MDLZ, 04/07/2016, 40.41, 41.75, 40.41, 41.52, -1 
MDLZ, 04/08/2016, 41.73, 42.34, 41.65, 42.32, -1 
MDLZ, 04/11/2016, 42.4, 42.93, 42.11, 42.15, -1 
MDLZ, 04/12/2016, 42.06, 42.53, 41.94, 42.39, -1 
MDLZ, 04/13/2016, 41.91, 42.84, 41.91, 42.69, -1 
MDLZ, 04/14/2016, 41.69, 42.84, 41.69, 42.15, -1 
MDLZ, 04/15/2016, 41.5, 43.03, 41.5, 43.01, -1 
MDLZ, 04/18/2016, 41.89, 43.28, 41.89, 43.24, -1 
MDLZ, 04/19/2016, 43.3, 43.64, 43.08, 43.27, -1 
MDLZ, 04/20/2016, 43.09, 43.48, 42.71, 43.16, -1 
MDLZ, 04/21/2016, 42.5, 43.03, 41.86, 41.89, -1 
MDLZ, 04/22/2016, 41.17, 42.19, 41.17, 42.18, -1 
MDLZ, 04/25/2016, 41.68, 42.37, 41.68, 42.26, -1 
MDLZ, 04/26/2016, 41.84, 42.48, 41.84, 42.48, -1 
MDLZ, 04/27/2016, 44.3, 44.49, 43.26, 43.88, -1 
MDLZ, 04/28/2016, 43.07, 44.05, 43.07, 43.37, -1 
MDLZ, 04/29/2016, 42.84, 43.22, 42.59, 42.95, -1 
MDLZ, 05/02/2016, 42.04, 44.47, 42.04, 44.31, -1 
MDLZ, 05/03/2016, 43.67, 43.99, 43.28, 43.67, -1 
MDLZ, 05/04/2016, 43.11, 43.78, 43.11, 43.67, -1 
MDLZ, 05/05/2016, 43.89, 44.22, 43.69, 43.91, -1 
MDLZ, 05/06/2016, 43.5, 44.1, 43.27, 43.93, -1 
MDLZ, 05/09/2016, 43.33, 44.4, 43.33, 44.28, -1 
MDLZ, 05/10/2016, 44.34, 45.07, 44.15, 45.05, -1 
MDLZ, 05/11/2016, 44.49, 45.17, 44.33, 44.4, -1 
MDLZ, 05/12/2016, 44.48, 45.0, 44.37, 44.85, -1 
MDLZ, 05/13/2016, 44.53, 44.91, 44.22, 44.35, -1 
MDLZ, 05/16/2016, 43.76, 44.72, 43.76, 44.52, -1 
MDLZ, 05/17/2016, 43.84, 44.57, 42.98, 43.25, -1 
MDLZ, 05/18/2016, 42.91, 43.64, 42.86, 43.23, -1 
MDLZ, 05/19/2016, 42.77, 43.4, 42.56, 43.27, -1 
MDLZ, 05/20/2016, 43.14, 43.68, 43.14, 43.35, -1 
MDLZ, 05/23/2016, 43.06, 43.58, 43.05, 43.2, -1 
