Symbol, Date, Open, High, Low, Close, Volume 
MMC, 10/30/2015, 56.05, 56.15, 55.72, 55.75, -1 
MMC, 11/02/2015, 55.52, 56.51, 55.52, 56.38, -1 
MMC, 11/03/2015, 56.04, 56.57, 56.01, 56.39, -1 
MMC, 11/04/2015, 54.02, 56.64, 54.0, 56.2, -1 
MMC, 11/05/2015, 54.02, 56.38, 54.02, 56.31, -1 
MMC, 11/06/2015, 55.11, 56.56, 54.89, 56.1, -1 
MMC, 11/09/2015, 54.02, 56.06, 54.0, 55.64, -1 
MMC, 11/10/2015, 54.02, 55.85, 53.79, 55.66, -1 
MMC, 11/11/2015, 55.38, 55.72, 55.35, 55.54, -1 
MMC, 11/12/2015, 51.01, 55.37, 51.01, 54.84, -1 
MMC, 11/13/2015, 51.79, 54.89, 51.78, 54.16, -1 
MMC, 11/16/2015, 53.68, 54.85, 53.68, 54.85, -1 
MMC, 11/17/2015, 54.61, 55.13, 54.57, 54.64, -1 
MMC, 11/18/2015, 54.48, 55.6, 54.48, 55.56, -1 
MMC, 11/19/2015, 50.86, 55.71, 50.85, 55.57, -1 
MMC, 11/20/2015, 52.28, 56.13, 51.6, 55.89, -1 
MMC, 11/23/2015, 55.59, 56.1, 55.55, 55.71, -1 
MMC, 11/24/2015, 55.17, 55.64, 55.05, 55.51, -1 
MMC, 11/25/2015, 55.21, 55.63, 55.21, 55.41, -1 
MMC, 11/27/2015, 55.0, 55.45, 55.0, 55.4, -1 
MMC, 11/30/2015, 55.28, 55.59, 55.16, 55.3, -1 
MMC, 12/01/2015, 50.6, 56.04, 50.6, 56.0, -1 
MMC, 12/02/2015, 55.7, 56.29, 55.7, 55.81, -1 
MMC, 12/03/2015, 55.77, 55.98, 55.0, 55.37, -1 
MMC, 12/04/2015, 55.14, 56.87, 55.14, 56.85, -1 
MMC, 12/07/2015, 56.37, 56.99, 56.37, 56.78, -1 
MMC, 12/08/2015, 55.96, 56.46, 55.71, 55.88, -1 
MMC, 12/09/2015, 55.2, 56.31, 55.2, 55.53, -1 
MMC, 12/10/2015, 55.22, 56.19, 55.16, 55.98, -1 
MMC, 12/11/2015, 55.12, 55.93, 54.76, 54.91, -1 
MMC, 12/14/2015, 50.23, 55.36, 50.22, 54.97, -1 
MMC, 12/15/2015, 55.01, 56.69, 55.01, 56.43, -1 
MMC, 12/16/2015, 56.48, 57.44, 56.45, 57.32, -1 
MMC, 12/17/2015, 57.25, 57.46, 55.76, 55.77, -1 
MMC, 12/18/2015, 55.26, 55.62, 54.49, 54.5, -1 
MMC, 12/21/2015, 54.69, 55.1, 54.06, 54.57, -1 
MMC, 12/22/2015, 54.59, 55.15, 53.96, 54.96, -1 
MMC, 12/23/2015, 54.89, 55.51, 54.78, 55.49, -1 
MMC, 12/24/2015, 55.1, 55.75, 55.1, 55.5, -1 
MMC, 12/28/2015, 54.95, 55.59, 54.9, 55.54, -1 
MMC, 12/29/2015, 55.6, 56.39, 55.57, 56.34, -1 
MMC, 12/30/2015, 56.11, 56.52, 56.05, 56.1, -1 
MMC, 12/31/2015, 54.92, 56.2, 54.9, 55.45, -1 
MMC, 01/04/2016, 54.51, 54.52, 53.78, 54.34, -1 
MMC, 01/05/2016, 46.98, 55.03, 46.73, 54.76, -1 
MMC, 01/06/2016, 49.4, 54.37, 49.39, 54.11, -1 
MMC, 01/07/2016, 53.07, 53.83, 52.95, 53.69, -1 
MMC, 01/08/2016, 53.69, 53.96, 52.89, 52.95, -1 
MMC, 01/11/2016, 50.1, 53.1, 50.1, 52.18, -1 
MMC, 01/12/2016, 52.43, 52.73, 51.85, 52.66, -1 
MMC, 01/13/2016, 53.18, 53.56, 52.06, 52.24, -1 
MMC, 01/14/2016, 49.25, 54.01, 49.21, 53.55, -1 
MMC, 01/15/2016, 50.96, 53.04, 50.96, 52.2, -1 
MMC, 01/19/2016, 52.6, 52.79, 51.86, 52.14, -1 
MMC, 01/20/2016, 47.86, 52.07, 47.86, 51.54, -1 
MMC, 01/21/2016, 48.59, 51.78, 48.28, 51.28, -1 
MMC, 01/22/2016, 51.76, 52.47, 51.76, 52.27, -1 
MMC, 01/25/2016, 51.89, 52.27, 51.54, 51.58, -1 
MMC, 01/26/2016, 51.38, 52.33, 51.38, 51.93, -1 
MMC, 01/27/2016, 51.5, 52.42, 51.32, 51.63, -1 
MMC, 01/28/2016, 51.73, 52.06, 51.44, 51.79, -1 
MMC, 01/29/2016, 51.77, 53.36, 51.77, 53.32, -1 
MMC, 02/01/2016, 51.45, 53.48, 51.45, 53.25, -1 
MMC, 02/02/2016, 52.55, 52.64, 52.1, 52.33, -1 
MMC, 02/03/2016, 52.18, 52.9, 51.24, 52.84, -1 
MMC, 02/04/2016, 50.3, 54.45, 49.84, 54.16, -1 
MMC, 02/05/2016, 53.56, 54.73, 53.56, 54.64, -1 
MMC, 02/08/2016, 53.92, 55.32, 53.92, 55.01, -1 
MMC, 02/09/2016, 54.34, 55.63, 54.34, 55.29, -1 
MMC, 02/10/2016, 55.06, 56.67, 55.06, 55.5, -1 
MMC, 02/11/2016, 54.25, 55.3, 54.15, 54.93, -1 
MMC, 02/12/2016, 55.26, 56.16, 55.26, 56.07, -1 
MMC, 02/16/2016, 56.24, 56.74, 56.23, 56.51, -1 
MMC, 02/17/2016, 56.46, 57.46, 56.46, 57.36, -1 
MMC, 02/18/2016, 57.07, 57.61, 57.07, 57.5, -1 
MMC, 02/19/2016, 57.07, 57.53, 57.07, 57.29, -1 
MMC, 02/22/2016, 57.28, 57.88, 57.27, 57.54, -1 
MMC, 02/23/2016, 56.98, 57.67, 56.94, 57.08, -1 
MMC, 02/24/2016, 56.5, 57.65, 56.47, 57.45, -1 
MMC, 02/25/2016, 57.38, 57.76, 57.27, 57.76, -1 
MMC, 02/26/2016, 57.71, 58.17, 57.48, 57.49, -1 
MMC, 02/29/2016, 57.06, 57.65, 57.01, 57.05, -1 
MMC, 03/01/2016, 53.68, 58.11, 53.25, 58.1, -1 
MMC, 03/02/2016, 56.37, 58.05, 56.37, 57.82, -1 
MMC, 03/03/2016, 57.51, 57.8, 57.24, 57.74, -1 
MMC, 03/04/2016, 57.89, 58.07, 57.36, 57.99, -1 
MMC, 03/07/2016, 56.36, 57.96, 56.36, 57.67, -1 
MMC, 03/08/2016, 57.04, 58.15, 57.04, 57.44, -1 
MMC, 03/09/2016, 50.68, 57.88, 50.68, 57.7, -1 
MMC, 03/10/2016, 52.8, 58.3, 52.8, 57.73, -1 
MMC, 03/11/2016, 57.82, 58.76, 57.82, 58.73, -1 
MMC, 03/14/2016, 53.62, 58.96, 53.62, 58.83, -1 
MMC, 03/15/2016, 58.21, 59.13, 58.2, 59.13, -1 
MMC, 03/16/2016, 56.44, 59.24, 56.44, 58.93, -1 
MMC, 03/17/2016, 58.51, 60.13, 58.51, 59.85, -1 
MMC, 03/18/2016, 59.47, 60.11, 59.47, 59.8, -1 
MMC, 03/21/2016, 59.39, 59.92, 59.39, 59.77, -1 
MMC, 03/22/2016, 59.05, 60.21, 59.05, 59.73, -1 
MMC, 03/23/2016, 59.38, 59.86, 59.38, 59.54, -1 
MMC, 03/24/2016, 59.07, 59.85, 59.0, 59.8, -1 
MMC, 03/28/2016, 57.25, 60.24, 57.25, 60.04, -1 
MMC, 03/29/2016, 59.72, 60.59, 59.72, 60.56, -1 
MMC, 03/30/2016, 60.16, 60.81, 60.16, 60.74, -1 
MMC, 03/31/2016, 60.21, 60.96, 60.21, 60.77, -1 
MMC, 04/01/2016, 60.15, 61.45, 60.15, 61.39, -1 
MMC, 04/04/2016, 60.32, 61.61, 60.32, 61.22, -1 
MMC, 04/05/2016, 60.58, 60.86, 60.33, 60.43, -1 
MMC, 04/06/2016, 59.45, 60.75, 59.45, 60.72, -1 
MMC, 04/07/2016, 59.88, 60.44, 59.85, 60.18, -1 
MMC, 04/08/2016, 60.22, 60.8, 60.2, 60.52, -1 
MMC, 04/11/2016, 60.36, 61.26, 60.36, 60.7, -1 
MMC, 04/12/2016, 60.36, 61.53, 60.36, 61.48, -1 
MMC, 04/13/2016, 61.32, 62.15, 61.32, 62.14, -1 
MMC, 04/14/2016, 61.74, 62.26, 61.74, 61.96, -1 
MMC, 04/15/2016, 61.62, 62.53, 61.62, 62.31, -1 
MMC, 04/18/2016, 61.75, 63.04, 61.75, 63.04, -1 
MMC, 04/19/2016, 63.09, 63.67, 63.09, 63.32, -1 
MMC, 04/20/2016, 63.06, 63.41, 62.57, 62.97, -1 
MMC, 04/21/2016, 61.84, 63.06, 61.84, 62.25, -1 
MMC, 04/22/2016, 61.92, 62.58, 61.91, 62.19, -1 
MMC, 04/25/2016, 61.68, 62.4, 61.68, 62.09, -1 
MMC, 04/26/2016, 61.83, 62.66, 61.83, 62.52, -1 
MMC, 04/27/2016, 62.09, 62.52, 62.09, 62.23, -1 
MMC, 04/28/2016, 59.24, 63.3, 59.24, 62.8, -1 
MMC, 04/29/2016, 62.3, 63.48, 62.3, 63.14, -1 
MMC, 05/02/2016, 62.79, 63.78, 62.79, 63.64, -1 
MMC, 05/03/2016, 63.03, 63.66, 62.9, 63.55, -1 
MMC, 05/04/2016, 63.0, 63.63, 63.0, 63.35, -1 
MMC, 05/05/2016, 63.12, 63.69, 63.12, 63.44, -1 
MMC, 05/06/2016, 62.81, 63.37, 62.81, 63.23, -1 
MMC, 05/09/2016, 62.19, 63.49, 62.19, 63.42, -1 
MMC, 05/10/2016, 63.26, 64.4, 63.26, 64.38, -1 
MMC, 05/11/2016, 63.9, 64.61, 63.89, 63.9, -1 
MMC, 05/12/2016, 63.69, 64.51, 63.69, 64.39, -1 
MMC, 05/13/2016, 63.6, 64.4, 63.6, 63.93, -1 
MMC, 05/16/2016, 63.59, 64.74, 63.59, 64.44, -1 
MMC, 05/17/2016, 63.97, 64.71, 63.83, 64.03, -1 
MMC, 05/18/2016, 63.65, 64.85, 63.65, 64.48, -1 
MMC, 05/19/2016, 62.4, 64.21, 62.4, 64.16, -1 
MMC, 05/20/2016, 64.13, 64.68, 64.13, 64.21, -1 
MMC, 05/23/2016, 63.82, 64.62, 63.82, 64.48, -1 
MMC, 05/24/2016, 61.76, 65.59, 61.76, 65.52, -1 
MMC, 05/25/2016, 65.4, 66.09, 65.37, 65.62, -1 
MMC, 05/26/2016, 65.28, 65.71, 65.28, 65.58, -1 
MMC, 05/27/2016, 65.22, 65.95, 65.22, 65.93, -1 
MMC, 05/31/2016, 65.52, 66.25, 65.52, 66.05, -1 
MMC, 06/01/2016, 65.47, 66.18, 65.46, 66.15, -1 
MMC, 06/02/2016, 65.64, 66.42, 65.64, 66.42, -1 
MMC, 06/03/2016, 65.64, 66.31, 65.52, 66.15, -1 
MMC, 06/06/2016, 65.88, 66.44, 65.88, 66.3, -1 
MMC, 06/07/2016, 66.32, 66.83, 66.32, 66.6, -1 
MMC, 06/08/2016, 66.11, 66.71, 66.11, 66.56, -1 
MMC, 06/09/2016, 65.79, 66.73, 65.79, 66.63, -1 
MMC, 06/10/2016, 65.77, 66.56, 65.77, 66.35, -1 
MMC, 06/13/2016, 65.77, 66.49, 65.76, 65.81, -1 
MMC, 06/14/2016, 62.58, 65.84, 62.58, 65.7, -1 
MMC, 06/15/2016, 65.51, 65.8, 65.29, 65.35, -1 
MMC, 06/16/2016, 64.63, 66.02, 64.63, 66.0, -1 
MMC, 06/17/2016, 65.6, 66.02, 65.4, 65.85, -1 
MMC, 06/20/2016, 62.58, 66.97, 62.58, 66.46, -1 
MMC, 06/21/2016, 66.18, 66.88, 66.18, 66.73, -1 
MMC, 06/22/2016, 63.61, 67.25, 63.61, 66.81, -1 
