Symbol, Date, Open, High, Low, Close, Volume 
MON, 10/30/2015, 91.45, 94.06, 91.45, 93.21, -1 
MON, 11/02/2015, 91.7, 93.6, 91.7, 93.15, -1 
MON, 11/03/2015, 92.42, 95.85, 92.42, 95.65, -1 
MON, 11/04/2015, 95.51, 96.85, 94.78, 94.9, -1 
MON, 11/05/2015, 94.39, 95.15, 93.84, 93.98, -1 
MON, 11/06/2015, 93.13, 93.84, 92.76, 93.48, -1 
MON, 11/09/2015, 93.27, 94.46, 92.67, 94.26, -1 
MON, 11/10/2015, 93.5, 93.99, 92.5, 92.88, -1 
MON, 11/11/2015, 90.12, 93.89, 90.12, 93.53, -1 
MON, 11/12/2015, 92.11, 93.36, 92.11, 92.88, -1 
MON, 11/13/2015, 91.13, 94.48, 91.13, 93.78, -1 
MON, 11/16/2015, 93.56, 95.61, 93.56, 95.34, -1 
MON, 11/17/2015, 94.09, 96.63, 94.09, 94.41, -1 
MON, 11/18/2015, 93.1, 96.29, 93.1, 96.12, -1 
MON, 11/19/2015, 94.36, 97.1, 94.36, 95.82, -1 
MON, 11/20/2015, 93.04, 96.64, 93.04, 96.06, -1 
MON, 11/23/2015, 95.53, 96.97, 95.24, 95.27, -1 
MON, 11/24/2015, 94.4, 95.92, 94.4, 95.55, -1 
MON, 11/25/2015, 95.26, 96.3, 95.26, 95.6, -1 
MON, 11/27/2015, 93.04, 95.96, 93.04, 95.45, -1 
MON, 11/30/2015, 95.09, 95.81, 94.85, 95.17, -1 
MON, 12/01/2015, 93.14, 97.45, 93.14, 97.31, -1 
MON, 12/02/2015, 95.02, 98.45, 95.02, 97.12, -1 
MON, 12/03/2015, 97.1, 97.64, 95.7, 96.59, -1 
MON, 12/04/2015, 96.33, 98.46, 96.33, 97.84, -1 
MON, 12/07/2015, 97.4, 97.87, 96.21, 97.66, -1 
MON, 12/08/2015, 96.48, 98.36, 96.06, 96.77, -1 
MON, 12/09/2015, 96.74, 98.44, 95.74, 96.61, -1 
MON, 12/10/2015, 95.67, 97.31, 95.67, 96.09, -1 
MON, 12/11/2015, 95.0, 95.26, 93.43, 93.61, -1 
MON, 12/14/2015, 93.33, 94.27, 92.91, 93.81, -1 
MON, 12/15/2015, 93.81, 95.76, 93.81, 95.64, -1 
MON, 12/16/2015, 95.38, 97.16, 95.38, 97.07, -1 
MON, 12/17/2015, 96.69, 96.99, 95.16, 95.74, -1 
MON, 12/18/2015, 95.14, 97.17, 94.79, 94.81, -1 
MON, 12/21/2015, 95.09, 95.99, 94.81, 95.44, -1 
MON, 12/22/2015, 95.23, 97.74, 95.23, 97.33, -1 
MON, 12/23/2015, 97.43, 100.56, 97.43, 99.57, -1 
MON, 12/24/2015, 99.02, 99.89, 98.85, 99.23, -1 
MON, 12/28/2015, 98.56, 99.08, 98.22, 98.84, -1 
MON, 12/29/2015, 97.87, 99.82, 97.87, 99.26, -1 
MON, 12/30/2015, 98.86, 99.88, 98.86, 98.89, -1 
MON, 12/31/2015, 97.87, 99.34, 97.87, 98.52, -1 
MON, 01/04/2016, 97.1, 97.85, 96.6, 97.79, -1 
MON, 01/05/2016, 97.46, 98.59, 97.06, 97.25, -1 
MON, 01/06/2016, 95.07, 97.18, 93.75, 95.21, -1 
MON, 01/07/2016, 92.5, 94.89, 92.5, 93.55, -1 
MON, 01/08/2016, 93.61, 94.17, 92.63, 92.76, -1 
MON, 01/11/2016, 92.08, 93.5, 91.72, 92.28, -1 
MON, 01/12/2016, 92.6, 93.25, 91.79, 92.5, -1 
MON, 01/13/2016, 92.44, 93.29, 90.87, 91.18, -1 
MON, 01/14/2016, 88.44, 92.78, 88.44, 92.12, -1 
MON, 01/15/2016, 89.82, 91.75, 89.82, 90.89, -1 
MON, 01/19/2016, 91.38, 91.75, 89.83, 90.83, -1 
