Symbol, Date, Open, High, Low, Close, Volume 
MS, 10/30/2015, 33.39, 33.57, 32.93, 32.96, -1 
MS, 11/02/2015, 33.01, 33.71, 33.0, 33.48, -1 
MS, 11/03/2015, 33.06, 33.53, 33.06, 33.28, -1 
MS, 11/04/2015, 33.35, 33.59, 33.23, 33.41, -1 
MS, 11/05/2015, 33.27, 34.04, 33.27, 33.88, -1 
MS, 11/06/2015, 34.77, 35.61, 34.77, 35.42, -1 
MS, 11/09/2015, 35.51, 35.74, 34.84, 35.11, -1 
MS, 11/10/2015, 34.94, 35.31, 34.72, 35.25, -1 
MS, 11/11/2015, 35.28, 35.53, 34.95, 35.01, -1 
MS, 11/12/2015, 34.61, 34.76, 34.18, 34.22, -1 
MS, 11/13/2015, 34.03, 34.37, 33.78, 33.91, -1 
MS, 11/16/2015, 33.66, 34.13, 33.21, 34.05, -1 
MS, 11/17/2015, 34.2, 34.35, 33.46, 33.58, -1 
MS, 11/18/2015, 33.61, 34.31, 33.6, 34.25, -1 
MS, 11/19/2015, 34.12, 34.43, 33.95, 34.16, -1 
MS, 11/20/2015, 34.28, 34.52, 33.78, 33.9, -1 
MS, 11/23/2015, 33.57, 34.13, 33.57, 33.63, -1 
MS, 11/24/2015, 33.25, 33.77, 33.18, 33.59, -1 
MS, 11/25/2015, 33.52, 33.74, 33.44, 33.6, -1 
MS, 11/27/2015, 33.44, 33.91, 33.44, 33.79, -1 
MS, 11/30/2015, 33.57, 34.52, 33.57, 34.3, -1 
MS, 12/01/2015, 34.49, 35.34, 34.49, 35.27, -1 
MS, 12/02/2015, 35.29, 35.38, 34.72, 34.88, -1 
MS, 12/03/2015, 34.97, 35.22, 34.29, 34.45, -1 
MS, 12/04/2015, 34.59, 35.57, 34.39, 35.3, -1 
MS, 12/07/2015, 35.07, 35.3, 34.42, 34.67, -1 
MS, 12/08/2015, 33.95, 34.35, 33.84, 34.06, -1 
MS, 12/09/2015, 33.76, 34.31, 33.09, 33.36, -1 
MS, 12/10/2015, 33.4, 33.9, 33.28, 33.42, -1 
MS, 12/11/2015, 32.81, 33.04, 31.92, 32.07, -1 
MS, 12/14/2015, 32.09, 32.51, 31.39, 31.89, -1 
MS, 12/15/2015, 32.45, 33.07, 32.45, 32.84, -1 
MS, 12/16/2015, 33.05, 33.76, 32.68, 33.61, -1 
MS, 12/17/2015, 33.77, 33.84, 32.36, 32.37, -1 
MS, 12/18/2015, 32.06, 32.25, 31.25, 31.25, -1 
MS, 12/21/2015, 31.59, 31.78, 31.19, 31.68, -1 
MS, 12/22/2015, 31.91, 32.37, 31.6, 32.22, -1 
MS, 12/23/2015, 32.32, 32.72, 32.27, 32.59, -1 
MS, 12/24/2015, 32.49, 32.7, 32.43, 32.47, -1 
MS, 12/28/2015, 32.2, 32.34, 31.95, 32.16, -1 
MS, 12/29/2015, 32.31, 32.7, 32.31, 32.55, -1 
MS, 12/30/2015, 32.26, 32.64, 32.19, 32.23, -1 
MS, 12/31/2015, 31.9, 32.29, 31.77, 31.8, -1 
MS, 01/04/2016, 30.53, 31.51, 30.53, 31.48, -1 
MS, 01/05/2016, 31.37, 31.7, 30.93, 31.27, -1 
MS, 01/06/2016, 30.49, 30.77, 30.25, 30.49, -1 
MS, 01/07/2016, 29.69, 30.06, 28.78, 28.97, -1 
MS, 01/08/2016, 29.31, 29.48, 28.3, 28.37, -1 
MS, 01/11/2016, 28.15, 28.6, 27.81, 28.45, -1 
MS, 01/12/2016, 28.73, 28.87, 28.0, 28.46, -1 
MS, 01/13/2016, 28.61, 28.8, 26.5, 26.9, -1 
MS, 01/14/2016, 26.74, 27.32, 26.22, 27.14, -1 
MS, 01/15/2016, 25.8, 26.41, 25.51, 25.94, -1 
MS, 01/19/2016, 26.76, 27.12, 25.76, 26.26, -1 
MS, 01/20/2016, 25.52, 25.76, 24.67, 25.24, -1 
MS, 01/21/2016, 25.2, 25.58, 24.69, 24.77, -1 
MS, 01/22/2016, 25.2, 25.97, 25.17, 25.6, -1 
MS, 01/25/2016, 25.07, 25.5, 24.94, 24.96, -1 
MS, 01/26/2016, 24.97, 25.65, 24.97, 25.49, -1 
MS, 01/27/2016, 25.16, 26.16, 25.05, 25.37, -1 
MS, 01/28/2016, 25.6, 25.83, 24.94, 25.16, -1 
MS, 01/29/2016, 24.98, 25.88, 24.98, 25.88, -1 
MS, 02/01/2016, 25.71, 25.92, 25.42, 25.7, -1 
MS, 02/02/2016, 25.36, 25.36, 24.39, 24.5, -1 
MS, 02/03/2016, 24.36, 24.51, 23.28, 24.32, -1 
MS, 02/04/2016, 24.08, 25.19, 24.08, 25.0, -1 
MS, 02/05/2016, 24.93, 25.41, 24.18, 24.34, -1 
MS, 02/08/2016, 23.58, 23.81, 22.32, 22.67, -1 
MS, 02/09/2016, 21.73, 23.28, 21.73, 22.93, -1 
MS, 02/10/2016, 23.28, 23.77, 22.64, 22.69, -1 
MS, 02/11/2016, 21.7, 22.13, 21.16, 21.68, -1 
MS, 02/12/2016, 21.92, 23.19, 21.86, 23.08, -1 
MS, 02/16/2016, 23.89, 24.13, 23.21, 23.71, -1 
MS, 02/17/2016, 24.12, 24.66, 24.12, 24.22, -1 
MS, 02/18/2016, 24.36, 24.54, 23.78, 23.96, -1 
MS, 02/19/2016, 23.61, 24.19, 23.61, 23.98, -1 
MS, 02/22/2016, 24.38, 24.73, 24.33, 24.53, -1 
MS, 02/23/2016, 24.37, 24.45, 23.68, 23.72, -1 
MS, 02/24/2016, 23.16, 23.7, 22.67, 23.7, -1 
MS, 02/25/2016, 23.69, 24.67, 23.69, 24.63, -1 
MS, 02/26/2016, 24.9, 25.66, 24.78, 25.16, -1 
MS, 02/29/2016, 24.98, 25.15, 24.67, 24.69, -1 
MS, 03/01/2016, 25.01, 26.11, 25.01, 26.08, -1 
MS, 03/02/2016, 25.96, 26.28, 25.83, 26.1, -1 
MS, 03/03/2016, 25.98, 26.19, 25.81, 26.13, -1 
MS, 03/04/2016, 26.19, 26.49, 25.91, 26.12, -1 
MS, 03/07/2016, 25.79, 26.32, 25.69, 26.08, -1 
MS, 03/08/2016, 25.7, 25.85, 24.94, 25.0, -1 
MS, 03/09/2016, 25.16, 25.25, 24.44, 24.6, -1 
MS, 03/10/2016, 24.77, 25.14, 24.44, 24.64, -1 
MS, 03/11/2016, 25.01, 26.08, 25.01, 26.0, -1 
MS, 03/14/2016, 25.81, 26.06, 25.66, 25.91, -1 
MS, 03/15/2016, 25.58, 25.68, 25.12, 25.42, -1 
MS, 03/16/2016, 25.21, 25.78, 24.72, 25.16, -1 
MS, 03/17/2016, 24.95, 26.02, 24.58, 25.85, -1 
MS, 03/18/2016, 26.06, 26.55, 25.97, 26.27, -1 
MS, 03/21/2016, 26.13, 26.6, 25.85, 25.93, -1 
MS, 03/22/2016, 25.61, 26.01, 25.44, 25.83, -1 
MS, 03/23/2016, 25.74, 25.87, 25.2, 25.26, -1 
MS, 03/24/2016, 24.92, 24.93, 24.28, 24.91, -1 
MS, 03/28/2016, 24.91, 25.05, 24.67, 24.72, -1 
MS, 03/29/2016, 24.53, 24.8, 24.12, 24.77, -1 
MS, 03/30/2016, 24.89, 25.42, 24.76, 25.06, -1 
MS, 03/31/2016, 24.87, 25.53, 24.87, 25.0, -1 
MS, 04/01/2016, 24.79, 25.67, 24.61, 25.52, -1 
MS, 04/04/2016, 25.4, 25.51, 24.91, 25.02, -1 
MS, 04/05/2016, 24.6, 24.7, 24.24, 24.37, -1 
MS, 04/06/2016, 24.26, 24.72, 24.26, 24.42, -1 
MS, 04/07/2016, 24.15, 24.3, 23.51, 23.72, -1 
MS, 04/08/2016, 23.98, 24.17, 23.65, 23.75, -1 
MS, 04/11/2016, 23.82, 24.43, 23.82, 24.11, -1 
MS, 04/12/2016, 24.06, 24.84, 24.06, 24.57, -1 
MS, 04/13/2016, 24.89, 25.87, 24.89, 25.87, -1 
MS, 04/14/2016, 25.69, 26.26, 25.66, 26.16, -1 
MS, 04/15/2016, 26.31, 26.36, 25.71, 25.76, -1 
MS, 04/18/2016, 26.01, 26.18, 25.53, 25.72, -1 
MS, 04/19/2016, 25.81, 26.48, 25.79, 26.46, -1 
MS, 04/20/2016, 26.38, 27.47, 26.38, 27.41, -1 
MS, 04/21/2016, 27.31, 27.74, 27.14, 27.26, -1 
MS, 04/22/2016, 27.17, 27.82, 27.17, 27.7, -1 
MS, 04/25/2016, 27.41, 27.71, 27.23, 27.53, -1 
MS, 04/26/2016, 27.5, 27.67, 27.33, 27.54, -1 
MS, 04/27/2016, 27.26, 27.82, 27.16, 27.53, -1 
MS, 04/28/2016, 27.23, 27.81, 27.07, 27.23, -1 
MS, 04/29/2016, 26.98, 27.23, 26.86, 27.06, -1 
MS, 05/02/2016, 27.01, 27.52, 26.84, 27.25, -1 
MS, 05/03/2016, 26.88, 26.9, 26.34, 26.89, -1 
MS, 05/04/2016, 26.53, 26.62, 26.04, 26.28, -1 
MS, 05/05/2016, 26.13, 26.49, 26.0, 26.17, -1 
MS, 05/06/2016, 25.87, 26.35, 25.87, 26.25, -1 
MS, 05/09/2016, 26.13, 26.49, 26.03, 26.1, -1 
MS, 05/10/2016, 26.18, 26.78, 26.18, 26.63, -1 
