Symbol, Date, Open, High, Low, Close, Volume 
NAVI, 10/30/2015, 12.7, 13.34, 12.7, 13.19, -1 
NAVI, 11/02/2015, 12.76, 13.5, 12.76, 13.47, -1 
NAVI, 11/03/2015, 12.51, 13.6, 12.5, 13.4, -1 
NAVI, 11/04/2015, 13.46, 13.92, 13.35, 13.4, -1 
NAVI, 11/05/2015, 13.15, 13.48, 12.97, 13.22, -1 
NAVI, 11/06/2015, 12.81, 13.38, 12.81, 13.26, -1 
NAVI, 11/09/2015, 13.3, 13.37, 12.81, 12.95, -1 
NAVI, 11/10/2015, 12.01, 13.0, 12.01, 12.71, -1 
NAVI, 11/11/2015, 12.05, 12.78, 12.05, 12.5, -1 
NAVI, 11/12/2015, 12.0, 12.54, 12.0, 12.23, -1 
NAVI, 11/13/2015, 11.01, 12.2, 11.01, 12.02, -1 
NAVI, 11/16/2015, 11.07, 12.14, 11.07, 11.98, -1 
NAVI, 11/17/2015, 11.5, 12.06, 11.5, 11.88, -1 
NAVI, 11/18/2015, 11.49, 12.05, 11.49, 12.03, -1 
NAVI, 11/19/2015, 10.82, 12.09, 10.82, 11.7, -1 
NAVI, 11/20/2015, 11.49, 11.9, 11.49, 11.84, -1 
NAVI, 11/23/2015, 10.81, 12.16, 10.81, 11.89, -1 
NAVI, 11/24/2015, 11.8, 12.01, 11.64, 11.86, -1 
NAVI, 11/25/2015, 11.01, 11.86, 11.01, 11.73, -1 
NAVI, 11/27/2015, 11.71, 11.82, 11.61, 11.76, -1 
NAVI, 11/30/2015, 11.88, 11.92, 11.51, 11.9, -1 
NAVI, 12/01/2015, 11.55, 12.25, 11.55, 12.25, -1 
NAVI, 12/02/2015, 11.95, 12.18, 11.87, 11.98, -1 
NAVI, 12/03/2015, 10.78, 12.09, 10.77, 11.74, -1 
NAVI, 12/04/2015, 11.76, 12.15, 11.75, 12.04, -1 
NAVI, 12/07/2015, 10.81, 12.13, 10.81, 11.91, -1 
NAVI, 12/08/2015, 11.75, 11.92, 11.59, 11.72, -1 
NAVI, 12/09/2015, 11.51, 12.14, 11.5, 11.74, -1 
NAVI, 12/10/2015, 11.75, 12.51, 11.69, 12.38, -1 
NAVI, 12/11/2015, 11.98, 12.43, 11.98, 12.35, -1 
NAVI, 12/14/2015, 12.37, 12.55, 12.01, 12.16, -1 
NAVI, 12/15/2015, 12.16, 12.52, 12.16, 12.35, -1 
NAVI, 12/16/2015, 11.15, 12.94, 11.15, 12.77, -1 
NAVI, 12/17/2015, 12.52, 12.91, 12.47, 12.48, -1 
NAVI, 12/18/2015, 12.26, 12.41, 11.92, 11.92, -1 
NAVI, 12/21/2015, 11.9, 12.13, 11.66, 11.8, -1 
NAVI, 12/22/2015, 11.66, 11.82, 11.6, 11.69, -1 
NAVI, 12/23/2015, 11.52, 12.14, 11.52, 12.14, -1 
NAVI, 12/24/2015, 11.71, 12.76, 11.71, 12.61, -1 
NAVI, 12/28/2015, 12.26, 12.5, 11.31, 11.46, -1 
NAVI, 12/29/2015, 11.36, 11.66, 11.36, 11.47, -1 
NAVI, 12/30/2015, 11.41, 11.55, 11.32, 11.33, -1 
NAVI, 12/31/2015, 11.26, 11.58, 11.22, 11.44, -1 
NAVI, 01/04/2016, 11.21, 11.58, 11.18, 11.5, -1 
NAVI, 01/05/2016, 11.21, 11.6, 10.93, 11.34, -1 
NAVI, 01/06/2016, 10.83, 11.25, 10.83, 10.93, -1 
NAVI, 01/07/2016, 10.01, 10.84, 10.01, 10.26, -1 
NAVI, 01/08/2016, 10.12, 10.5, 10.03, 10.16, -1 
NAVI, 01/11/2016, 10.01, 10.27, 9.8, 9.99, -1 
NAVI, 01/12/2016, 9.97, 10.28, 9.8, 10.0, -1 
NAVI, 01/13/2016, 10.01, 10.18, 9.42, 9.42, -1 
NAVI, 01/14/2016, 9.44, 9.46, 9.04, 9.39, -1 
NAVI, 01/15/2016, 9.14, 9.2, 8.9, 8.99, -1 
NAVI, 01/19/2016, 8.11, 9.14, 8.1, 8.74, -1 
NAVI, 01/20/2016, 8.03, 9.07, 8.03, 8.97, -1 
NAVI, 01/21/2016, 8.26, 9.43, 8.25, 9.15, -1 
NAVI, 01/22/2016, 8.66, 9.58, 8.66, 9.23, -1 
NAVI, 01/25/2016, 8.01, 9.23, 8.01, 8.86, -1 
NAVI, 01/26/2016, 8.73, 9.48, 8.73, 9.45, -1 
NAVI, 01/27/2016, 9.07, 9.98, 9.06, 9.47, -1 
NAVI, 01/28/2016, 9.55, 9.81, 9.0, 9.02, -1 
NAVI, 01/29/2016, 8.01, 9.6, 8.01, 9.55, -1 
NAVI, 02/01/2016, 8.56, 9.59, 8.56, 9.3, -1 
NAVI, 02/02/2016, 9.02, 9.25, 8.75, 8.76, -1 
NAVI, 02/03/2016, 8.02, 9.23, 8.02, 9.17, -1 
NAVI, 02/04/2016, 8.99, 9.72, 8.98, 9.53, -1 
NAVI, 02/05/2016, 9.41, 9.66, 9.37, 9.5, -1 
NAVI, 02/08/2016, 9.1, 9.28, 8.68, 8.94, -1 
NAVI, 02/09/2016, 8.2, 8.89, 8.2, 8.5, -1 
NAVI, 02/10/2016, 8.55, 8.69, 8.44, 8.55, -1 
NAVI, 02/11/2016, 8.33, 8.53, 8.2, 8.41, -1 
NAVI, 02/12/2016, 8.32, 9.14, 8.31, 9.11, -1 
NAVI, 02/16/2016, 9.0, 9.67, 9.0, 9.66, -1 
NAVI, 02/17/2016, 9.51, 10.31, 9.5, 9.91, -1 
NAVI, 02/18/2016, 9.76, 10.18, 9.75, 10.12, -1 
NAVI, 02/19/2016, 10.02, 10.1, 9.73, 9.92, -1 
NAVI, 02/22/2016, 10.12, 10.38, 10.08, 10.35, -1 
NAVI, 02/23/2016, 10.04, 10.49, 10.04, 10.23, -1 
NAVI, 02/24/2016, 9.84, 10.35, 9.67, 10.29, -1 
NAVI, 02/25/2016, 10.29, 10.71, 10.1, 10.65, -1 
NAVI, 02/26/2016, 10.66, 10.98, 10.55, 10.58, -1 
NAVI, 02/29/2016, 10.55, 11.05, 10.55, 10.83, -1 
NAVI, 03/01/2016, 10.72, 11.24, 10.66, 10.93, -1 
NAVI, 03/02/2016, 10.17, 10.89, 10.16, 10.89, -1 
NAVI, 03/03/2016, 10.17, 11.38, 10.17, 11.26, -1 
NAVI, 03/04/2016, 10.16, 11.64, 10.16, 11.39, -1 
NAVI, 03/07/2016, 11.26, 11.46, 11.16, 11.39, -1 
NAVI, 03/08/2016, 10.27, 11.35, 10.27, 11.1, -1 
NAVI, 03/09/2016, 11.12, 11.38, 11.05, 11.19, -1 
NAVI, 03/10/2016, 11.27, 11.75, 11.27, 11.66, -1 
NAVI, 03/11/2016, 11.7, 11.99, 11.63, 11.96, -1 
NAVI, 03/14/2016, 11.75, 12.19, 11.67, 11.7, -1 
NAVI, 03/15/2016, 11.5, 11.65, 11.11, 11.54, -1 
NAVI, 03/16/2016, 11.26, 11.91, 11.26, 11.68, -1 
NAVI, 03/17/2016, 11.45, 12.08, 11.45, 11.94, -1 
NAVI, 03/18/2016, 11.44, 12.49, 11.44, 12.42, -1 
NAVI, 03/21/2016, 11.75, 12.59, 11.75, 12.42, -1 
NAVI, 03/22/2016, 12.18, 12.49, 12.12, 12.37, -1 
NAVI, 03/23/2016, 12.12, 12.33, 11.89, 11.89, -1 
NAVI, 03/24/2016, 11.76, 11.99, 11.65, 11.95, -1 
NAVI, 03/28/2016, 12.03, 12.1, 11.7, 11.81, -1 
NAVI, 03/29/2016, 11.72, 11.98, 11.5, 11.91, -1 
NAVI, 03/30/2016, 11.85, 12.16, 11.73, 11.96, -1 
NAVI, 03/31/2016, 11.87, 12.16, 11.87, 11.97, -1 
NAVI, 04/01/2016, 11.8, 11.87, 11.42, 11.65, -1 
NAVI, 04/04/2016, 11.49, 11.9, 11.49, 11.68, -1 
NAVI, 04/05/2016, 11.43, 11.69, 11.4, 11.44, -1 
NAVI, 04/06/2016, 11.33, 11.68, 11.09, 11.61, -1 
NAVI, 04/07/2016, 11.2, 11.75, 11.2, 11.59, -1 
NAVI, 04/08/2016, 11.36, 12.07, 11.36, 11.83, -1 
NAVI, 04/11/2016, 11.72, 12.39, 11.72, 12.15, -1 
NAVI, 04/12/2016, 12.09, 12.48, 12.09, 12.41, -1 
NAVI, 04/13/2016, 12.31, 12.84, 12.31, 12.7, -1 
