Symbol, Date, Open, High, Low, Close, Volume 
NBL, 10/30/2015, 35.15, 36.44, 34.5, 35.84, -1 
NBL, 11/02/2015, 35.77, 38.55, 35.77, 37.97, -1 
NBL, 11/03/2015, 37.6, 39.85, 37.6, 38.68, -1 
NBL, 11/04/2015, 38.6, 38.86, 37.09, 37.84, -1 
NBL, 11/05/2015, 37.06, 38.64, 37.06, 37.64, -1 
NBL, 11/06/2015, 37.0, 37.65, 36.29, 36.78, -1 
NBL, 11/09/2015, 36.07, 37.49, 36.07, 37.2, -1 
NBL, 11/10/2015, 35.52, 38.3, 35.52, 37.84, -1 
NBL, 11/11/2015, 35.54, 37.74, 35.53, 36.88, -1 
NBL, 11/12/2015, 35.92, 36.43, 35.19, 35.27, -1 
NBL, 11/13/2015, 34.95, 35.31, 34.25, 35.2, -1 
NBL, 11/16/2015, 34.56, 37.03, 34.56, 37.02, -1 
NBL, 11/17/2015, 36.44, 37.0, 35.92, 36.45, -1 
NBL, 11/18/2015, 35.23, 37.51, 35.23, 37.4, -1 
NBL, 11/19/2015, 35.88, 37.15, 35.88, 36.6, -1 
NBL, 11/20/2015, 36.3, 36.52, 35.18, 35.66, -1 
NBL, 11/23/2015, 34.38, 36.39, 34.38, 36.29, -1 
NBL, 11/24/2015, 36.39, 37.46, 36.39, 36.99, -1 
NBL, 11/25/2015, 31.66, 37.36, 31.66, 36.93, -1 
NBL, 11/27/2015, 36.35, 36.9, 36.27, 36.57, -1 
NBL, 11/30/2015, 32.3, 37.43, 32.3, 36.67, -1 
NBL, 12/01/2015, 36.42, 37.03, 36.38, 36.98, -1 
NBL, 12/02/2015, 36.2, 37.02, 35.18, 35.43, -1 
NBL, 12/03/2015, 35.53, 36.27, 35.1, 35.49, -1 
NBL, 12/04/2015, 34.76, 35.06, 33.81, 33.85, -1 
NBL, 12/07/2015, 32.52, 32.68, 31.51, 32.17, -1 
NBL, 12/08/2015, 31.16, 32.58, 31.09, 32.3, -1 
NBL, 12/09/2015, 30.32, 34.24, 30.3, 33.05, -1 
NBL, 12/10/2015, 32.84, 34.36, 32.62, 34.0, -1 
NBL, 12/11/2015, 33.31, 33.32, 32.43, 32.63, -1 
NBL, 12/14/2015, 32.27, 32.57, 31.04, 31.75, -1 
NBL, 12/15/2015, 32.02, 32.87, 31.91, 32.81, -1 
NBL, 12/16/2015, 31.56, 33.14, 31.56, 32.4, -1 
NBL, 12/17/2015, 31.94, 32.57, 30.51, 31.21, -1 
NBL, 12/18/2015, 31.01, 31.9, 30.96, 30.96, -1 
NBL, 12/21/2015, 30.93, 31.58, 30.37, 31.48, -1 
NBL, 12/22/2015, 31.41, 32.59, 31.41, 32.38, -1 
NBL, 12/23/2015, 33.12, 34.25, 33.01, 34.24, -1 
NBL, 12/24/2015, 33.97, 34.36, 33.53, 34.08, -1 
NBL, 12/28/2015, 33.22, 33.44, 32.68, 33.01, -1 
NBL, 12/29/2015, 33.53, 33.93, 33.14, 33.39, -1 
NBL, 12/30/2015, 30.3, 33.58, 30.3, 32.21, -1 
NBL, 12/31/2015, 30.32, 33.26, 30.32, 32.92, -1 
NBL, 01/04/2016, 32.52, 33.55, 32.41, 33.52, -1 
NBL, 01/05/2016, 33.38, 33.87, 32.96, 33.65, -1 
NBL, 01/06/2016, 32.64, 32.64, 31.52, 31.69, -1 
NBL, 01/07/2016, 30.98, 32.67, 30.63, 30.9, -1 
NBL, 01/08/2016, 30.94, 31.32, 30.38, 30.82, -1 
NBL, 01/11/2016, 30.63, 30.88, 28.69, 28.98, -1 
NBL, 01/12/2016, 29.35, 29.55, 27.32, 28.6, -1 
NBL, 01/13/2016, 28.91, 29.63, 27.76, 27.94, -1 
NBL, 01/14/2016, 28.02, 29.22, 27.56, 29.06, -1 
NBL, 01/15/2016, 27.29, 28.32, 26.75, 27.64, -1 
NBL, 01/19/2016, 27.62, 27.96, 25.21, 25.82, -1 
NBL, 01/20/2016, 24.62, 26.12, 23.77, 25.7, -1 
NBL, 01/21/2016, 25.77, 28.7, 25.77, 28.39, -1 
NBL, 01/22/2016, 29.23, 30.21, 28.13, 29.02, -1 
NBL, 01/25/2016, 27.98, 29.34, 27.24, 27.27, -1 
NBL, 01/26/2016, 26.82, 28.82, 26.82, 28.75, -1 
NBL, 01/27/2016, 28.06, 30.42, 28.06, 29.85, -1 
NBL, 01/28/2016, 31.17, 31.47, 29.86, 30.96, -1 
NBL, 01/29/2016, 30.91, 32.62, 30.91, 32.36, -1 
NBL, 02/01/2016, 31.36, 32.14, 30.94, 31.63, -1 
NBL, 02/02/2016, 30.06, 31.26, 29.95, 30.67, -1 
NBL, 02/03/2016, 31.04, 32.25, 29.94, 32.25, -1 
NBL, 02/04/2016, 29.98, 33.04, 29.98, 31.38, -1 
NBL, 02/05/2016, 30.62, 30.8, 28.6, 29.25, -1 
NBL, 02/08/2016, 27.56, 28.64, 27.22, 28.35, -1 
NBL, 02/09/2016, 26.74, 28.47, 26.74, 27.86, -1 
NBL, 02/10/2016, 27.22, 28.91, 27.22, 28.09, -1 
NBL, 02/11/2016, 27.11, 28.17, 26.7, 27.9, -1 
NBL, 02/12/2016, 26.16, 29.32, 26.16, 28.71, -1 
NBL, 02/16/2016, 28.97, 29.51, 28.26, 28.63, -1 
NBL, 02/17/2016, 26.91, 31.12, 26.91, 30.43, -1 
NBL, 02/18/2016, 30.54, 30.58, 28.34, 29.17, -1 
NBL, 02/19/2016, 28.33, 29.85, 28.33, 29.84, -1 
NBL, 02/22/2016, 30.42, 31.99, 30.42, 31.62, -1 
NBL, 02/23/2016, 30.5, 31.36, 29.76, 29.89, -1 
NBL, 02/24/2016, 28.69, 30.05, 28.69, 29.84, -1 
NBL, 02/25/2016, 28.04, 30.47, 28.04, 30.26, -1 
NBL, 02/26/2016, 30.8, 31.07, 29.59, 29.71, -1 
NBL, 02/29/2016, 27.03, 30.13, 27.02, 29.5, -1 
NBL, 03/01/2016, 29.44, 29.7, 27.85, 29.16, -1 
NBL, 03/02/2016, 29.06, 31.07, 28.91, 31.04, -1 
NBL, 03/03/2016, 30.76, 31.93, 30.5, 31.86, -1 
NBL, 03/04/2016, 32.25, 33.55, 31.88, 32.43, -1 
NBL, 03/07/2016, 32.22, 33.04, 31.39, 32.7, -1 
NBL, 03/08/2016, 32.14, 32.15, 30.59, 30.74, -1 
NBL, 03/09/2016, 31.06, 32.39, 30.44, 32.05, -1 
NBL, 03/10/2016, 31.66, 32.13, 31.0, 31.98, -1 
NBL, 03/11/2016, 32.55, 33.86, 32.55, 33.54, -1 
NBL, 03/14/2016, 32.56, 33.55, 32.56, 33.22, -1 
NBL, 03/15/2016, 32.26, 32.78, 31.91, 32.47, -1 
NBL, 03/16/2016, 32.48, 33.95, 32.48, 33.77, -1 
NBL, 03/17/2016, 34.03, 34.42, 33.03, 34.05, -1 
NBL, 03/18/2016, 34.43, 34.98, 33.79, 34.46, -1 
NBL, 03/21/2016, 33.96, 35.04, 33.67, 34.15, -1 
NBL, 03/22/2016, 33.65, 34.53, 33.64, 33.75, -1 
NBL, 03/23/2016, 33.06, 33.45, 32.26, 32.55, -1 
NBL, 03/24/2016, 31.84, 32.38, 31.19, 32.33, -1 
NBL, 03/28/2016, 31.39, 31.73, 29.24, 29.68, -1 
NBL, 03/29/2016, 29.04, 30.15, 28.82, 30.07, -1 
NBL, 03/30/2016, 30.57, 31.05, 30.1, 30.77, -1 
NBL, 03/31/2016, 30.52, 31.68, 30.34, 31.42, -1 
NBL, 04/01/2016, 30.42, 31.15, 30.42, 30.87, -1 
NBL, 04/04/2016, 31.54, 31.54, 29.94, 30.0, -1 
NBL, 04/05/2016, 29.4, 30.54, 29.4, 30.17, -1 
NBL, 04/06/2016, 30.33, 31.49, 30.25, 31.26, -1 
NBL, 04/07/2016, 30.72, 31.39, 30.58, 31.01, -1 
NBL, 04/08/2016, 31.68, 32.26, 31.39, 31.76, -1 
NBL, 04/11/2016, 31.88, 32.59, 31.88, 32.23, -1 
NBL, 04/12/2016, 32.19, 34.0, 31.94, 33.62, -1 
NBL, 04/13/2016, 33.42, 33.57, 32.73, 32.94, -1 
NBL, 04/14/2016, 32.93, 33.23, 32.56, 33.06, -1 
NBL, 04/15/2016, 31.65, 32.76, 31.65, 32.14, -1 
NBL, 04/18/2016, 30.81, 32.59, 30.8, 32.56, -1 
NBL, 04/19/2016, 32.64, 34.62, 32.63, 34.34, -1 
NBL, 04/20/2016, 33.8, 35.11, 33.64, 34.7, -1 
NBL, 04/21/2016, 34.59, 35.59, 34.2, 35.19, -1 
NBL, 04/22/2016, 35.19, 36.19, 35.19, 36.03, -1 
NBL, 04/25/2016, 35.63, 35.86, 34.6, 35.07, -1 
NBL, 04/26/2016, 34.36, 36.49, 34.36, 36.48, -1 
NBL, 04/27/2016, 36.49, 37.56, 36.28, 37.12, -1 
NBL, 04/28/2016, 36.25, 37.09, 35.65, 35.75, -1 
NBL, 04/29/2016, 35.92, 36.58, 35.12, 36.11, -1 
NBL, 05/02/2016, 35.83, 36.91, 35.5, 36.44, -1 
NBL, 05/03/2016, 35.71, 36.06, 35.06, 35.21, -1 
NBL, 05/04/2016, 35.51, 37.2, 35.01, 35.59, -1 
NBL, 05/05/2016, 36.32, 36.49, 34.69, 35.16, -1 
NBL, 05/06/2016, 33.91, 35.94, 33.91, 35.5, -1 
NBL, 05/09/2016, 34.82, 35.52, 34.62, 35.24, -1 
NBL, 05/10/2016, 35.31, 36.35, 35.31, 36.34, -1 
NBL, 05/11/2016, 35.85, 37.11, 35.85, 36.39, -1 
NBL, 05/12/2016, 36.79, 37.32, 36.12, 36.38, -1 
NBL, 05/13/2016, 35.84, 36.34, 35.1, 35.22, -1 
NBL, 05/16/2016, 35.76, 36.57, 35.72, 36.11, -1 
NBL, 05/17/2016, 35.98, 36.34, 35.5, 36.01, -1 
NBL, 05/18/2016, 36.04, 36.5, 34.96, 35.25, -1 
NBL, 05/19/2016, 33.16, 35.04, 33.16, 34.84, -1 
NBL, 05/20/2016, 34.71, 35.71, 34.71, 35.61, -1 
NBL, 05/23/2016, 35.05, 36.08, 35.05, 35.7, -1 
NBL, 05/24/2016, 35.85, 36.04, 35.21, 35.31, -1 
NBL, 05/25/2016, 35.74, 36.79, 35.74, 36.27, -1 
NBL, 05/26/2016, 36.43, 36.65, 35.54, 35.63, -1 
NBL, 05/27/2016, 35.31, 35.91, 34.8, 35.87, -1 
NBL, 05/31/2016, 35.89, 36.56, 35.52, 35.75, -1 
NBL, 06/01/2016, 34.96, 35.51, 34.73, 35.47, -1 
NBL, 06/02/2016, 35.22, 35.49, 35.01, 35.43, -1 
NBL, 06/03/2016, 35.22, 35.65, 34.52, 34.65, -1 
NBL, 06/06/2016, 35.01, 35.95, 34.89, 35.93, -1 
NBL, 06/07/2016, 36.16, 37.52, 36.1, 37.48, -1 
NBL, 06/08/2016, 37.84, 38.61, 37.58, 37.72, -1 
NBL, 06/09/2016, 36.53, 37.84, 36.53, 37.48, -1 
NBL, 06/10/2016, 36.65, 37.19, 36.37, 36.52, -1 
NBL, 06/13/2016, 35.97, 36.88, 35.93, 36.18, -1 
NBL, 06/14/2016, 32.82, 36.7, 32.82, 36.66, -1 
NBL, 06/15/2016, 36.35, 37.18, 36.15, 36.53, -1 
NBL, 06/16/2016, 36.15, 36.15, 35.17, 35.89, -1 
NBL, 06/17/2016, 36.1, 36.95, 36.1, 36.91, -1 
NBL, 06/20/2016, 37.33, 37.83, 36.73, 36.74, -1 
NBL, 06/21/2016, 36.33, 36.91, 36.14, 36.86, -1 
NBL, 06/22/2016, 36.28, 37.01, 36.27, 36.78, -1 
NBL, 06/23/2016, 36.81, 37.16, 36.68, 36.93, -1 
NBL, 06/24/2016, 35.05, 35.94, 34.87, 35.08, -1 
NBL, 06/27/2016, 34.63, 35.21, 33.77, 33.99, -1 
NBL, 06/28/2016, 34.46, 35.11, 34.32, 35.07, -1 
NBL, 06/29/2016, 35.51, 36.58, 35.31, 36.3, -1 
NBL, 06/30/2016, 35.87, 36.32, 35.43, 35.86, -1 
NBL, 07/01/2016, 35.64, 36.63, 35.64, 36.27, -1 
NBL, 07/05/2016, 34.64, 35.79, 34.64, 35.67, -1 
NBL, 07/06/2016, 35.29, 36.26, 35.29, 36.23, -1 
NBL, 07/07/2016, 36.55, 36.93, 35.75, 36.12, -1 
NBL, 07/08/2016, 36.38, 36.83, 35.51, 35.96, -1 
NBL, 07/11/2016, 35.62, 36.52, 35.62, 35.95, -1 
NBL, 07/12/2016, 36.39, 37.4, 36.39, 37.11, -1 
NBL, 07/13/2016, 36.79, 37.28, 35.85, 36.55, -1 
NBL, 07/14/2016, 37.03, 37.17, 36.4, 36.64, -1 
NBL, 07/15/2016, 35.05, 37.15, 35.05, 36.8, -1 
NBL, 07/18/2016, 36.44, 37.22, 36.44, 36.88, -1 
NBL, 07/19/2016, 36.68, 36.78, 36.17, 36.37, -1 
NBL, 07/20/2016, 31.78, 36.37, 31.78, 36.01, -1 
NBL, 07/21/2016, 35.75, 36.57, 35.18, 35.24, -1 
NBL, 07/22/2016, 35.15, 35.43, 34.76, 35.02, -1 
NBL, 07/25/2016, 34.57, 34.8, 33.99, 34.49, -1 
NBL, 07/26/2016, 34.06, 34.92, 34.02, 34.91, -1 
NBL, 07/27/2016, 34.85, 35.5, 34.3, 34.85, -1 
NBL, 07/28/2016, 28.91, 35.53, 28.9, 35.23, -1 
NBL, 07/29/2016, 34.46, 35.78, 34.46, 35.72, -1 
NBL, 08/01/2016, 34.49, 35.23, 34.3, 34.4, -1 
NBL, 08/02/2016, 34.22, 34.96, 33.88, 34.43, -1 
NBL, 08/03/2016, 34.01, 34.47, 33.19, 34.04, -1 
