Symbol, Date, Open, High, Low, Close, Volume 
NDAQ, 10/30/2015, 58.8, 59.4, 57.7, 57.88, -1 
NDAQ, 11/02/2015, 57.01, 59.67, 57.01, 59.66, -1 
NDAQ, 11/03/2015, 58.34, 59.95, 58.34, 59.3, -1 
NDAQ, 11/04/2015, 58.22, 59.43, 58.0, 58.16, -1 
NDAQ, 11/05/2015, 57.93, 58.93, 57.93, 58.62, -1 
NDAQ, 11/06/2015, 57.01, 59.36, 57.01, 58.23, -1 
NDAQ, 11/09/2015, 58.05, 58.15, 57.46, 57.68, -1 
NDAQ, 11/10/2015, 57.35, 58.6, 57.22, 58.56, -1 
NDAQ, 11/11/2015, 57.01, 59.12, 57.01, 58.49, -1 
NDAQ, 11/12/2015, 57.0, 58.27, 57.0, 57.71, -1 
NDAQ, 11/13/2015, 57.2, 57.92, 56.26, 56.58, -1 
NDAQ, 11/16/2015, 53.06, 57.26, 53.06, 57.24, -1 
NDAQ, 11/17/2015, 53.0, 57.93, 53.0, 57.56, -1 
NDAQ, 11/18/2015, 53.06, 58.72, 53.06, 58.68, -1 
NDAQ, 11/19/2015, 57.28, 59.47, 57.28, 59.35, -1 
NDAQ, 11/20/2015, 58.92, 60.03, 58.92, 59.96, -1 
NDAQ, 11/23/2015, 54.01, 60.0, 54.01, 59.22, -1 
NDAQ, 11/24/2015, 57.5, 58.74, 57.5, 58.46, -1 
NDAQ, 11/25/2015, 57.5, 58.76, 57.5, 58.45, -1 
NDAQ, 11/27/2015, 57.52, 58.88, 57.52, 58.86, -1 
NDAQ, 11/30/2015, 57.55, 58.95, 57.55, 58.6, -1 
NDAQ, 12/01/2015, 57.52, 59.17, 57.52, 58.7, -1 
NDAQ, 12/02/2015, 57.51, 59.02, 57.51, 58.51, -1 
NDAQ, 12/03/2015, 57.52, 58.57, 56.29, 56.98, -1 
NDAQ, 12/04/2015, 54.64, 59.09, 54.64, 58.92, -1 
NDAQ, 12/07/2015, 56.28, 58.88, 56.28, 58.28, -1 
NDAQ, 12/08/2015, 56.26, 58.09, 56.26, 57.92, -1 
NDAQ, 12/09/2015, 56.52, 58.11, 56.22, 56.46, -1 
NDAQ, 12/10/2015, 55.11, 56.56, 55.11, 55.96, -1 
NDAQ, 12/11/2015, 55.01, 55.67, 54.6, 54.86, -1 
NDAQ, 12/14/2015, 54.79, 56.12, 54.79, 56.08, -1 
NDAQ, 12/15/2015, 53.85, 57.19, 53.85, 56.76, -1 
NDAQ, 12/16/2015, 54.82, 57.19, 54.82, 56.86, -1 
NDAQ, 12/17/2015, 55.06, 56.91, 55.06, 56.08, -1 
NDAQ, 12/18/2015, 55.01, 56.16, 55.01, 55.85, -1 
NDAQ, 12/21/2015, 52.76, 57.16, 52.76, 56.45, -1 
NDAQ, 12/22/2015, 53.49, 58.12, 53.49, 58.02, -1 
NDAQ, 12/23/2015, 53.44, 58.41, 53.44, 57.99, -1 
NDAQ, 12/24/2015, 53.56, 58.17, 53.56, 57.97, -1 
NDAQ, 12/28/2015, 53.21, 59.19, 53.21, 59.1, -1 
NDAQ, 12/29/2015, 56.44, 60.1, 56.44, 59.37, -1 
NDAQ, 12/30/2015, 54.21, 59.95, 54.21, 59.02, -1 
