Symbol, Date, Open, High, Low, Close, Volume 
NEM, 10/30/2015, 19.74, 20.12, 19.46, 19.46, -1 
NEM, 11/02/2015, 19.29, 19.75, 18.98, 19.63, -1 
NEM, 11/03/2015, 19.31, 19.45, 18.88, 19.21, -1 
NEM, 11/04/2015, 19.25, 19.5, 18.92, 19.0, -1 
NEM, 11/05/2015, 18.94, 18.94, 17.26, 17.5, -1 
NEM, 11/06/2015, 16.99, 17.69, 16.8, 17.52, -1 
NEM, 11/09/2015, 17.46, 17.93, 17.25, 17.86, -1 
NEM, 11/10/2015, 17.5, 17.8, 17.44, 17.47, -1 
NEM, 11/11/2015, 17.44, 17.83, 17.44, 17.79, -1 
NEM, 11/12/2015, 17.22, 17.86, 17.07, 17.32, -1 
NEM, 11/13/2015, 17.24, 17.5, 17.22, 17.49, -1 
NEM, 11/16/2015, 17.56, 17.9, 17.5, 17.62, -1 
NEM, 11/17/2015, 17.5, 17.67, 16.65, 16.87, -1 
NEM, 11/18/2015, 16.83, 17.71, 16.81, 17.62, -1 
NEM, 11/19/2015, 17.73, 18.1, 17.63, 18.04, -1 
NEM, 11/20/2015, 18.1, 18.17, 17.58, 17.72, -1 
NEM, 11/23/2015, 17.51, 17.66, 17.22, 17.55, -1 
NEM, 11/24/2015, 17.75, 18.14, 17.58, 18.0, -1 
NEM, 11/25/2015, 17.59, 18.24, 17.59, 17.91, -1 
NEM, 11/27/2015, 17.35, 17.63, 17.24, 17.39, -1 
NEM, 11/30/2015, 17.59, 18.51, 17.47, 18.41, -1 
NEM, 12/01/2015, 18.15, 18.44, 17.85, 18.38, -1 
NEM, 12/02/2015, 17.94, 18.39, 17.77, 17.85, -1 
NEM, 12/03/2015, 17.99, 18.93, 17.99, 18.71, -1 
NEM, 12/04/2015, 18.9, 20.48, 18.86, 20.46, -1 
NEM, 12/07/2015, 19.96, 20.17, 19.55, 19.76, -1 
NEM, 12/08/2015, 19.62, 19.69, 19.15, 19.37, -1 
NEM, 12/09/2015, 19.66, 20.04, 19.28, 19.6, -1 
NEM, 12/10/2015, 19.46, 19.78, 19.42, 19.42, -1 
NEM, 12/11/2015, 19.12, 19.8, 18.93, 19.12, -1 
NEM, 12/14/2015, 18.99, 19.11, 18.22, 18.35, -1 
NEM, 12/15/2015, 18.44, 18.58, 18.07, 18.39, -1 
NEM, 12/16/2015, 18.71, 19.25, 18.64, 19.07, -1 
NEM, 12/17/2015, 18.31, 18.38, 17.5, 17.6, -1 
NEM, 12/18/2015, 17.74, 18.15, 17.57, 17.71, -1 
NEM, 12/21/2015, 18.05, 18.21, 17.5, 17.64, -1 
NEM, 12/22/2015, 17.5, 17.89, 17.47, 17.79, -1 
NEM, 12/23/2015, 17.72, 18.24, 17.72, 18.15, -1 
NEM, 12/24/2015, 18.22, 18.61, 18.22, 18.53, -1 
NEM, 12/28/2015, 18.26, 18.39, 17.74, 17.9, -1 
NEM, 12/29/2015, 18.04, 18.17, 17.87, 18.03, -1 
NEM, 12/30/2015, 17.67, 17.8, 17.61, 17.76, -1 
NEM, 12/31/2015, 17.64, 18.04, 17.64, 17.98, -1 
NEM, 01/04/2016, 18.44, 18.74, 18.17, 18.44, -1 
NEM, 01/05/2016, 18.47, 18.56, 18.13, 18.41, -1 
NEM, 01/06/2016, 18.71, 19.04, 18.53, 18.55, -1 
NEM, 01/07/2016, 18.67, 19.1, 18.22, 18.86, -1 
NEM, 01/08/2016, 18.36, 18.77, 17.9, 18.0, -1 
NEM, 01/11/2016, 18.08, 18.23, 16.65, 17.0, -1 
NEM, 01/12/2016, 17.15, 17.17, 16.38, 17.02, -1 
NEM, 01/13/2016, 17.02, 17.6, 17.02, 17.47, -1 
NEM, 01/14/2016, 17.1, 17.6, 16.93, 17.26, -1 
NEM, 01/15/2016, 17.47, 17.86, 17.45, 17.68, -1 
NEM, 01/19/2016, 17.74, 17.85, 16.06, 16.3, -1 
NEM, 01/20/2016, 16.51, 16.71, 16.07, 16.57, -1 
NEM, 01/21/2016, 16.33, 16.76, 16.05, 16.68, -1 
NEM, 01/22/2016, 16.3, 16.92, 16.27, 16.67, -1 
NEM, 01/25/2016, 16.94, 17.79, 16.86, 17.66, -1 
NEM, 01/26/2016, 17.74, 18.79, 17.74, 18.49, -1 
NEM, 01/27/2016, 18.54, 19.47, 18.17, 19.43, -1 
NEM, 01/28/2016, 19.15, 19.74, 18.71, 19.52, -1 
NEM, 01/29/2016, 19.32, 20.07, 19.27, 19.97, -1 
NEM, 02/01/2016, 20.02, 20.64, 20.01, 20.53, -1 
NEM, 02/02/2016, 20.23, 20.41, 19.59, 20.06, -1 
NEM, 02/03/2016, 20.07, 22.39, 20.07, 22.35, -1 
NEM, 02/04/2016, 22.9, 24.14, 22.78, 23.37, -1 
NEM, 02/05/2016, 22.61, 24.49, 22.3, 24.41, -1 
NEM, 02/08/2016, 25.02, 25.94, 24.88, 25.2, -1 
NEM, 02/09/2016, 25.48, 26.01, 23.96, 24.28, -1 
NEM, 02/10/2016, 23.81, 24.37, 22.7, 24.3, -1 
NEM, 02/11/2016, 26.0, 26.06, 24.82, 25.03, -1 
NEM, 02/12/2016, 24.74, 25.94, 24.55, 25.76, -1 
NEM, 02/16/2016, 24.52, 25.44, 24.35, 24.54, -1 
NEM, 02/17/2016, 24.71, 25.14, 24.1, 24.81, -1 
NEM, 02/18/2016, 24.13, 25.32, 23.12, 25.07, -1 
NEM, 02/19/2016, 24.9, 25.6, 24.72, 24.82, -1 
NEM, 02/22/2016, 24.07, 25.48, 24.07, 25.12, -1 
NEM, 02/23/2016, 25.5, 25.84, 25.08, 25.38, -1 
NEM, 02/24/2016, 25.94, 26.39, 25.28, 25.59, -1 
NEM, 02/25/2016, 25.14, 25.94, 25.03, 25.84, -1 
NEM, 02/26/2016, 25.01, 26.24, 25.01, 25.34, -1 
NEM, 02/29/2016, 25.54, 26.38, 25.54, 25.84, -1 
NEM, 03/01/2016, 26.31, 26.45, 25.07, 25.38, -1 
NEM, 03/02/2016, 25.5, 26.41, 25.3, 26.23, -1 
NEM, 03/03/2016, 26.19, 27.13, 26.15, 26.82, -1 
NEM, 03/04/2016, 26.95, 27.97, 26.07, 26.11, -1 
NEM, 03/07/2016, 26.37, 27.09, 26.01, 26.53, -1 
NEM, 03/08/2016, 26.71, 26.94, 25.37, 25.88, -1 
NEM, 03/09/2016, 25.35, 26.26, 24.87, 26.13, -1 
NEM, 03/10/2016, 26.15, 27.61, 25.98, 27.35, -1 
NEM, 03/11/2016, 27.15, 27.48, 26.37, 26.67, -1 
NEM, 03/14/2016, 26.86, 27.11, 26.08, 26.11, -1 
NEM, 03/15/2016, 25.84, 26.47, 25.83, 26.37, -1 
NEM, 03/16/2016, 26.05, 27.64, 25.46, 27.56, -1 
NEM, 03/17/2016, 27.71, 28.39, 27.4, 27.47, -1 
NEM, 03/18/2016, 27.44, 28.27, 27.37, 27.79, -1 
NEM, 03/21/2016, 27.61, 28.08, 27.39, 27.77, -1 
NEM, 03/22/2016, 28.1, 28.29, 27.08, 27.38, -1 
NEM, 03/23/2016, 26.45, 26.51, 24.96, 24.97, -1 
NEM, 03/24/2016, 25.12, 25.48, 24.59, 25.42, -1 
NEM, 03/28/2016, 25.62, 25.76, 25.32, 25.69, -1 
NEM, 03/29/2016, 25.78, 27.02, 25.5, 26.94, -1 
NEM, 03/30/2016, 26.62, 26.89, 26.19, 26.74, -1 
NEM, 03/31/2016, 26.97, 27.09, 26.41, 26.56, -1 
NEM, 04/01/2016, 25.99, 26.65, 25.62, 26.61, -1 
NEM, 04/04/2016, 26.39, 26.59, 26.11, 26.28, -1 
NEM, 04/05/2016, 26.83, 27.32, 26.49, 27.29, -1 
NEM, 04/06/2016, 26.93, 27.74, 26.93, 27.74, -1 
NEM, 04/07/2016, 28.11, 28.54, 27.93, 27.96, -1 
NEM, 04/08/2016, 27.95, 29.35, 27.95, 29.11, -1 
NEM, 04/11/2016, 29.46, 31.14, 29.35, 31.1, -1 
NEM, 04/12/2016, 31.09, 31.24, 30.0, 30.62, -1 
NEM, 04/13/2016, 30.25, 30.42, 29.35, 29.47, -1 
NEM, 04/14/2016, 29.51, 29.62, 28.25, 28.69, -1 
NEM, 04/15/2016, 28.95, 29.47, 28.51, 29.38, -1 
NEM, 04/18/2016, 29.11, 29.52, 28.8, 29.45, -1 
NEM, 04/19/2016, 30.15, 31.1, 30.09, 30.89, -1 
NEM, 04/20/2016, 30.77, 31.74, 30.22, 30.43, -1 
NEM, 04/21/2016, 30.94, 32.57, 30.94, 32.17, -1 
NEM, 04/22/2016, 31.77, 32.31, 30.67, 31.22, -1 
NEM, 04/25/2016, 31.03, 31.59, 30.84, 31.11, -1 
NEM, 04/26/2016, 31.61, 32.1, 31.18, 31.96, -1 
NEM, 04/27/2016, 32.12, 32.33, 31.21, 32.11, -1 
NEM, 04/28/2016, 32.14, 33.59, 32.14, 32.97, -1 
NEM, 04/29/2016, 33.31, 34.98, 33.3, 34.97, -1 
NEM, 05/02/2016, 34.97, 35.19, 33.92, 34.33, -1 
NEM, 05/03/2016, 34.44, 34.59, 33.38, 33.83, -1 
NEM, 05/04/2016, 33.37, 33.84, 32.03, 32.33, -1 
NEM, 05/05/2016, 32.65, 33.3, 32.37, 32.86, -1 
NEM, 05/06/2016, 33.3, 34.62, 33.26, 34.11, -1 
NEM, 05/09/2016, 32.85, 32.89, 31.8, 31.83, -1 
NEM, 05/10/2016, 31.81, 33.17, 31.72, 33.03, -1 
NEM, 05/11/2016, 33.78, 34.69, 32.74, 33.87, -1 
NEM, 05/12/2016, 33.89, 34.24, 33.02, 33.22, -1 
NEM, 05/13/2016, 33.13, 34.23, 33.13, 34.06, -1 
NEM, 05/16/2016, 34.6, 35.53, 34.6, 35.4, -1 
NEM, 05/17/2016, 35.17, 35.74, 34.72, 35.55, -1 
NEM, 05/18/2016, 34.92, 35.66, 33.41, 33.52, -1 
NEM, 05/19/2016, 32.52, 34.35, 32.38, 34.13, -1 
NEM, 05/20/2016, 34.25, 34.56, 32.87, 33.72, -1 
NEM, 05/23/2016, 32.94, 34.29, 32.78, 33.83, -1 
NEM, 05/24/2016, 33.04, 33.23, 31.7, 31.74, -1 
NEM, 05/25/2016, 31.46, 32.65, 30.85, 32.36, -1 
NEM, 05/26/2016, 32.51, 33.08, 32.07, 32.44, -1 
NEM, 05/27/2016, 32.16, 32.95, 31.69, 31.94, -1 
NEM, 05/31/2016, 31.83, 33.05, 31.61, 32.4, -1 
NEM, 06/01/2016, 32.53, 32.96, 32.06, 32.65, -1 
NEM, 06/02/2016, 32.16, 32.69, 31.67, 32.34, -1 
NEM, 06/03/2016, 33.73, 35.46, 33.73, 35.41, -1 
NEM, 06/06/2016, 35.24, 35.66, 34.75, 35.43, -1 
NEM, 06/07/2016, 35.02, 35.36, 34.79, 34.95, -1 
NEM, 06/08/2016, 35.95, 36.38, 35.28, 35.39, -1 
NEM, 06/09/2016, 35.49, 35.96, 35.27, 35.89, -1 
NEM, 06/10/2016, 35.94, 36.81, 35.4, 35.79, -1 
NEM, 06/13/2016, 36.8, 36.99, 35.53, 35.88, -1 
NEM, 06/14/2016, 36.01, 36.05, 34.77, 35.14, -1 
NEM, 06/15/2016, 34.96, 36.71, 34.96, 36.26, -1 
NEM, 06/16/2016, 37.32, 37.33, 35.35, 35.6, -1 
NEM, 06/17/2016, 35.95, 36.28, 35.14, 35.65, -1 
NEM, 06/20/2016, 34.52, 35.49, 34.52, 35.32, -1 
NEM, 06/21/2016, 34.5, 35.21, 34.27, 34.81, -1 
NEM, 06/22/2016, 34.7, 35.81, 34.49, 35.72, -1 
NEM, 06/23/2016, 35.14, 35.87, 35.08, 35.4, -1 
NEM, 06/24/2016, 38.5, 38.68, 36.64, 37.18, -1 
NEM, 06/27/2016, 37.66, 38.44, 36.85, 37.67, -1 
NEM, 06/28/2016, 36.91, 37.77, 36.76, 37.15, -1 
NEM, 06/29/2016, 37.56, 37.95, 37.5, 37.65, -1 
NEM, 06/30/2016, 38.01, 39.24, 37.76, 39.11, -1 
NEM, 07/01/2016, 39.86, 40.48, 39.47, 40.31, -1 
NEM, 07/05/2016, 40.83, 40.99, 39.53, 40.36, -1 
NEM, 07/06/2016, 40.96, 41.45, 40.51, 41.41, -1 
NEM, 07/07/2016, 40.75, 41.26, 40.24, 40.95, -1 
NEM, 07/08/2016, 40.72, 41.37, 40.2, 41.13, -1 
NEM, 07/11/2016, 40.54, 41.08, 40.36, 41.05, -1 
NEM, 07/12/2016, 40.55, 40.95, 39.91, 39.94, -1 
NEM, 07/13/2016, 40.69, 41.26, 40.55, 40.87, -1 
NEM, 07/14/2016, 40.09, 41.67, 39.92, 41.61, -1 
NEM, 07/15/2016, 41.18, 41.57, 41.03, 41.32, -1 
NEM, 07/18/2016, 41.42, 41.62, 40.93, 41.62, -1 
NEM, 07/19/2016, 41.43, 41.55, 41.0, 41.4, -1 
