Symbol, Date, Open, High, Low, Close, Volume 
NFX, 10/30/2015, 40.29, 41.16, 39.37, 40.19, -1 
NFX, 11/02/2015, 39.68, 40.69, 39.6, 40.3, -1 
NFX, 11/03/2015, 40.55, 41.08, 40.02, 40.12, -1 
NFX, 11/04/2015, 39.47, 41.32, 37.36, 38.29, -1 
NFX, 11/05/2015, 37.89, 39.98, 37.32, 38.93, -1 
NFX, 11/06/2015, 38.37, 39.75, 38.31, 39.36, -1 
NFX, 11/09/2015, 37.49, 39.86, 37.49, 39.45, -1 
NFX, 11/10/2015, 39.04, 40.24, 38.92, 39.67, -1 
NFX, 11/11/2015, 37.74, 40.46, 37.74, 39.67, -1 
NFX, 11/12/2015, 38.8, 39.3, 37.97, 38.19, -1 
NFX, 11/13/2015, 37.84, 38.74, 37.46, 38.37, -1 
NFX, 11/16/2015, 36.17, 40.16, 36.17, 40.14, -1 
NFX, 11/17/2015, 39.72, 40.89, 39.19, 40.38, -1 
NFX, 11/18/2015, 40.59, 41.07, 39.95, 41.03, -1 
NFX, 11/19/2015, 33.36, 40.71, 33.36, 39.15, -1 
NFX, 11/20/2015, 39.03, 39.05, 37.55, 37.78, -1 
NFX, 11/23/2015, 37.48, 39.18, 37.47, 38.46, -1 
NFX, 11/24/2015, 38.64, 40.01, 38.64, 39.32, -1 
NFX, 11/25/2015, 38.69, 39.38, 38.36, 38.65, -1 
NFX, 11/27/2015, 38.0, 38.76, 38.0, 38.31, -1 
NFX, 11/30/2015, 38.35, 38.84, 38.12, 38.25, -1 
NFX, 12/01/2015, 37.87, 39.21, 37.87, 39.15, -1 
NFX, 12/02/2015, 38.57, 38.98, 36.78, 37.18, -1 
NFX, 12/03/2015, 37.58, 38.54, 36.59, 36.96, -1 
NFX, 12/04/2015, 35.87, 36.62, 35.58, 36.15, -1 
NFX, 12/07/2015, 35.66, 36.8, 34.89, 35.4, -1 
NFX, 12/08/2015, 33.99, 35.45, 33.99, 34.83, -1 
NFX, 12/09/2015, 33.32, 36.46, 33.32, 35.29, -1 
NFX, 12/10/2015, 35.0, 36.8, 34.73, 36.52, -1 
NFX, 12/11/2015, 35.87, 36.27, 34.99, 35.25, -1 
NFX, 12/14/2015, 34.77, 35.66, 33.77, 34.79, -1 
NFX, 12/15/2015, 35.11, 35.84, 34.74, 35.04, -1 
NFX, 12/16/2015, 30.6, 35.28, 30.6, 34.42, -1 
NFX, 12/17/2015, 31.1, 34.74, 31.06, 32.62, -1 
NFX, 12/18/2015, 32.36, 32.76, 31.62, 31.62, -1 
NFX, 12/21/2015, 31.37, 31.69, 29.94, 30.4, -1 
NFX, 12/22/2015, 30.17, 30.97, 29.87, 30.62, -1 
NFX, 12/23/2015, 31.37, 33.52, 31.32, 33.26, -1 
NFX, 12/24/2015, 33.04, 33.48, 32.5, 33.09, -1 
NFX, 12/28/2015, 32.29, 32.54, 31.44, 32.34, -1 
NFX, 12/29/2015, 32.77, 33.34, 31.95, 32.67, -1 
NFX, 12/30/2015, 27.09, 32.74, 27.09, 31.84, -1 
NFX, 12/31/2015, 31.63, 33.01, 31.54, 32.55, -1 
NFX, 01/04/2016, 32.13, 33.0, 31.8, 32.25, -1 
NFX, 01/05/2016, 32.03, 32.67, 31.8, 32.48, -1 
NFX, 01/06/2016, 31.3, 31.3, 29.7, 30.04, -1 
NFX, 01/07/2016, 29.04, 30.9, 28.85, 29.42, -1 
NFX, 01/08/2016, 29.54, 30.22, 29.0, 29.25, -1 
NFX, 01/11/2016, 28.45, 29.79, 28.45, 28.99, -1 
NFX, 01/12/2016, 29.64, 29.88, 28.33, 29.31, -1 
NFX, 01/13/2016, 29.56, 30.38, 27.88, 28.18, -1 
NFX, 01/14/2016, 28.4, 28.77, 26.91, 27.86, -1 
NFX, 01/15/2016, 26.04, 27.23, 25.51, 26.23, -1 
NFX, 01/19/2016, 26.36, 26.53, 23.69, 24.36, -1 
NFX, 01/20/2016, 23.54, 24.08, 22.19, 23.72, -1 
NFX, 01/21/2016, 19.71, 25.4, 19.68, 25.33, -1 
NFX, 01/22/2016, 26.21, 27.74, 25.35, 25.97, -1 
NFX, 01/25/2016, 25.11, 26.25, 24.44, 24.47, -1 
NFX, 01/26/2016, 24.86, 26.01, 24.21, 25.92, -1 
NFX, 01/27/2016, 25.57, 27.08, 25.11, 26.5, -1 
NFX, 01/28/2016, 27.66, 28.47, 26.93, 27.56, -1 
NFX, 01/29/2016, 27.41, 29.22, 27.41, 29.06, -1 
NFX, 02/01/2016, 28.2, 28.83, 27.44, 28.16, -1 
NFX, 02/02/2016, 27.22, 27.39, 26.24, 26.61, -1 
NFX, 02/03/2016, 26.54, 28.32, 25.86, 28.27, -1 
NFX, 02/04/2016, 26.39, 29.19, 26.39, 27.25, -1 
NFX, 02/05/2016, 26.77, 26.77, 24.47, 24.87, -1 
NFX, 02/08/2016, 20.49, 25.54, 20.45, 25.49, -1 
NFX, 02/09/2016, 24.7, 25.38, 23.36, 23.8, -1 
NFX, 02/10/2016, 21.61, 24.65, 21.61, 23.57, -1 
NFX, 02/11/2016, 22.74, 23.88, 22.35, 23.67, -1 
NFX, 02/12/2016, 22.12, 24.9, 22.12, 24.18, -1 
NFX, 02/16/2016, 24.41, 24.65, 23.83, 24.17, -1 
NFX, 02/17/2016, 21.99, 24.98, 21.99, 24.86, -1 
NFX, 02/18/2016, 22.32, 25.0, 22.32, 22.59, -1 
NFX, 02/19/2016, 18.3, 22.34, 18.27, 22.31, -1 
NFX, 02/22/2016, 22.86, 25.22, 22.86, 24.51, -1 
NFX, 02/23/2016, 24.21, 24.47, 23.32, 23.34, -1 
NFX, 02/24/2016, 22.43, 23.49, 22.33, 23.41, -1 
NFX, 02/25/2016, 22.41, 25.31, 22.41, 24.41, -1 
NFX, 02/26/2016, 25.91, 26.49, 24.85, 26.09, -1 
NFX, 02/29/2016, 26.74, 27.5, 26.09, 27.22, -1 
NFX, 03/01/2016, 27.37, 28.58, 26.73, 28.55, -1 
NFX, 03/02/2016, 27.99, 29.06, 27.43, 29.0, -1 
NFX, 03/03/2016, 28.32, 29.8, 28.32, 29.15, -1 
NFX, 03/04/2016, 29.67, 31.61, 29.34, 30.16, -1 
NFX, 03/07/2016, 29.56, 30.44, 28.71, 29.91, -1 
NFX, 03/08/2016, 29.36, 29.62, 27.77, 28.98, -1 
NFX, 03/09/2016, 29.44, 31.17, 29.2, 30.65, -1 
NFX, 03/10/2016, 30.3, 30.61, 29.6, 30.48, -1 
NFX, 03/11/2016, 31.05, 32.49, 31.05, 31.83, -1 
NFX, 03/14/2016, 31.2, 32.74, 30.76, 32.15, -1 
NFX, 03/15/2016, 31.23, 32.15, 31.09, 31.86, -1 
NFX, 03/16/2016, 31.83, 33.62, 31.83, 33.48, -1 
NFX, 03/17/2016, 33.64, 34.16, 32.94, 33.71, -1 
NFX, 03/18/2016, 34.11, 34.94, 33.0, 33.79, -1 
NFX, 03/21/2016, 33.24, 34.19, 32.71, 33.47, -1 
NFX, 03/22/2016, 33.12, 33.82, 32.94, 33.03, -1 
NFX, 03/23/2016, 32.54, 33.0, 31.84, 32.11, -1 
NFX, 03/24/2016, 31.15, 32.51, 31.14, 32.38, -1 
NFX, 03/28/2016, 32.23, 32.44, 31.09, 31.87, -1 
NFX, 03/29/2016, 31.28, 32.15, 31.18, 32.12, -1 
NFX, 03/30/2016, 32.3, 32.97, 32.15, 32.67, -1 
NFX, 03/31/2016, 32.24, 33.48, 32.24, 33.2, -1 
NFX, 04/01/2016, 32.19, 32.8, 32.12, 32.64, -1 
NFX, 04/04/2016, 32.42, 33.11, 31.68, 31.74, -1 
NFX, 04/05/2016, 31.15, 32.17, 30.87, 31.61, -1 
NFX, 04/06/2016, 31.77, 33.09, 31.62, 33.01, -1 
NFX, 04/07/2016, 32.4, 33.22, 32.4, 32.86, -1 
NFX, 04/08/2016, 33.58, 34.32, 33.58, 34.04, -1 
NFX, 04/11/2016, 34.17, 34.92, 34.11, 34.43, -1 
NFX, 04/12/2016, 34.5, 35.88, 34.09, 35.66, -1 
NFX, 04/13/2016, 35.38, 35.93, 34.82, 35.07, -1 
NFX, 04/14/2016, 34.83, 35.58, 34.78, 35.51, -1 
NFX, 04/15/2016, 35.31, 35.34, 34.32, 35.11, -1 
NFX, 04/18/2016, 33.65, 36.39, 32.96, 36.05, -1 
NFX, 04/19/2016, 36.14, 36.96, 36.08, 36.54, -1 
NFX, 04/20/2016, 35.96, 37.46, 35.96, 36.9, -1 
NFX, 04/21/2016, 36.74, 36.9, 35.93, 36.09, -1 
NFX, 04/22/2016, 35.99, 37.12, 35.99, 36.86, -1 
NFX, 04/25/2016, 36.44, 36.68, 35.49, 36.27, -1 
NFX, 04/26/2016, 36.4, 37.43, 36.35, 37.4, -1 
NFX, 04/27/2016, 37.42, 38.78, 37.38, 38.19, -1 
NFX, 04/28/2016, 37.56, 38.22, 36.03, 36.23, -1 
NFX, 04/29/2016, 35.58, 37.07, 34.99, 36.23, -1 
NFX, 05/02/2016, 36.0, 37.36, 35.57, 37.15, -1 
NFX, 05/03/2016, 36.22, 36.36, 34.95, 35.51, -1 
NFX, 05/04/2016, 35.52, 37.65, 33.53, 34.64, -1 
NFX, 05/05/2016, 35.26, 37.51, 35.26, 36.48, -1 
NFX, 05/06/2016, 34.95, 38.06, 34.95, 37.2, -1 
NFX, 05/09/2016, 36.69, 37.2, 36.04, 36.84, -1 
NFX, 05/10/2016, 36.82, 37.92, 36.64, 37.91, -1 
NFX, 05/11/2016, 37.31, 38.28, 36.82, 37.62, -1 
NFX, 05/12/2016, 37.74, 39.13, 37.74, 38.62, -1 
NFX, 05/13/2016, 37.96, 39.32, 37.96, 38.6, -1 
NFX, 05/16/2016, 38.31, 39.93, 38.31, 39.18, -1 
NFX, 05/17/2016, 38.35, 40.12, 38.35, 39.42, -1 
NFX, 05/18/2016, 39.17, 40.39, 38.87, 39.21, -1 
NFX, 05/19/2016, 38.39, 39.75, 38.18, 39.7, -1 
NFX, 05/20/2016, 39.52, 40.76, 39.45, 40.62, -1 
NFX, 05/23/2016, 39.81, 40.33, 39.24, 40.13, -1 
NFX, 05/24/2016, 39.63, 41.14, 39.63, 40.8, -1 
NFX, 05/25/2016, 40.92, 41.65, 40.3, 41.15, -1 
NFX, 05/26/2016, 41.18, 41.97, 40.61, 40.79, -1 
NFX, 05/27/2016, 40.38, 40.65, 39.7, 40.4, -1 
NFX, 05/31/2016, 40.18, 41.36, 40.18, 40.73, -1 
NFX, 06/01/2016, 39.96, 40.26, 39.27, 39.96, -1 
NFX, 06/02/2016, 39.23, 40.31, 39.21, 40.3, -1 
NFX, 06/03/2016, 39.91, 40.36, 39.09, 39.59, -1 
NFX, 06/06/2016, 39.24, 40.09, 39.24, 39.94, -1 
NFX, 06/07/2016, 39.91, 42.12, 39.91, 41.79, -1 
NFX, 06/08/2016, 41.97, 42.51, 41.35, 41.66, -1 
NFX, 06/09/2016, 40.67, 41.53, 40.67, 41.27, -1 
NFX, 06/10/2016, 40.28, 41.11, 39.5, 39.85, -1 
NFX, 06/13/2016, 39.15, 40.21, 39.13, 39.45, -1 
NFX, 06/14/2016, 39.06, 40.85, 39.06, 40.82, -1 
NFX, 06/15/2016, 40.25, 41.02, 40.0, 40.42, -1 
NFX, 06/16/2016, 39.58, 39.8, 38.47, 39.12, -1 
NFX, 06/17/2016, 39.53, 40.67, 39.53, 40.14, -1 
NFX, 06/20/2016, 40.64, 40.88, 39.94, 40.11, -1 
NFX, 06/21/2016, 39.62, 40.91, 39.61, 40.86, -1 
NFX, 06/22/2016, 41.37, 43.11, 41.37, 42.86, -1 
NFX, 06/23/2016, 43.51, 44.03, 42.64, 42.92, -1 
NFX, 06/24/2016, 40.14, 42.28, 40.14, 41.8, -1 
NFX, 06/27/2016, 40.67, 41.52, 39.93, 40.4, -1 
NFX, 06/28/2016, 41.12, 43.01, 41.12, 42.84, -1 
NFX, 06/29/2016, 42.65, 44.78, 42.65, 44.51, -1 
NFX, 06/30/2016, 43.09, 44.44, 43.09, 44.17, -1 
NFX, 07/01/2016, 43.63, 44.44, 43.28, 43.86, -1 
NFX, 07/05/2016, 42.76, 43.3, 42.42, 43.25, -1 
NFX, 07/06/2016, 42.71, 43.67, 42.23, 43.04, -1 
NFX, 07/07/2016, 43.3, 44.08, 42.22, 42.77, -1 
NFX, 07/08/2016, 42.93, 43.94, 42.56, 43.8, -1 
NFX, 07/11/2016, 43.8, 44.49, 43.42, 43.67, -1 
NFX, 07/12/2016, 44.15, 45.61, 44.15, 45.14, -1 
NFX, 07/13/2016, 44.75, 45.45, 43.61, 44.63, -1 
NFX, 07/14/2016, 44.95, 45.17, 44.25, 44.59, -1 
NFX, 07/15/2016, 44.42, 45.08, 44.32, 44.51, -1 
NFX, 07/18/2016, 44.01, 44.6, 43.86, 44.55, -1 
NFX, 07/19/2016, 44.21, 44.7, 43.72, 43.82, -1 
NFX, 07/20/2016, 43.29, 44.54, 42.85, 44.42, -1 
NFX, 07/21/2016, 43.93, 45.2, 43.93, 44.4, -1 
NFX, 07/22/2016, 43.99, 44.92, 43.9, 44.42, -1 
NFX, 07/25/2016, 43.71, 44.04, 42.02, 42.67, -1 
NFX, 07/26/2016, 42.04, 43.49, 42.04, 43.41, -1 
NFX, 07/27/2016, 43.31, 43.89, 41.65, 42.06, -1 
NFX, 07/28/2016, 40.42, 42.9, 40.42, 42.37, -1 
NFX, 07/29/2016, 41.31, 43.36, 41.31, 43.29, -1 
NFX, 08/01/2016, 42.56, 42.87, 41.14, 41.29, -1 
NFX, 08/02/2016, 40.78, 41.87, 40.43, 41.53, -1 
NFX, 08/03/2016, 40.52, 44.76, 40.52, 44.65, -1 
NFX, 08/04/2016, 43.92, 46.62, 43.92, 45.67, -1 
NFX, 08/05/2016, 43.53, 45.73, 43.53, 45.23, -1 
NFX, 08/08/2016, 44.04, 46.77, 44.04, 46.22, -1 
NFX, 08/09/2016, 44.52, 46.51, 44.52, 46.09, -1 
NFX, 08/10/2016, 45.03, 46.68, 45.03, 45.37, -1 
NFX, 08/11/2016, 45.41, 47.48, 45.41, 47.2, -1 
NFX, 08/12/2016, 46.99, 47.55, 46.58, 46.87, -1 
NFX, 08/15/2016, 45.12, 47.4, 45.12, 46.95, -1 
NFX, 08/16/2016, 45.9, 46.68, 45.55, 46.17, -1 
NFX, 08/17/2016, 45.77, 46.22, 45.26, 45.93, -1 
NFX, 08/18/2016, 44.39, 46.83, 44.39, 46.76, -1 
NFX, 08/19/2016, 46.33, 46.55, 45.94, 46.39, -1 
NFX, 08/22/2016, 45.62, 45.76, 44.93, 45.04, -1 
NFX, 08/23/2016, 44.62, 46.31, 44.62, 45.7, -1 
NFX, 08/24/2016, 45.07, 45.6, 44.93, 45.11, -1 
NFX, 08/25/2016, 44.86, 45.1, 43.96, 44.3, -1 
NFX, 08/26/2016, 44.17, 45.38, 43.74, 44.15, -1 
NFX, 08/29/2016, 43.82, 45.12, 43.81, 45.02, -1 
NFX, 08/30/2016, 44.93, 45.51, 44.18, 44.56, -1 
NFX, 08/31/2016, 43.94, 44.48, 43.09, 43.35, -1 
NFX, 09/01/2016, 42.97, 44.13, 42.84, 44.11, -1 
NFX, 09/02/2016, 41.67, 45.22, 41.67, 44.89, -1 
NFX, 09/06/2016, 43.2, 45.22, 43.2, 44.88, -1 
NFX, 09/07/2016, 44.06, 45.27, 44.06, 44.9, -1 
NFX, 09/08/2016, 45.05, 46.24, 44.93, 46.0, -1 
NFX, 09/09/2016, 45.36, 45.69, 44.52, 44.53, -1 
NFX, 09/12/2016, 43.8, 44.75, 43.38, 44.22, -1 
