Symbol, Date, Open, High, Low, Close, Volume 
NI, 10/30/2015, 18.8, 19.34, 18.8, 19.15, -1 
NI, 11/02/2015, 19.01, 19.27, 19.01, 19.16, -1 
NI, 11/03/2015, 18.54, 19.43, 18.54, 19.11, -1 
NI, 11/04/2015, 19.05, 19.38, 19.05, 19.36, -1 
NI, 11/05/2015, 19.22, 19.69, 19.22, 19.55, -1 
NI, 11/06/2015, 18.96, 19.24, 18.77, 18.95, -1 
NI, 11/09/2015, 18.77, 19.04, 18.76, 18.91, -1 
NI, 11/10/2015, 18.81, 19.29, 18.81, 19.25, -1 
NI, 11/11/2015, 19.18, 19.56, 19.18, 19.41, -1 
NI, 11/12/2015, 19.13, 19.52, 19.08, 19.14, -1 
NI, 11/13/2015, 19.02, 19.2, 19.0, 19.08, -1 
NI, 11/16/2015, 18.97, 19.31, 18.97, 19.31, -1 
NI, 11/17/2015, 18.58, 19.47, 18.58, 19.17, -1 
NI, 11/18/2015, 19.4, 19.59, 19.14, 19.57, -1 
NI, 11/19/2015, 19.4, 19.74, 19.4, 19.7, -1 
NI, 11/20/2015, 19.44, 20.12, 19.44, 19.83, -1 
NI, 11/23/2015, 19.85, 20.0, 19.65, 19.76, -1 
NI, 11/24/2015, 19.71, 19.71, 19.49, 19.53, -1 
NI, 11/25/2015, 19.33, 19.43, 19.08, 19.13, -1 
NI, 11/27/2015, 18.95, 19.37, 18.95, 19.21, -1 
NI, 11/30/2015, 19.19, 19.29, 19.0, 19.18, -1 
NI, 12/01/2015, 19.14, 19.4, 19.13, 19.38, -1 
NI, 12/02/2015, 19.2, 19.39, 19.19, 19.29, -1 
NI, 12/03/2015, 18.58, 19.32, 18.58, 18.93, -1 
NI, 12/04/2015, 18.73, 19.14, 18.73, 19.08, -1 
NI, 12/07/2015, 18.69, 19.14, 18.69, 19.13, -1 
NI, 12/08/2015, 18.72, 19.3, 18.72, 19.25, -1 
NI, 12/09/2015, 19.21, 19.42, 19.08, 19.25, -1 
NI, 12/10/2015, 19.17, 19.53, 19.02, 19.04, -1 
NI, 12/11/2015, 18.86, 18.96, 18.63, 18.66, -1 
NI, 12/14/2015, 17.04, 18.84, 17.04, 18.83, -1 
NI, 12/15/2015, 18.48, 18.89, 18.48, 18.72, -1 
