Symbol, Date, Open, High, Low, Close, Volume 
NKE, 10/30/2015, 64.97, 65.79, 64.97, 65.5, -1 
NKE, 11/02/2015, 65.74, 65.94, 64.73, 65.58, -1 
NKE, 11/03/2015, 65.3, 65.81, 65.3, 65.67, -1 
NKE, 11/04/2015, 65.6, 65.89, 64.94, 65.19, -1 
NKE, 11/05/2015, 65.31, 66.21, 65.2, 65.94, -1 
NKE, 11/06/2015, 65.54, 66.45, 65.54, 65.88, -1 
NKE, 11/09/2015, 65.63, 65.67, 64.63, 65.24, -1 
NKE, 11/10/2015, 64.85, 65.35, 64.76, 65.0, -1 
NKE, 11/11/2015, 65.03, 65.14, 63.64, 63.7, -1 
NKE, 11/12/2015, 63.37, 63.99, 62.7, 62.98, -1 
NKE, 11/13/2015, 62.47, 62.57, 60.58, 60.94, -1 
NKE, 11/16/2015, 60.6, 61.74, 60.6, 61.71, -1 
NKE, 11/17/2015, 61.28, 61.78, 60.21, 61.27, -1 
NKE, 11/18/2015, 61.41, 63.01, 61.32, 62.88, -1 
NKE, 11/19/2015, 62.94, 63.49, 62.68, 62.9, -1 
NKE, 11/20/2015, 66.06, 66.39, 65.24, 66.32, -1 
NKE, 11/23/2015, 66.37, 66.49, 65.88, 66.22, -1 
NKE, 11/24/2015, 65.75, 66.49, 65.63, 66.25, -1 
NKE, 11/25/2015, 66.32, 67.27, 66.32, 67.06, -1 
NKE, 11/27/2015, 67.44, 67.61, 66.64, 67.14, -1 
NKE, 11/30/2015, 66.9, 67.08, 65.82, 66.14, -1 
NKE, 12/01/2015, 65.97, 66.71, 65.95, 66.65, -1 
NKE, 12/02/2015, 66.23, 66.61, 66.05, 66.31, -1 
NKE, 12/03/2015, 66.41, 66.67, 64.5, 64.58, -1 
NKE, 12/04/2015, 64.76, 66.45, 64.76, 66.16, -1 
NKE, 12/07/2015, 66.17, 66.42, 65.31, 65.81, -1 
NKE, 12/08/2015, 65.4, 66.36, 65.22, 65.85, -1 
NKE, 12/09/2015, 65.35, 65.77, 63.87, 64.4, -1 
NKE, 12/10/2015, 64.16, 64.82, 64.01, 64.33, -1 
NKE, 12/11/2015, 63.56, 63.79, 62.83, 63.14, -1 
NKE, 12/14/2015, 63.15, 64.16, 63.05, 63.94, -1 
NKE, 12/15/2015, 64.8, 64.99, 64.14, 64.31, -1 
NKE, 12/16/2015, 64.44, 65.59, 64.39, 65.46, -1 
NKE, 12/17/2015, 65.85, 65.88, 65.03, 65.11, -1 
NKE, 12/18/2015, 64.58, 65.26, 64.17, 64.22, -1 
NKE, 12/21/2015, 64.63, 65.14, 64.3, 64.92, -1 
NKE, 12/22/2015, 65.74, 65.92, 64.91, 65.92, -1 
NKE, 12/23/2015, 68.08, 68.11, 63.91, 64.4, -1 
NKE, 12/24/2015, 64.49, 64.71, 62.15, 63.15, -1 
NKE, 12/28/2015, 63.21, 63.86, 62.8, 63.8, -1 
NKE, 12/29/2015, 64.3, 64.47, 64.01, 64.23, -1 
NKE, 12/30/2015, 64.06, 64.37, 63.17, 63.24, -1 
NKE, 12/31/2015, 63.0, 63.16, 62.5, 62.51, -1 
NKE, 01/04/2016, 61.05, 61.9, 60.86, 61.52, -1 
NKE, 01/05/2016, 61.65, 62.58, 61.65, 62.37, -1 
NKE, 01/06/2016, 61.26, 62.02, 61.15, 61.5, -1 
NKE, 01/07/2016, 60.27, 61.23, 59.77, 59.85, -1 
NKE, 01/08/2016, 60.03, 60.76, 58.66, 58.85, -1 
NKE, 01/11/2016, 58.95, 60.03, 58.53, 59.58, -1 
NKE, 01/12/2016, 60.07, 60.82, 59.57, 59.91, -1 
