Symbol, Date, Open, High, Low, Close, Volume 
NOV, 10/30/2015, 36.32, 38.46, 36.22, 37.61, -1 
NOV, 11/02/2015, 37.18, 38.94, 37.18, 38.84, -1 
NOV, 11/03/2015, 38.34, 40.23, 38.34, 39.94, -1 
NOV, 11/04/2015, 39.86, 40.23, 39.5, 39.89, -1 
NOV, 11/05/2015, 38.52, 40.12, 38.52, 39.51, -1 
NOV, 11/06/2015, 38.54, 40.06, 38.54, 39.78, -1 
NOV, 11/09/2015, 39.48, 40.06, 38.33, 38.93, -1 
NOV, 11/10/2015, 38.3, 39.27, 38.3, 38.82, -1 
NOV, 11/11/2015, 38.61, 38.91, 37.54, 37.76, -1 
NOV, 11/12/2015, 36.94, 38.31, 36.55, 37.46, -1 
NOV, 11/13/2015, 37.13, 37.76, 36.83, 37.31, -1 
NOV, 11/16/2015, 37.07, 38.13, 36.96, 37.77, -1 
NOV, 11/17/2015, 37.49, 37.64, 36.78, 37.02, -1 
NOV, 11/18/2015, 36.58, 38.39, 36.58, 38.33, -1 
NOV, 11/19/2015, 37.89, 38.44, 37.45, 37.59, -1 
NOV, 11/20/2015, 37.49, 37.88, 36.64, 37.25, -1 
NOV, 11/23/2015, 37.1, 37.75, 36.83, 37.33, -1 
NOV, 11/24/2015, 37.44, 38.77, 37.44, 38.61, -1 
NOV, 11/25/2015, 37.04, 38.88, 37.04, 38.08, -1 
NOV, 11/27/2015, 37.66, 37.98, 37.16, 37.33, -1 
NOV, 11/30/2015, 37.54, 37.98, 37.25, 37.34, -1 
NOV, 12/01/2015, 37.22, 38.03, 36.98, 37.73, -1 
NOV, 12/02/2015, 36.6, 37.91, 36.6, 37.09, -1 
NOV, 12/03/2015, 37.15, 37.71, 36.86, 37.05, -1 
NOV, 12/04/2015, 36.18, 37.53, 36.16, 36.56, -1 
NOV, 12/07/2015, 35.25, 35.58, 34.4, 34.63, -1 
NOV, 12/08/2015, 33.93, 34.46, 33.44, 33.5, -1 
NOV, 12/09/2015, 33.5, 35.28, 33.46, 33.84, -1 
NOV, 12/10/2015, 33.47, 34.39, 33.47, 33.78, -1 
NOV, 12/11/2015, 33.3, 33.68, 33.1, 33.29, -1 
NOV, 12/14/2015, 33.06, 33.66, 32.88, 33.55, -1 
NOV, 12/15/2015, 33.79, 35.27, 33.79, 34.66, -1 
NOV, 12/16/2015, 34.39, 35.03, 33.85, 34.31, -1 
NOV, 12/17/2015, 34.22, 34.39, 33.28, 33.67, -1 
NOV, 12/18/2015, 33.47, 33.77, 33.22, 33.26, -1 
NOV, 12/21/2015, 33.24, 34.04, 33.21, 33.91, -1 
NOV, 12/22/2015, 33.78, 34.51, 33.78, 34.34, -1 
NOV, 12/23/2015, 34.91, 35.42, 34.87, 35.32, -1 
NOV, 12/24/2015, 35.22, 35.38, 34.77, 34.78, -1 
NOV, 12/28/2015, 34.14, 34.5, 34.0, 34.14, -1 
NOV, 12/29/2015, 34.52, 34.73, 34.0, 34.22, -1 
NOV, 12/30/2015, 33.5, 34.45, 33.5, 33.72, -1 
NOV, 12/31/2015, 33.5, 33.92, 33.17, 33.49, -1 
NOV, 01/04/2016, 33.35, 34.58, 33.34, 34.57, -1 
NOV, 01/05/2016, 33.83, 34.18, 33.08, 33.62, -1 
NOV, 01/06/2016, 32.77, 32.77, 31.14, 31.33, -1 
NOV, 01/07/2016, 30.65, 31.48, 30.24, 30.75, -1 
NOV, 01/08/2016, 30.85, 30.86, 29.68, 29.93, -1 
NOV, 01/11/2016, 29.36, 30.12, 29.36, 29.94, -1 
