Symbol, Date, Open, High, Low, Close, Volume 
NSC, 10/30/2015, 80.35, 81.38, 79.9, 80.02, -1 
NSC, 11/02/2015, 78.64, 80.61, 78.64, 80.39, -1 
NSC, 11/03/2015, 79.88, 81.14, 79.88, 80.68, -1 
NSC, 11/04/2015, 78.98, 80.7, 78.98, 80.38, -1 
NSC, 11/05/2015, 80.0, 81.02, 79.73, 80.16, -1 
NSC, 11/06/2015, 79.69, 80.43, 79.12, 79.88, -1 
NSC, 11/09/2015, 79.06, 90.78, 78.46, 88.67, -1 
NSC, 11/10/2015, 86.62, 88.94, 85.71, 88.6, -1 
NSC, 11/11/2015, 85.54, 89.36, 85.54, 88.9, -1 
NSC, 11/12/2015, 87.67, 89.94, 87.33, 88.75, -1 
NSC, 11/13/2015, 86.65, 89.79, 86.65, 88.96, -1 
NSC, 11/16/2015, 85.18, 89.59, 85.18, 88.3, -1 
NSC, 11/17/2015, 87.92, 88.23, 84.11, 86.97, -1 
NSC, 11/18/2015, 90.6, 93.67, 90.3, 92.49, -1 
NSC, 11/19/2015, 91.31, 97.88, 90.87, 96.86, -1 
NSC, 11/20/2015, 96.15, 98.71, 95.04, 97.55, -1 
NSC, 11/23/2015, 94.3, 98.07, 94.3, 95.58, -1 
NSC, 11/24/2015, 93.99, 96.17, 93.99, 94.53, -1 
NSC, 11/25/2015, 94.19, 96.13, 94.14, 95.4, -1 
NSC, 11/27/2015, 95.02, 95.8, 94.9, 95.39, -1 
NSC, 11/30/2015, 95.02, 95.82, 94.02, 95.07, -1 
NSC, 12/01/2015, 94.87, 95.83, 94.11, 94.82, -1 
NSC, 12/02/2015, 94.19, 94.6, 91.82, 92.11, -1 
NSC, 12/03/2015, 91.03, 93.98, 91.03, 93.1, -1 
NSC, 12/04/2015, 88.51, 92.5, 86.58, 92.05, -1 
NSC, 12/07/2015, 92.57, 94.29, 91.32, 91.54, -1 
NSC, 12/08/2015, 87.15, 89.68, 85.41, 86.32, -1 
NSC, 12/09/2015, 85.68, 88.09, 85.68, 87.56, -1 
NSC, 12/10/2015, 87.6, 88.37, 87.21, 87.63, -1 
NSC, 12/11/2015, 88.6, 89.91, 87.68, 89.44, -1 
NSC, 12/14/2015, 89.45, 90.63, 88.89, 89.36, -1 
NSC, 12/15/2015, 89.71, 91.54, 89.71, 91.06, -1 
NSC, 12/16/2015, 91.17, 91.4, 88.46, 89.78, -1 
NSC, 12/17/2015, 89.17, 89.43, 84.91, 85.09, -1 
NSC, 12/18/2015, 84.36, 85.98, 83.23, 84.32, -1 
NSC, 12/21/2015, 84.61, 85.32, 83.6, 84.08, -1 
NSC, 12/22/2015, 84.04, 86.42, 84.04, 86.08, -1 
NSC, 12/23/2015, 85.17, 87.08, 85.17, 86.85, -1 
NSC, 12/24/2015, 84.51, 87.29, 84.51, 86.8, -1 
NSC, 12/28/2015, 86.14, 86.76, 85.5, 85.59, -1 
NSC, 12/29/2015, 85.56, 86.3, 85.5, 85.56, -1 
NSC, 12/30/2015, 84.85, 85.56, 84.65, 84.84, -1 
NSC, 12/31/2015, 83.94, 85.16, 83.94, 84.55, -1 
NSC, 01/04/2016, 82.92, 83.59, 80.87, 81.8, -1 
NSC, 01/05/2016, 81.58, 82.55, 81.26, 82.26, -1 
NSC, 01/06/2016, 80.13, 81.62, 79.01, 79.56, -1 
NSC, 01/07/2016, 76.85, 78.79, 76.85, 78.0, -1 
NSC, 01/08/2016, 78.14, 78.65, 77.55, 77.77, -1 
NSC, 01/11/2016, 77.83, 78.21, 75.0, 75.95, -1 
NSC, 01/12/2016, 76.33, 77.35, 73.56, 75.81, -1 
