Symbol, Date, Open, High, Low, Close, Volume 
NTRS, 10/30/2015, 67.4, 71.43, 67.4, 70.39, -1 
NTRS, 11/02/2015, 66.81, 71.55, 66.81, 71.28, -1 
NTRS, 11/03/2015, 70.89, 72.05, 70.89, 71.73, -1 
NTRS, 11/04/2015, 68.08, 72.46, 68.08, 72.17, -1 
NTRS, 11/05/2015, 72.43, 73.39, 72.06, 73.29, -1 
NTRS, 11/06/2015, 73.7, 75.85, 73.7, 74.95, -1 
NTRS, 11/09/2015, 73.87, 75.38, 73.67, 74.04, -1 
NTRS, 11/10/2015, 73.93, 74.82, 73.35, 74.82, -1 
NTRS, 11/11/2015, 71.01, 75.45, 71.01, 74.94, -1 
NTRS, 11/12/2015, 69.08, 74.67, 69.08, 73.95, -1 
NTRS, 11/13/2015, 73.9, 74.35, 73.04, 73.23, -1 
NTRS, 11/16/2015, 69.49, 74.0, 69.49, 74.0, -1 
NTRS, 11/17/2015, 73.19, 74.78, 73.19, 73.98, -1 
NTRS, 11/18/2015, 70.12, 75.83, 70.12, 75.76, -1 
NTRS, 11/19/2015, 71.9, 75.89, 71.9, 75.4, -1 
NTRS, 11/20/2015, 71.55, 76.09, 71.55, 75.63, -1 
NTRS, 11/23/2015, 69.11, 75.87, 69.11, 75.19, -1 
NTRS, 11/24/2015, 71.18, 75.53, 71.17, 75.1, -1 
NTRS, 11/25/2015, 75.44, 75.5, 74.7, 74.99, -1 
NTRS, 11/27/2015, 71.18, 75.67, 71.18, 75.53, -1 
NTRS, 11/30/2015, 74.52, 75.53, 74.52, 74.93, -1 
NTRS, 12/01/2015, 71.12, 75.55, 71.12, 75.01, -1 
NTRS, 12/02/2015, 71.17, 75.07, 71.17, 74.19, -1 
NTRS, 12/03/2015, 73.05, 74.57, 72.48, 72.77, -1 
NTRS, 12/04/2015, 73.45, 75.64, 72.61, 75.51, -1 
NTRS, 12/07/2015, 71.52, 75.35, 71.52, 74.61, -1 
NTRS, 12/08/2015, 70.14, 75.47, 70.14, 74.3, -1 
NTRS, 12/09/2015, 70.27, 74.28, 70.27, 72.48, -1 
NTRS, 12/10/2015, 70.95, 73.24, 70.95, 72.12, -1 
NTRS, 12/11/2015, 67.46, 71.33, 67.45, 70.11, -1 
NTRS, 12/14/2015, 69.26, 70.82, 68.5, 70.02, -1 
NTRS, 12/15/2015, 70.55, 73.26, 70.55, 72.68, -1 
