Symbol, Date, Open, High, Low, Close, Volume 
NWSA, 10/30/2015, 13.63, 15.44, 13.63, 15.39, -1 
NWSA, 11/02/2015, 15.17, 15.67, 15.17, 15.63, -1 
NWSA, 11/03/2015, 15.63, 15.63, 15.28, 15.4, -1 
NWSA, 11/04/2015, 14.93, 15.52, 14.93, 15.44, -1 
NWSA, 11/05/2015, 15.45, 15.45, 15.19, 15.33, -1 
NWSA, 11/06/2015, 13.81, 15.33, 13.81, 14.87, -1 
NWSA, 11/09/2015, 14.5, 14.74, 14.27, 14.41, -1 
NWSA, 11/10/2015, 14.35, 14.52, 14.28, 14.43, -1 
NWSA, 11/11/2015, 14.1, 14.51, 14.1, 14.37, -1 
NWSA, 11/12/2015, 14.07, 14.36, 14.07, 14.12, -1 
NWSA, 11/13/2015, 13.97, 14.12, 13.78, 13.78, -1 
NWSA, 11/16/2015, 13.39, 14.14, 13.38, 14.13, -1 
NWSA, 11/17/2015, 13.3, 14.3, 13.3, 14.12, -1 
NWSA, 11/18/2015, 11.72, 14.28, 11.72, 14.26, -1 
NWSA, 11/19/2015, 14.07, 14.28, 14.07, 14.18, -1 
NWSA, 11/20/2015, 12.35, 14.41, 12.35, 14.25, -1 
NWSA, 11/23/2015, 11.75, 14.48, 11.75, 14.32, -1 
NWSA, 11/24/2015, 14.25, 14.44, 14.21, 14.42, -1 
NWSA, 11/25/2015, 14.44, 14.48, 14.3, 14.43, -1 
NWSA, 11/27/2015, 13.75, 14.42, 13.75, 14.24, -1 
NWSA, 11/30/2015, 14.3, 14.42, 14.14, 14.34, -1 
NWSA, 12/01/2015, 12.52, 14.65, 12.52, 14.63, -1 
NWSA, 12/02/2015, 12.67, 14.62, 12.67, 14.41, -1 
NWSA, 12/03/2015, 14.27, 14.51, 13.59, 13.77, -1 
NWSA, 12/04/2015, 13.79, 14.08, 13.71, 14.05, -1 
NWSA, 12/07/2015, 12.95, 14.02, 12.95, 13.87, -1 
NWSA, 12/08/2015, 13.5, 13.75, 13.47, 13.5, -1 
NWSA, 12/09/2015, 12.09, 13.78, 12.09, 13.5, -1 
NWSA, 12/10/2015, 11.58, 13.87, 11.58, 13.75, -1 
NWSA, 12/11/2015, 12.23, 13.61, 12.23, 13.31, -1 
NWSA, 12/14/2015, 13.37, 13.41, 13.11, 13.25, -1 
NWSA, 12/15/2015, 13.26, 13.62, 13.26, 13.46, -1 
NWSA, 12/16/2015, 12.06, 13.77, 12.05, 13.65, -1 
NWSA, 12/17/2015, 11.25, 13.73, 11.25, 13.35, -1 
NWSA, 12/18/2015, 11.39, 13.38, 11.39, 13.19, -1 
NWSA, 12/21/2015, 10.94, 13.38, 10.94, 13.36, -1 
NWSA, 12/22/2015, 13.43, 13.46, 13.27, 13.31, -1 
NWSA, 12/23/2015, 13.43, 13.72, 13.36, 13.7, -1 
NWSA, 12/24/2015, 11.77, 13.83, 11.77, 13.62, -1 
NWSA, 12/28/2015, 12.19, 13.54, 12.19, 13.52, -1 
NWSA, 12/29/2015, 12.21, 13.8, 12.21, 13.72, -1 
NWSA, 12/30/2015, 12.31, 13.74, 12.31, 13.51, -1 
NWSA, 12/31/2015, 11.3, 13.54, 11.3, 13.36, -1 
NWSA, 01/04/2016, 11.17, 13.2, 11.16, 13.2, -1 
NWSA, 01/05/2016, 11.27, 13.22, 11.27, 12.76, -1 
NWSA, 01/06/2016, 12.42, 12.82, 12.42, 12.71, -1 
NWSA, 01/07/2016, 12.16, 12.6, 12.16, 12.42, -1 
NWSA, 01/08/2016, 11.48, 12.7, 11.48, 12.58, -1 
NWSA, 01/11/2016, 11.1, 12.63, 11.1, 12.2, -1 
NWSA, 01/12/2016, 11.35, 12.48, 11.35, 12.42, -1 
NWSA, 01/13/2016, 11.91, 12.54, 11.9, 12.19, -1 
NWSA, 01/14/2016, 12.29, 12.81, 12.18, 12.7, -1 
NWSA, 01/15/2016, 12.36, 12.72, 12.24, 12.5, -1 
NWSA, 01/19/2016, 11.62, 12.63, 11.62, 12.34, -1 
NWSA, 01/20/2016, 11.02, 12.27, 11.02, 12.15, -1 
NWSA, 01/21/2016, 11.47, 12.57, 11.47, 12.37, -1 
NWSA, 01/22/2016, 11.29, 12.72, 11.29, 12.69, -1 
