Symbol, Date, Open, High, Low, Close, Volume 
OKE, 10/30/2015, 33.24, 34.2, 32.87, 33.91, -1 
OKE, 11/02/2015, 32.95, 34.61, 32.95, 34.39, -1 
OKE, 11/03/2015, 32.96, 34.63, 32.96, 34.07, -1 
OKE, 11/04/2015, 32.93, 35.55, 32.9, 33.55, -1 
OKE, 11/05/2015, 32.91, 33.63, 30.78, 31.37, -1 
OKE, 11/06/2015, 30.89, 31.61, 30.11, 31.61, -1 
OKE, 11/09/2015, 31.3, 31.91, 30.53, 30.8, -1 
OKE, 11/10/2015, 30.55, 31.01, 30.31, 30.77, -1 
OKE, 11/11/2015, 30.13, 30.93, 29.36, 29.5, -1 
OKE, 11/12/2015, 28.78, 29.39, 28.14, 28.21, -1 
OKE, 11/13/2015, 27.76, 28.56, 27.44, 28.49, -1 
OKE, 11/16/2015, 28.04, 29.72, 28.04, 29.71, -1 
OKE, 11/17/2015, 29.04, 29.47, 28.37, 28.45, -1 
OKE, 11/18/2015, 28.54, 29.84, 28.54, 29.28, -1 
OKE, 11/19/2015, 29.0, 29.23, 28.63, 28.97, -1 
OKE, 11/20/2015, 28.89, 29.24, 28.39, 28.58, -1 
OKE, 11/23/2015, 28.6, 29.48, 28.39, 29.09, -1 
OKE, 11/24/2015, 28.83, 30.38, 28.83, 30.28, -1 
OKE, 11/25/2015, 29.84, 30.63, 29.5, 30.4, -1 
OKE, 11/27/2015, 28.6, 30.42, 28.6, 29.45, -1 
OKE, 11/30/2015, 29.53, 29.87, 29.15, 29.47, -1 
OKE, 12/01/2015, 29.26, 29.89, 28.88, 29.19, -1 
OKE, 12/02/2015, 28.47, 28.75, 26.91, 26.99, -1 
OKE, 12/03/2015, 26.79, 27.37, 26.5, 26.78, -1 
OKE, 12/04/2015, 24.44, 26.8, 24.43, 24.79, -1 
OKE, 12/07/2015, 23.21, 23.9, 21.09, 21.61, -1 
OKE, 12/08/2015, 21.1, 22.29, 20.97, 21.45, -1 
OKE, 12/09/2015, 20.07, 22.99, 20.07, 22.19, -1 
OKE, 12/10/2015, 21.96, 22.92, 21.8, 22.3, -1 
OKE, 12/11/2015, 21.78, 21.92, 20.01, 20.3, -1 
OKE, 12/14/2015, 20.05, 20.6, 19.67, 20.6, -1 
OKE, 12/15/2015, 20.8, 21.55, 20.79, 21.34, -1 
OKE, 12/16/2015, 21.08, 21.62, 20.55, 20.87, -1 
OKE, 12/17/2015, 20.75, 20.97, 19.12, 19.86, -1 
OKE, 12/18/2015, 19.68, 20.1, 18.84, 18.91, -1 
OKE, 12/21/2015, 18.85, 21.86, 18.85, 21.84, -1 
OKE, 12/22/2015, 21.45, 23.65, 21.45, 23.12, -1 
OKE, 12/23/2015, 23.5, 24.96, 23.12, 24.28, -1 
OKE, 12/24/2015, 24.04, 24.67, 23.88, 24.11, -1 
OKE, 12/28/2015, 23.71, 24.18, 23.22, 24.12, -1 
OKE, 12/29/2015, 24.27, 24.87, 23.65, 24.03, -1 
OKE, 12/30/2015, 22.13, 24.45, 22.13, 23.42, -1 
OKE, 12/31/2015, 23.74, 24.78, 23.32, 24.64, -1 
OKE, 01/04/2016, 24.14, 25.55, 24.14, 25.37, -1 
OKE, 01/05/2016, 25.19, 25.65, 24.96, 25.36, -1 
OKE, 01/06/2016, 24.38, 24.51, 23.45, 24.22, -1 
OKE, 01/07/2016, 23.6, 24.11, 22.66, 22.78, -1 
OKE, 01/08/2016, 23.0, 23.65, 22.38, 23.04, -1 
OKE, 01/11/2016, 21.73, 23.82, 21.73, 22.6, -1 
OKE, 01/12/2016, 21.16, 23.27, 20.63, 21.83, -1 
OKE, 01/13/2016, 21.89, 22.24, 20.36, 20.96, -1 
OKE, 01/14/2016, 20.95, 22.86, 20.72, 22.77, -1 
OKE, 01/15/2016, 20.96, 22.19, 20.96, 21.94, -1 
OKE, 01/19/2016, 21.77, 22.41, 20.23, 20.78, -1 
OKE, 01/20/2016, 20.13, 20.4, 18.97, 20.04, -1 
OKE, 01/21/2016, 19.44, 23.05, 19.44, 22.6, -1 
OKE, 01/22/2016, 23.08, 25.15, 23.04, 25.09, -1 
OKE, 01/25/2016, 23.02, 25.94, 23.02, 23.62, -1 
OKE, 01/26/2016, 23.91, 24.78, 23.4, 24.3, -1 
OKE, 01/27/2016, 23.79, 24.35, 22.9, 23.12, -1 
OKE, 01/28/2016, 22.68, 24.16, 22.68, 23.9, -1 
OKE, 01/29/2016, 23.22, 25.02, 23.22, 24.89, -1 
OKE, 02/01/2016, 23.54, 24.1, 22.85, 23.43, -1 
OKE, 02/02/2016, 22.7, 23.58, 22.39, 23.12, -1 
OKE, 02/03/2016, 23.35, 24.75, 22.65, 24.63, -1 
OKE, 02/04/2016, 24.66, 25.99, 24.63, 25.48, -1 
OKE, 02/05/2016, 24.82, 25.67, 24.52, 25.54, -1 
OKE, 02/08/2016, 24.01, 24.44, 21.78, 23.15, -1 
OKE, 02/09/2016, 21.8, 22.12, 19.86, 20.62, -1 
OKE, 02/10/2016, 20.33, 21.5, 19.8, 20.9, -1 
OKE, 02/11/2016, 19.84, 20.77, 18.88, 19.61, -1 
OKE, 02/12/2016, 20.03, 20.44, 19.3, 20.17, -1 
OKE, 02/16/2016, 19.97, 21.12, 19.84, 21.02, -1 
OKE, 02/17/2016, 21.6, 22.22, 20.67, 21.72, -1 
OKE, 02/18/2016, 21.9, 22.15, 20.5, 21.18, -1 
OKE, 02/19/2016, 20.54, 20.85, 20.1, 20.66, -1 
OKE, 02/22/2016, 20.98, 21.75, 20.98, 21.41, -1 
OKE, 02/23/2016, 20.86, 21.63, 20.54, 21.3, -1 
OKE, 02/24/2016, 20.63, 21.7, 19.93, 21.53, -1 
OKE, 02/25/2016, 20.21, 21.61, 20.21, 21.37, -1 
OKE, 02/26/2016, 21.71, 23.67, 21.71, 22.99, -1 
OKE, 02/29/2016, 22.39, 24.37, 22.39, 23.99, -1 
OKE, 03/01/2016, 24.18, 24.49, 23.34, 24.19, -1 
OKE, 03/02/2016, 24.0, 25.58, 23.76, 25.57, -1 
OKE, 03/03/2016, 25.1, 26.89, 25.1, 26.6, -1 
OKE, 03/04/2016, 26.9, 28.02, 25.61, 26.35, -1 
OKE, 03/07/2016, 26.13, 28.16, 26.13, 27.62, -1 
OKE, 03/08/2016, 27.27, 27.52, 26.02, 26.21, -1 
OKE, 03/09/2016, 26.5, 27.1, 25.71, 26.45, -1 
OKE, 03/10/2016, 25.92, 27.66, 25.92, 27.43, -1 
OKE, 03/11/2016, 27.67, 28.57, 27.65, 28.3, -1 
OKE, 03/14/2016, 27.86, 28.39, 27.51, 28.17, -1 
OKE, 03/15/2016, 27.39, 27.72, 26.79, 27.71, -1 
OKE, 03/16/2016, 27.76, 29.55, 27.76, 29.5, -1 
OKE, 03/17/2016, 29.57, 30.47, 29.21, 30.21, -1 
OKE, 03/18/2016, 30.44, 30.95, 29.69, 30.8, -1 
OKE, 03/21/2016, 30.64, 30.81, 29.32, 29.68, -1 
OKE, 03/22/2016, 28.99, 30.44, 28.99, 30.2, -1 
OKE, 03/23/2016, 29.49, 29.97, 28.41, 28.42, -1 
OKE, 03/24/2016, 27.6, 28.73, 27.46, 28.67, -1 
OKE, 03/28/2016, 28.22, 28.79, 28.04, 28.31, -1 
OKE, 03/29/2016, 27.72, 28.63, 27.35, 28.46, -1 
OKE, 03/30/2016, 28.64, 29.45, 28.51, 29.05, -1 
OKE, 03/31/2016, 28.97, 29.93, 28.85, 29.83, -1 
OKE, 04/01/2016, 29.02, 29.36, 28.5, 28.74, -1 
OKE, 04/04/2016, 28.53, 29.4, 28.29, 28.37, -1 
OKE, 04/05/2016, 27.88, 29.07, 27.88, 28.42, -1 
OKE, 04/06/2016, 28.61, 29.57, 28.61, 29.22, -1 
OKE, 04/07/2016, 28.68, 29.61, 28.55, 28.95, -1 
OKE, 04/08/2016, 29.52, 30.52, 29.52, 29.97, -1 
OKE, 04/11/2016, 30.08, 30.8, 29.82, 30.05, -1 
OKE, 04/12/2016, 29.79, 32.65, 29.79, 32.35, -1 
OKE, 04/13/2016, 32.39, 32.57, 31.72, 31.85, -1 
OKE, 04/14/2016, 31.67, 32.07, 31.36, 31.71, -1 
OKE, 04/15/2016, 31.23, 32.02, 31.04, 31.66, -1 
OKE, 04/18/2016, 30.68, 32.79, 30.3, 32.16, -1 
