Symbol, Date, Open, High, Low, Close, Volume 
OMC, 10/30/2015, 75.11, 75.52, 74.8, 74.92, -1 
OMC, 11/02/2015, 74.58, 75.3, 74.58, 74.99, -1 
OMC, 11/03/2015, 71.02, 75.05, 71.01, 74.78, -1 
OMC, 11/04/2015, 74.56, 74.86, 73.41, 73.55, -1 
OMC, 11/05/2015, 73.28, 73.84, 72.99, 73.23, -1 
OMC, 11/06/2015, 72.76, 73.48, 72.41, 73.48, -1 
OMC, 11/09/2015, 72.98, 73.5, 72.14, 72.53, -1 
OMC, 11/10/2015, 71.98, 73.23, 71.98, 73.14, -1 
OMC, 11/11/2015, 72.89, 73.41, 72.82, 73.08, -1 
OMC, 11/12/2015, 72.15, 73.15, 72.15, 72.63, -1 
OMC, 11/13/2015, 72.12, 72.65, 71.44, 71.51, -1 
OMC, 11/16/2015, 71.11, 73.06, 71.11, 72.98, -1 
OMC, 11/17/2015, 69.28, 73.37, 69.26, 72.02, -1 
OMC, 11/18/2015, 71.76, 72.99, 71.76, 72.89, -1 
OMC, 11/19/2015, 72.39, 73.48, 72.39, 73.14, -1 
OMC, 11/20/2015, 72.86, 73.74, 72.86, 73.73, -1 
OMC, 11/23/2015, 72.58, 74.21, 72.58, 73.88, -1 
OMC, 11/24/2015, 66.23, 73.26, 66.23, 73.01, -1 
OMC, 11/25/2015, 72.63, 74.4, 72.61, 74.05, -1 
OMC, 11/27/2015, 71.94, 74.06, 71.94, 73.66, -1 
OMC, 11/30/2015, 73.45, 74.1, 73.21, 73.92, -1 
OMC, 12/01/2015, 73.85, 75.15, 73.85, 74.99, -1 
OMC, 12/02/2015, 74.61, 75.2, 74.05, 74.15, -1 
OMC, 12/03/2015, 74.04, 74.56, 73.46, 74.09, -1 
OMC, 12/04/2015, 72.09, 75.66, 72.09, 75.22, -1 
OMC, 12/07/2015, 74.62, 77.07, 74.62, 76.53, -1 
OMC, 12/08/2015, 70.5, 76.62, 70.5, 76.31, -1 
OMC, 12/09/2015, 75.41, 76.58, 74.68, 75.01, -1 
OMC, 12/10/2015, 71.19, 76.15, 71.18, 75.42, -1 
OMC, 12/11/2015, 74.39, 75.38, 73.85, 74.19, -1 
OMC, 12/14/2015, 74.05, 75.18, 73.67, 74.09, -1 
OMC, 12/15/2015, 74.01, 74.72, 73.76, 73.98, -1 
OMC, 12/16/2015, 72.68, 74.87, 72.68, 74.72, -1 
OMC, 12/17/2015, 74.41, 74.76, 73.52, 73.67, -1 
OMC, 12/18/2015, 73.1, 74.2, 73.1, 73.62, -1 
OMC, 12/21/2015, 73.64, 74.49, 73.64, 74.39, -1 
OMC, 12/22/2015, 74.2, 75.57, 74.17, 75.43, -1 
OMC, 12/23/2015, 75.26, 76.41, 75.26, 76.32, -1 
OMC, 12/24/2015, 75.67, 76.63, 75.67, 76.08, -1 
OMC, 12/28/2015, 75.36, 76.52, 75.36, 76.5, -1 
OMC, 12/29/2015, 76.49, 77.24, 76.49, 77.13, -1 
OMC, 12/30/2015, 76.8, 77.56, 76.57, 76.62, -1 
OMC, 12/31/2015, 73.2, 76.46, 73.2, 75.62, -1 
OMC, 01/04/2016, 74.06, 74.47, 72.8, 73.57, -1 
OMC, 01/05/2016, 73.47, 74.11, 73.15, 73.95, -1 
OMC, 01/06/2016, 72.77, 73.3, 71.56, 71.92, -1 
OMC, 01/07/2016, 65.04, 71.69, 65.04, 70.48, -1 
OMC, 01/08/2016, 70.58, 71.36, 69.69, 69.88, -1 
OMC, 01/11/2016, 69.96, 70.3, 68.84, 69.65, -1 
OMC, 01/12/2016, 69.77, 71.11, 69.77, 70.83, -1 
OMC, 01/13/2016, 67.2, 71.2, 67.2, 69.25, -1 
OMC, 01/14/2016, 69.23, 71.08, 69.0, 70.74, -1 
OMC, 01/15/2016, 68.65, 70.03, 68.65, 69.67, -1 
OMC, 01/19/2016, 70.31, 70.31, 68.68, 68.89, -1 
OMC, 01/20/2016, 67.66, 68.58, 66.45, 67.96, -1 
OMC, 01/21/2016, 65.45, 69.22, 65.45, 68.65, -1 
