Symbol, Date, Open, High, Low, Close, Volume 
PBI, 10/30/2015, 18.29, 20.92, 18.29, 20.63, -1 
PBI, 11/02/2015, 20.59, 21.47, 20.57, 21.36, -1 
PBI, 11/03/2015, 21.24, 21.58, 21.2, 21.41, -1 
PBI, 11/04/2015, 21.41, 21.51, 21.07, 21.1, -1 
PBI, 11/05/2015, 20.99, 21.17, 20.85, 21.1, -1 
PBI, 11/06/2015, 19.24, 21.46, 19.24, 21.26, -1 
PBI, 11/09/2015, 21.12, 21.28, 20.87, 21.15, -1 
PBI, 11/10/2015, 21.05, 21.26, 21.02, 21.26, -1 
PBI, 11/11/2015, 21.17, 21.36, 21.11, 21.19, -1 
PBI, 11/12/2015, 20.95, 21.2, 20.85, 20.88, -1 
PBI, 11/13/2015, 20.75, 20.87, 20.5, 20.54, -1 
PBI, 11/16/2015, 20.44, 20.84, 20.4, 20.81, -1 
PBI, 11/17/2015, 20.75, 21.12, 20.72, 20.77, -1 
PBI, 11/18/2015, 20.65, 21.05, 20.65, 21.02, -1 
PBI, 11/19/2015, 20.91, 21.11, 20.8, 21.03, -1 
PBI, 11/20/2015, 21.02, 21.27, 21.02, 21.24, -1 
PBI, 11/23/2015, 21.16, 21.28, 21.04, 21.13, -1 
PBI, 11/24/2015, 20.93, 21.16, 20.75, 21.15, -1 
PBI, 11/25/2015, 21.03, 21.2, 20.91, 21.11, -1 
PBI, 11/27/2015, 21.04, 21.17, 20.91, 21.07, -1 
PBI, 11/30/2015, 21.03, 21.74, 21.0, 21.61, -1 
PBI, 12/01/2015, 21.54, 21.75, 21.19, 21.33, -1 
PBI, 12/02/2015, 21.24, 21.39, 20.8, 20.86, -1 
PBI, 12/03/2015, 20.84, 20.98, 20.56, 20.75, -1 
PBI, 12/04/2015, 20.71, 21.09, 20.68, 21.07, -1 
PBI, 12/07/2015, 20.87, 20.96, 20.43, 20.66, -1 
PBI, 12/08/2015, 20.36, 20.75, 20.24, 20.35, -1 
PBI, 12/09/2015, 20.06, 20.45, 19.72, 19.8, -1 
PBI, 12/10/2015, 18.12, 20.11, 18.12, 19.96, -1 
PBI, 12/11/2015, 19.01, 19.78, 19.01, 19.59, -1 
PBI, 12/14/2015, 19.49, 19.6, 19.12, 19.31, -1 
PBI, 12/15/2015, 19.35, 19.8, 19.35, 19.61, -1 
PBI, 12/16/2015, 19.04, 20.04, 19.04, 20.01, -1 
PBI, 12/17/2015, 19.95, 20.01, 19.57, 19.82, -1 
PBI, 12/18/2015, 19.68, 19.9, 19.62, 19.66, -1 
PBI, 12/21/2015, 19.73, 19.98, 19.6, 19.85, -1 
PBI, 12/22/2015, 19.8, 20.16, 19.75, 20.14, -1 
PBI, 12/23/2015, 20.17, 20.67, 20.17, 20.62, -1 
PBI, 12/24/2015, 20.54, 20.75, 20.52, 20.63, -1 
PBI, 12/28/2015, 20.49, 20.61, 20.16, 20.53, -1 
PBI, 12/29/2015, 19.25, 20.97, 19.25, 20.94, -1 
PBI, 12/30/2015, 20.81, 20.98, 20.81, 20.82, -1 
PBI, 12/31/2015, 20.69, 20.87, 20.64, 20.65, -1 
PBI, 01/04/2016, 20.06, 20.42, 20.06, 20.37, -1 
PBI, 01/05/2016, 20.33, 20.49, 20.23, 20.37, -1 
PBI, 01/06/2016, 19.99, 20.31, 19.97, 20.16, -1 
PBI, 01/07/2016, 19.76, 19.96, 19.33, 19.42, -1 
PBI, 01/08/2016, 19.41, 19.52, 18.69, 18.72, -1 
PBI, 01/11/2016, 18.77, 19.05, 18.69, 18.99, -1 
PBI, 01/12/2016, 19.11, 19.22, 18.76, 19.0, -1 
PBI, 01/13/2016, 17.27, 19.2, 17.27, 18.58, -1 
PBI, 01/14/2016, 18.58, 18.72, 18.36, 18.6, -1 
PBI, 01/15/2016, 18.09, 18.55, 18.08, 18.44, -1 
PBI, 01/19/2016, 18.6, 18.64, 18.23, 18.44, -1 
PBI, 01/20/2016, 18.1, 18.36, 17.73, 18.17, -1 
PBI, 01/21/2016, 18.11, 18.49, 18.09, 18.34, -1 
PBI, 01/22/2016, 18.51, 18.94, 18.51, 18.73, -1 
PBI, 01/25/2016, 18.52, 18.73, 18.46, 18.56, -1 
PBI, 01/26/2016, 18.56, 19.07, 18.56, 19.07, -1 
PBI, 01/27/2016, 18.96, 19.23, 18.83, 19.05, -1 
PBI, 01/28/2016, 19.14, 19.28, 18.95, 19.07, -1 
PBI, 01/29/2016, 19.09, 19.59, 19.09, 19.57, -1 
PBI, 02/01/2016, 19.27, 19.61, 19.27, 19.43, -1 
PBI, 02/02/2016, 17.81, 17.94, 16.56, 16.74, -1 
PBI, 02/03/2016, 16.82, 17.32, 16.79, 17.13, -1 
PBI, 02/04/2016, 17.04, 17.93, 17.04, 17.62, -1 
PBI, 02/05/2016, 17.49, 17.64, 17.27, 17.31, -1 
PBI, 02/08/2016, 16.99, 17.09, 16.6, 16.81, -1 
PBI, 02/09/2016, 16.59, 16.96, 16.59, 16.65, -1 
PBI, 02/10/2016, 16.79, 17.13, 16.79, 16.89, -1 
PBI, 02/11/2016, 16.6, 16.71, 16.23, 16.45, -1 
PBI, 02/12/2016, 16.11, 16.94, 16.11, 16.87, -1 
PBI, 02/16/2016, 16.93, 17.25, 16.9, 17.15, -1 
PBI, 02/17/2016, 15.59, 17.64, 15.59, 17.56, -1 
PBI, 02/18/2016, 17.54, 17.64, 17.44, 17.49, -1 
PBI, 02/19/2016, 17.37, 17.63, 17.33, 17.58, -1 
PBI, 02/22/2016, 17.7, 17.97, 17.56, 17.71, -1 
PBI, 02/23/2016, 17.56, 17.86, 17.56, 17.73, -1 
PBI, 02/24/2016, 17.47, 17.72, 17.22, 17.7, -1 
PBI, 02/25/2016, 17.71, 17.85, 17.53, 17.85, -1 
PBI, 02/26/2016, 17.83, 18.21, 17.83, 18.03, -1 
PBI, 02/29/2016, 16.04, 18.42, 16.03, 18.12, -1 
PBI, 03/01/2016, 18.18, 18.68, 18.18, 18.62, -1 
PBI, 03/02/2016, 18.51, 18.75, 18.47, 18.74, -1 
PBI, 03/03/2016, 18.67, 19.21, 18.67, 19.18, -1 
PBI, 03/04/2016, 19.11, 19.73, 19.11, 19.5, -1 
PBI, 03/07/2016, 19.36, 20.08, 19.35, 20.06, -1 
PBI, 03/08/2016, 19.84, 19.92, 19.42, 19.51, -1 
PBI, 03/09/2016, 19.4, 19.85, 19.4, 19.82, -1 
PBI, 03/10/2016, 19.83, 20.31, 19.83, 20.2, -1 
PBI, 03/11/2016, 20.25, 20.49, 20.17, 20.44, -1 
PBI, 03/14/2016, 17.71, 20.39, 17.68, 20.2, -1 
PBI, 03/15/2016, 20.0, 20.13, 19.79, 20.12, -1 
PBI, 03/16/2016, 19.94, 20.57, 19.94, 20.52, -1 
PBI, 03/17/2016, 20.39, 21.15, 20.39, 21.07, -1 
PBI, 03/18/2016, 20.98, 21.34, 20.98, 21.25, -1 
PBI, 03/21/2016, 20.52, 21.31, 20.43, 21.24, -1 
PBI, 03/22/2016, 20.78, 21.27, 20.78, 21.16, -1 
PBI, 03/23/2016, 20.49, 21.08, 20.21, 20.8, -1 
PBI, 03/24/2016, 20.54, 20.91, 20.39, 20.89, -1 
