Symbol, Date, Open, High, Low, Close, Volume 
PEP, 10/30/2015, 102.11, 103.24, 102.11, 102.19, -1 
PEP, 11/02/2015, 101.63, 102.47, 101.1, 101.38, -1 
PEP, 11/03/2015, 101.1, 101.13, 99.83, 100.92, -1 
PEP, 11/04/2015, 100.58, 101.34, 100.4, 100.64, -1 
PEP, 11/05/2015, 100.02, 100.93, 100.02, 100.64, -1 
PEP, 11/06/2015, 98.55, 100.28, 98.55, 99.7, -1 
PEP, 11/09/2015, 98.95, 99.4, 98.22, 98.87, -1 
PEP, 11/10/2015, 98.26, 99.22, 98.26, 98.84, -1 
PEP, 11/11/2015, 98.76, 99.94, 98.76, 99.41, -1 
PEP, 11/12/2015, 98.35, 99.29, 98.34, 98.38, -1 
PEP, 11/13/2015, 97.32, 98.95, 97.32, 98.05, -1 
PEP, 11/16/2015, 96.81, 99.66, 96.81, 99.54, -1 
PEP, 11/17/2015, 99.26, 99.87, 98.55, 98.81, -1 
PEP, 11/18/2015, 98.55, 100.37, 98.55, 100.24, -1 
PEP, 11/19/2015, 99.66, 101.37, 99.66, 100.93, -1 
PEP, 11/20/2015, 100.05, 102.16, 100.0, 100.1, -1 
PEP, 11/23/2015, 100.22, 101.69, 100.2, 100.87, -1 
PEP, 11/24/2015, 99.81, 100.99, 99.81, 100.65, -1 
PEP, 11/25/2015, 100.17, 100.91, 100.17, 100.51, -1 
PEP, 11/27/2015, 99.84, 100.99, 99.84, 100.78, -1 
PEP, 11/30/2015, 99.93, 100.94, 99.93, 100.18, -1 
PEP, 12/01/2015, 99.99, 101.11, 99.99, 101.01, -1 
PEP, 12/02/2015, 99.47, 100.35, 99.36, 99.51, -1 
PEP, 12/03/2015, 99.23, 99.98, 98.75, 99.13, -1 
PEP, 12/04/2015, 98.51, 101.37, 98.51, 101.01, -1 
PEP, 12/07/2015, 100.61, 101.5, 100.12, 100.68, -1 
PEP, 12/08/2015, 99.85, 100.79, 99.62, 100.19, -1 
PEP, 12/09/2015, 98.58, 100.94, 98.58, 99.13, -1 
PEP, 12/10/2015, 98.75, 99.6, 98.45, 98.9, -1 
PEP, 12/11/2015, 97.83, 98.78, 97.53, 97.78, -1 
PEP, 12/14/2015, 97.61, 98.61, 96.81, 97.94, -1 
PEP, 12/15/2015, 98.39, 99.66, 98.2, 99.37, -1 
PEP, 12/16/2015, 98.02, 101.33, 98.02, 101.06, -1 
PEP, 12/17/2015, 100.62, 101.11, 100.17, 100.2, -1 
PEP, 12/18/2015, 99.55, 99.66, 97.88, 97.89, -1 
PEP, 12/21/2015, 98.15, 98.63, 97.77, 98.63, -1 
PEP, 12/22/2015, 98.49, 100.06, 98.49, 99.83, -1 
PEP, 12/23/2015, 100.04, 100.75, 99.78, 100.66, -1 
PEP, 12/24/2015, 99.77, 100.96, 99.77, 100.52, -1 
PEP, 12/28/2015, 99.9, 100.78, 99.9, 100.69, -1 
PEP, 12/29/2015, 100.74, 101.7, 100.74, 101.42, -1 
PEP, 12/30/2015, 100.72, 101.53, 100.72, 101.14, -1 
PEP, 12/31/2015, 100.21, 100.81, 99.8, 99.88, -1 
PEP, 01/04/2016, 98.4, 98.98, 97.79, 98.82, -1 
PEP, 01/05/2016, 98.23, 99.85, 98.23, 99.44, -1 
PEP, 01/06/2016, 97.88, 99.75, 97.88, 99.47, -1 
PEP, 01/07/2016, 97.87, 98.98, 97.2, 97.57, -1 
PEP, 01/08/2016, 97.57, 98.63, 96.94, 97.18, -1 
PEP, 01/11/2016, 97.0, 97.92, 96.86, 97.42, -1 
PEP, 01/12/2016, 97.91, 98.37, 97.14, 97.59, -1 
PEP, 01/13/2016, 97.38, 97.93, 96.34, 96.48, -1 
PEP, 01/14/2016, 95.83, 97.07, 95.65, 95.76, -1 
PEP, 01/15/2016, 93.15, 94.55, 93.15, 93.89, -1 
PEP, 01/19/2016, 94.12, 96.1, 94.12, 95.79, -1 
PEP, 01/20/2016, 94.65, 95.36, 93.29, 93.78, -1 
PEP, 01/21/2016, 93.14, 94.67, 93.14, 94.46, -1 
PEP, 01/22/2016, 94.2, 96.28, 94.12, 95.82, -1 
PEP, 01/25/2016, 95.29, 96.83, 95.29, 95.94, -1 
PEP, 01/26/2016, 95.23, 97.21, 95.23, 96.31, -1 
PEP, 01/27/2016, 95.69, 97.27, 95.55, 95.95, -1 
PEP, 01/28/2016, 95.78, 97.89, 95.78, 97.45, -1 
PEP, 01/29/2016, 97.09, 99.26, 97.09, 99.05, -1 
PEP, 02/01/2016, 97.04, 99.39, 97.04, 98.99, -1 
PEP, 02/02/2016, 98.02, 98.68, 98.0, 98.21, -1 
PEP, 02/03/2016, 98.08, 99.03, 97.59, 98.72, -1 
PEP, 02/04/2016, 98.08, 98.87, 97.0, 97.37, -1 
PEP, 02/05/2016, 96.71, 97.71, 96.71, 97.31, -1 
PEP, 02/08/2016, 96.48, 97.86, 96.4, 97.53, -1 
PEP, 02/09/2016, 96.39, 98.79, 96.37, 98.31, -1 
PEP, 02/10/2016, 97.11, 98.72, 97.11, 97.61, -1 
PEP, 02/11/2016, 96.04, 97.89, 96.04, 96.9, -1 
PEP, 02/12/2016, 96.11, 98.59, 96.11, 98.44, -1 
PEP, 02/16/2016, 98.64, 99.16, 98.09, 98.59, -1 
PEP, 02/17/2016, 98.12, 99.89, 98.12, 99.52, -1 
