Symbol, Date, Open, High, Low, Close, Volume 
PFE, 10/30/2015, 34.77, 34.89, 33.73, 33.83, -1 
PFE, 11/02/2015, 34.16, 35.24, 34.14, 35.05, -1 
PFE, 11/03/2015, 34.88, 35.04, 34.65, 34.97, -1 
PFE, 11/04/2015, 34.89, 34.97, 34.09, 34.11, -1 
PFE, 11/05/2015, 34.16, 34.28, 33.99, 34.15, -1 
PFE, 11/06/2015, 33.83, 34.04, 33.34, 33.92, -1 
PFE, 11/09/2015, 33.77, 33.86, 33.38, 33.65, -1 
PFE, 11/10/2015, 33.77, 33.97, 33.61, 33.79, -1 
PFE, 11/11/2015, 33.87, 34.2, 33.65, 33.73, -1 
PFE, 11/12/2015, 33.59, 33.69, 33.35, 33.38, -1 
PFE, 11/13/2015, 33.32, 33.67, 33.14, 33.26, -1 
PFE, 11/16/2015, 33.16, 33.4, 32.85, 33.13, -1 
PFE, 11/17/2015, 33.2, 33.45, 32.87, 32.87, -1 
PFE, 11/18/2015, 33.0, 33.42, 32.93, 33.29, -1 
PFE, 11/19/2015, 32.74, 32.97, 31.95, 32.29, -1 
PFE, 11/20/2015, 32.49, 32.59, 32.08, 32.17, -1 
PFE, 11/23/2015, 31.41, 31.68, 30.99, 31.31, -1 
PFE, 11/24/2015, 31.37, 32.15, 31.21, 31.98, -1 
PFE, 11/25/2015, 32.36, 33.23, 32.2, 32.88, -1 
PFE, 11/27/2015, 32.85, 32.99, 32.67, 32.8, -1 
PFE, 11/30/2015, 32.85, 32.85, 32.53, 32.77, -1 
PFE, 12/01/2015, 32.95, 33.72, 32.8, 33.62, -1 
PFE, 12/02/2015, 33.5, 33.82, 32.79, 32.9, -1 
PFE, 12/03/2015, 32.92, 33.0, 32.36, 32.41, -1 
PFE, 12/04/2015, 32.43, 32.88, 32.41, 32.79, -1 
PFE, 12/07/2015, 32.62, 32.88, 32.45, 32.66, -1 
PFE, 12/08/2015, 32.36, 32.74, 32.29, 32.53, -1 
PFE, 12/09/2015, 32.39, 32.64, 32.12, 32.29, -1 
PFE, 12/10/2015, 32.26, 32.71, 32.24, 32.37, -1 
PFE, 12/11/2015, 32.13, 32.19, 31.97, 32.06, -1 
PFE, 12/14/2015, 31.91, 32.2, 31.84, 32.17, -1 
PFE, 12/15/2015, 32.58, 32.81, 32.16, 32.25, -1 
PFE, 12/16/2015, 32.32, 32.66, 31.99, 32.57, -1 
PFE, 12/17/2015, 32.51, 32.66, 32.3, 32.33, -1 
PFE, 12/18/2015, 32.21, 32.45, 31.95, 31.96, -1 
PFE, 12/21/2015, 32.08, 32.44, 32.01, 32.44, -1 
PFE, 12/22/2015, 32.54, 32.59, 32.35, 32.5, -1 
PFE, 12/23/2015, 32.54, 32.73, 32.52, 32.57, -1 
PFE, 12/24/2015, 32.46, 32.71, 32.46, 32.6, -1 
PFE, 12/28/2015, 32.53, 32.57, 32.37, 32.43, -1 
PFE, 12/29/2015, 32.52, 32.9, 32.52, 32.82, -1 
PFE, 12/30/2015, 32.71, 32.88, 32.64, 32.73, -1 
PFE, 12/31/2015, 32.45, 32.57, 32.27, 32.27, -1 
PFE, 01/04/2016, 31.86, 32.03, 31.57, 31.96, -1 
PFE, 01/05/2016, 32.17, 32.24, 31.93, 32.17, -1 
PFE, 01/06/2016, 31.68, 31.89, 31.42, 31.62, -1 
