Symbol, Date, Open, High, Low, Close, Volume 
PG, 10/30/2015, 76.67, 77.14, 76.39, 76.39, -1 
PG, 11/02/2015, 76.39, 76.76, 76.04, 76.59, -1 
PG, 11/03/2015, 76.18, 77.41, 75.95, 77.06, -1 
PG, 11/04/2015, 77.06, 77.13, 76.5, 77.07, -1 
PG, 11/05/2015, 76.89, 77.25, 75.96, 76.42, -1 
PG, 11/06/2015, 75.88, 75.99, 74.69, 75.56, -1 
PG, 11/09/2015, 75.15, 75.62, 74.92, 75.41, -1 
PG, 11/10/2015, 75.18, 76.23, 75.18, 75.79, -1 
PG, 11/11/2015, 75.62, 76.44, 75.62, 75.96, -1 
PG, 11/12/2015, 75.55, 76.01, 74.66, 74.66, -1 
PG, 11/13/2015, 74.42, 74.98, 73.95, 73.97, -1 
PG, 11/16/2015, 73.8, 75.32, 73.8, 75.28, -1 
PG, 11/17/2015, 75.19, 76.0, 74.87, 75.07, -1 
PG, 11/18/2015, 74.89, 75.95, 74.81, 75.87, -1 
PG, 11/19/2015, 75.94, 76.95, 75.94, 76.19, -1 
PG, 11/20/2015, 76.37, 76.86, 75.68, 75.81, -1 
PG, 11/23/2015, 75.81, 76.05, 75.38, 75.98, -1 
PG, 11/24/2015, 75.28, 76.68, 75.28, 76.47, -1 
PG, 11/25/2015, 76.4, 76.72, 75.88, 75.91, -1 
PG, 11/27/2015, 75.68, 76.27, 75.5, 75.71, -1 
PG, 11/30/2015, 75.51, 75.74, 74.84, 74.89, -1 
PG, 12/01/2015, 74.79, 76.21, 74.79, 75.94, -1 
PG, 12/02/2015, 75.73, 76.45, 75.64, 75.79, -1 
PG, 12/03/2015, 75.76, 76.19, 75.17, 75.78, -1 
PG, 12/04/2015, 75.75, 77.9, 75.61, 77.8, -1 
PG, 12/07/2015, 77.54, 78.49, 77.54, 78.38, -1 
PG, 12/08/2015, 77.68, 78.49, 77.35, 77.77, -1 
PG, 12/09/2015, 77.39, 78.99, 77.38, 77.71, -1 
PG, 12/10/2015, 77.6, 78.54, 77.56, 77.79, -1 
PG, 12/11/2015, 77.41, 78.32, 77.1, 77.78, -1 
PG, 12/14/2015, 77.35, 78.52, 77.35, 78.32, -1 
PG, 12/15/2015, 78.43, 79.99, 78.43, 79.71, -1 
PG, 12/16/2015, 79.86, 81.23, 79.8, 80.96, -1 
PG, 12/17/2015, 80.95, 81.01, 80.19, 80.29, -1 
PG, 12/18/2015, 79.95, 79.95, 78.16, 78.17, -1 
PG, 12/21/2015, 78.56, 78.97, 78.14, 78.95, -1 
PG, 12/22/2015, 79.08, 79.74, 78.88, 79.58, -1 
PG, 12/23/2015, 79.87, 80.42, 79.5, 79.91, -1 
PG, 12/24/2015, 79.52, 80.14, 79.52, 79.77, -1 
PG, 12/28/2015, 79.24, 79.96, 79.24, 79.92, -1 
PG, 12/29/2015, 79.74, 80.6, 79.74, 80.33, -1 
PG, 12/30/2015, 79.96, 80.48, 79.96, 80.05, -1 
PG, 12/31/2015, 79.51, 80.04, 79.3, 79.39, -1 
PG, 01/04/2016, 78.15, 78.5, 77.54, 78.39, -1 
PG, 01/05/2016, 78.15, 78.96, 78.15, 78.64, -1 
PG, 01/06/2016, 77.54, 78.28, 77.12, 77.87, -1 
PG, 01/07/2016, 76.72, 77.6, 76.07, 77.13, -1 
PG, 01/08/2016, 77.26, 77.39, 75.67, 75.94, -1 
PG, 01/11/2016, 76.09, 77.04, 75.59, 76.67, -1 
PG, 01/12/2016, 76.81, 77.0, 75.75, 76.48, -1 
PG, 01/13/2016, 76.51, 76.99, 75.79, 75.85, -1 
PG, 01/14/2016, 75.87, 76.93, 75.87, 76.13, -1 
PG, 01/15/2016, 74.31, 75.67, 74.31, 74.96, -1 
PG, 01/19/2016, 75.73, 76.9, 75.72, 76.7, -1 
PG, 01/20/2016, 75.08, 76.08, 74.45, 75.82, -1 
PG, 01/21/2016, 75.3, 77.17, 75.3, 76.73, -1 
PG, 01/22/2016, 76.92, 77.97, 76.53, 77.37, -1 
PG, 01/25/2016, 77.06, 77.35, 76.55, 76.92, -1 
PG, 01/26/2016, 78.0, 79.57, 77.54, 78.81, -1 
PG, 01/27/2016, 78.51, 79.84, 78.14, 78.78, -1 
PG, 01/28/2016, 78.76, 79.99, 78.52, 79.82, -1 
PG, 01/29/2016, 79.8, 81.99, 79.8, 81.71, -1 
PG, 02/01/2016, 81.06, 81.39, 80.51, 81.06, -1 
PG, 02/02/2016, 79.96, 80.53, 79.81, 80.23, -1 
PG, 02/03/2016, 80.27, 81.24, 80.01, 81.09, -1 
PG, 02/04/2016, 80.79, 81.05, 80.32, 80.68, -1 
PG, 02/05/2016, 80.51, 81.19, 80.51, 81.19, -1 
PG, 02/08/2016, 80.26, 82.71, 80.26, 82.67, -1 
PG, 02/09/2016, 81.71, 82.99, 81.02, 82.67, -1 
PG, 02/10/2016, 82.76, 82.99, 81.46, 81.6, -1 
PG, 02/11/2016, 80.25, 80.97, 79.63, 79.88, -1 
PG, 02/12/2016, 80.0, 81.02, 79.78, 80.98, -1 
PG, 02/16/2016, 81.82, 81.95, 80.84, 81.44, -1 
PG, 02/17/2016, 81.41, 82.82, 81.41, 82.39, -1 
PG, 02/18/2016, 81.87, 82.24, 81.21, 81.97, -1 
PG, 02/19/2016, 81.62, 82.25, 81.4, 81.74, -1 
PG, 02/22/2016, 81.93, 82.67, 81.69, 82.08, -1 
PG, 02/23/2016, 81.79, 82.44, 81.61, 81.81, -1 
PG, 02/24/2016, 81.24, 81.63, 80.65, 81.55, -1 
PG, 02/25/2016, 81.41, 82.33, 81.41, 82.32, -1 
PG, 02/26/2016, 82.52, 82.6, 80.94, 81.07, -1 
PG, 02/29/2016, 80.96, 81.34, 80.21, 80.26, -1 
PG, 03/01/2016, 80.54, 81.36, 80.39, 81.2, -1 
PG, 03/02/2016, 81.56, 82.65, 80.85, 82.51, -1 
PG, 03/03/2016, 82.49, 82.92, 82.18, 82.85, -1 
PG, 03/04/2016, 82.38, 83.73, 82.25, 83.46, -1 
PG, 03/07/2016, 83.15, 83.69, 83.0, 83.09, -1 
PG, 03/08/2016, 82.7, 83.74, 82.66, 83.07, -1 
PG, 03/09/2016, 83.12, 83.68, 82.68, 82.93, -1 
PG, 03/10/2016, 83.06, 83.23, 81.75, 82.26, -1 
PG, 03/11/2016, 82.59, 82.8, 81.44, 81.77, -1 
PG, 03/14/2016, 81.5, 81.83, 80.68, 81.15, -1 
PG, 03/15/2016, 80.82, 81.45, 80.76, 81.29, -1 
PG, 03/16/2016, 81.08, 81.8, 80.47, 81.35, -1 
PG, 03/17/2016, 81.16, 83.22, 81.16, 82.76, -1 
PG, 03/18/2016, 82.86, 83.49, 82.43, 83.21, -1 
PG, 03/21/2016, 83.08, 83.86, 82.89, 83.32, -1 
PG, 03/22/2016, 83.28, 83.28, 82.48, 82.74, -1 
PG, 03/23/2016, 82.54, 83.48, 82.54, 82.82, -1 
PG, 03/24/2016, 82.37, 83.11, 82.37, 82.89, -1 
