Symbol, Date, Open, High, Low, Close, Volume 
PHM, 10/30/2015, 17.89, 18.41, 17.84, 18.32, -1 
PHM, 11/02/2015, 18.26, 18.49, 18.23, 18.38, -1 
PHM, 11/03/2015, 18.29, 18.67, 18.1, 18.46, -1 
PHM, 11/04/2015, 18.42, 18.62, 18.26, 18.33, -1 
PHM, 11/05/2015, 18.26, 18.34, 17.88, 18.14, -1 
PHM, 11/06/2015, 17.94, 18.18, 17.75, 17.89, -1 
PHM, 11/09/2015, 17.85, 17.9, 17.29, 17.56, -1 
PHM, 11/10/2015, 17.46, 18.21, 17.46, 18.19, -1 
PHM, 11/11/2015, 18.14, 18.48, 18.05, 18.43, -1 
PHM, 11/12/2015, 18.14, 18.19, 17.83, 17.92, -1 
PHM, 11/13/2015, 17.8, 18.09, 17.67, 17.7, -1 
PHM, 11/16/2015, 17.64, 18.48, 17.63, 18.44, -1 
PHM, 11/17/2015, 18.38, 18.69, 18.33, 18.4, -1 
PHM, 11/18/2015, 17.72, 18.99, 17.72, 18.96, -1 
PHM, 11/19/2015, 18.75, 19.19, 18.75, 19.08, -1 
PHM, 11/20/2015, 19.07, 19.36, 18.99, 19.19, -1 
PHM, 11/23/2015, 19.02, 19.45, 19.02, 19.25, -1 
PHM, 11/24/2015, 18.93, 19.59, 18.93, 19.51, -1 
PHM, 11/25/2015, 19.44, 19.8, 19.44, 19.75, -1 
PHM, 11/27/2015, 19.77, 19.8, 19.6, 19.66, -1 
PHM, 11/30/2015, 19.66, 19.7, 19.41, 19.49, -1 
PHM, 12/01/2015, 19.09, 19.69, 19.09, 19.64, -1 
PHM, 12/02/2015, 19.51, 19.69, 18.94, 19.07, -1 
PHM, 12/03/2015, 18.66, 19.25, 18.66, 18.88, -1 
PHM, 12/04/2015, 18.84, 19.45, 18.84, 19.41, -1 
PHM, 12/07/2015, 19.3, 19.51, 19.23, 19.38, -1 
PHM, 12/08/2015, 19.04, 19.25, 18.67, 18.78, -1 
PHM, 12/09/2015, 18.56, 18.76, 17.97, 18.01, -1 
PHM, 12/10/2015, 17.95, 18.31, 17.9, 18.16, -1 
PHM, 12/11/2015, 17.71, 17.89, 17.58, 17.64, -1 
PHM, 12/14/2015, 17.58, 17.72, 17.08, 17.18, -1 
PHM, 12/15/2015, 17.22, 17.54, 17.15, 17.39, -1 
PHM, 12/16/2015, 17.48, 18.11, 17.48, 18.01, -1 
PHM, 12/17/2015, 18.0, 18.17, 17.67, 17.74, -1 
PHM, 12/18/2015, 17.64, 17.73, 17.26, 17.32, -1 
PHM, 12/21/2015, 17.36, 17.88, 17.36, 17.77, -1 
PHM, 12/22/2015, 17.43, 17.91, 17.38, 17.8, -1 
PHM, 12/23/2015, 17.74, 18.19, 17.74, 18.12, -1 
PHM, 12/24/2015, 18.08, 18.37, 18.08, 18.22, -1 
PHM, 12/28/2015, 18.05, 18.19, 17.82, 18.1, -1 
PHM, 12/29/2015, 18.16, 18.29, 17.87, 18.15, -1 
PHM, 12/30/2015, 18.07, 18.21, 17.93, 17.96, -1 
PHM, 12/31/2015, 17.82, 18.06, 17.8, 17.81, -1 
PHM, 01/04/2016, 17.54, 17.59, 16.78, 17.14, -1 
