Symbol, Date, Open, High, Low, Close, Volume 
PLD, 10/30/2015, 43.04, 43.24, 42.57, 42.7, -1 
PLD, 11/02/2015, 42.27, 43.67, 42.27, 43.65, -1 
PLD, 11/03/2015, 42.7, 43.56, 42.7, 43.24, -1 
PLD, 11/04/2015, 43.09, 43.4, 42.95, 43.16, -1 
PLD, 11/05/2015, 42.89, 43.26, 42.83, 43.15, -1 
PLD, 11/06/2015, 42.13, 42.62, 41.48, 41.86, -1 
PLD, 11/09/2015, 41.16, 41.69, 40.58, 40.84, -1 
PLD, 11/10/2015, 40.69, 41.36, 40.69, 41.13, -1 
PLD, 11/11/2015, 37.68, 41.47, 37.67, 41.32, -1 
PLD, 11/12/2015, 40.67, 41.22, 40.67, 41.05, -1 
PLD, 11/13/2015, 40.38, 41.38, 40.38, 40.96, -1 
PLD, 11/16/2015, 37.52, 41.79, 37.51, 41.79, -1 
PLD, 11/17/2015, 37.96, 41.97, 37.73, 41.6, -1 
PLD, 11/18/2015, 41.49, 42.3, 41.49, 42.26, -1 
PLD, 11/19/2015, 38.63, 42.65, 38.13, 42.28, -1 
PLD, 11/20/2015, 42.16, 43.17, 42.16, 43.09, -1 
PLD, 11/23/2015, 42.87, 43.52, 42.87, 43.21, -1 
PLD, 11/24/2015, 42.88, 43.46, 42.88, 43.32, -1 
PLD, 11/25/2015, 42.04, 43.56, 42.04, 43.22, -1 
PLD, 11/27/2015, 42.06, 43.61, 42.06, 43.59, -1 
PLD, 11/30/2015, 42.04, 43.63, 42.04, 42.75, -1 
PLD, 12/01/2015, 41.95, 43.68, 41.95, 43.65, -1 
PLD, 12/02/2015, 41.79, 43.46, 41.79, 42.36, -1 
PLD, 12/03/2015, 41.79, 42.38, 41.28, 41.47, -1 
PLD, 12/04/2015, 37.99, 42.71, 37.98, 42.69, -1 
PLD, 12/07/2015, 42.5, 42.83, 42.37, 42.66, -1 
PLD, 12/08/2015, 42.22, 42.83, 42.11, 42.43, -1 
PLD, 12/09/2015, 38.73, 42.62, 38.68, 42.13, -1 
PLD, 12/10/2015, 41.96, 42.52, 41.88, 41.97, -1 
PLD, 12/11/2015, 37.95, 41.85, 37.94, 41.4, -1 
PLD, 12/14/2015, 40.09, 41.42, 40.09, 41.31, -1 
PLD, 12/15/2015, 41.31, 41.81, 41.13, 41.55, -1 
PLD, 12/16/2015, 41.69, 42.47, 41.55, 42.32, -1 
PLD, 12/17/2015, 38.74, 42.36, 38.72, 42.0, -1 
PLD, 12/18/2015, 41.7, 42.08, 41.61, 41.68, -1 
PLD, 12/21/2015, 38.16, 42.19, 38.14, 41.91, -1 
PLD, 12/22/2015, 41.87, 42.45, 41.87, 42.08, -1 
PLD, 12/23/2015, 37.28, 42.45, 37.13, 42.38, -1 
PLD, 12/24/2015, 42.27, 42.68, 42.09, 42.47, -1 
PLD, 12/28/2015, 38.68, 42.91, 38.68, 42.9, -1 
PLD, 12/29/2015, 42.92, 43.59, 42.92, 43.56, -1 
PLD, 12/30/2015, 43.33, 43.49, 43.12, 43.23, -1 
PLD, 12/31/2015, 39.6, 43.28, 39.56, 42.92, -1 
PLD, 01/04/2016, 42.26, 42.4, 41.46, 41.91, -1 
PLD, 01/05/2016, 41.7, 42.93, 41.7, 42.79, -1 
PLD, 01/06/2016, 42.09, 42.63, 42.09, 42.56, -1 
PLD, 01/07/2016, 37.36, 42.07, 37.13, 41.44, -1 
PLD, 01/08/2016, 41.53, 41.85, 41.0, 41.07, -1 
PLD, 01/11/2016, 37.59, 41.39, 37.57, 41.02, -1 
PLD, 01/12/2016, 41.08, 41.25, 40.33, 40.69, -1 
PLD, 01/13/2016, 40.54, 41.45, 40.41, 40.51, -1 
PLD, 01/14/2016, 40.31, 40.64, 39.54, 39.65, -1 
PLD, 01/15/2016, 38.34, 39.35, 38.34, 38.79, -1 
PLD, 01/19/2016, 38.93, 39.52, 38.88, 39.04, -1 
PLD, 01/20/2016, 38.5, 38.72, 36.67, 37.41, -1 
PLD, 01/21/2016, 34.12, 38.02, 34.12, 37.72, -1 
PLD, 01/22/2016, 34.56, 38.82, 34.55, 38.6, -1 
PLD, 01/25/2016, 38.18, 39.0, 38.08, 38.23, -1 
PLD, 01/26/2016, 38.29, 39.85, 38.29, 39.83, -1 
PLD, 01/27/2016, 39.37, 39.97, 39.19, 39.47, -1 
PLD, 01/28/2016, 39.55, 39.88, 38.78, 38.87, -1 
PLD, 01/29/2016, 38.59, 39.74, 38.59, 39.46, -1 
PLD, 02/01/2016, 38.98, 39.78, 38.98, 39.46, -1 
PLD, 02/02/2016, 39.09, 39.41, 38.97, 39.27, -1 
PLD, 02/03/2016, 39.34, 39.71, 39.04, 39.52, -1 
PLD, 02/04/2016, 39.23, 39.79, 39.12, 39.57, -1 
PLD, 02/05/2016, 38.15, 39.41, 38.15, 39.21, -1 
PLD, 02/08/2016, 38.55, 39.02, 37.31, 37.64, -1 
PLD, 02/09/2016, 37.24, 37.64, 36.95, 37.42, -1 
PLD, 02/10/2016, 37.27, 38.14, 37.27, 37.29, -1 
PLD, 02/11/2016, 36.66, 36.83, 35.25, 35.56, -1 
PLD, 02/12/2016, 35.65, 36.11, 35.57, 36.06, -1 
PLD, 02/16/2016, 34.04, 37.19, 34.04, 37.17, -1 
PLD, 02/17/2016, 34.02, 37.69, 34.01, 37.46, -1 
PLD, 02/18/2016, 37.3, 37.8, 37.05, 37.66, -1 
PLD, 02/19/2016, 34.29, 37.7, 34.27, 37.32, -1 
PLD, 02/22/2016, 37.43, 38.15, 37.43, 37.7, -1 
PLD, 02/23/2016, 35.48, 38.26, 35.47, 37.91, -1 
PLD, 02/24/2016, 37.49, 38.27, 37.45, 38.16, -1 
PLD, 02/25/2016, 38.04, 39.41, 38.04, 39.07, -1 
PLD, 02/26/2016, 38.85, 39.24, 38.59, 38.61, -1 
PLD, 02/29/2016, 35.86, 39.11, 35.86, 38.45, -1 
PLD, 03/01/2016, 38.35, 40.27, 38.35, 40.26, -1 
PLD, 03/02/2016, 39.81, 40.48, 39.81, 40.46, -1 
PLD, 03/03/2016, 40.21, 41.04, 40.21, 41.01, -1 
PLD, 03/04/2016, 40.76, 41.52, 40.76, 41.48, -1 
PLD, 03/07/2016, 40.89, 41.66, 40.89, 41.59, -1 
PLD, 03/08/2016, 37.77, 41.67, 37.77, 41.33, -1 
PLD, 03/09/2016, 41.08, 41.86, 41.08, 41.7, -1 
PLD, 03/10/2016, 38.21, 42.2, 38.21, 41.39, -1 
PLD, 03/11/2016, 41.54, 42.51, 41.54, 42.48, -1 
PLD, 03/14/2016, 38.72, 42.45, 38.56, 42.39, -1 
PLD, 03/15/2016, 41.96, 42.49, 41.92, 42.35, -1 
PLD, 03/16/2016, 39.89, 42.5, 39.89, 42.34, -1 
PLD, 03/17/2016, 38.74, 43.3, 38.74, 42.97, -1 
PLD, 03/18/2016, 42.83, 43.06, 42.74, 42.75, -1 
PLD, 03/21/2016, 39.12, 42.88, 39.11, 42.61, -1 
PLD, 03/22/2016, 42.09, 42.77, 42.09, 42.56, -1 
PLD, 03/23/2016, 40.77, 42.77, 40.77, 42.18, -1 
PLD, 03/24/2016, 40.51, 42.39, 40.51, 42.32, -1 
PLD, 03/28/2016, 42.15, 42.99, 42.13, 42.95, -1 
PLD, 03/29/2016, 42.7, 43.86, 42.7, 43.83, -1 
PLD, 03/30/2016, 43.67, 44.03, 43.48, 43.67, -1 
PLD, 03/31/2016, 43.38, 44.25, 43.38, 44.2, -1 
PLD, 04/01/2016, 42.74, 44.69, 42.74, 44.62, -1 
PLD, 04/04/2016, 44.42, 44.77, 44.22, 44.38, -1 
PLD, 04/05/2016, 42.35, 44.31, 42.35, 44.13, -1 
PLD, 04/06/2016, 43.81, 44.4, 43.81, 44.05, -1 
PLD, 04/07/2016, 43.6, 44.07, 43.44, 43.65, -1 
PLD, 04/08/2016, 43.45, 44.56, 43.45, 44.12, -1 
PLD, 04/11/2016, 42.72, 44.53, 42.72, 43.97, -1 
PLD, 04/12/2016, 43.3, 44.25, 43.3, 43.97, -1 
PLD, 04/13/2016, 43.9, 44.55, 43.72, 44.53, -1 
PLD, 04/14/2016, 44.17, 44.61, 44.17, 44.4, -1 
PLD, 04/15/2016, 44.24, 45.15, 44.24, 44.83, -1 
PLD, 04/18/2016, 42.04, 45.13, 42.04, 45.1, -1 
PLD, 04/19/2016, 39.36, 45.79, 39.36, 45.77, -1 
PLD, 04/20/2016, 45.35, 45.89, 44.88, 45.02, -1 
PLD, 04/21/2016, 44.72, 45.06, 43.95, 44.25, -1 
PLD, 04/22/2016, 44.1, 45.0, 44.1, 44.9, -1 
PLD, 04/25/2016, 44.44, 45.78, 44.44, 45.78, -1 
PLD, 04/26/2016, 45.59, 45.98, 45.48, 45.78, -1 
PLD, 04/27/2016, 45.49, 46.08, 45.49, 46.0, -1 
PLD, 04/28/2016, 43.31, 45.96, 43.31, 45.67, -1 
PLD, 04/29/2016, 42.35, 45.52, 42.35, 45.4, -1 
PLD, 05/02/2016, 45.21, 46.08, 45.21, 45.99, -1 
PLD, 05/03/2016, 45.68, 45.99, 45.51, 45.63, -1 
PLD, 05/04/2016, 42.87, 45.98, 42.87, 45.87, -1 
PLD, 05/05/2016, 45.64, 46.32, 45.64, 46.09, -1 
PLD, 05/06/2016, 43.31, 46.62, 43.31, 46.59, -1 
PLD, 05/09/2016, 46.47, 47.37, 46.47, 47.28, -1 
PLD, 05/10/2016, 47.13, 47.79, 47.13, 47.74, -1 
PLD, 05/11/2016, 47.37, 47.58, 46.88, 46.97, -1 
PLD, 05/12/2016, 46.71, 47.57, 46.71, 47.45, -1 
PLD, 05/13/2016, 46.93, 47.65, 46.93, 47.44, -1 
PLD, 05/16/2016, 47.23, 48.17, 47.23, 48.1, -1 
PLD, 05/17/2016, 47.64, 48.2, 47.34, 47.51, -1 
PLD, 05/18/2016, 45.04, 47.22, 45.04, 46.85, -1 
PLD, 05/19/2016, 45.33, 46.74, 45.33, 46.52, -1 
PLD, 05/20/2016, 46.44, 47.02, 46.44, 46.83, -1 
PLD, 05/23/2016, 45.32, 47.06, 45.32, 46.55, -1 
PLD, 05/24/2016, 46.27, 47.41, 46.27, 47.24, -1 
PLD, 05/25/2016, 46.97, 47.46, 46.92, 47.08, -1 
PLD, 05/26/2016, 46.73, 47.27, 46.73, 47.11, -1 
PLD, 05/27/2016, 46.18, 47.6, 46.18, 47.57, -1 
PLD, 05/31/2016, 47.45, 47.67, 47.29, 47.51, -1 
PLD, 06/01/2016, 47.25, 47.82, 47.25, 47.78, -1 
PLD, 06/02/2016, 47.31, 47.99, 47.31, 47.99, -1 
PLD, 06/03/2016, 47.99, 48.71, 47.99, 48.45, -1 
PLD, 06/06/2016, 47.56, 48.65, 47.56, 48.31, -1 
PLD, 06/07/2016, 46.62, 49.09, 46.62, 49.02, -1 
PLD, 06/08/2016, 48.83, 49.42, 48.83, 49.36, -1 
PLD, 06/09/2016, 48.65, 49.91, 48.65, 49.85, -1 
PLD, 06/10/2016, 49.43, 50.15, 49.41, 49.89, -1 
PLD, 06/13/2016, 49.58, 50.37, 49.58, 50.0, -1 
PLD, 06/14/2016, 49.7, 49.97, 49.25, 49.35, -1 
PLD, 06/15/2016, 47.91, 50.1, 47.91, 49.89, -1 
PLD, 06/16/2016, 49.49, 50.36, 49.35, 50.32, -1 
PLD, 06/17/2016, 50.0, 50.28, 49.63, 49.85, -1 
PLD, 06/20/2016, 49.69, 50.73, 49.69, 49.9, -1 
PLD, 06/21/2016, 49.65, 50.47, 49.65, 49.97, -1 
PLD, 06/22/2016, 49.65, 50.2, 49.65, 50.02, -1 
PLD, 06/23/2016, 49.79, 50.55, 49.79, 50.08, -1 
PLD, 06/24/2016, 43.58, 48.99, 43.58, 48.12, -1 
PLD, 06/27/2016, 47.45, 47.9, 46.76, 46.9, -1 
PLD, 06/28/2016, 47.11, 47.96, 46.98, 47.95, -1 
PLD, 06/29/2016, 47.95, 49.31, 47.95, 49.1, -1 
PLD, 06/30/2016, 46.11, 49.06, 46.11, 49.03, -1 
PLD, 07/01/2016, 48.35, 49.37, 48.35, 48.71, -1 
PLD, 07/05/2016, 47.45, 49.68, 47.45, 49.54, -1 
PLD, 07/06/2016, 49.13, 49.6, 48.9, 49.35, -1 
PLD, 07/07/2016, 49.01, 49.18, 48.46, 48.73, -1 
PLD, 07/08/2016, 48.6, 49.58, 48.6, 49.53, -1 
PLD, 07/11/2016, 49.35, 50.05, 49.26, 49.9, -1 
PLD, 07/12/2016, 49.37, 50.08, 49.37, 50.08, -1 
PLD, 07/13/2016, 49.78, 50.65, 49.78, 50.63, -1 
PLD, 07/14/2016, 50.54, 51.02, 50.44, 50.95, -1 
PLD, 07/15/2016, 50.57, 51.33, 50.57, 51.33, -1 
PLD, 07/18/2016, 50.9, 51.65, 50.9, 51.6, -1 
PLD, 07/19/2016, 50.82, 51.76, 50.82, 51.69, -1 
PLD, 07/20/2016, 51.47, 51.95, 51.06, 51.59, -1 
PLD, 07/21/2016, 48.02, 51.77, 48.02, 51.75, -1 
PLD, 07/22/2016, 51.43, 52.66, 51.43, 52.58, -1 
PLD, 07/25/2016, 48.01, 53.04, 48.01, 52.97, -1 
PLD, 07/26/2016, 52.62, 53.35, 52.62, 53.19, -1 
PLD, 07/27/2016, 52.81, 53.17, 52.15, 52.52, -1 
PLD, 07/28/2016, 51.84, 53.88, 51.84, 53.62, -1 
PLD, 07/29/2016, 53.29, 54.56, 53.29, 54.48, -1 
PLD, 08/01/2016, 54.24, 54.86, 54.24, 54.58, -1 
PLD, 08/02/2016, 52.19, 54.61, 52.19, 54.19, -1 
PLD, 08/03/2016, 51.07, 54.34, 51.07, 54.04, -1 
