Symbol, Date, Open, High, Low, Close, Volume 
QRVO, 10/30/2015, 43.0, 44.76, 43.0, 43.92, -1 
QRVO, 11/02/2015, 43.9, 45.6, 43.9, 45.25, -1 
QRVO, 11/03/2015, 44.59, 46.28, 44.59, 45.69, -1 
QRVO, 11/04/2015, 45.71, 47.03, 45.26, 46.57, -1 
QRVO, 11/05/2015, 46.6, 46.81, 44.34, 45.08, -1 
QRVO, 11/06/2015, 50.5, 55.8, 50.5, 55.54, -1 
QRVO, 11/09/2015, 54.5, 55.05, 53.08, 54.07, -1 
QRVO, 11/10/2015, 51.8, 52.92, 51.3, 52.28, -1 
QRVO, 11/11/2015, 52.29, 52.61, 51.55, 52.2, -1 
QRVO, 11/12/2015, 51.25, 52.1, 50.01, 50.98, -1 
QRVO, 11/13/2015, 50.1, 52.0, 50.1, 51.0, -1 
QRVO, 11/16/2015, 50.01, 51.97, 50.01, 51.84, -1 
QRVO, 11/17/2015, 51.85, 55.04, 51.85, 54.73, -1 
QRVO, 11/18/2015, 55.2, 56.93, 54.2, 56.33, -1 
QRVO, 11/19/2015, 56.0, 57.2, 54.66, 55.76, -1 
QRVO, 11/20/2015, 54.65, 56.05, 54.52, 54.77, -1 
QRVO, 11/23/2015, 54.42, 55.36, 54.0, 54.83, -1 
QRVO, 11/24/2015, 53.71, 56.12, 53.71, 55.75, -1 
QRVO, 11/25/2015, 55.4, 58.22, 55.4, 57.34, -1 
QRVO, 11/27/2015, 57.35, 57.69, 56.43, 57.44, -1 
QRVO, 11/30/2015, 57.64, 58.42, 56.82, 58.04, -1 
QRVO, 12/01/2015, 56.99, 59.78, 56.99, 58.04, -1 
QRVO, 12/02/2015, 58.1, 59.41, 57.82, 58.48, -1 
QRVO, 12/03/2015, 59.36, 59.9, 57.85, 58.09, -1 
QRVO, 12/04/2015, 56.37, 59.95, 56.37, 59.54, -1 
QRVO, 12/07/2015, 59.0, 59.4, 57.45, 57.62, -1 
QRVO, 12/08/2015, 56.46, 57.58, 56.01, 57.28, -1 
QRVO, 12/09/2015, 55.69, 57.45, 54.86, 56.15, -1 
QRVO, 12/10/2015, 55.51, 57.93, 55.51, 57.49, -1 
QRVO, 12/11/2015, 55.61, 57.61, 55.61, 56.17, -1 
QRVO, 12/14/2015, 56.06, 56.06, 52.1, 52.46, -1 
QRVO, 12/15/2015, 52.02, 53.2, 50.56, 51.67, -1 
QRVO, 12/16/2015, 51.69, 53.58, 50.19, 53.23, -1 
QRVO, 12/17/2015, 51.74, 54.01, 51.74, 52.75, -1 
QRVO, 12/18/2015, 52.0, 53.16, 51.25, 51.63, -1 
QRVO, 12/21/2015, 52.0, 53.37, 50.13, 53.31, -1 
QRVO, 12/22/2015, 52.97, 53.64, 51.61, 52.41, -1 
QRVO, 12/23/2015, 50.03, 54.75, 50.03, 54.41, -1 
QRVO, 12/24/2015, 53.01, 54.78, 53.01, 54.21, -1 
QRVO, 12/28/2015, 52.01, 54.0, 52.0, 52.87, -1 
QRVO, 12/29/2015, 52.51, 53.7, 51.36, 52.98, -1 
QRVO, 12/30/2015, 52.11, 53.19, 51.6, 51.66, -1 
QRVO, 12/31/2015, 50.69, 51.79, 49.45, 50.9, -1 
QRVO, 01/04/2016, 48.74, 50.77, 48.6, 50.72, -1 
QRVO, 01/05/2016, 49.54, 50.93, 47.36, 47.52, -1 
QRVO, 01/06/2016, 46.05, 46.69, 44.12, 44.6, -1 
QRVO, 01/07/2016, 43.86, 47.1, 43.86, 45.64, -1 
QRVO, 01/08/2016, 42.5, 45.3, 42.25, 44.49, -1 
QRVO, 01/11/2016, 44.51, 44.83, 42.77, 44.22, -1 
QRVO, 01/12/2016, 44.37, 45.7, 44.0, 44.78, -1 
QRVO, 01/13/2016, 40.71, 42.15, 38.9, 40.4, -1 
QRVO, 01/14/2016, 40.6, 40.6, 38.96, 39.41, -1 
QRVO, 01/15/2016, 37.95, 38.0, 35.13, 36.53, -1 
QRVO, 01/19/2016, 37.21, 37.42, 35.71, 36.26, -1 
QRVO, 01/20/2016, 35.0, 37.89, 35.0, 37.05, -1 
QRVO, 01/21/2016, 36.0, 38.37, 36.0, 37.83, -1 
QRVO, 01/22/2016, 38.26, 41.14, 38.26, 41.06, -1 
QRVO, 01/25/2016, 39.9, 40.75, 39.45, 39.76, -1 
QRVO, 01/26/2016, 40.19, 40.44, 39.0, 39.74, -1 
QRVO, 01/27/2016, 38.68, 39.37, 36.75, 36.99, -1 
QRVO, 01/28/2016, 36.7, 37.71, 36.13, 36.66, -1 
QRVO, 01/29/2016, 35.22, 39.98, 35.22, 39.59, -1 
QRVO, 02/01/2016, 38.52, 40.55, 38.31, 39.97, -1 
QRVO, 02/02/2016, 38.32, 39.3, 37.06, 37.15, -1 
QRVO, 02/03/2016, 37.12, 37.57, 35.5, 37.05, -1 
QRVO, 02/04/2016, 37.39, 38.9, 37.08, 38.75, -1 
QRVO, 02/05/2016, 35.91, 38.01, 34.9, 37.24, -1 
QRVO, 02/08/2016, 36.6, 37.14, 35.42, 36.41, -1 
QRVO, 02/09/2016, 35.64, 37.02, 35.01, 35.14, -1 
QRVO, 02/10/2016, 34.25, 36.62, 34.25, 35.36, -1 
QRVO, 02/11/2016, 34.2, 34.84, 33.29, 34.52, -1 
QRVO, 02/12/2016, 35.23, 37.72, 34.79, 37.55, -1 
QRVO, 02/16/2016, 36.88, 41.16, 36.88, 40.77, -1 
QRVO, 02/17/2016, 41.0, 44.67, 41.0, 41.59, -1 
QRVO, 02/18/2016, 39.21, 42.19, 39.21, 40.39, -1 
QRVO, 02/19/2016, 39.22, 42.11, 39.22, 41.85, -1 
QRVO, 02/22/2016, 42.83, 42.92, 41.2, 41.94, -1 
QRVO, 02/23/2016, 39.27, 42.3, 39.27, 41.49, -1 
QRVO, 02/24/2016, 40.9, 42.46, 40.51, 42.15, -1 
QRVO, 02/25/2016, 41.53, 43.04, 41.39, 42.66, -1 
QRVO, 02/26/2016, 42.48, 44.12, 42.48, 43.44, -1 
QRVO, 02/29/2016, 43.21, 46.58, 43.21, 45.08, -1 
QRVO, 03/01/2016, 45.3, 48.23, 45.3, 47.35, -1 
QRVO, 03/02/2016, 46.51, 48.27, 46.51, 47.65, -1 
QRVO, 03/03/2016, 46.27, 49.12, 46.27, 49.09, -1 
QRVO, 03/04/2016, 49.69, 50.81, 48.55, 49.89, -1 
QRVO, 03/07/2016, 48.56, 50.05, 48.37, 49.05, -1 
QRVO, 03/08/2016, 47.34, 49.02, 46.83, 47.09, -1 
QRVO, 03/09/2016, 44.99, 48.68, 44.99, 48.18, -1 
QRVO, 03/10/2016, 48.2, 48.73, 46.67, 47.38, -1 
QRVO, 03/11/2016, 44.19, 49.1, 44.19, 48.63, -1 
QRVO, 03/14/2016, 48.12, 49.11, 47.52, 48.72, -1 
QRVO, 03/15/2016, 49.22, 49.79, 48.1, 49.26, -1 
QRVO, 03/16/2016, 48.11, 50.17, 48.11, 48.98, -1 
QRVO, 03/17/2016, 48.13, 49.43, 48.13, 49.18, -1 
QRVO, 03/18/2016, 48.52, 51.14, 48.52, 50.69, -1 
QRVO, 03/21/2016, 49.83, 51.13, 49.83, 50.64, -1 
QRVO, 03/22/2016, 48.36, 51.85, 48.36, 51.75, -1 
QRVO, 03/23/2016, 50.25, 51.65, 49.5, 49.52, -1 
QRVO, 03/24/2016, 47.39, 49.46, 47.39, 49.22, -1 
QRVO, 03/28/2016, 47.53, 49.62, 47.53, 49.1, -1 
QRVO, 03/29/2016, 48.41, 50.69, 48.2, 50.57, -1 
QRVO, 03/30/2016, 49.39, 51.93, 49.39, 51.22, -1 
QRVO, 03/31/2016, 50.36, 51.18, 50.36, 50.41, -1 
QRVO, 04/01/2016, 47.62, 51.25, 47.62, 50.81, -1 
QRVO, 04/04/2016, 50.51, 51.24, 50.33, 50.6, -1 
QRVO, 04/05/2016, 46.78, 50.62, 46.78, 49.85, -1 
QRVO, 04/06/2016, 50.0, 50.57, 48.41, 50.5, -1 
QRVO, 04/07/2016, 48.63, 50.43, 48.63, 48.73, -1 
QRVO, 04/08/2016, 49.41, 49.79, 48.7, 49.23, -1 
QRVO, 04/11/2016, 49.22, 49.46, 47.95, 47.99, -1 
QRVO, 04/12/2016, 47.59, 48.32, 47.16, 47.68, -1 
QRVO, 04/13/2016, 47.16, 50.16, 47.16, 50.01, -1 
QRVO, 04/14/2016, 49.03, 49.9, 48.79, 49.61, -1 
QRVO, 04/15/2016, 48.5, 49.71, 47.61, 47.73, -1 
QRVO, 04/18/2016, 47.3, 47.37, 46.65, 47.14, -1 
QRVO, 04/19/2016, 46.62, 46.93, 44.86, 45.23, -1 
QRVO, 04/20/2016, 44.18, 46.27, 44.18, 45.93, -1 
QRVO, 04/21/2016, 44.27, 46.24, 44.27, 45.34, -1 
QRVO, 04/22/2016, 44.87, 46.33, 44.87, 45.7, -1 
QRVO, 04/25/2016, 44.54, 45.55, 44.51, 45.03, -1 
QRVO, 04/26/2016, 45.11, 46.92, 45.11, 46.29, -1 
QRVO, 04/27/2016, 44.3, 47.34, 44.21, 46.62, -1 
QRVO, 04/28/2016, 45.37, 46.86, 45.37, 45.83, -1 
QRVO, 04/29/2016, 45.28, 45.94, 43.96, 45.02, -1 
QRVO, 05/02/2016, 43.98, 45.09, 43.94, 44.7, -1 
QRVO, 05/03/2016, 44.3, 45.18, 44.3, 45.04, -1 
QRVO, 05/04/2016, 44.3, 45.4, 43.78, 44.5, -1 
QRVO, 05/05/2016, 47.55, 48.88, 46.5, 46.65, -1 
QRVO, 05/06/2016, 46.11, 46.81, 45.02, 46.1, -1 
QRVO, 05/09/2016, 44.85, 46.53, 44.85, 45.61, -1 
QRVO, 05/10/2016, 44.79, 46.88, 44.79, 46.63, -1 
QRVO, 05/11/2016, 45.76, 46.87, 45.66, 45.98, -1 
QRVO, 05/12/2016, 45.82, 46.52, 44.5, 45.17, -1 
QRVO, 05/13/2016, 44.18, 46.3, 44.18, 44.97, -1 
QRVO, 05/16/2016, 43.4, 46.34, 43.4, 45.56, -1 
QRVO, 05/17/2016, 45.39, 46.7, 45.26, 45.82, -1 
QRVO, 05/18/2016, 45.33, 47.62, 45.33, 47.21, -1 
QRVO, 05/19/2016, 45.35, 47.99, 45.35, 47.17, -1 
