Symbol, Date, Open, High, Low, Close, Volume 
REGN, 10/30/2015, 561.01, 562.5, 552.5, 557.39, -1 
REGN, 11/02/2015, 558.2, 580.41, 558.2, 578.71, -1 
REGN, 11/03/2015, 578.02, 580.26, 564.5, 576.99, -1 
REGN, 11/04/2015, 578.0, 587.0, 549.43, 564.0, -1 
REGN, 11/05/2015, 557.35, 574.0, 557.35, 563.69, -1 
REGN, 11/06/2015, 558.16, 564.55, 552.5, 561.97, -1 
REGN, 11/09/2015, 558.69, 563.01, 555.51, 558.04, -1 
REGN, 11/10/2015, 553.46, 565.14, 550.5, 565.1, -1 
REGN, 11/11/2015, 566.16, 571.05, 560.15, 566.41, -1 
REGN, 11/12/2015, 557.37, 565.11, 551.38, 552.53, -1 
REGN, 11/13/2015, 545.65, 557.04, 545.06, 548.34, -1 
REGN, 11/16/2015, 541.0, 558.78, 541.0, 558.3, -1 
REGN, 11/17/2015, 558.38, 573.33, 556.78, 570.91, -1 
REGN, 11/18/2015, 571.0, 588.78, 571.0, 587.0, -1 
REGN, 11/19/2015, 579.5, 591.68, 579.5, 580.99, -1 
REGN, 11/20/2015, 578.79, 586.9, 576.41, 579.6, -1 
REGN, 11/23/2015, 569.1, 583.31, 566.53, 570.55, -1 
REGN, 11/24/2015, 566.0, 569.33, 560.52, 567.47, -1 
REGN, 11/25/2015, 558.5, 571.18, 558.5, 561.28, -1 
REGN, 11/27/2015, 562.16, 565.9, 559.16, 562.84, -1 
REGN, 11/30/2015, 563.97, 563.97, 540.26, 544.5, -1 
REGN, 12/01/2015, 547.12, 550.0, 536.0, 545.59, -1 
REGN, 12/02/2015, 540.45, 555.6, 540.0, 546.81, -1 
REGN, 12/03/2015, 547.45, 549.0, 534.0, 535.73, -1 
REGN, 12/04/2015, 529.33, 558.99, 529.33, 558.47, -1 
REGN, 12/07/2015, 555.26, 559.2, 544.33, 546.61, -1 
REGN, 12/08/2015, 538.12, 557.46, 538.12, 556.16, -1 
REGN, 12/09/2015, 544.01, 562.0, 542.55, 547.35, -1 
REGN, 12/10/2015, 546.33, 550.5, 542.55, 548.0, -1 
REGN, 12/11/2015, 538.01, 545.26, 532.5, 534.58, -1 
REGN, 12/14/2015, 537.13, 540.29, 526.64, 539.93, -1 
REGN, 12/15/2015, 537.5, 556.96, 537.5, 556.45, -1 
REGN, 12/16/2015, 557.0, 562.3, 547.5, 559.49, -1 
REGN, 12/17/2015, 553.0, 559.97, 551.0, 551.49, -1 
REGN, 12/18/2015, 548.33, 551.96, 542.0, 544.65, -1 
REGN, 12/21/2015, 545.0, 546.06, 528.28, 532.38, -1 
REGN, 12/22/2015, 534.95, 538.01, 526.2, 528.1, -1 
REGN, 12/23/2015, 529.45, 536.84, 527.5, 535.85, -1 
REGN, 12/24/2015, 533.31, 539.4, 533.31, 537.62, -1 
REGN, 12/28/2015, 533.31, 540.6, 531.37, 540.27, -1 
REGN, 12/29/2015, 533.31, 553.45, 533.31, 550.21, -1 
REGN, 12/30/2015, 543.65, 551.25, 540.0, 547.97, -1 
REGN, 12/31/2015, 541.3, 549.94, 541.3, 542.7, -1 
REGN, 01/04/2016, 530.5, 532.01, 507.0, 516.35, -1 
REGN, 01/05/2016, 517.01, 521.2, 504.0, 508.69, -1 
REGN, 01/06/2016, 497.17, 524.66, 496.0, 519.46, -1 
REGN, 01/07/2016, 510.5, 515.29, 501.87, 501.96, -1 
REGN, 01/08/2016, 502.0, 511.0, 490.96, 491.51, -1 
REGN, 01/11/2016, 494.0, 494.99, 469.0, 480.81, -1 
REGN, 01/12/2016, 484.25, 486.0, 452.58, 474.94, -1 
REGN, 01/13/2016, 474.26, 474.49, 451.38, 460.0, -1 
REGN, 01/14/2016, 460.43, 485.5, 453.0, 478.66, -1 
REGN, 01/15/2016, 464.42, 475.6, 456.0, 462.95, -1 
REGN, 01/19/2016, 466.5, 473.23, 441.88, 447.02, -1 
REGN, 01/20/2016, 430.5, 467.55, 430.5, 461.98, -1 
REGN, 01/21/2016, 462.16, 469.61, 450.89, 461.57, -1 
REGN, 01/22/2016, 465.01, 484.47, 463.51, 482.99, -1 
REGN, 01/25/2016, 467.0, 482.0, 465.0, 473.07, -1 
REGN, 01/26/2016, 474.39, 474.39, 455.0, 463.55, -1 
REGN, 01/27/2016, 458.03, 462.48, 430.03, 434.35, -1 
REGN, 01/28/2016, 435.5, 436.0, 400.0, 415.11, -1 
REGN, 01/29/2016, 410.0, 428.42, 405.05, 419.68, -1 
REGN, 02/01/2016, 417.0, 420.05, 408.0, 418.13, -1 
REGN, 02/02/2016, 410.01, 414.98, 402.0, 409.78, -1 
REGN, 02/03/2016, 413.46, 421.97, 392.0, 421.02, -1 
REGN, 02/04/2016, 409.5, 436.99, 402.0, 412.54, -1 
REGN, 02/05/2016, 400.01, 418.41, 393.0, 396.3, -1 
REGN, 02/08/2016, 374.55, 393.64, 374.55, 390.53, -1 
REGN, 02/09/2016, 356.0, 387.7, 350.17, 365.96, -1 
REGN, 02/10/2016, 370.0, 377.81, 363.0, 367.47, -1 
REGN, 02/11/2016, 350.75, 375.73, 350.75, 367.0, -1 
REGN, 02/12/2016, 367.87, 379.0, 365.01, 379.0, -1 
REGN, 02/16/2016, 380.22, 393.95, 380.21, 391.76, -1 
REGN, 02/17/2016, 384.0, 398.38, 384.0, 397.01, -1 
REGN, 02/18/2016, 386.4, 404.87, 386.0, 387.03, -1 
REGN, 02/19/2016, 383.02, 396.19, 380.02, 394.72, -1 
REGN, 02/22/2016, 392.0, 405.46, 392.0, 395.56, -1 
REGN, 02/23/2016, 390.0, 399.21, 386.04, 386.73, -1 
REGN, 02/24/2016, 379.77, 394.5, 376.78, 393.66, -1 
REGN, 02/25/2016, 393.63, 402.47, 389.8, 393.99, -1 
REGN, 02/26/2016, 390.5, 397.92, 387.53, 393.93, -1 
REGN, 02/29/2016, 395.8, 395.81, 383.0, 384.02, -1 
REGN, 03/01/2016, 387.5, 410.2, 384.02, 410.2, -1 
REGN, 03/02/2016, 400.01, 417.93, 400.01, 407.75, -1 
REGN, 03/03/2016, 406.19, 406.19, 392.52, 402.32, -1 
REGN, 03/04/2016, 394.01, 413.3, 394.01, 403.82, -1 
REGN, 03/07/2016, 400.0, 410.83, 399.0, 408.1, -1 
REGN, 03/08/2016, 398.0, 407.75, 392.52, 394.81, -1 
REGN, 03/09/2016, 388.35, 389.2, 373.8, 374.72, -1 
REGN, 03/10/2016, 372.25, 380.15, 372.25, 377.55, -1 
REGN, 03/11/2016, 377.51, 383.45, 375.28, 377.07, -1 
REGN, 03/14/2016, 372.48, 378.76, 370.5, 373.15, -1 
REGN, 03/15/2016, 368.16, 370.7, 358.68, 367.12, -1 
REGN, 03/16/2016, 357.12, 380.78, 357.12, 368.5, -1 
REGN, 03/17/2016, 355.77, 369.31, 348.95, 365.46, -1 
REGN, 03/18/2016, 365.0, 370.25, 356.75, 364.51, -1 
REGN, 03/21/2016, 360.42, 375.63, 360.42, 371.04, -1 
REGN, 03/22/2016, 364.34, 380.53, 364.34, 378.32, -1 
REGN, 03/23/2016, 376.39, 383.88, 365.11, 365.37, -1 
REGN, 03/24/2016, 360.2, 375.0, 360.2, 370.58, -1 
REGN, 03/28/2016, 367.95, 374.13, 363.3, 363.85, -1 
REGN, 03/29/2016, 362.31, 369.17, 357.0, 367.37, -1 
REGN, 03/30/2016, 364.68, 373.1, 359.05, 359.51, -1 
REGN, 03/31/2016, 358.37, 364.42, 358.2, 360.44, -1 
REGN, 04/01/2016, 373.6, 411.76, 360.05, 405.25, -1 
REGN, 04/04/2016, 403.75, 410.84, 399.06, 405.09, -1 
REGN, 04/05/2016, 400.17, 411.0, 398.96, 403.64, -1 
REGN, 04/06/2016, 402.18, 427.93, 402.18, 427.2, -1 
REGN, 04/07/2016, 424.78, 433.74, 416.92, 418.48, -1 
REGN, 04/08/2016, 421.26, 424.0, 401.7, 404.78, -1 
REGN, 04/11/2016, 406.71, 406.71, 392.71, 395.93, -1 
REGN, 04/12/2016, 394.45, 410.31, 393.58, 408.04, -1 
REGN, 04/13/2016, 406.84, 414.13, 405.65, 410.41, -1 
REGN, 04/14/2016, 403.0, 412.49, 401.37, 406.75, -1 
REGN, 04/15/2016, 403.93, 407.99, 400.0, 406.56, -1 
REGN, 04/18/2016, 401.27, 423.55, 401.27, 422.38, -1 
REGN, 04/19/2016, 416.73, 421.38, 411.0, 413.78, -1 
REGN, 04/20/2016, 403.7, 406.18, 396.0, 399.58, -1 
REGN, 04/21/2016, 398.44, 411.08, 397.79, 409.39, -1 
REGN, 04/22/2016, 406.08, 411.13, 394.5, 404.29, -1 
REGN, 04/25/2016, 402.05, 408.94, 402.0, 406.91, -1 
REGN, 04/26/2016, 399.15, 411.2, 399.15, 406.65, -1 
REGN, 04/27/2016, 404.5, 405.8, 386.36, 390.08, -1 
REGN, 04/28/2016, 386.81, 401.48, 385.0, 391.3, -1 
REGN, 04/29/2016, 382.56, 392.01, 373.0, 376.64, -1 
REGN, 05/02/2016, 376.15, 384.89, 369.01, 384.5, -1 
REGN, 05/03/2016, 369.01, 380.52, 369.01, 371.32, -1 
REGN, 05/04/2016, 368.0, 370.41, 360.12, 360.64, -1 
REGN, 05/05/2016, 375.0, 381.02, 368.77, 377.73, -1 
REGN, 05/06/2016, 374.5, 377.04, 365.65, 369.95, -1 
REGN, 05/09/2016, 364.51, 380.75, 364.5, 375.47, -1 
REGN, 05/10/2016, 375.0, 387.02, 374.0, 385.82, -1 
REGN, 05/11/2016, 383.0, 385.6, 371.45, 371.86, -1 
REGN, 05/12/2016, 369.35, 372.88, 362.27, 365.35, -1 
REGN, 05/13/2016, 361.37, 371.57, 361.25, 369.46, -1 
REGN, 05/16/2016, 376.0, 394.1, 376.0, 391.95, -1 
REGN, 05/17/2016, 392.52, 392.95, 382.78, 386.38, -1 
REGN, 05/18/2016, 381.24, 390.6, 381.24, 390.16, -1 
REGN, 05/19/2016, 385.23, 393.07, 379.25, 383.29, -1 
REGN, 05/20/2016, 381.23, 387.53, 380.0, 385.98, -1 
REGN, 05/23/2016, 384.55, 396.92, 383.99, 392.64, -1 
REGN, 05/24/2016, 397.0, 401.95, 393.31, 397.69, -1 
REGN, 05/25/2016, 396.01, 400.99, 392.9, 394.35, -1 
REGN, 05/26/2016, 389.76, 394.64, 388.0, 393.42, -1 
REGN, 05/27/2016, 391.5, 396.7, 389.29, 396.21, -1 
REGN, 05/31/2016, 397.53, 400.15, 394.9, 398.93, -1 
REGN, 06/01/2016, 395.33, 408.27, 395.0, 404.31, -1 
REGN, 06/02/2016, 402.91, 407.41, 400.3, 407.07, -1 
REGN, 06/03/2016, 402.01, 403.02, 393.0, 400.57, -1 
REGN, 06/06/2016, 400.0, 404.32, 396.26, 403.68, -1 
REGN, 06/07/2016, 395.0, 400.32, 394.1, 394.47, -1 
REGN, 06/08/2016, 392.44, 394.02, 383.45, 388.93, -1 
REGN, 06/09/2016, 383.26, 392.04, 381.07, 381.08, -1 
REGN, 06/10/2016, 377.48, 379.01, 369.5, 371.81, -1 
REGN, 06/13/2016, 370.02, 374.82, 366.76, 367.23, -1 
REGN, 06/14/2016, 365.01, 370.76, 359.16, 366.31, -1 
REGN, 06/15/2016, 356.15, 375.9, 356.15, 367.91, -1 
REGN, 06/16/2016, 364.46, 368.36, 362.78, 366.52, -1 
REGN, 06/17/2016, 364.0, 368.18, 354.0, 354.21, -1 
REGN, 06/20/2016, 359.16, 362.82, 352.0, 352.72, -1 
REGN, 06/21/2016, 352.0, 352.61, 342.72, 345.14, -1 
REGN, 06/22/2016, 340.52, 361.7, 340.52, 351.89, -1 
REGN, 06/23/2016, 354.14, 358.73, 352.17, 357.14, -1 
REGN, 06/24/2016, 339.0, 350.0, 338.61, 339.26, -1 
REGN, 06/27/2016, 335.22, 341.14, 329.0, 331.05, -1 
REGN, 06/28/2016, 332.45, 340.15, 332.44, 339.78, -1 
REGN, 06/29/2016, 342.11, 351.02, 342.0, 347.7, -1 
REGN, 06/30/2016, 344.29, 349.49, 344.12, 349.23, -1 
REGN, 07/01/2016, 348.01, 359.4, 348.0, 358.51, -1 
REGN, 07/05/2016, 361.6, 362.2, 355.01, 359.59, -1 
REGN, 07/06/2016, 355.01, 372.41, 355.01, 371.51, -1 
REGN, 07/07/2016, 370.05, 372.16, 364.02, 371.34, -1 
REGN, 07/08/2016, 365.02, 378.75, 365.02, 378.25, -1 
REGN, 07/11/2016, 379.5, 381.34, 375.49, 375.61, -1 
REGN, 07/12/2016, 377.0, 378.87, 368.37, 368.57, -1 
REGN, 07/13/2016, 370.22, 370.22, 364.3, 364.48, -1 
REGN, 07/14/2016, 365.3, 366.66, 360.03, 365.25, -1 
REGN, 07/15/2016, 361.85, 374.9, 361.85, 373.72, -1 
REGN, 07/18/2016, 370.44, 382.36, 370.44, 381.54, -1 
REGN, 07/19/2016, 378.2, 382.58, 374.0, 377.02, -1 
REGN, 07/20/2016, 369.61, 386.85, 369.61, 384.7, -1 
REGN, 07/21/2016, 377.01, 395.32, 377.01, 389.56, -1 
REGN, 07/22/2016, 389.33, 392.18, 386.64, 391.25, -1 
REGN, 07/25/2016, 380.5, 394.93, 380.5, 394.77, -1 
REGN, 07/26/2016, 385.44, 398.49, 385.44, 398.32, -1 
REGN, 07/27/2016, 390.01, 415.88, 390.01, 414.96, -1 
REGN, 07/28/2016, 395.52, 413.5, 395.52, 410.96, -1 
REGN, 07/29/2016, 406.3, 425.56, 406.3, 425.01, -1 
REGN, 08/01/2016, 421.5, 438.8, 421.5, 434.26, -1 
REGN, 08/02/2016, 434.0, 437.26, 427.0, 434.98, -1 
REGN, 08/03/2016, 429.17, 442.22, 429.17, 441.37, -1 
REGN, 08/04/2016, 439.0, 443.9, 417.5, 433.13, -1 
REGN, 08/05/2016, 414.5, 433.4, 414.5, 422.9, -1 
REGN, 08/08/2016, 422.61, 428.9, 418.26, 420.95, -1 
