Symbol, Date, Open, High, Low, Close, Volume 
RF, 10/30/2015, 9.65, 9.66, 9.24, 9.34, -1 
RF, 11/02/2015, 9.38, 9.59, 9.38, 9.57, -1 
RF, 11/03/2015, 9.53, 9.63, 9.5, 9.54, -1 
RF, 11/04/2015, 9.55, 9.63, 9.53, 9.59, -1 
RF, 11/05/2015, 9.53, 9.79, 9.53, 9.73, -1 
RF, 11/06/2015, 10.01, 10.21, 10.01, 10.12, -1 
RF, 11/09/2015, 10.01, 10.19, 9.9, 9.99, -1 
RF, 11/10/2015, 9.91, 10.1, 9.86, 10.07, -1 
RF, 11/11/2015, 10.06, 10.16, 9.94, 9.95, -1 
RF, 11/12/2015, 9.84, 9.89, 9.78, 9.8, -1 
RF, 11/13/2015, 9.73, 9.82, 9.67, 9.71, -1 
RF, 11/16/2015, 9.62, 9.81, 9.62, 9.81, -1 
RF, 11/17/2015, 9.83, 10.0, 9.83, 9.87, -1 
RF, 11/18/2015, 9.89, 10.08, 9.84, 10.08, -1 
RF, 11/19/2015, 9.94, 10.21, 9.82, 10.14, -1 
RF, 11/20/2015, 10.15, 10.23, 10.03, 10.07, -1 
RF, 11/23/2015, 10.06, 10.18, 10.05, 10.08, -1 
RF, 11/24/2015, 9.9, 10.16, 9.9, 10.13, -1 
RF, 11/25/2015, 10.1, 10.19, 10.04, 10.08, -1 
RF, 11/27/2015, 9.84, 10.17, 9.84, 10.16, -1 
RF, 11/30/2015, 10.15, 10.19, 10.06, 10.14, -1 
RF, 12/01/2015, 10.18, 10.27, 10.12, 10.24, -1 
RF, 12/02/2015, 10.26, 10.27, 10.08, 10.09, -1 
RF, 12/03/2015, 10.13, 10.17, 9.93, 9.97, -1 
RF, 12/04/2015, 10.0, 10.27, 9.91, 10.25, -1 
RF, 12/07/2015, 10.15, 10.22, 9.98, 10.04, -1 
RF, 12/08/2015, 9.92, 9.96, 9.6, 9.63, -1 
RF, 12/09/2015, 9.52, 9.65, 9.34, 9.45, -1 
RF, 12/10/2015, 9.41, 9.73, 9.36, 9.61, -1 
RF, 12/11/2015, 9.41, 9.49, 9.3, 9.36, -1 
RF, 12/14/2015, 9.37, 9.51, 9.2, 9.35, -1 
RF, 12/15/2015, 9.52, 9.85, 9.5, 9.76, -1 
RF, 12/16/2015, 9.87, 9.97, 9.64, 9.93, -1 
RF, 12/17/2015, 9.96, 10.01, 9.73, 9.73, -1 
RF, 12/18/2015, 9.51, 9.57, 9.31, 9.32, -1 
RF, 12/21/2015, 9.36, 9.41, 9.25, 9.39, -1 
RF, 12/22/2015, 9.42, 9.5, 9.3, 9.49, -1 
RF, 12/23/2015, 9.53, 9.69, 9.53, 9.68, -1 
RF, 12/24/2015, 9.63, 9.77, 9.63, 9.7, -1 
RF, 12/28/2015, 9.66, 9.67, 9.48, 9.63, -1 
RF, 12/29/2015, 9.67, 9.78, 9.67, 9.75, -1 
RF, 12/30/2015, 9.69, 9.73, 9.61, 9.64, -1 
RF, 12/31/2015, 9.52, 9.72, 9.52, 9.59, -1 
RF, 01/04/2016, 9.34, 9.47, 9.3, 9.43, -1 
RF, 01/05/2016, 9.43, 9.5, 9.33, 9.41, -1 
RF, 01/06/2016, 9.25, 9.33, 9.17, 9.25, -1 
RF, 01/07/2016, 9.04, 9.16, 8.96, 8.96, -1 
RF, 01/08/2016, 9.02, 9.09, 8.73, 8.75, -1 
RF, 01/11/2016, 8.81, 8.89, 8.57, 8.68, -1 
RF, 01/12/2016, 8.74, 8.81, 8.52, 8.73, -1 
RF, 01/13/2016, 8.77, 8.82, 8.28, 8.32, -1 
RF, 01/14/2016, 8.39, 8.47, 8.17, 8.35, -1 
RF, 01/15/2016, 7.48, 8.25, 7.08, 8.19, -1 
RF, 01/19/2016, 8.31, 8.35, 8.0, 8.08, -1 
RF, 01/20/2016, 7.8, 8.02, 7.6, 7.9, -1 
RF, 01/21/2016, 7.64, 8.07, 7.64, 7.82, -1 
RF, 01/22/2016, 7.93, 8.08, 7.91, 7.92, -1 
RF, 01/25/2016, 7.82, 7.9, 7.55, 7.57, -1 
RF, 01/26/2016, 7.55, 7.88, 7.55, 7.81, -1 
RF, 01/27/2016, 7.77, 8.17, 7.75, 7.94, -1 
RF, 01/28/2016, 8.08, 8.25, 7.98, 8.0, -1 
RF, 01/29/2016, 7.92, 8.15, 7.9, 8.09, -1 
RF, 02/01/2016, 8.13, 8.15, 7.88, 7.93, -1 
RF, 02/02/2016, 7.71, 7.77, 7.56, 7.62, -1 
RF, 02/03/2016, 7.68, 7.86, 7.34, 7.82, -1 
RF, 02/04/2016, 7.72, 8.09, 7.72, 7.89, -1 
RF, 02/05/2016, 7.89, 8.04, 7.78, 7.78, -1 
RF, 02/08/2016, 7.64, 7.68, 7.37, 7.52, -1 
RF, 02/09/2016, 7.37, 7.69, 7.34, 7.64, -1 
RF, 02/10/2016, 7.69, 7.78, 7.51, 7.51, -1 
RF, 02/11/2016, 7.21, 7.29, 7.0, 7.08, -1 
RF, 02/12/2016, 7.22, 7.62, 7.21, 7.6, -1 
RF, 02/16/2016, 7.75, 7.92, 7.62, 7.83, -1 
RF, 02/17/2016, 7.91, 8.01, 7.76, 7.81, -1 
RF, 02/18/2016, 7.87, 7.9, 7.51, 7.62, -1 
RF, 02/19/2016, 7.55, 7.74, 7.49, 7.65, -1 
RF, 02/22/2016, 7.76, 7.9, 7.76, 7.89, -1 
RF, 02/23/2016, 7.83, 7.89, 7.5, 7.56, -1 
RF, 02/24/2016, 7.4, 7.44, 7.2, 7.41, -1 
RF, 02/25/2016, 7.41, 7.54, 7.35, 7.51, -1 
RF, 02/26/2016, 7.59, 7.86, 7.56, 7.74, -1 
RF, 02/29/2016, 7.69, 7.73, 7.53, 7.53, -1 
RF, 03/01/2016, 7.6, 7.98, 7.58, 7.97, -1 
RF, 03/02/2016, 7.97, 8.16, 7.96, 8.11, -1 
RF, 03/03/2016, 8.04, 8.29, 8.04, 8.27, -1 
RF, 03/04/2016, 8.35, 8.56, 8.29, 8.38, -1 
RF, 03/07/2016, 8.26, 8.42, 8.25, 8.36, -1 
RF, 03/08/2016, 8.23, 8.29, 7.94, 8.05, -1 
RF, 03/09/2016, 8.09, 8.11, 7.83, 7.86, -1 
RF, 03/10/2016, 7.93, 8.09, 7.82, 7.96, -1 
RF, 03/11/2016, 8.06, 8.25, 8.05, 8.24, -1 
RF, 03/14/2016, 8.19, 8.27, 8.1, 8.21, -1 
RF, 03/15/2016, 8.1, 8.12, 8.01, 8.1, -1 
RF, 03/16/2016, 8.05, 8.27, 7.9, 8.01, -1 
RF, 03/17/2016, 7.96, 8.12, 7.82, 8.11, -1 
RF, 03/18/2016, 8.17, 8.31, 8.1, 8.21, -1 
RF, 03/21/2016, 8.22, 8.33, 8.11, 8.2, -1 
RF, 03/22/2016, 8.03, 8.24, 8.03, 8.17, -1 
RF, 03/23/2016, 8.13, 8.17, 8.06, 8.08, -1 
RF, 03/24/2016, 7.98, 8.06, 7.81, 8.06, -1 
RF, 03/28/2016, 8.05, 8.11, 7.95, 8.04, -1 
RF, 03/29/2016, 7.93, 7.95, 7.75, 7.91, -1 
RF, 03/30/2016, 7.92, 8.05, 7.86, 7.9, -1 
RF, 03/31/2016, 7.8, 7.94, 7.79, 7.84, -1 
RF, 04/01/2016, 7.74, 7.88, 7.67, 7.88, -1 
RF, 04/04/2016, 7.82, 7.96, 7.79, 7.86, -1 
RF, 04/05/2016, 7.77, 7.81, 7.66, 7.66, -1 
RF, 04/06/2016, 7.67, 7.81, 7.61, 7.8, -1 
