Symbol, Date, Open, High, Low, Close, Volume 
RHT, 10/30/2015, 78.54, 79.76, 78.52, 79.09, -1 
RHT, 11/02/2015, 78.64, 80.44, 78.64, 80.13, -1 
RHT, 11/03/2015, 80.79, 81.41, 79.76, 80.83, -1 
RHT, 11/04/2015, 80.95, 82.58, 80.95, 82.57, -1 
RHT, 11/05/2015, 82.15, 82.95, 81.35, 81.58, -1 
RHT, 11/06/2015, 79.87, 81.6, 79.87, 81.02, -1 
RHT, 11/09/2015, 80.44, 81.05, 79.7, 80.26, -1 
RHT, 11/10/2015, 78.72, 80.93, 78.72, 80.81, -1 
RHT, 11/11/2015, 80.49, 81.82, 80.49, 81.45, -1 
RHT, 11/12/2015, 80.63, 81.32, 79.78, 79.81, -1 
RHT, 11/13/2015, 79.26, 79.84, 77.43, 77.84, -1 
RHT, 11/16/2015, 77.4, 79.41, 77.4, 79.09, -1 
RHT, 11/17/2015, 78.87, 80.76, 78.87, 80.28, -1 
RHT, 11/18/2015, 79.01, 80.61, 79.01, 80.5, -1 
RHT, 11/19/2015, 79.43, 81.89, 79.43, 81.33, -1 
RHT, 11/20/2015, 81.3, 82.35, 81.1, 82.19, -1 
RHT, 11/23/2015, 81.84, 82.89, 81.84, 82.75, -1 
RHT, 11/24/2015, 81.86, 82.7, 81.32, 82.04, -1 
RHT, 11/25/2015, 81.61, 82.93, 81.61, 82.52, -1 
RHT, 11/27/2015, 82.08, 82.6, 82.08, 82.47, -1 
RHT, 11/30/2015, 82.24, 82.7, 81.16, 81.41, -1 
RHT, 12/01/2015, 81.05, 82.29, 81.05, 82.23, -1 
RHT, 12/02/2015, 82.24, 82.64, 81.29, 81.63, -1 
RHT, 12/03/2015, 81.45, 81.91, 79.8, 80.32, -1 
RHT, 12/04/2015, 80.11, 82.11, 80.11, 81.9, -1 
RHT, 12/07/2015, 81.32, 81.65, 80.15, 80.52, -1 
RHT, 12/08/2015, 79.44, 81.48, 79.44, 81.01, -1 
RHT, 12/09/2015, 80.34, 81.18, 78.81, 79.06, -1 
RHT, 12/10/2015, 76.69, 80.03, 76.69, 79.61, -1 
RHT, 12/11/2015, 77.35, 79.64, 77.35, 78.57, -1 
RHT, 12/14/2015, 78.19, 79.03, 76.88, 77.49, -1 
RHT, 12/15/2015, 77.24, 78.55, 77.24, 78.07, -1 
RHT, 12/16/2015, 78.54, 79.05, 77.87, 78.74, -1 
RHT, 12/17/2015, 78.81, 79.33, 77.65, 78.81, -1 
RHT, 12/18/2015, 83.0, 83.82, 80.45, 81.38, -1 
RHT, 12/21/2015, 82.0, 82.1, 79.13, 80.42, -1 
RHT, 12/22/2015, 80.31, 81.01, 80.08, 80.92, -1 
RHT, 12/23/2015, 80.88, 82.37, 80.88, 82.18, -1 
RHT, 12/24/2015, 81.34, 82.13, 81.34, 81.74, -1 
RHT, 12/28/2015, 81.12, 82.35, 81.02, 82.34, -1 
RHT, 12/29/2015, 82.28, 83.86, 82.28, 83.53, -1 
RHT, 12/30/2015, 82.93, 84.42, 82.93, 83.66, -1 
RHT, 12/31/2015, 83.0, 83.76, 82.79, 82.79, -1 
RHT, 01/04/2016, 81.14, 81.7, 80.56, 81.7, -1 
RHT, 01/05/2016, 81.11, 82.49, 81.11, 81.93, -1 
RHT, 01/06/2016, 79.38, 81.72, 79.38, 80.6, -1 
RHT, 01/07/2016, 78.75, 81.28, 78.75, 79.49, -1 
RHT, 01/08/2016, 79.19, 80.86, 78.96, 79.17, -1 
RHT, 01/11/2016, 79.81, 79.82, 77.48, 78.27, -1 
RHT, 01/12/2016, 78.41, 79.19, 77.58, 78.65, -1 
RHT, 01/13/2016, 78.26, 79.5, 76.0, 76.61, -1 
RHT, 01/14/2016, 76.45, 76.94, 74.43, 76.52, -1 
RHT, 01/15/2016, 73.79, 75.19, 72.7, 73.6, -1 
RHT, 01/19/2016, 73.33, 74.24, 70.89, 71.59, -1 
RHT, 01/20/2016, 69.49, 71.27, 68.19, 70.48, -1 
RHT, 01/21/2016, 68.28, 71.13, 68.28, 70.3, -1 
RHT, 01/22/2016, 70.98, 72.81, 70.98, 72.45, -1 
RHT, 01/25/2016, 71.73, 72.7, 71.53, 71.74, -1 
RHT, 01/26/2016, 69.27, 71.62, 69.27, 70.96, -1 
RHT, 01/27/2016, 69.47, 71.0, 67.52, 67.99, -1 
RHT, 01/28/2016, 67.5, 68.36, 66.44, 67.37, -1 
RHT, 01/29/2016, 67.96, 70.06, 67.95, 70.01, -1 
RHT, 02/01/2016, 69.15, 70.88, 68.51, 70.43, -1 
RHT, 02/02/2016, 69.34, 69.81, 67.59, 67.81, -1 
RHT, 02/03/2016, 68.16, 68.79, 66.2, 67.68, -1 
RHT, 02/04/2016, 67.36, 69.76, 67.36, 68.6, -1 
RHT, 02/05/2016, 65.33, 67.6, 62.9, 63.15, -1 
RHT, 02/08/2016, 61.68, 62.44, 59.59, 60.94, -1 
RHT, 02/09/2016, 59.88, 62.82, 59.88, 61.61, -1 
RHT, 02/10/2016, 62.07, 65.55, 62.05, 63.53, -1 
RHT, 02/11/2016, 62.08, 63.14, 60.95, 61.95, -1 
RHT, 02/12/2016, 62.06, 64.67, 62.06, 64.09, -1 
RHT, 02/16/2016, 64.54, 65.13, 63.01, 63.84, -1 
RHT, 02/17/2016, 63.93, 67.3, 63.93, 66.33, -1 
RHT, 02/18/2016, 66.75, 67.21, 65.27, 65.35, -1 
RHT, 02/19/2016, 64.59, 66.14, 64.32, 65.9, -1 
RHT, 02/22/2016, 66.26, 66.96, 65.43, 66.09, -1 
RHT, 02/23/2016, 65.33, 66.11, 64.37, 65.3, -1 
RHT, 02/24/2016, 64.22, 65.54, 63.6, 65.35, -1 
RHT, 02/25/2016, 63.8, 67.67, 63.8, 67.67, -1 
RHT, 02/26/2016, 67.92, 68.85, 67.54, 67.97, -1 
RHT, 02/29/2016, 67.54, 67.73, 65.36, 65.36, -1 
RHT, 03/01/2016, 65.84, 68.4, 65.37, 68.38, -1 
RHT, 03/02/2016, 67.9, 68.28, 67.32, 68.25, -1 
RHT, 03/03/2016, 68.2, 68.7, 67.32, 68.66, -1 
RHT, 03/04/2016, 68.48, 69.15, 67.41, 67.56, -1 
RHT, 03/07/2016, 66.44, 66.95, 65.67, 66.93, -1 
RHT, 03/08/2016, 66.09, 68.86, 66.09, 68.26, -1 
RHT, 03/09/2016, 68.16, 69.88, 68.16, 69.87, -1 
RHT, 03/10/2016, 69.64, 70.78, 68.89, 70.06, -1 
RHT, 03/11/2016, 70.3, 72.12, 70.3, 71.8, -1 
RHT, 03/14/2016, 71.24, 72.35, 71.24, 72.11, -1 
RHT, 03/15/2016, 71.42, 71.96, 71.17, 71.55, -1 
RHT, 03/16/2016, 71.04, 73.09, 71.04, 72.86, -1 
RHT, 03/17/2016, 72.26, 73.07, 71.83, 72.73, -1 
RHT, 03/18/2016, 71.92, 74.6, 71.92, 74.06, -1 
RHT, 03/21/2016, 74.55, 75.01, 74.12, 74.88, -1 
RHT, 03/22/2016, 74.67, 76.17, 74.42, 75.71, -1 
RHT, 03/23/2016, 73.42, 74.53, 71.67, 72.54, -1 
RHT, 03/24/2016, 72.06, 73.3, 71.71, 73.24, -1 
RHT, 03/28/2016, 73.37, 73.9, 72.43, 73.47, -1 
RHT, 03/29/2016, 70.49, 73.73, 70.49, 73.52, -1 
RHT, 03/30/2016, 73.56, 74.64, 73.52, 74.03, -1 
RHT, 03/31/2016, 73.47, 74.67, 73.47, 74.49, -1 
RHT, 04/01/2016, 73.44, 75.59, 73.44, 75.49, -1 
RHT, 04/04/2016, 75.06, 76.19, 75.06, 75.25, -1 
RHT, 04/05/2016, 74.04, 75.02, 73.74, 74.04, -1 
RHT, 04/06/2016, 73.81, 74.91, 73.64, 74.75, -1 
RHT, 04/07/2016, 73.95, 74.82, 73.36, 73.63, -1 
RHT, 04/08/2016, 73.82, 74.68, 73.55, 73.79, -1 
RHT, 04/11/2016, 73.7, 74.88, 72.8, 72.82, -1 
RHT, 04/12/2016, 72.42, 72.93, 71.59, 72.61, -1 
RHT, 04/13/2016, 72.6, 74.13, 72.6, 74.03, -1 
RHT, 04/14/2016, 74.57, 75.14, 73.7, 74.44, -1 
RHT, 04/15/2016, 74.0, 74.74, 73.46, 74.64, -1 
RHT, 04/18/2016, 73.85, 75.68, 73.85, 75.44, -1 
RHT, 04/19/2016, 74.92, 75.16, 73.8, 75.03, -1 
RHT, 04/20/2016, 75.21, 76.39, 74.68, 76.04, -1 
RHT, 04/21/2016, 75.51, 76.48, 75.17, 76.13, -1 
RHT, 04/22/2016, 74.83, 75.71, 74.25, 74.83, -1 
RHT, 04/25/2016, 74.08, 74.93, 74.08, 74.45, -1 
RHT, 04/26/2016, 74.18, 74.63, 73.72, 74.47, -1 
RHT, 04/27/2016, 72.58, 74.91, 72.58, 74.42, -1 
