Symbol, Date, Open, High, Low, Close, Volume 
RRC, 10/30/2015, 29.72, 30.54, 28.43, 30.44, -1 
RRC, 11/02/2015, 29.87, 31.98, 29.87, 31.37, -1 
RRC, 11/03/2015, 30.72, 31.97, 30.72, 31.0, -1 
RRC, 11/04/2015, 34.56, 34.99, 32.76, 34.09, -1 
RRC, 11/05/2015, 33.46, 36.23, 33.46, 35.39, -1 
RRC, 11/06/2015, 34.75, 35.7, 33.94, 34.41, -1 
RRC, 11/09/2015, 33.76, 34.86, 33.19, 33.29, -1 
RRC, 11/10/2015, 33.08, 33.55, 31.82, 32.13, -1 
RRC, 11/11/2015, 30.53, 31.92, 29.23, 30.03, -1 
RRC, 11/12/2015, 29.64, 30.24, 29.02, 29.65, -1 
RRC, 11/13/2015, 29.26, 31.88, 29.17, 31.72, -1 
RRC, 11/16/2015, 30.03, 34.65, 30.03, 34.61, -1 
RRC, 11/17/2015, 32.05, 34.36, 32.04, 33.0, -1 
RRC, 11/18/2015, 32.89, 33.73, 30.9, 32.03, -1 
RRC, 11/19/2015, 30.45, 32.06, 30.45, 31.7, -1 
RRC, 11/20/2015, 30.01, 31.42, 30.01, 30.41, -1 
RRC, 11/23/2015, 30.18, 31.44, 30.0, 30.82, -1 
RRC, 11/24/2015, 30.94, 31.55, 30.29, 30.77, -1 
RRC, 11/25/2015, 30.12, 30.84, 29.51, 30.28, -1 
RRC, 11/27/2015, 29.51, 29.9, 28.38, 28.49, -1 
RRC, 11/30/2015, 28.61, 29.59, 28.16, 28.59, -1 
RRC, 12/01/2015, 28.11, 28.92, 28.11, 28.53, -1 
RRC, 12/02/2015, 28.12, 29.19, 27.44, 28.86, -1 
RRC, 12/03/2015, 28.82, 29.59, 27.83, 28.16, -1 
RRC, 12/04/2015, 27.54, 28.16, 26.61, 27.72, -1 
RRC, 12/07/2015, 26.89, 27.23, 25.56, 25.75, -1 
RRC, 12/08/2015, 24.54, 26.1, 24.53, 25.75, -1 
RRC, 12/09/2015, 24.82, 26.89, 24.82, 26.13, -1 
RRC, 12/10/2015, 25.76, 26.61, 25.26, 25.4, -1 
RRC, 12/11/2015, 24.16, 24.82, 22.61, 22.74, -1 
RRC, 12/14/2015, 20.8, 22.15, 20.8, 21.86, -1 
RRC, 12/15/2015, 21.86, 22.56, 21.25, 21.67, -1 
RRC, 12/16/2015, 20.15, 22.13, 20.15, 21.63, -1 
RRC, 12/17/2015, 21.86, 21.86, 20.83, 21.17, -1 
RRC, 12/18/2015, 21.19, 22.09, 21.19, 21.32, -1 
RRC, 12/21/2015, 21.06, 21.76, 20.78, 21.41, -1 
RRC, 12/22/2015, 20.23, 22.17, 20.23, 21.84, -1 
RRC, 12/23/2015, 22.37, 24.27, 22.37, 24.17, -1 
RRC, 12/24/2015, 23.07, 24.96, 23.07, 24.39, -1 
RRC, 12/28/2015, 23.87, 24.61, 23.72, 24.3, -1 
RRC, 12/29/2015, 24.56, 25.4, 24.02, 24.55, -1 
RRC, 12/30/2015, 23.7, 24.58, 22.86, 22.95, -1 
RRC, 12/31/2015, 22.97, 24.86, 22.97, 24.61, -1 
RRC, 01/04/2016, 24.22, 25.85, 24.22, 25.75, -1 
RRC, 01/05/2016, 25.51, 25.83, 24.76, 25.66, -1 
RRC, 01/06/2016, 24.22, 25.02, 23.69, 24.03, -1 
RRC, 01/07/2016, 22.77, 25.05, 22.77, 24.1, -1 
RRC, 01/08/2016, 24.05, 26.1, 24.05, 25.74, -1 
RRC, 01/11/2016, 24.8, 25.63, 24.54, 24.96, -1 
RRC, 01/12/2016, 25.36, 25.42, 22.67, 23.25, -1 
RRC, 01/13/2016, 23.37, 24.26, 23.19, 23.91, -1 
RRC, 01/14/2016, 23.81, 24.09, 22.48, 23.13, -1 
RRC, 01/15/2016, 21.76, 22.75, 21.16, 21.84, -1 
RRC, 01/19/2016, 21.77, 22.06, 20.23, 20.44, -1 
RRC, 01/20/2016, 19.45, 22.11, 19.19, 21.99, -1 
RRC, 01/21/2016, 21.09, 26.39, 21.09, 26.02, -1 
RRC, 01/22/2016, 26.57, 28.13, 25.27, 26.49, -1 
RRC, 01/25/2016, 25.66, 26.37, 24.49, 24.56, -1 
RRC, 01/26/2016, 25.11, 27.48, 25.11, 27.39, -1 
RRC, 01/27/2016, 27.16, 29.1, 26.67, 27.22, -1 
RRC, 01/28/2016, 27.73, 28.7, 26.6, 27.84, -1 
RRC, 01/29/2016, 28.03, 30.13, 27.74, 29.56, -1 
RRC, 02/01/2016, 27.79, 28.93, 27.18, 28.25, -1 
RRC, 02/02/2016, 26.81, 27.75, 26.39, 26.98, -1 
RRC, 02/03/2016, 27.36, 29.43, 26.03, 28.7, -1 
RRC, 02/04/2016, 27.54, 30.93, 27.54, 29.81, -1 
RRC, 02/05/2016, 28.77, 30.9, 28.6, 30.55, -1 
RRC, 02/08/2016, 29.14, 31.93, 29.14, 30.65, -1 
RRC, 02/09/2016, 28.82, 30.19, 27.59, 28.03, -1 
RRC, 02/10/2016, 27.51, 28.34, 26.87, 26.99, -1 
RRC, 02/11/2016, 25.94, 27.12, 25.46, 26.9, -1 
RRC, 02/12/2016, 25.47, 27.74, 25.47, 27.42, -1 
RRC, 02/16/2016, 25.43, 27.79, 24.9, 26.02, -1 
RRC, 02/17/2016, 26.09, 28.09, 26.0, 26.83, -1 
RRC, 02/18/2016, 27.11, 27.38, 25.31, 26.01, -1 
RRC, 02/19/2016, 24.02, 25.46, 23.49, 23.74, -1 
RRC, 02/22/2016, 23.96, 25.7, 23.79, 24.88, -1 
RRC, 02/23/2016, 24.27, 24.36, 22.06, 22.6, -1 
RRC, 02/24/2016, 22.08, 23.41, 21.92, 23.35, -1 
RRC, 02/25/2016, 22.77, 23.98, 22.42, 23.33, -1 
RRC, 02/26/2016, 23.02, 24.73, 21.68, 23.89, -1 
RRC, 02/29/2016, 23.73, 24.42, 22.71, 23.71, -1 
RRC, 03/01/2016, 23.29, 25.74, 22.75, 25.74, -1 
RRC, 03/02/2016, 24.74, 28.55, 24.74, 28.47, -1 
RRC, 03/03/2016, 28.36, 30.89, 27.92, 30.72, -1 
RRC, 03/04/2016, 31.28, 34.4, 29.69, 32.29, -1 
RRC, 03/07/2016, 31.81, 36.81, 31.81, 33.7, -1 
RRC, 03/08/2016, 32.76, 33.28, 29.69, 29.89, -1 
RRC, 03/09/2016, 30.4, 30.69, 28.75, 29.54, -1 
RRC, 03/10/2016, 28.14, 30.26, 28.14, 30.01, -1 
RRC, 03/11/2016, 30.41, 31.49, 30.04, 31.1, -1 
RRC, 03/14/2016, 29.9, 31.03, 29.7, 30.65, -1 
RRC, 03/15/2016, 30.03, 32.07, 29.88, 31.83, -1 
RRC, 03/16/2016, 31.96, 33.5, 31.75, 33.43, -1 
RRC, 03/17/2016, 33.5, 33.9, 32.75, 33.61, -1 
RRC, 03/18/2016, 34.36, 34.48, 33.26, 33.96, -1 
RRC, 03/21/2016, 32.78, 33.8, 31.98, 32.92, -1 
RRC, 03/22/2016, 32.08, 33.27, 32.08, 32.79, -1 
RRC, 03/23/2016, 31.99, 32.76, 31.14, 31.17, -1 
RRC, 03/24/2016, 29.93, 31.08, 29.37, 30.71, -1 
RRC, 03/28/2016, 30.57, 32.06, 30.52, 31.85, -1 
RRC, 03/29/2016, 30.29, 33.35, 30.29, 33.15, -1 
RRC, 03/30/2016, 33.58, 33.9, 32.11, 32.36, -1 
RRC, 03/31/2016, 32.06, 33.44, 32.06, 32.37, -1 
RRC, 04/01/2016, 31.41, 32.74, 31.3, 32.44, -1 
RRC, 04/04/2016, 32.27, 34.89, 32.27, 33.05, -1 
RRC, 04/05/2016, 32.27, 32.7, 31.33, 31.66, -1 
RRC, 04/06/2016, 31.74, 32.43, 31.1, 31.78, -1 
RRC, 04/07/2016, 31.68, 32.97, 31.41, 32.83, -1 
RRC, 04/08/2016, 33.71, 35.05, 33.51, 34.92, -1 
RRC, 04/11/2016, 34.63, 35.37, 34.4, 34.8, -1 
RRC, 04/12/2016, 34.78, 38.5, 34.61, 38.0, -1 
RRC, 04/13/2016, 37.61, 39.75, 37.6, 37.74, -1 
RRC, 04/14/2016, 37.47, 37.83, 36.04, 36.97, -1 
RRC, 04/15/2016, 36.15, 37.42, 35.8, 37.19, -1 
RRC, 04/18/2016, 35.39, 37.57, 35.22, 37.08, -1 
