Symbol, Date, Open, High, Low, Close, Volume 
RTN, 10/30/2015, 118.55, 118.87, 117.42, 117.42, -1 
RTN, 11/02/2015, 117.25, 118.89, 117.25, 118.62, -1 
RTN, 11/03/2015, 117.82, 118.79, 117.82, 118.35, -1 
RTN, 11/04/2015, 118.4, 119.48, 117.93, 118.54, -1 
RTN, 11/05/2015, 117.86, 119.15, 117.86, 119.08, -1 
RTN, 11/06/2015, 118.31, 118.76, 116.93, 117.54, -1 
RTN, 11/09/2015, 116.08, 117.57, 116.08, 117.23, -1 
RTN, 11/10/2015, 116.3, 118.33, 116.3, 118.05, -1 
RTN, 11/11/2015, 117.7, 118.73, 117.7, 118.33, -1 
RTN, 11/12/2015, 115.04, 119.21, 115.04, 118.21, -1 
RTN, 11/13/2015, 115.82, 118.39, 115.82, 117.26, -1 
RTN, 11/16/2015, 117.39, 122.46, 117.39, 122.11, -1 
RTN, 11/17/2015, 122.87, 124.53, 121.79, 123.26, -1 
RTN, 11/18/2015, 123.37, 124.12, 122.1, 123.93, -1 
RTN, 11/19/2015, 125.0, 126.6, 124.96, 125.97, -1 
RTN, 11/20/2015, 126.61, 128.15, 126.6, 127.01, -1 
RTN, 11/23/2015, 126.93, 127.83, 126.45, 126.82, -1 
RTN, 11/24/2015, 124.95, 126.78, 124.95, 126.36, -1 
RTN, 11/25/2015, 126.14, 126.9, 125.73, 126.12, -1 
RTN, 11/27/2015, 125.24, 126.95, 125.24, 126.82, -1 
RTN, 11/30/2015, 125.32, 126.21, 123.45, 124.03, -1 
RTN, 12/01/2015, 122.01, 125.53, 122.01, 124.4, -1 
RTN, 12/02/2015, 123.82, 125.27, 123.62, 123.8, -1 
RTN, 12/03/2015, 123.3, 123.85, 122.23, 122.81, -1 
RTN, 12/04/2015, 123.03, 124.76, 122.9, 124.29, -1 
RTN, 12/07/2015, 123.94, 127.52, 123.94, 127.16, -1 
RTN, 12/08/2015, 125.16, 127.23, 125.16, 126.99, -1 
RTN, 12/09/2015, 126.24, 128.86, 125.3, 126.14, -1 
RTN, 12/10/2015, 123.98, 128.28, 123.98, 127.42, -1 
