Symbol, Date, Open, High, Low, Close, Volume 
R, 10/30/2015, 71.26, 72.27, 71.0, 71.77, -1 
R, 11/02/2015, 71.52, 73.38, 71.5, 72.97, -1 
R, 11/03/2015, 71.61, 72.86, 71.41, 72.38, -1 
R, 11/04/2015, 71.18, 72.34, 71.18, 71.53, -1 
R, 11/05/2015, 71.31, 72.1, 71.17, 71.89, -1 
R, 11/06/2015, 71.52, 72.01, 71.14, 71.86, -1 
R, 11/09/2015, 71.46, 71.54, 69.63, 70.75, -1 
R, 11/10/2015, 70.36, 70.87, 68.26, 68.97, -1 
R, 11/11/2015, 64.05, 69.59, 63.78, 69.1, -1 
R, 11/12/2015, 68.26, 68.65, 66.59, 66.68, -1 
R, 11/13/2015, 63.29, 67.01, 63.27, 65.67, -1 
R, 11/16/2015, 65.08, 66.02, 64.84, 66.01, -1 
R, 11/17/2015, 60.68, 66.95, 60.19, 66.0, -1 
R, 11/18/2015, 62.58, 66.98, 62.57, 66.53, -1 
R, 11/19/2015, 63.63, 67.89, 63.63, 67.61, -1 
R, 11/20/2015, 67.49, 67.97, 66.84, 66.92, -1 
R, 11/23/2015, 66.62, 67.32, 65.45, 65.61, -1 
R, 11/24/2015, 64.7, 66.29, 64.66, 66.16, -1 
R, 11/25/2015, 65.87, 66.5, 65.59, 66.18, -1 
R, 11/27/2015, 65.9, 66.91, 65.9, 66.57, -1 
R, 11/30/2015, 66.47, 67.06, 65.88, 65.96, -1 
R, 12/01/2015, 63.71, 66.99, 63.71, 66.9, -1 
R, 12/02/2015, 63.64, 66.58, 63.64, 64.49, -1 
R, 12/03/2015, 64.16, 64.59, 61.68, 62.27, -1 
R, 12/04/2015, 60.01, 61.84, 60.01, 60.64, -1 
R, 12/07/2015, 60.27, 60.49, 58.78, 59.26, -1 
R, 12/08/2015, 58.37, 58.88, 57.7, 58.02, -1 
R, 12/09/2015, 57.45, 58.78, 57.24, 57.75, -1 
R, 12/10/2015, 57.4, 58.75, 57.4, 57.97, -1 
R, 12/11/2015, 57.18, 57.62, 56.0, 56.21, -1 
R, 12/14/2015, 55.98, 56.51, 54.65, 55.12, -1 
R, 12/15/2015, 55.32, 57.01, 55.32, 56.46, -1 
R, 12/16/2015, 56.4, 59.39, 56.4, 59.27, -1 
R, 12/17/2015, 59.31, 59.84, 56.63, 56.65, -1 
R, 12/18/2015, 55.88, 55.94, 53.53, 54.07, -1 
R, 12/21/2015, 54.14, 55.26, 53.81, 54.03, -1 
R, 12/22/2015, 53.94, 56.09, 53.94, 55.86, -1 
R, 12/23/2015, 55.8, 58.21, 55.75, 57.81, -1 
R, 12/24/2015, 57.55, 58.11, 57.54, 57.64, -1 
R, 12/28/2015, 57.12, 57.31, 55.98, 56.43, -1 
R, 12/29/2015, 56.46, 57.32, 56.46, 57.2, -1 
R, 12/30/2015, 56.9, 57.34, 56.34, 56.55, -1 
R, 12/31/2015, 56.03, 57.5, 56.03, 56.82, -1 
R, 01/04/2016, 55.56, 57.18, 55.14, 56.87, -1 
R, 01/05/2016, 56.69, 57.2, 55.79, 56.61, -1 
R, 01/06/2016, 55.28, 55.73, 53.57, 54.09, -1 
R, 01/07/2016, 49.19, 52.53, 49.19, 52.04, -1 
R, 01/08/2016, 47.62, 52.22, 47.62, 50.56, -1 
R, 01/11/2016, 50.47, 50.86, 49.5, 50.45, -1 
R, 01/12/2016, 50.56, 51.53, 49.71, 51.09, -1 
R, 01/13/2016, 48.04, 51.62, 48.01, 49.97, -1 
R, 01/14/2016, 50.07, 51.12, 48.79, 50.36, -1 
R, 01/15/2016, 48.29, 49.45, 47.62, 49.25, -1 
R, 01/19/2016, 49.72, 49.87, 47.25, 47.77, -1 
R, 01/20/2016, 46.5, 49.12, 45.07, 48.32, -1 
R, 01/21/2016, 48.04, 50.76, 47.65, 49.5, -1 
R, 01/22/2016, 50.36, 51.7, 49.85, 50.65, -1 
R, 01/25/2016, 50.13, 50.5, 48.77, 48.89, -1 
R, 01/26/2016, 48.98, 52.58, 48.98, 52.54, -1 
R, 01/27/2016, 50.52, 53.72, 50.28, 51.73, -1 
R, 01/28/2016, 51.98, 52.27, 50.08, 50.89, -1 
R, 01/29/2016, 50.61, 53.21, 50.5, 53.17, -1 
R, 02/01/2016, 52.2, 55.42, 52.02, 54.68, -1 
R, 02/02/2016, 52.64, 54.95, 51.1, 51.53, -1 
R, 02/03/2016, 51.49, 52.2, 49.4, 51.95, -1 
R, 02/04/2016, 51.38, 56.87, 51.38, 56.66, -1 
R, 02/05/2016, 55.94, 57.29, 55.5, 57.13, -1 
R, 02/08/2016, 56.12, 56.34, 54.95, 55.96, -1 
R, 02/09/2016, 54.69, 56.25, 54.51, 55.65, -1 
R, 02/10/2016, 55.73, 56.67, 54.76, 55.32, -1 
R, 02/11/2016, 53.56, 54.37, 51.1, 52.45, -1 
R, 02/12/2016, 46.81, 54.56, 46.32, 54.13, -1 
R, 02/16/2016, 49.54, 56.86, 49.54, 56.29, -1 
R, 02/17/2016, 54.52, 58.78, 54.52, 58.11, -1 
R, 02/18/2016, 55.57, 58.05, 55.57, 57.95, -1 
R, 02/19/2016, 57.18, 57.53, 55.57, 56.14, -1 
R, 02/22/2016, 56.42, 58.56, 56.42, 58.49, -1 
R, 02/23/2016, 57.61, 57.97, 56.12, 56.64, -1 
R, 02/24/2016, 54.65, 56.51, 54.15, 56.39, -1 
R, 02/25/2016, 56.35, 57.15, 54.79, 56.2, -1 
R, 02/26/2016, 56.3, 58.31, 56.3, 57.67, -1 
R, 02/29/2016, 57.36, 57.9, 56.7, 56.71, -1 
R, 03/01/2016, 56.95, 58.84, 56.8, 58.49, -1 
R, 03/02/2016, 58.02, 59.37, 58.01, 58.52, -1 
R, 03/03/2016, 56.56, 60.26, 56.52, 60.14, -1 
R, 03/04/2016, 59.92, 62.12, 59.52, 61.53, -1 
R, 03/07/2016, 60.78, 63.07, 60.78, 62.82, -1 
R, 03/08/2016, 61.75, 62.8, 59.67, 59.77, -1 
R, 03/09/2016, 59.99, 60.98, 59.35, 60.85, -1 
R, 03/10/2016, 60.74, 61.43, 58.81, 59.74, -1 
R, 03/11/2016, 60.01, 62.0, 60.01, 61.39, -1 
R, 03/14/2016, 58.44, 61.69, 58.44, 61.3, -1 
R, 03/15/2016, 60.42, 60.72, 59.55, 60.03, -1 
R, 03/16/2016, 59.41, 61.85, 59.41, 61.71, -1 
R, 03/17/2016, 61.03, 64.47, 61.03, 64.15, -1 
R, 03/18/2016, 64.01, 66.17, 64.01, 65.06, -1 
R, 03/21/2016, 64.5, 66.34, 64.2, 66.29, -1 
R, 03/22/2016, 65.16, 65.82, 64.56, 65.48, -1 
R, 03/23/2016, 64.01, 65.45, 64.0, 64.7, -1 
R, 03/24/2016, 63.96, 64.78, 62.84, 64.72, -1 
R, 03/28/2016, 64.54, 64.76, 62.83, 64.01, -1 
R, 03/29/2016, 63.4, 64.83, 62.59, 64.8, -1 
R, 03/30/2016, 64.96, 66.08, 63.89, 64.46, -1 
R, 03/31/2016, 64.23, 65.19, 64.05, 64.77, -1 
R, 04/01/2016, 62.09, 64.29, 62.09, 64.19, -1 
R, 04/04/2016, 62.85, 65.19, 62.85, 63.63, -1 
R, 04/05/2016, 62.65, 62.85, 62.25, 62.49, -1 
R, 04/06/2016, 62.33, 62.43, 60.11, 61.77, -1 
R, 04/07/2016, 60.81, 61.65, 60.23, 60.49, -1 
R, 04/08/2016, 60.66, 63.31, 60.66, 61.98, -1 
R, 04/11/2016, 61.28, 63.51, 61.28, 62.19, -1 
R, 04/12/2016, 62.16, 62.95, 61.62, 62.59, -1 
R, 04/13/2016, 62.75, 65.78, 62.75, 65.52, -1 
R, 04/14/2016, 65.06, 66.45, 65.06, 65.94, -1 
R, 04/15/2016, 65.38, 66.69, 65.38, 66.23, -1 
R, 04/18/2016, 65.58, 67.04, 65.28, 66.64, -1 
R, 04/19/2016, 66.55, 68.49, 66.55, 67.58, -1 
R, 04/20/2016, 65.6, 68.36, 65.6, 68.08, -1 
R, 04/21/2016, 65.52, 67.79, 65.52, 65.91, -1 
R, 04/22/2016, 65.5, 67.43, 65.5, 67.18, -1 
R, 04/25/2016, 66.53, 67.06, 64.84, 65.21, -1 
R, 04/26/2016, 67.29, 69.84, 65.5, 69.45, -1 
R, 04/27/2016, 69.04, 71.88, 69.0, 71.44, -1 
R, 04/28/2016, 70.5, 71.67, 70.21, 70.65, -1 
R, 04/29/2016, 69.74, 70.98, 67.82, 68.91, -1 
R, 05/02/2016, 68.86, 69.4, 68.15, 68.71, -1 
R, 05/03/2016, 67.5, 67.93, 66.3, 67.83, -1 
R, 05/04/2016, 66.99, 68.29, 66.92, 67.6, -1 
R, 05/05/2016, 67.61, 68.53, 67.25, 67.59, -1 
R, 05/06/2016, 66.74, 68.86, 66.74, 68.8, -1 
R, 05/09/2016, 68.13, 69.12, 67.92, 68.65, -1 
R, 05/10/2016, 68.67, 70.78, 68.67, 70.55, -1 
R, 05/11/2016, 69.96, 70.82, 69.55, 70.1, -1 
R, 05/12/2016, 69.94, 71.02, 68.29, 68.43, -1 
R, 05/13/2016, 67.83, 68.56, 65.14, 65.52, -1 
R, 05/16/2016, 62.2, 66.43, 62.2, 65.23, -1 
R, 05/17/2016, 64.6, 67.61, 64.6, 65.87, -1 
R, 05/18/2016, 65.07, 66.39, 64.81, 65.45, -1 
R, 05/19/2016, 59.11, 66.89, 59.11, 66.69, -1 
R, 05/20/2016, 66.48, 68.7, 66.48, 68.02, -1 
R, 05/23/2016, 64.52, 67.85, 64.52, 67.26, -1 
R, 05/24/2016, 61.15, 68.65, 61.15, 67.93, -1 
R, 05/25/2016, 67.77, 69.37, 67.77, 69.2, -1 
R, 05/26/2016, 69.01, 70.14, 69.01, 69.19, -1 
R, 05/27/2016, 68.84, 69.66, 68.84, 69.5, -1 
R, 05/31/2016, 64.67, 70.3, 64.67, 69.6, -1 
R, 06/01/2016, 66.08, 69.39, 66.08, 69.27, -1 
R, 06/02/2016, 65.75, 69.32, 65.75, 68.99, -1 
R, 06/03/2016, 68.6, 68.85, 67.28, 67.99, -1 
R, 06/06/2016, 67.8, 69.69, 67.8, 69.42, -1 
R, 06/07/2016, 69.06, 70.13, 69.06, 69.81, -1 
R, 06/08/2016, 69.46, 70.75, 69.46, 69.75, -1 
R, 06/09/2016, 67.42, 69.26, 67.19, 67.66, -1 
R, 06/10/2016, 64.75, 67.01, 64.75, 65.7, -1 
R, 06/13/2016, 65.02, 66.21, 65.02, 65.28, -1 
R, 06/14/2016, 65.01, 65.72, 63.39, 64.16, -1 
R, 06/15/2016, 63.91, 65.85, 63.91, 64.44, -1 
R, 06/16/2016, 62.65, 63.95, 62.4, 63.8, -1 
R, 06/17/2016, 60.84, 65.6, 60.84, 65.24, -1 
R, 06/20/2016, 65.27, 67.52, 65.27, 66.31, -1 
R, 06/21/2016, 64.24, 65.52, 63.41, 65.11, -1 
R, 06/22/2016, 64.66, 66.0, 64.61, 65.2, -1 
R, 06/23/2016, 65.7, 66.31, 65.55, 65.86, -1 
R, 06/24/2016, 59.39, 63.51, 59.05, 61.07, -1 
R, 06/27/2016, 59.22, 60.13, 56.96, 57.17, -1 
R, 06/28/2016, 57.67, 59.11, 57.67, 58.99, -1 
R, 06/29/2016, 59.37, 60.92, 59.33, 60.43, -1 
R, 06/30/2016, 60.16, 61.19, 59.28, 61.12, -1 
R, 07/01/2016, 58.17, 62.99, 58.17, 62.01, -1 
R, 07/05/2016, 55.32, 61.28, 55.32, 60.54, -1 
R, 07/06/2016, 59.56, 61.44, 59.56, 61.29, -1 
R, 07/07/2016, 55.2, 63.21, 55.2, 62.11, -1 
R, 07/08/2016, 62.52, 64.91, 62.52, 64.63, -1 
R, 07/11/2016, 64.53, 65.86, 64.53, 65.57, -1 
R, 07/12/2016, 65.77, 67.45, 65.77, 67.07, -1 
R, 07/13/2016, 66.73, 67.82, 66.13, 67.6, -1 
R, 07/14/2016, 68.0, 68.53, 67.33, 67.77, -1 
R, 07/15/2016, 67.51, 68.15, 67.28, 67.96, -1 
