Symbol, Date, Open, High, Low, Close, Volume 
SEE, 10/30/2015, 44.97, 50.11, 44.96, 49.12, -1 
SEE, 11/02/2015, 48.89, 49.95, 48.89, 49.83, -1 
SEE, 11/03/2015, 49.5, 49.6, 47.09, 47.66, -1 
SEE, 11/04/2015, 47.59, 48.05, 47.19, 47.98, -1 
SEE, 11/05/2015, 47.75, 48.28, 47.65, 48.12, -1 
SEE, 11/06/2015, 47.7, 48.25, 47.57, 47.82, -1 
SEE, 11/09/2015, 47.53, 47.67, 46.43, 46.9, -1 
SEE, 11/10/2015, 42.35, 46.72, 42.0, 45.66, -1 
SEE, 11/11/2015, 45.55, 46.13, 45.43, 45.47, -1 
SEE, 11/12/2015, 44.82, 45.4, 43.68, 43.72, -1 
SEE, 11/13/2015, 43.4, 44.64, 43.4, 44.33, -1 
SEE, 11/16/2015, 41.16, 44.59, 41.15, 44.32, -1 
SEE, 11/17/2015, 41.33, 44.7, 40.97, 44.22, -1 
SEE, 11/18/2015, 40.99, 45.0, 40.72, 44.93, -1 
SEE, 11/19/2015, 44.69, 45.76, 44.69, 45.65, -1 
SEE, 11/20/2015, 45.61, 46.06, 45.02, 45.32, -1 
SEE, 11/23/2015, 45.03, 45.82, 44.76, 44.87, -1 
SEE, 11/24/2015, 44.32, 45.21, 44.26, 45.01, -1 
SEE, 11/25/2015, 44.73, 45.12, 44.64, 44.93, -1 
SEE, 11/27/2015, 44.74, 45.49, 44.51, 45.27, -1 
SEE, 11/30/2015, 45.08, 45.53, 44.98, 45.35, -1 
SEE, 12/01/2015, 41.73, 45.71, 41.5, 45.52, -1 
SEE, 12/02/2015, 41.65, 46.04, 41.65, 44.96, -1 
SEE, 12/03/2015, 44.93, 45.76, 44.84, 45.12, -1 
SEE, 12/04/2015, 44.95, 45.98, 44.95, 45.96, -1 
SEE, 12/07/2015, 45.71, 45.87, 45.09, 45.28, -1 
SEE, 12/08/2015, 44.58, 44.91, 44.28, 44.67, -1 
SEE, 12/09/2015, 42.04, 44.92, 42.04, 44.04, -1 
SEE, 12/10/2015, 43.76, 44.4, 43.46, 43.51, -1 
SEE, 12/11/2015, 42.93, 43.17, 42.66, 42.82, -1 
SEE, 12/14/2015, 40.62, 42.98, 40.62, 42.19, -1 
SEE, 12/15/2015, 42.25, 43.0, 42.21, 42.7, -1 
SEE, 12/16/2015, 42.75, 43.94, 42.75, 43.82, -1 
SEE, 12/17/2015, 43.6, 43.79, 42.78, 43.06, -1 
