Symbol, Date, Open, High, Low, Close, Volume 
SJM, 10/30/2015, 110.77, 118.15, 110.76, 117.41, -1 
SJM, 11/02/2015, 116.68, 117.52, 115.97, 117.4, -1 
SJM, 11/03/2015, 105.51, 117.59, 105.51, 117.19, -1 
SJM, 11/04/2015, 116.84, 117.75, 116.8, 117.58, -1 
SJM, 11/05/2015, 116.87, 118.01, 116.72, 117.96, -1 
SJM, 11/06/2015, 116.74, 117.57, 113.86, 115.02, -1 
SJM, 11/09/2015, 114.21, 115.0, 113.59, 114.9, -1 
SJM, 11/10/2015, 103.45, 115.6, 101.78, 114.72, -1 
SJM, 11/11/2015, 114.35, 115.76, 114.35, 115.24, -1 
SJM, 11/12/2015, 114.08, 115.35, 113.24, 113.33, -1 
SJM, 11/13/2015, 112.35, 113.17, 110.96, 111.72, -1 
SJM, 11/16/2015, 110.8, 113.32, 110.8, 113.3, -1 
SJM, 11/17/2015, 109.21, 114.09, 109.21, 112.08, -1 
SJM, 11/18/2015, 105.74, 113.69, 104.7, 113.34, -1 
SJM, 11/19/2015, 116.24, 123.92, 116.0, 121.27, -1 
SJM, 11/20/2015, 121.14, 122.99, 121.12, 122.35, -1 
SJM, 11/23/2015, 121.84, 124.75, 121.84, 122.54, -1 
SJM, 11/24/2015, 120.5, 122.29, 119.5, 122.07, -1 
SJM, 11/25/2015, 122.42, 123.45, 122.42, 122.91, -1 
SJM, 11/27/2015, 118.13, 123.93, 118.13, 123.26, -1 
SJM, 11/30/2015, 122.84, 123.87, 121.13, 121.19, -1 
SJM, 12/01/2015, 120.91, 122.38, 120.65, 120.8, -1 
SJM, 12/02/2015, 120.19, 121.91, 120.19, 120.63, -1 
SJM, 12/03/2015, 120.22, 121.13, 118.99, 120.3, -1 
SJM, 12/04/2015, 119.96, 123.28, 119.96, 123.1, -1 
SJM, 12/07/2015, 116.89, 123.95, 116.88, 123.67, -1 
SJM, 12/08/2015, 122.1, 124.21, 122.1, 123.5, -1 
SJM, 12/09/2015, 122.56, 124.43, 121.7, 122.55, -1 
SJM, 12/10/2015, 122.36, 123.47, 121.71, 121.96, -1 
SJM, 12/11/2015, 120.76, 122.03, 120.22, 120.55, -1 
SJM, 12/14/2015, 120.37, 121.19, 118.93, 120.16, -1 
SJM, 12/15/2015, 120.32, 122.24, 120.1, 122.03, -1 
SJM, 12/16/2015, 115.85, 124.25, 115.81, 124.05, -1 
SJM, 12/17/2015, 123.54, 124.91, 122.46, 123.64, -1 
SJM, 12/18/2015, 122.72, 122.75, 121.06, 121.5, -1 
SJM, 12/21/2015, 121.42, 123.16, 121.42, 122.99, -1 
SJM, 12/22/2015, 116.74, 123.25, 116.74, 122.97, -1 
SJM, 12/23/2015, 122.67, 124.99, 122.67, 124.87, -1 
SJM, 12/24/2015, 124.03, 125.0, 123.94, 124.73, -1 
SJM, 12/28/2015, 123.67, 124.58, 123.6, 124.24, -1 
SJM, 12/29/2015, 124.15, 125.28, 124.15, 124.75, -1 
SJM, 12/30/2015, 123.95, 124.87, 123.91, 123.96, -1 
SJM, 12/31/2015, 117.65, 124.05, 117.61, 123.29, -1 
SJM, 01/04/2016, 121.46, 122.53, 121.0, 122.36, -1 
SJM, 01/05/2016, 121.24, 123.66, 121.24, 123.28, -1 
SJM, 01/06/2016, 121.46, 123.35, 121.46, 122.39, -1 
SJM, 01/07/2016, 120.44, 121.54, 119.9, 120.26, -1 
SJM, 01/08/2016, 120.41, 120.91, 119.92, 120.02, -1 
SJM, 01/11/2016, 119.87, 121.22, 119.54, 120.72, -1 
SJM, 01/12/2016, 120.62, 122.1, 120.2, 121.64, -1 
SJM, 01/13/2016, 121.27, 122.06, 119.05, 119.12, -1 
SJM, 01/14/2016, 118.93, 120.86, 118.74, 120.26, -1 
SJM, 01/15/2016, 117.29, 118.88, 117.23, 118.23, -1 
SJM, 01/19/2016, 115.66, 120.32, 115.66, 119.71, -1 
SJM, 01/20/2016, 118.14, 120.16, 117.34, 119.35, -1 
SJM, 01/21/2016, 115.45, 119.68, 115.45, 119.25, -1 
SJM, 01/22/2016, 119.61, 122.97, 119.61, 122.83, -1 
SJM, 01/25/2016, 121.73, 123.56, 121.67, 121.88, -1 
SJM, 01/26/2016, 121.65, 123.46, 121.63, 122.93, -1 
SJM, 01/27/2016, 121.9, 125.37, 121.9, 124.44, -1 
SJM, 01/28/2016, 118.11, 127.6, 118.11, 126.25, -1 
SJM, 01/29/2016, 125.9, 128.41, 125.9, 128.3, -1 
SJM, 02/01/2016, 126.97, 129.63, 126.97, 129.09, -1 
SJM, 02/02/2016, 127.59, 129.39, 127.24, 128.33, -1 
SJM, 02/03/2016, 125.04, 129.94, 125.04, 129.33, -1 
SJM, 02/04/2016, 128.3, 129.26, 125.07, 125.89, -1 
SJM, 02/05/2016, 125.23, 126.66, 125.02, 125.44, -1 
SJM, 02/08/2016, 124.02, 126.06, 123.15, 125.7, -1 
SJM, 02/09/2016, 124.26, 128.1, 124.26, 127.33, -1 
SJM, 02/10/2016, 121.23, 128.91, 121.22, 127.79, -1 
SJM, 02/11/2016, 120.63, 127.08, 120.2, 126.14, -1 
SJM, 02/12/2016, 126.44, 127.38, 125.74, 126.89, -1 
SJM, 02/16/2016, 127.09, 128.61, 125.68, 127.66, -1 
SJM, 02/17/2016, 121.19, 129.69, 121.19, 127.43, -1 
SJM, 02/18/2016, 125.18, 128.04, 125.18, 127.51, -1 
SJM, 02/19/2016, 125.87, 127.78, 125.49, 127.72, -1 
SJM, 02/22/2016, 127.77, 128.78, 126.5, 126.87, -1 
SJM, 02/23/2016, 121.01, 125.44, 121.01, 123.84, -1 
