Symbol, Date, Open, High, Low, Close, Volume 
SO, 10/30/2015, 44.43, 45.22, 44.43, 45.09, -1 
SO, 11/02/2015, 44.73, 45.27, 44.68, 45.22, -1 
SO, 11/03/2015, 45.03, 45.5, 44.91, 45.42, -1 
SO, 11/04/2015, 45.36, 45.84, 45.36, 45.79, -1 
SO, 11/05/2015, 45.76, 46.03, 45.58, 45.61, -1 
SO, 11/06/2015, 44.87, 44.99, 43.47, 43.59, -1 
SO, 11/09/2015, 43.48, 44.17, 43.37, 44.01, -1 
SO, 11/10/2015, 43.96, 44.47, 43.96, 44.45, -1 
SO, 11/11/2015, 44.44, 45.13, 44.44, 45.03, -1 
SO, 11/12/2015, 44.1, 44.63, 43.81, 43.89, -1 
SO, 11/13/2015, 43.66, 44.37, 43.66, 43.95, -1 
SO, 11/16/2015, 43.9, 44.74, 43.89, 44.73, -1 
SO, 11/17/2015, 44.59, 44.97, 43.93, 44.09, -1 
SO, 11/18/2015, 44.0, 44.53, 43.87, 44.45, -1 
SO, 11/19/2015, 44.25, 45.25, 44.25, 45.18, -1 
SO, 11/20/2015, 45.06, 45.67, 45.04, 45.23, -1 
SO, 11/23/2015, 45.11, 45.43, 44.77, 44.9, -1 
SO, 11/24/2015, 44.6, 44.93, 44.42, 44.81, -1 
SO, 11/25/2015, 44.59, 44.76, 44.32, 44.57, -1 
SO, 11/27/2015, 44.39, 44.77, 44.39, 44.6, -1 
SO, 11/30/2015, 44.66, 44.92, 44.54, 44.54, -1 
SO, 12/01/2015, 44.54, 45.23, 44.54, 45.16, -1 
SO, 12/02/2015, 44.83, 45.08, 44.18, 44.21, -1 
SO, 12/03/2015, 44.01, 44.51, 43.71, 44.19, -1 
SO, 12/04/2015, 44.1, 44.93, 44.1, 44.82, -1 
SO, 12/07/2015, 44.09, 45.34, 44.09, 45.29, -1 
SO, 12/08/2015, 44.84, 45.38, 44.84, 45.3, -1 
SO, 12/09/2015, 44.88, 45.74, 44.81, 45.14, -1 
SO, 12/10/2015, 45.05, 45.2, 44.42, 44.47, -1 
SO, 12/11/2015, 44.25, 44.63, 43.93, 44.41, -1 
SO, 12/14/2015, 44.36, 45.06, 44.35, 44.95, -1 
SO, 12/15/2015, 45.0, 45.58, 44.96, 45.44, -1 
SO, 12/16/2015, 45.36, 46.37, 45.36, 46.33, -1 
SO, 12/17/2015, 46.16, 46.79, 46.03, 46.51, -1 
SO, 12/18/2015, 46.17, 46.5, 45.76, 46.19, -1 
SO, 12/21/2015, 46.12, 46.58, 46.0, 46.23, -1 
SO, 12/22/2015, 46.14, 46.6, 46.0, 46.44, -1 
SO, 12/23/2015, 46.23, 47.24, 46.23, 47.1, -1 
SO, 12/24/2015, 46.89, 47.24, 46.89, 47.1, -1 
SO, 12/28/2015, 46.83, 47.29, 46.83, 47.09, -1 
SO, 12/29/2015, 47.05, 47.49, 47.05, 47.24, -1 
SO, 12/30/2015, 47.17, 47.44, 47.17, 47.26, -1 
SO, 12/31/2015, 47.11, 47.27, 46.38, 46.77, -1 
SO, 01/04/2016, 46.36, 47.06, 46.25, 47.06, -1 
SO, 01/05/2016, 46.87, 47.37, 46.59, 47.35, -1 
SO, 01/06/2016, 46.72, 47.49, 46.72, 47.37, -1 
SO, 01/07/2016, 46.83, 47.45, 46.78, 46.96, -1 
SO, 01/08/2016, 46.94, 47.29, 46.56, 46.61, -1 
SO, 01/11/2016, 46.54, 47.01, 46.54, 46.82, -1 
SO, 01/12/2016, 46.66, 46.9, 46.0, 46.44, -1 
SO, 01/13/2016, 46.42, 47.03, 46.42, 46.79, -1 
SO, 01/14/2016, 46.72, 47.55, 46.44, 47.13, -1 
SO, 01/15/2016, 46.16, 47.24, 46.16, 47.16, -1 
SO, 01/19/2016, 47.14, 48.04, 47.14, 47.94, -1 
SO, 01/20/2016, 47.55, 47.98, 46.66, 47.16, -1 
SO, 01/21/2016, 47.1, 47.54, 46.34, 46.8, -1 
SO, 01/22/2016, 46.55, 47.37, 46.55, 47.35, -1 
SO, 01/25/2016, 47.24, 47.52, 47.08, 47.4, -1 
SO, 01/26/2016, 47.52, 48.07, 47.38, 47.57, -1 
SO, 01/27/2016, 47.3, 47.89, 47.23, 47.65, -1 
SO, 01/28/2016, 47.61, 48.56, 47.25, 48.26, -1 
SO, 01/29/2016, 48.14, 48.99, 48.14, 48.91, -1 
SO, 02/01/2016, 48.65, 49.99, 48.65, 49.88, -1 
SO, 02/02/2016, 49.45, 49.78, 49.4, 49.64, -1 
SO, 02/03/2016, 49.04, 50.23, 48.31, 48.51, -1 
SO, 02/04/2016, 48.4, 48.68, 47.45, 48.4, -1 
SO, 02/05/2016, 47.77, 48.49, 47.25, 48.21, -1 
SO, 02/08/2016, 48.01, 48.84, 48.01, 48.84, -1 
SO, 02/09/2016, 48.52, 49.31, 48.26, 49.2, -1 
SO, 02/10/2016, 48.76, 49.35, 48.27, 49.2, -1 
SO, 02/11/2016, 48.05, 48.75, 48.02, 48.04, -1 
SO, 02/12/2016, 47.91, 48.28, 47.55, 47.9, -1 
SO, 02/16/2016, 48.0, 48.08, 47.47, 48.08, -1 
SO, 02/17/2016, 47.93, 48.14, 47.51, 47.81, -1 
SO, 02/18/2016, 47.64, 48.9, 47.64, 48.86, -1 
SO, 02/19/2016, 48.57, 48.92, 48.23, 48.56, -1 
SO, 02/22/2016, 48.29, 49.09, 48.29, 49.09, -1 
SO, 02/23/2016, 48.75, 49.26, 48.75, 49.11, -1 
SO, 02/24/2016, 48.21, 49.38, 48.21, 48.97, -1 
SO, 02/25/2016, 48.7, 49.42, 48.7, 49.35, -1 
SO, 02/26/2016, 49.07, 49.33, 48.11, 48.16, -1 
SO, 02/29/2016, 48.28, 48.67, 48.1, 48.18, -1 
SO, 03/01/2016, 48.21, 48.6, 47.27, 47.49, -1 
SO, 03/02/2016, 47.51, 48.06, 46.55, 47.97, -1 
SO, 03/03/2016, 47.95, 48.17, 47.47, 48.17, -1 
