Symbol, Date, Open, High, Low, Close, Volume 
SPG, 10/30/2015, 203.71, 204.84, 201.52, 201.53, -1 
SPG, 11/02/2015, 200.55, 206.2, 200.55, 205.77, -1 
SPG, 11/03/2015, 204.77, 205.65, 203.03, 203.96, -1 
SPG, 11/04/2015, 203.62, 204.67, 203.0, 203.8, -1 
SPG, 11/05/2015, 202.93, 204.5, 202.17, 203.05, -1 
SPG, 11/06/2015, 190.61, 200.53, 190.6, 194.9, -1 
SPG, 11/09/2015, 193.04, 194.91, 189.74, 191.47, -1 
SPG, 11/10/2015, 190.59, 195.04, 190.59, 194.43, -1 
SPG, 11/11/2015, 194.09, 195.3, 193.02, 193.58, -1 
SPG, 11/12/2015, 187.21, 192.3, 187.21, 191.09, -1 
SPG, 11/13/2015, 183.42, 190.89, 183.41, 186.34, -1 
SPG, 11/16/2015, 182.42, 187.87, 182.42, 187.64, -1 
SPG, 11/17/2015, 186.24, 188.88, 186.24, 186.85, -1 
SPG, 11/18/2015, 177.13, 190.46, 177.13, 190.19, -1 
SPG, 11/19/2015, 189.44, 192.62, 189.44, 190.97, -1 
SPG, 11/20/2015, 188.02, 192.64, 188.02, 192.26, -1 
SPG, 11/23/2015, 190.89, 192.53, 190.57, 191.07, -1 
SPG, 11/24/2015, 189.45, 190.04, 185.68, 187.26, -1 
SPG, 11/25/2015, 185.56, 189.1, 185.56, 188.42, -1 
SPG, 11/27/2015, 178.89, 190.78, 178.88, 189.9, -1 
SPG, 11/30/2015, 174.0, 191.0, 174.0, 186.31, -1 
SPG, 12/01/2015, 186.38, 188.68, 185.0, 188.53, -1 
SPG, 12/02/2015, 179.52, 187.71, 179.51, 183.04, -1 
SPG, 12/03/2015, 182.6, 183.66, 180.53, 181.73, -1 
SPG, 12/04/2015, 180.89, 187.83, 180.89, 187.29, -1 
SPG, 12/07/2015, 185.41, 188.11, 185.41, 187.85, -1 
SPG, 12/08/2015, 186.08, 188.57, 186.08, 187.89, -1 
SPG, 12/09/2015, 186.1, 189.36, 186.08, 187.27, -1 
SPG, 12/10/2015, 186.47, 188.33, 184.92, 185.04, -1 
SPG, 12/11/2015, 183.63, 185.4, 182.77, 184.52, -1 
SPG, 12/14/2015, 182.01, 186.16, 182.01, 185.97, -1 
SPG, 12/15/2015, 185.99, 192.13, 185.99, 189.71, -1 
SPG, 12/16/2015, 189.49, 194.02, 189.49, 193.34, -1 
SPG, 12/17/2015, 192.45, 193.94, 192.23, 193.45, -1 
SPG, 12/18/2015, 192.12, 193.84, 190.49, 190.52, -1 
SPG, 12/21/2015, 190.02, 192.87, 190.02, 191.64, -1 
SPG, 12/22/2015, 191.69, 194.16, 190.97, 192.61, -1 
SPG, 12/23/2015, 192.5, 194.16, 192.5, 193.96, -1 
SPG, 12/24/2015, 192.94, 195.31, 192.94, 194.36, -1 
