Symbol, Date, Open, High, Low, Close, Volume 
STJ, 10/30/2015, 59.83, 64.1, 59.82, 63.81, -1 
STJ, 11/02/2015, 63.52, 64.78, 63.52, 64.65, -1 
STJ, 11/03/2015, 64.23, 64.7, 63.7, 64.03, -1 
STJ, 11/04/2015, 63.99, 64.61, 63.18, 64.41, -1 
STJ, 11/05/2015, 64.18, 64.67, 63.84, 64.6, -1 
STJ, 11/06/2015, 63.95, 64.87, 63.86, 64.84, -1 
STJ, 11/09/2015, 58.75, 64.41, 58.27, 63.63, -1 
STJ, 11/10/2015, 63.0, 64.06, 63.0, 63.98, -1 
STJ, 11/11/2015, 63.91, 64.11, 63.32, 63.35, -1 
STJ, 11/12/2015, 62.73, 63.25, 62.16, 62.18, -1 
STJ, 11/13/2015, 61.77, 62.55, 61.63, 61.84, -1 
STJ, 11/16/2015, 61.33, 62.46, 61.32, 62.41, -1 
STJ, 11/17/2015, 62.29, 63.01, 62.09, 62.65, -1 
STJ, 11/18/2015, 62.65, 63.49, 62.5, 63.42, -1 
STJ, 11/19/2015, 60.3, 63.23, 60.29, 62.51, -1 
STJ, 11/20/2015, 62.46, 63.11, 61.59, 61.92, -1 
STJ, 11/23/2015, 61.69, 63.41, 61.69, 63.06, -1 
STJ, 11/24/2015, 62.41, 62.9, 61.91, 62.77, -1 
STJ, 11/25/2015, 62.58, 63.03, 62.43, 62.97, -1 
STJ, 11/27/2015, 62.72, 63.71, 62.72, 63.62, -1 
STJ, 11/30/2015, 62.82, 64.0, 62.82, 63.1, -1 
STJ, 12/01/2015, 63.24, 63.75, 62.73, 62.97, -1 
STJ, 12/02/2015, 60.3, 63.65, 60.29, 62.96, -1 
STJ, 12/03/2015, 62.83, 63.4, 61.47, 61.61, -1 
STJ, 12/04/2015, 61.44, 62.47, 61.44, 62.3, -1 
STJ, 12/07/2015, 61.86, 62.36, 61.27, 61.62, -1 
STJ, 12/08/2015, 60.3, 61.42, 60.3, 60.93, -1 
STJ, 12/09/2015, 60.4, 61.59, 60.4, 60.56, -1 
STJ, 12/10/2015, 60.26, 61.93, 60.26, 61.7, -1 
STJ, 12/11/2015, 60.84, 61.04, 60.09, 60.63, -1 
STJ, 12/14/2015, 60.27, 60.97, 59.86, 60.24, -1 
STJ, 12/15/2015, 60.53, 62.15, 60.53, 61.7, -1 
STJ, 12/16/2015, 61.79, 63.0, 61.16, 62.17, -1 
STJ, 12/17/2015, 61.99, 62.6, 61.06, 61.07, -1 
STJ, 12/18/2015, 60.67, 61.68, 60.65, 60.85, -1 
STJ, 12/21/2015, 60.9, 61.19, 60.44, 60.97, -1 
STJ, 12/22/2015, 59.04, 61.54, 59.04, 61.23, -1 
STJ, 12/23/2015, 61.24, 61.79, 60.8, 61.51, -1 
STJ, 12/24/2015, 61.22, 61.6, 61.06, 61.11, -1 
STJ, 12/28/2015, 60.58, 61.6, 60.58, 61.59, -1 
STJ, 12/29/2015, 58.91, 63.04, 58.91, 62.64, -1 
STJ, 12/30/2015, 62.2, 62.74, 62.03, 62.23, -1 
STJ, 12/31/2015, 59.08, 62.84, 58.82, 61.76, -1 
STJ, 01/04/2016, 60.5, 61.42, 60.01, 60.4, -1 
STJ, 01/05/2016, 60.28, 60.95, 60.13, 60.77, -1 
STJ, 01/06/2016, 59.67, 60.6, 59.67, 60.1, -1 
STJ, 01/07/2016, 58.94, 59.9, 58.15, 58.41, -1 
STJ, 01/08/2016, 58.68, 59.79, 58.01, 58.15, -1 
STJ, 01/11/2016, 57.97, 58.65, 56.29, 57.16, -1 
STJ, 01/12/2016, 57.33, 59.35, 57.33, 59.18, -1 
STJ, 01/13/2016, 58.25, 59.56, 54.96, 55.04, -1 
STJ, 01/14/2016, 54.97, 55.83, 54.25, 55.48, -1 
STJ, 01/15/2016, 53.44, 55.21, 53.44, 54.87, -1 
STJ, 01/19/2016, 54.03, 55.32, 53.21, 53.78, -1 
STJ, 01/20/2016, 52.64, 54.37, 52.16, 53.97, -1 
STJ, 01/21/2016, 53.93, 54.43, 53.29, 53.7, -1 
