Symbol, Date, Open, High, Low, Close, Volume 
STT, 10/30/2015, 69.33, 70.15, 69.01, 69.01, -1 
STT, 11/02/2015, 66.02, 70.57, 66.01, 70.31, -1 
STT, 11/03/2015, 69.25, 71.83, 69.25, 71.24, -1 
STT, 11/04/2015, 70.14, 71.62, 70.14, 71.28, -1 
STT, 11/05/2015, 70.92, 72.88, 70.92, 72.46, -1 
STT, 11/06/2015, 73.63, 75.31, 72.86, 73.6, -1 
STT, 11/09/2015, 69.68, 73.87, 69.67, 72.43, -1 
STT, 11/10/2015, 68.96, 72.62, 68.62, 71.44, -1 
STT, 11/11/2015, 67.8, 72.25, 67.78, 71.64, -1 
STT, 11/12/2015, 70.98, 71.52, 70.62, 70.62, -1 
STT, 11/13/2015, 69.78, 70.89, 69.78, 69.97, -1 
STT, 11/16/2015, 66.77, 70.58, 66.77, 70.57, -1 
STT, 11/17/2015, 67.01, 71.63, 66.99, 70.98, -1 
STT, 11/18/2015, 67.28, 72.95, 67.26, 72.86, -1 
STT, 11/19/2015, 68.6, 73.11, 67.35, 72.63, -1 
STT, 11/20/2015, 68.93, 73.49, 68.91, 72.78, -1 
STT, 11/23/2015, 69.03, 73.19, 69.03, 72.64, -1 
STT, 11/24/2015, 68.73, 72.64, 68.71, 72.35, -1 
STT, 11/25/2015, 68.67, 73.03, 68.65, 72.81, -1 
STT, 11/27/2015, 71.32, 72.88, 71.32, 72.81, -1 
STT, 11/30/2015, 72.48, 73.09, 72.46, 72.56, -1 
STT, 12/01/2015, 68.91, 73.27, 68.9, 72.42, -1 
STT, 12/02/2015, 66.03, 72.9, 65.52, 72.34, -1 
STT, 12/03/2015, 71.22, 72.94, 71.15, 71.34, -1 
STT, 12/04/2015, 67.9, 73.76, 67.87, 73.67, -1 
STT, 12/07/2015, 70.73, 73.34, 70.7, 72.52, -1 
STT, 12/08/2015, 65.64, 72.19, 65.64, 70.95, -1 
STT, 12/09/2015, 69.92, 70.75, 68.71, 68.84, -1 
STT, 12/10/2015, 68.62, 69.85, 68.62, 69.06, -1 
STT, 12/11/2015, 65.65, 68.13, 65.65, 66.11, -1 
STT, 12/14/2015, 66.13, 67.04, 64.48, 65.74, -1 
STT, 12/15/2015, 66.36, 67.55, 66.36, 67.4, -1 
STT, 12/16/2015, 67.68, 68.84, 66.87, 68.59, -1 
STT, 12/17/2015, 65.12, 68.42, 65.11, 66.4, -1 
STT, 12/18/2015, 65.53, 65.78, 64.71, 64.73, -1 
STT, 12/21/2015, 65.09, 65.81, 65.0, 65.77, -1 
STT, 12/22/2015, 65.39, 66.54, 65.33, 66.38, -1 
STT, 12/23/2015, 65.2, 67.21, 65.2, 67.15, -1 
STT, 12/24/2015, 66.99, 67.42, 66.95, 67.12, -1 
STT, 12/28/2015, 66.66, 67.31, 66.42, 67.17, -1 
STT, 12/29/2015, 67.37, 68.28, 67.37, 67.66, -1 
STT, 12/30/2015, 63.87, 67.54, 63.87, 66.57, -1 
STT, 12/31/2015, 65.08, 67.25, 65.08, 66.37, -1 
STT, 01/04/2016, 64.32, 65.17, 64.11, 65.16, -1 
STT, 01/05/2016, 64.83, 65.54, 64.73, 65.22, -1 
STT, 01/06/2016, 61.09, 63.96, 61.09, 63.06, -1 
STT, 01/07/2016, 60.33, 62.05, 60.0, 60.22, -1 
STT, 01/08/2016, 60.69, 60.78, 58.53, 58.63, -1 
STT, 01/11/2016, 57.65, 59.37, 57.45, 58.41, -1 
STT, 01/12/2016, 57.14, 59.49, 57.14, 59.36, -1 
STT, 01/13/2016, 59.35, 59.89, 56.7, 56.81, -1 
STT, 01/14/2016, 56.88, 58.22, 56.13, 57.42, -1 
STT, 01/15/2016, 51.76, 55.76, 51.76, 54.97, -1 
STT, 01/19/2016, 54.76, 55.9, 54.75, 55.54, -1 
STT, 01/20/2016, 53.37, 55.78, 53.18, 55.13, -1 
STT, 01/21/2016, 54.93, 55.94, 54.23, 54.41, -1 
STT, 01/22/2016, 55.08, 56.34, 55.08, 55.82, -1 
STT, 01/25/2016, 54.5, 55.59, 54.19, 54.23, -1 
STT, 01/26/2016, 54.51, 56.07, 54.33, 55.91, -1 
STT, 01/27/2016, 51.84, 54.47, 51.76, 51.91, -1 
STT, 01/28/2016, 51.96, 52.51, 50.72, 51.91, -1 
STT, 01/29/2016, 51.15, 55.82, 51.15, 55.73, -1 
STT, 02/01/2016, 55.12, 55.3, 54.29, 54.79, -1 
STT, 02/02/2016, 53.13, 53.46, 52.18, 52.97, -1 
STT, 02/03/2016, 51.18, 53.9, 51.18, 53.79, -1 
STT, 02/04/2016, 53.41, 56.16, 53.39, 55.09, -1 
STT, 02/05/2016, 54.94, 55.97, 53.97, 54.41, -1 
STT, 02/08/2016, 51.04, 53.88, 51.04, 53.57, -1 
STT, 02/09/2016, 49.09, 53.95, 49.09, 53.4, -1 
STT, 02/10/2016, 53.7, 55.05, 53.7, 53.73, -1 
STT, 02/11/2016, 50.48, 53.05, 50.48, 52.35, -1 
STT, 02/12/2016, 52.93, 54.9, 52.87, 54.67, -1 
STT, 02/16/2016, 55.21, 57.26, 55.02, 56.63, -1 
STT, 02/17/2016, 56.78, 58.02, 56.41, 56.57, -1 
STT, 02/18/2016, 51.92, 56.85, 51.92, 55.6, -1 
STT, 02/19/2016, 54.99, 56.91, 54.71, 56.2, -1 
STT, 02/22/2016, 55.36, 57.6, 55.36, 56.82, -1 
STT, 02/23/2016, 56.27, 56.67, 55.29, 55.64, -1 
STT, 02/24/2016, 52.19, 54.36, 52.15, 54.17, -1 
STT, 02/25/2016, 54.1, 54.72, 53.61, 54.72, -1 
STT, 02/26/2016, 55.07, 56.08, 54.7, 55.4, -1 
STT, 02/29/2016, 55.11, 55.54, 54.3, 54.77, -1 
STT, 03/01/2016, 55.12, 57.26, 55.12, 57.12, -1 
STT, 03/02/2016, 56.88, 57.86, 56.88, 57.67, -1 
STT, 03/03/2016, 57.27, 58.19, 57.04, 58.04, -1 
STT, 03/04/2016, 58.15, 59.73, 58.07, 58.66, -1 
STT, 03/07/2016, 56.52, 58.81, 56.52, 58.49, -1 
STT, 03/08/2016, 57.21, 58.08, 57.05, 57.28, -1 
STT, 03/09/2016, 57.47, 57.96, 56.87, 56.98, -1 
STT, 03/10/2016, 57.16, 57.45, 56.0, 56.54, -1 
STT, 03/11/2016, 56.72, 57.98, 56.72, 57.94, -1 
STT, 03/14/2016, 57.51, 58.13, 57.29, 57.74, -1 
STT, 03/15/2016, 56.96, 57.37, 56.61, 56.74, -1 
STT, 03/16/2016, 56.26, 57.4, 56.11, 56.84, -1 
STT, 03/17/2016, 55.43, 57.74, 55.43, 57.38, -1 
STT, 03/18/2016, 57.47, 59.19, 57.45, 59.04, -1 
STT, 03/21/2016, 56.88, 60.26, 56.88, 59.95, -1 
STT, 03/22/2016, 59.16, 59.79, 58.92, 59.36, -1 
STT, 03/23/2016, 58.89, 60.05, 58.89, 59.64, -1 
