Symbol, Date, Open, High, Low, Close, Volume 
SWN, 10/30/2015, 10.84, 11.17, 10.25, 11.03, -1 
SWN, 11/02/2015, 10.66, 11.37, 10.66, 11.3, -1 
SWN, 11/03/2015, 11.29, 11.56, 11.13, 11.3, -1 
SWN, 11/04/2015, 11.42, 11.97, 11.38, 11.66, -1 
SWN, 11/05/2015, 11.38, 12.7, 11.38, 12.28, -1 
SWN, 11/06/2015, 12.06, 12.33, 11.79, 11.9, -1 
SWN, 11/09/2015, 11.61, 12.21, 11.46, 11.79, -1 
SWN, 11/10/2015, 11.73, 11.91, 11.33, 11.43, -1 
SWN, 11/11/2015, 11.02, 11.4, 10.33, 10.62, -1 
SWN, 11/12/2015, 10.3, 10.7, 9.97, 10.3, -1 
SWN, 11/13/2015, 10.18, 11.11, 10.08, 11.02, -1 
SWN, 11/16/2015, 10.91, 11.69, 10.91, 11.66, -1 
SWN, 11/17/2015, 11.11, 11.48, 10.8, 10.92, -1 
SWN, 11/18/2015, 11.11, 11.24, 10.25, 10.53, -1 
SWN, 11/19/2015, 10.27, 10.48, 9.75, 9.77, -1 
SWN, 11/20/2015, 9.67, 9.74, 8.96, 9.03, -1 
SWN, 11/23/2015, 8.98, 9.07, 8.7, 9.01, -1 
SWN, 11/24/2015, 8.99, 9.27, 8.77, 9.27, -1 
SWN, 11/25/2015, 9.03, 9.45, 8.95, 9.42, -1 
SWN, 11/27/2015, 9.05, 9.27, 8.7, 8.74, -1 
SWN, 11/30/2015, 8.78, 9.39, 8.7, 9.0, -1 
SWN, 12/01/2015, 8.93, 9.05, 8.8, 8.9, -1 
SWN, 12/02/2015, 8.74, 9.13, 8.6, 8.85, -1 
SWN, 12/03/2015, 8.79, 9.0, 8.15, 8.18, -1 
SWN, 12/04/2015, 8.04, 8.05, 7.63, 7.74, -1 
SWN, 12/07/2015, 7.26, 7.36, 7.05, 7.12, -1 
SWN, 12/08/2015, 6.8, 7.01, 6.67, 6.98, -1 
SWN, 12/09/2015, 6.81, 7.28, 6.73, 6.95, -1 
SWN, 12/10/2015, 6.8, 7.08, 6.59, 6.85, -1 
SWN, 12/11/2015, 6.57, 6.61, 5.71, 5.89, -1 
SWN, 12/14/2015, 5.81, 5.84, 5.28, 5.33, -1 
SWN, 12/15/2015, 5.65, 5.71, 5.25, 5.36, -1 
SWN, 12/16/2015, 5.36, 5.43, 5.05, 5.3, -1 
SWN, 12/17/2015, 5.36, 5.41, 5.0, 5.14, -1 
SWN, 12/18/2015, 5.13, 5.66, 5.1, 5.53, -1 
SWN, 12/21/2015, 5.5, 6.04, 5.4, 5.87, -1 
SWN, 12/22/2015, 5.8, 5.97, 5.6, 5.87, -1 
SWN, 12/23/2015, 6.0, 6.7, 5.99, 6.7, -1 
SWN, 12/24/2015, 6.61, 6.81, 6.54, 6.7, -1 
SWN, 12/28/2015, 6.65, 6.92, 6.55, 6.85, -1 
