Symbol, Date, Open, High, Low, Close, Volume 
SYMC, 10/30/2015, 20.01, 20.69, 20.0, 20.59, -1 
SYMC, 11/02/2015, 20.01, 20.79, 20.01, 20.69, -1 
SYMC, 11/03/2015, 20.71, 20.85, 20.62, 20.84, -1 
SYMC, 11/04/2015, 20.86, 20.96, 20.74, 20.89, -1 
SYMC, 11/05/2015, 21.03, 21.35, 20.83, 20.87, -1 
SYMC, 11/06/2015, 20.01, 20.78, 19.88, 20.56, -1 
SYMC, 11/09/2015, 19.0, 20.4, 19.0, 20.13, -1 
SYMC, 11/10/2015, 20.05, 20.4, 19.9, 19.97, -1 
SYMC, 11/11/2015, 20.06, 20.09, 19.76, 19.92, -1 
SYMC, 11/12/2015, 19.01, 19.99, 19.01, 19.84, -1 
SYMC, 11/13/2015, 19.74, 20.1, 19.57, 19.7, -1 
SYMC, 11/16/2015, 19.63, 19.98, 19.6, 19.96, -1 
SYMC, 11/17/2015, 19.0, 20.01, 19.0, 19.99, -1 
SYMC, 11/18/2015, 19.01, 20.09, 19.01, 20.02, -1 
SYMC, 11/19/2015, 18.74, 20.27, 18.74, 19.99, -1 
SYMC, 11/20/2015, 18.79, 20.1, 18.79, 19.94, -1 
SYMC, 11/23/2015, 18.74, 20.07, 18.74, 19.89, -1 
SYMC, 11/24/2015, 19.81, 20.0, 19.58, 19.81, -1 
SYMC, 11/25/2015, 19.79, 20.0, 19.74, 19.86, -1 
SYMC, 11/27/2015, 19.53, 19.87, 19.5, 19.5, -1 
SYMC, 11/30/2015, 19.54, 19.73, 19.54, 19.59, -1 
SYMC, 12/01/2015, 19.51, 19.75, 19.5, 19.73, -1 
SYMC, 12/02/2015, 18.74, 19.94, 18.74, 19.66, -1 
SYMC, 12/03/2015, 18.88, 19.9, 18.88, 19.71, -1 
SYMC, 12/04/2015, 19.38, 20.13, 19.38, 20.04, -1 
SYMC, 12/07/2015, 19.9, 20.16, 19.89, 20.14, -1 
SYMC, 12/08/2015, 18.89, 20.24, 18.89, 20.18, -1 
SYMC, 12/09/2015, 19.76, 20.22, 19.76, 20.01, -1 
SYMC, 12/10/2015, 18.96, 20.11, 18.96, 19.94, -1 
SYMC, 12/11/2015, 19.02, 19.8, 19.02, 19.65, -1 
SYMC, 12/14/2015, 19.64, 19.78, 19.45, 19.54, -1 
SYMC, 12/15/2015, 20.25, 20.36, 19.96, 20.18, -1 
SYMC, 12/16/2015, 18.89, 20.53, 18.89, 20.47, -1 
