Symbol, Date, Open, High, Low, Close, Volume 
TAP, 10/30/2015, 86.84, 88.62, 86.84, 88.1, -1 
TAP, 11/02/2015, 87.64, 88.82, 87.59, 88.67, -1 
TAP, 11/03/2015, 87.45, 88.63, 87.45, 87.9, -1 
TAP, 11/04/2015, 83.64, 88.13, 83.64, 87.44, -1 
TAP, 11/05/2015, 86.69, 88.29, 86.11, 87.78, -1 
TAP, 11/06/2015, 87.05, 87.56, 86.0, 87.54, -1 
TAP, 11/09/2015, 86.89, 87.68, 86.51, 87.35, -1 
TAP, 11/10/2015, 86.66, 90.47, 86.66, 88.33, -1 
TAP, 11/11/2015, 88.04, 93.32, 87.19, 92.19, -1 
TAP, 11/12/2015, 91.14, 94.59, 91.14, 92.09, -1 
TAP, 11/13/2015, 91.19, 94.24, 91.19, 93.8, -1 
TAP, 11/16/2015, 91.97, 95.08, 91.97, 93.88, -1 
TAP, 11/17/2015, 92.85, 95.48, 92.85, 95.12, -1 
TAP, 11/18/2015, 91.53, 95.5, 91.53, 94.11, -1 
TAP, 11/19/2015, 93.54, 94.41, 93.13, 93.81, -1 
TAP, 11/20/2015, 93.65, 94.36, 92.41, 92.51, -1 
TAP, 11/23/2015, 92.21, 93.36, 91.98, 92.22, -1 
TAP, 11/24/2015, 91.49, 92.6, 91.49, 92.09, -1 
TAP, 11/25/2015, 91.23, 92.96, 91.23, 92.5, -1 
TAP, 11/27/2015, 92.17, 93.72, 92.17, 93.37, -1 
TAP, 11/30/2015, 93.16, 94.11, 91.94, 92.01, -1 
TAP, 12/01/2015, 91.88, 93.43, 91.88, 93.17, -1 
TAP, 12/02/2015, 91.19, 93.31, 91.19, 92.73, -1 
TAP, 12/03/2015, 92.42, 93.16, 91.41, 91.95, -1 
TAP, 12/04/2015, 91.2, 95.5, 91.2, 95.12, -1 
TAP, 12/07/2015, 94.57, 95.22, 94.21, 94.75, -1 
TAP, 12/08/2015, 93.42, 94.81, 92.7, 94.61, -1 
TAP, 12/09/2015, 93.56, 95.11, 93.23, 93.73, -1 
TAP, 12/10/2015, 93.07, 94.16, 92.99, 93.37, -1 
TAP, 12/11/2015, 92.1, 93.86, 91.59, 92.69, -1 
TAP, 12/14/2015, 92.33, 93.1, 90.92, 91.9, -1 
TAP, 12/15/2015, 91.99, 94.37, 91.99, 93.72, -1 
TAP, 12/16/2015, 93.73, 94.55, 92.55, 94.14, -1 
TAP, 12/17/2015, 90.62, 94.79, 90.62, 93.72, -1 
TAP, 12/18/2015, 93.06, 93.62, 92.48, 92.55, -1 
TAP, 12/21/2015, 92.36, 93.41, 92.16, 92.75, -1 
TAP, 12/22/2015, 92.38, 93.49, 92.14, 93.1, -1 
TAP, 12/23/2015, 93.09, 93.97, 92.9, 93.94, -1 
TAP, 12/24/2015, 93.32, 94.4, 93.32, 93.92, -1 
TAP, 12/28/2015, 93.18, 93.47, 92.77, 93.45, -1 
TAP, 12/29/2015, 93.32, 95.03, 93.32, 94.85, -1 
TAP, 12/30/2015, 94.37, 95.02, 94.14, 94.54, -1 
TAP, 12/31/2015, 94.01, 94.6, 93.84, 93.92, -1 
TAP, 01/04/2016, 92.64, 92.9, 91.39, 92.22, -1 
TAP, 01/05/2016, 91.86, 93.1, 91.57, 92.64, -1 
TAP, 01/06/2016, 91.2, 91.74, 90.34, 90.76, -1 
TAP, 01/07/2016, 89.43, 91.48, 89.42, 90.36, -1 
TAP, 01/08/2016, 90.21, 90.77, 88.95, 89.19, -1 
TAP, 01/11/2016, 89.05, 90.08, 87.86, 88.46, -1 
TAP, 01/12/2016, 88.78, 89.7, 88.5, 89.54, -1 
TAP, 01/13/2016, 87.54, 89.77, 87.39, 87.59, -1 
TAP, 01/14/2016, 87.56, 88.13, 84.69, 86.73, -1 
TAP, 01/15/2016, 84.57, 86.28, 83.81, 86.05, -1 
TAP, 01/19/2016, 84.41, 87.45, 84.41, 87.2, -1 
TAP, 01/20/2016, 86.2, 86.94, 85.26, 86.26, -1 
TAP, 01/21/2016, 86.06, 87.62, 86.01, 86.56, -1 
TAP, 01/22/2016, 87.41, 90.0, 87.41, 88.9, -1 
TAP, 01/25/2016, 88.12, 88.55, 87.46, 87.6, -1 
TAP, 01/26/2016, 87.42, 88.69, 86.91, 87.75, -1 
TAP, 01/27/2016, 85.03, 89.4, 84.4, 87.77, -1 
TAP, 01/28/2016, 87.78, 89.49, 87.78, 88.45, -1 
TAP, 01/29/2016, 88.48, 90.97, 88.05, 90.46, -1 
TAP, 02/01/2016, 90.26, 92.4, 90.06, 91.91, -1 
TAP, 02/02/2016, 90.94, 91.64, 90.57, 91.55, -1 
TAP, 02/03/2016, 91.36, 91.58, 88.94, 89.95, -1 
TAP, 02/04/2016, 89.14, 89.85, 86.89, 87.61, -1 
TAP, 02/05/2016, 83.85, 87.71, 83.85, 86.92, -1 
TAP, 02/08/2016, 85.73, 86.06, 83.8, 83.89, -1 
TAP, 02/09/2016, 83.0, 85.29, 83.0, 83.86, -1 
TAP, 02/10/2016, 83.88, 85.21, 83.88, 84.18, -1 
TAP, 02/11/2016, 79.81, 84.19, 79.8, 83.64, -1 
TAP, 02/12/2016, 83.28, 84.58, 83.27, 84.13, -1 
TAP, 02/16/2016, 84.49, 85.22, 83.43, 84.64, -1 
TAP, 02/17/2016, 84.65, 86.49, 84.65, 86.21, -1 
TAP, 02/18/2016, 85.66, 86.03, 84.66, 84.73, -1 
TAP, 02/19/2016, 84.17, 85.6, 84.17, 85.54, -1 
TAP, 02/22/2016, 85.62, 86.94, 85.57, 86.79, -1 
TAP, 02/23/2016, 86.26, 87.4, 85.23, 85.59, -1 
TAP, 02/24/2016, 84.71, 86.26, 84.57, 86.14, -1 
TAP, 02/25/2016, 83.64, 86.64, 83.64, 86.61, -1 
TAP, 02/26/2016, 86.45, 86.61, 85.02, 85.18, -1 
TAP, 02/29/2016, 84.82, 86.44, 84.82, 85.25, -1 
TAP, 03/01/2016, 85.46, 86.95, 85.46, 86.53, -1 
TAP, 03/02/2016, 86.09, 86.61, 85.41, 86.59, -1 
TAP, 03/03/2016, 81.14, 88.53, 81.13, 88.53, -1 
TAP, 03/04/2016, 88.29, 90.32, 88.29, 90.21, -1 
TAP, 03/07/2016, 89.57, 90.65, 89.0, 89.34, -1 
TAP, 03/08/2016, 88.31, 88.84, 88.02, 88.41, -1 
TAP, 03/09/2016, 84.04, 90.52, 84.02, 90.35, -1 
TAP, 03/10/2016, 90.26, 91.91, 90.23, 91.82, -1 
TAP, 03/11/2016, 91.89, 92.64, 91.1, 92.44, -1 
TAP, 03/14/2016, 87.81, 92.67, 87.8, 92.44, -1 
TAP, 03/15/2016, 91.77, 92.95, 91.77, 92.8, -1 
TAP, 03/16/2016, 91.99, 93.38, 91.88, 93.17, -1 
TAP, 03/17/2016, 92.7, 94.6, 92.7, 94.4, -1 
TAP, 03/18/2016, 94.39, 94.46, 93.11, 93.47, -1 
TAP, 03/21/2016, 92.97, 93.74, 92.6, 93.51, -1 
TAP, 03/22/2016, 92.82, 94.91, 92.82, 94.86, -1 
TAP, 03/23/2016, 94.31, 95.7, 94.3, 95.53, -1 
TAP, 03/24/2016, 94.55, 95.3, 94.39, 95.28, -1 
TAP, 03/28/2016, 94.81, 96.18, 94.81, 95.39, -1 
TAP, 03/29/2016, 94.71, 96.12, 94.71, 96.1, -1 
TAP, 03/30/2016, 96.1, 96.88, 95.9, 96.09, -1 
TAP, 03/31/2016, 94.24, 96.92, 94.24, 96.16, -1 
TAP, 04/01/2016, 95.14, 97.02, 95.04, 96.94, -1 
TAP, 04/04/2016, 96.49, 97.23, 95.68, 96.05, -1 
TAP, 04/05/2016, 93.86, 95.19, 93.55, 93.99, -1 
TAP, 04/06/2016, 93.52, 94.23, 92.98, 93.98, -1 
TAP, 04/07/2016, 92.83, 93.21, 91.86, 92.3, -1 
TAP, 04/08/2016, 89.45, 93.21, 89.45, 93.12, -1 
TAP, 04/11/2016, 92.9, 93.88, 92.74, 92.82, -1 
TAP, 04/12/2016, 92.42, 93.3, 92.28, 92.89, -1 
TAP, 04/13/2016, 90.92, 93.42, 90.92, 92.9, -1 
TAP, 04/14/2016, 92.39, 96.33, 92.39, 95.73, -1 
TAP, 04/15/2016, 95.15, 96.92, 95.15, 96.87, -1 
TAP, 04/18/2016, 95.98, 96.89, 95.83, 96.67, -1 
TAP, 04/19/2016, 96.75, 98.24, 96.67, 97.73, -1 
TAP, 04/20/2016, 96.91, 97.39, 96.5, 96.78, -1 
TAP, 04/21/2016, 95.94, 96.29, 95.09, 95.49, -1 
TAP, 04/22/2016, 94.62, 95.74, 94.06, 95.65, -1 
TAP, 04/25/2016, 94.9, 96.49, 94.9, 96.46, -1 
TAP, 04/26/2016, 95.99, 96.78, 95.76, 95.97, -1 
TAP, 04/27/2016, 95.43, 96.54, 95.0, 95.83, -1 
TAP, 04/28/2016, 94.66, 95.96, 94.66, 95.65, -1 
TAP, 04/29/2016, 94.88, 96.58, 94.87, 95.61, -1 
TAP, 05/02/2016, 95.26, 97.13, 95.26, 96.74, -1 
TAP, 05/03/2016, 95.01, 99.4, 95.01, 98.32, -1 
TAP, 05/04/2016, 97.31, 98.87, 96.79, 98.15, -1 
TAP, 05/05/2016, 97.56, 98.7, 97.56, 98.46, -1 
TAP, 05/06/2016, 97.62, 98.46, 97.34, 98.28, -1 
TAP, 05/09/2016, 97.55, 99.48, 97.55, 99.11, -1 
TAP, 05/10/2016, 98.84, 100.25, 98.84, 99.95, -1 
TAP, 05/11/2016, 99.15, 100.23, 99.15, 99.52, -1 
TAP, 05/12/2016, 99.15, 100.06, 98.86, 99.74, -1 
TAP, 05/13/2016, 95.19, 99.57, 95.19, 98.76, -1 
TAP, 05/16/2016, 95.98, 100.23, 95.98, 99.79, -1 
TAP, 05/17/2016, 98.88, 99.24, 97.84, 98.2, -1 
TAP, 05/18/2016, 95.46, 97.99, 95.46, 96.7, -1 
TAP, 05/19/2016, 93.81, 97.56, 93.81, 97.49, -1 
TAP, 05/20/2016, 97.22, 97.84, 96.38, 96.7, -1 
TAP, 05/23/2016, 96.14, 97.45, 96.14, 97.24, -1 
TAP, 05/24/2016, 96.09, 99.41, 96.09, 99.17, -1 
TAP, 05/25/2016, 94.11, 100.16, 94.11, 99.39, -1 
TAP, 05/26/2016, 95.22, 100.09, 95.22, 99.34, -1 
TAP, 05/27/2016, 98.71, 100.59, 98.71, 100.19, -1 
TAP, 05/31/2016, 99.69, 100.2, 98.75, 99.18, -1 
TAP, 06/01/2016, 94.13, 102.17, 94.13, 102.16, -1 
TAP, 06/02/2016, 100.65, 101.95, 100.65, 101.91, -1 
TAP, 06/03/2016, 95.32, 102.58, 95.32, 102.45, -1 
TAP, 06/06/2016, 100.75, 103.07, 100.75, 102.94, -1 
TAP, 06/07/2016, 102.54, 103.02, 101.42, 101.69, -1 
