Symbol, Date, Open, High, Low, Close, Volume 
TDC, 10/30/2015, 27.98, 28.38, 27.91, 28.1, -1 
TDC, 11/02/2015, 28.03, 29.12, 27.93, 29.08, -1 
TDC, 11/03/2015, 28.93, 29.44, 28.89, 29.41, -1 
TDC, 11/04/2015, 29.24, 29.86, 29.13, 29.79, -1 
TDC, 11/05/2015, 27.25, 27.53, 23.99, 25.59, -1 
TDC, 11/06/2015, 22.0, 29.26, 22.0, 28.83, -1 
TDC, 11/09/2015, 26.25, 28.36, 26.23, 27.67, -1 
TDC, 11/10/2015, 27.45, 27.79, 27.41, 27.65, -1 
TDC, 11/11/2015, 27.6, 27.65, 26.97, 26.99, -1 
TDC, 11/12/2015, 26.66, 27.16, 26.31, 26.57, -1 
TDC, 11/13/2015, 26.36, 26.48, 25.74, 26.1, -1 
TDC, 11/16/2015, 25.98, 26.64, 25.78, 26.36, -1 
TDC, 11/17/2015, 26.22, 26.94, 26.19, 26.53, -1 
TDC, 11/18/2015, 26.45, 28.35, 26.45, 28.17, -1 
TDC, 11/19/2015, 27.84, 28.92, 27.84, 28.43, -1 
TDC, 11/20/2015, 28.39, 28.77, 28.22, 28.44, -1 
TDC, 11/23/2015, 28.3, 29.71, 28.3, 29.67, -1 
TDC, 11/24/2015, 29.35, 29.97, 28.79, 29.89, -1 
TDC, 11/25/2015, 29.55, 30.19, 29.55, 29.87, -1 
TDC, 11/27/2015, 29.68, 29.91, 29.5, 29.79, -1 
TDC, 11/30/2015, 29.53, 29.94, 29.16, 29.9, -1 
TDC, 12/01/2015, 29.67, 30.67, 29.67, 30.63, -1 
TDC, 12/02/2015, 30.46, 30.56, 29.77, 30.03, -1 
TDC, 12/03/2015, 27.53, 30.59, 27.53, 29.45, -1 
TDC, 12/04/2015, 29.21, 29.91, 29.2, 29.69, -1 
TDC, 12/07/2015, 29.32, 29.53, 28.57, 28.75, -1 
TDC, 12/08/2015, 28.35, 28.78, 28.04, 28.13, -1 
TDC, 12/09/2015, 25.53, 28.71, 25.52, 28.15, -1 
TDC, 12/10/2015, 27.99, 29.11, 27.98, 28.64, -1 
TDC, 12/11/2015, 26.02, 27.83, 26.01, 27.07, -1 
TDC, 12/14/2015, 26.92, 27.23, 26.7, 26.88, -1 
TDC, 12/15/2015, 27.01, 27.32, 26.79, 26.93, -1 
TDC, 12/16/2015, 26.94, 27.64, 26.94, 27.56, -1 
TDC, 12/17/2015, 27.51, 27.96, 26.53, 26.81, -1 
TDC, 12/18/2015, 26.66, 26.83, 26.1, 26.18, -1 
TDC, 12/21/2015, 26.25, 26.6, 26.04, 26.31, -1 
TDC, 12/22/2015, 26.3, 27.05, 26.11, 26.94, -1 
TDC, 12/23/2015, 26.9, 27.25, 26.63, 27.21, -1 
TDC, 12/24/2015, 26.95, 27.43, 26.95, 27.2, -1 
TDC, 12/28/2015, 23.57, 27.09, 23.57, 26.8, -1 
TDC, 12/29/2015, 26.88, 27.34, 26.87, 27.05, -1 
TDC, 12/30/2015, 26.87, 27.33, 26.75, 26.8, -1 
TDC, 12/31/2015, 26.57, 26.82, 26.4, 26.4, -1 
TDC, 01/04/2016, 25.33, 26.29, 25.33, 26.25, -1 
TDC, 01/05/2016, 26.04, 26.33, 25.31, 25.51, -1 
TDC, 01/06/2016, 22.62, 25.19, 22.62, 24.47, -1 
TDC, 01/07/2016, 23.83, 24.39, 23.52, 23.67, -1 
TDC, 01/08/2016, 23.75, 24.02, 23.4, 23.46, -1 
TDC, 01/11/2016, 23.43, 23.71, 22.54, 22.88, -1 
TDC, 01/12/2016, 22.72, 23.4, 22.69, 23.05, -1 
TDC, 01/13/2016, 23.06, 23.28, 22.51, 22.68, -1 
TDC, 01/14/2016, 22.73, 23.47, 22.31, 23.15, -1 
TDC, 01/15/2016, 21.97, 23.06, 21.97, 22.95, -1 
TDC, 01/19/2016, 23.2, 23.48, 22.37, 22.69, -1 
TDC, 01/20/2016, 19.22, 23.58, 19.19, 23.26, -1 
TDC, 01/21/2016, 23.29, 24.0, 23.09, 23.39, -1 
TDC, 01/22/2016, 23.68, 24.15, 23.11, 23.36, -1 
TDC, 01/25/2016, 23.1, 23.45, 22.69, 22.75, -1 
TDC, 01/26/2016, 22.74, 23.05, 22.6, 22.94, -1 
TDC, 01/27/2016, 22.65, 23.48, 22.65, 22.96, -1 
TDC, 01/28/2016, 20.85, 23.48, 20.85, 23.15, -1 
TDC, 01/29/2016, 21.33, 24.36, 21.33, 24.35, -1 
TDC, 02/01/2016, 23.98, 24.47, 23.73, 24.32, -1 
