Symbol, Date, Open, High, Low, Close, Volume 
TGT, 10/30/2015, 76.09, 77.91, 76.09, 77.18, -1 
TGT, 11/02/2015, 76.66, 77.46, 75.52, 77.28, -1 
TGT, 11/03/2015, 76.49, 78.49, 76.49, 78.22, -1 
TGT, 11/04/2015, 78.52, 78.67, 76.6, 77.38, -1 
TGT, 11/05/2015, 76.03, 78.2, 76.03, 78.15, -1 
TGT, 11/06/2015, 77.67, 78.47, 76.43, 77.23, -1 
TGT, 11/09/2015, 77.05, 77.32, 74.91, 76.23, -1 
TGT, 11/10/2015, 76.0, 77.91, 76.0, 77.2, -1 
TGT, 11/11/2015, 76.32, 76.49, 73.95, 74.85, -1 
TGT, 11/12/2015, 74.64, 75.76, 74.33, 74.94, -1 
TGT, 11/13/2015, 73.35, 73.48, 71.52, 71.9, -1 
TGT, 11/16/2015, 71.0, 72.37, 70.78, 72.29, -1 
TGT, 11/17/2015, 73.34, 74.36, 72.4, 72.94, -1 
TGT, 11/18/2015, 71.64, 71.87, 68.14, 69.78, -1 
TGT, 11/19/2015, 70.0, 71.47, 69.85, 70.54, -1 
TGT, 11/20/2015, 70.59, 71.65, 70.59, 70.81, -1 
TGT, 11/23/2015, 70.54, 72.9, 70.54, 72.28, -1 
TGT, 11/24/2015, 71.82, 73.16, 71.71, 72.89, -1 
TGT, 11/25/2015, 73.13, 73.61, 72.91, 73.16, -1 
TGT, 11/27/2015, 73.44, 73.86, 72.81, 73.42, -1 
TGT, 11/30/2015, 73.48, 73.7, 72.12, 72.5, -1 
TGT, 12/01/2015, 72.33, 73.4, 72.25, 72.81, -1 
TGT, 12/02/2015, 71.96, 73.0, 71.86, 71.93, -1 
TGT, 12/03/2015, 71.46, 73.23, 71.46, 73.18, -1 
TGT, 12/04/2015, 72.62, 74.23, 72.62, 73.86, -1 
TGT, 12/07/2015, 72.14, 74.25, 72.14, 73.39, -1 
TGT, 12/08/2015, 71.88, 73.35, 71.88, 72.61, -1 
TGT, 12/09/2015, 72.2, 72.99, 71.15, 72.02, -1 
TGT, 12/10/2015, 71.2, 72.99, 71.2, 72.36, -1 
TGT, 12/11/2015, 71.23, 72.5, 71.23, 71.83, -1 
TGT, 12/14/2015, 71.21, 72.97, 71.21, 72.7, -1 
TGT, 12/15/2015, 72.77, 74.24, 72.77, 72.96, -1 
TGT, 12/16/2015, 72.02, 74.03, 72.02, 73.79, -1 
TGT, 12/17/2015, 73.5, 74.0, 72.05, 72.3, -1 
TGT, 12/18/2015, 71.75, 72.15, 70.69, 71.39, -1 
TGT, 12/21/2015, 71.38, 71.85, 71.07, 71.71, -1 
TGT, 12/22/2015, 71.76, 72.94, 71.76, 72.62, -1 
TGT, 12/23/2015, 72.3, 73.8, 72.3, 73.66, -1 
TGT, 12/24/2015, 73.24, 73.52, 72.74, 73.14, -1 
TGT, 12/28/2015, 72.7, 73.39, 72.2, 72.85, -1 
TGT, 12/29/2015, 72.75, 74.97, 72.75, 74.41, -1 
TGT, 12/30/2015, 74.09, 74.71, 73.55, 73.6, -1 
TGT, 12/31/2015, 73.06, 73.21, 72.46, 72.59, -1 
TGT, 01/04/2016, 71.51, 73.7, 71.51, 73.57, -1 
TGT, 01/05/2016, 73.39, 75.23, 73.39, 74.85, -1 
TGT, 01/06/2016, 73.62, 74.79, 73.36, 74.07, -1 
TGT, 01/07/2016, 72.93, 75.99, 72.93, 73.78, -1 
TGT, 01/08/2016, 74.15, 74.76, 71.27, 71.41, -1 
TGT, 01/11/2016, 71.39, 72.75, 70.51, 72.42, -1 
TGT, 01/12/2016, 71.65, 73.52, 71.65, 73.38, -1 
TGT, 01/13/2016, 72.45, 73.47, 71.55, 71.62, -1 
TGT, 01/14/2016, 71.28, 71.64, 70.0, 70.38, -1 
TGT, 01/15/2016, 68.55, 70.58, 68.55, 70.07, -1 
TGT, 01/19/2016, 69.67, 70.56, 68.69, 69.23, -1 
TGT, 01/20/2016, 68.12, 68.52, 66.45, 67.58, -1 
TGT, 01/21/2016, 67.51, 69.66, 67.49, 68.61, -1 
TGT, 01/22/2016, 69.07, 69.98, 69.07, 69.7, -1 
TGT, 01/25/2016, 69.08, 69.9, 68.85, 68.93, -1 
TGT, 01/26/2016, 68.6, 70.65, 68.6, 70.42, -1 
TGT, 01/27/2016, 67.58, 71.87, 67.58, 70.69, -1 
TGT, 01/28/2016, 69.57, 71.43, 69.57, 70.97, -1 
TGT, 01/29/2016, 70.7, 72.52, 70.7, 72.37, -1 
TGT, 02/01/2016, 69.55, 73.2, 69.55, 72.82, -1 
TGT, 02/02/2016, 72.05, 73.4, 72.05, 73.32, -1 
TGT, 02/03/2016, 72.32, 73.87, 71.6, 72.52, -1 
TGT, 02/04/2016, 69.68, 70.65, 69.12, 70.06, -1 
TGT, 02/05/2016, 69.46, 70.75, 69.45, 69.56, -1 
TGT, 02/08/2016, 68.34, 70.28, 68.24, 70.0, -1 
TGT, 02/09/2016, 69.01, 70.44, 68.96, 69.85, -1 
TGT, 02/10/2016, 69.92, 70.66, 68.69, 68.76, -1 
TGT, 02/11/2016, 67.61, 69.13, 67.61, 68.06, -1 
TGT, 02/12/2016, 67.76, 69.97, 67.39, 69.94, -1 
TGT, 02/16/2016, 70.25, 71.54, 69.69, 71.49, -1 
TGT, 02/17/2016, 71.19, 72.65, 71.19, 72.1, -1 
TGT, 02/18/2016, 70.5, 72.66, 69.5, 72.52, -1 
TGT, 02/19/2016, 72.06, 72.31, 70.56, 72.3, -1 
TGT, 02/22/2016, 72.5, 73.25, 72.26, 72.45, -1 
TGT, 02/23/2016, 71.41, 74.37, 71.41, 73.97, -1 
TGT, 02/24/2016, 74.26, 76.99, 73.4, 76.91, -1 
TGT, 02/25/2016, 76.9, 78.81, 76.16, 78.61, -1 
TGT, 02/26/2016, 78.46, 78.94, 77.32, 78.42, -1 
TGT, 02/29/2016, 78.23, 79.17, 78.01, 78.4, -1 
TGT, 03/01/2016, 79.1, 81.04, 78.48, 80.93, -1 
TGT, 03/02/2016, 80.75, 81.64, 80.18, 81.07, -1 
TGT, 03/03/2016, 80.11, 80.51, 78.57, 79.76, -1 
TGT, 03/04/2016, 79.53, 81.59, 79.46, 81.13, -1 
TGT, 03/07/2016, 80.48, 81.19, 80.24, 80.8, -1 
TGT, 03/08/2016, 80.06, 81.39, 80.06, 80.53, -1 
TGT, 03/09/2016, 80.61, 81.5, 80.59, 81.17, -1 
TGT, 03/10/2016, 81.29, 81.99, 80.3, 81.5, -1 
TGT, 03/11/2016, 81.57, 82.43, 81.51, 81.85, -1 
TGT, 03/14/2016, 81.45, 82.1, 81.27, 81.74, -1 
TGT, 03/15/2016, 81.06, 81.89, 81.06, 81.66, -1 
TGT, 03/16/2016, 81.55, 82.44, 80.95, 82.4, -1 
TGT, 03/17/2016, 82.05, 83.32, 82.05, 83.0, -1 
TGT, 03/18/2016, 83.1, 83.99, 82.69, 82.71, -1 
TGT, 03/21/2016, 82.44, 82.87, 82.13, 82.17, -1 
TGT, 03/22/2016, 82.16, 82.59, 81.65, 81.79, -1 
TGT, 03/23/2016, 81.15, 82.35, 81.15, 81.58, -1 
TGT, 03/24/2016, 80.93, 82.17, 80.93, 82.02, -1 
TGT, 03/28/2016, 82.07, 83.43, 82.07, 82.8, -1 
TGT, 03/29/2016, 82.35, 83.26, 82.12, 82.98, -1 
TGT, 03/30/2016, 82.81, 83.9, 82.81, 83.58, -1 
TGT, 03/31/2016, 82.29, 83.14, 80.97, 82.36, -1 
TGT, 04/01/2016, 81.62, 83.18, 81.62, 82.75, -1 
TGT, 04/04/2016, 82.74, 83.34, 82.12, 82.29, -1 
TGT, 04/05/2016, 81.84, 82.59, 81.8, 82.09, -1 
TGT, 04/06/2016, 81.9, 82.38, 81.66, 82.17, -1 
TGT, 04/07/2016, 81.64, 82.32, 80.99, 81.57, -1 
TGT, 04/08/2016, 81.04, 81.27, 80.55, 80.92, -1 
TGT, 04/11/2016, 80.88, 81.32, 79.71, 79.79, -1 
TGT, 04/12/2016, 79.75, 81.06, 79.33, 80.78, -1 
TGT, 04/13/2016, 79.8, 81.66, 79.8, 81.54, -1 
TGT, 04/14/2016, 80.46, 82.09, 80.46, 81.74, -1 
TGT, 04/15/2016, 81.44, 83.06, 81.44, 82.59, -1 
TGT, 04/18/2016, 82.45, 83.7, 82.45, 83.43, -1 
TGT, 04/19/2016, 83.34, 84.13, 83.34, 83.96, -1 
