Symbol, Date, Open, High, Low, Close, Volume 
TWX, 10/30/2015, 75.3, 76.24, 74.75, 75.35, -1 
TWX, 11/02/2015, 74.96, 76.64, 74.8, 76.55, -1 
TWX, 11/03/2015, 76.45, 78.31, 76.4, 77.31, -1 
TWX, 11/04/2015, 76.43, 76.72, 69.27, 72.19, -1 
TWX, 11/05/2015, 70.82, 72.39, 68.61, 69.42, -1 
TWX, 11/06/2015, 68.71, 69.4, 68.15, 68.87, -1 
TWX, 11/09/2015, 68.47, 69.1, 67.28, 68.49, -1 
TWX, 11/10/2015, 67.46, 70.12, 67.46, 69.64, -1 
TWX, 11/11/2015, 69.13, 71.92, 69.09, 71.06, -1 
TWX, 11/12/2015, 69.98, 73.65, 69.98, 70.43, -1 
TWX, 11/13/2015, 70.07, 70.96, 69.54, 69.93, -1 
TWX, 11/16/2015, 69.47, 71.13, 69.47, 71.09, -1 
TWX, 11/17/2015, 70.21, 71.47, 70.21, 70.5, -1 
TWX, 11/18/2015, 70.48, 71.97, 70.48, 71.78, -1 
TWX, 11/19/2015, 70.73, 71.72, 70.73, 70.97, -1 
TWX, 11/20/2015, 70.73, 71.75, 70.48, 70.73, -1 
TWX, 11/23/2015, 70.54, 70.8, 70.01, 70.52, -1 
TWX, 11/24/2015, 70.07, 70.61, 69.68, 70.19, -1 
TWX, 11/25/2015, 69.88, 70.48, 69.8, 70.3, -1 
TWX, 11/27/2015, 69.75, 69.93, 68.82, 69.81, -1 
TWX, 11/30/2015, 69.69, 70.29, 69.3, 70.01, -1 
TWX, 12/01/2015, 69.76, 71.17, 69.76, 71.04, -1 
TWX, 12/02/2015, 70.71, 70.99, 69.77, 70.0, -1 
TWX, 12/03/2015, 70.0, 70.14, 69.07, 69.17, -1 
TWX, 12/04/2015, 69.16, 70.71, 69.04, 70.54, -1 
TWX, 12/07/2015, 70.15, 70.49, 69.7, 70.35, -1 
TWX, 12/08/2015, 69.27, 69.76, 68.72, 68.81, -1 
TWX, 12/09/2015, 68.37, 68.97, 67.49, 68.28, -1 
TWX, 12/10/2015, 67.24, 68.74, 67.24, 67.82, -1 
TWX, 12/11/2015, 66.86, 66.88, 65.26, 65.45, -1 
TWX, 12/14/2015, 65.42, 65.89, 63.54, 64.28, -1 
TWX, 12/15/2015, 64.35, 65.48, 64.35, 64.71, -1 
TWX, 12/16/2015, 64.85, 66.0, 64.65, 65.89, -1 
TWX, 12/17/2015, 65.71, 66.13, 64.75, 64.85, -1 
TWX, 12/18/2015, 64.37, 64.69, 63.41, 63.49, -1 
TWX, 12/21/2015, 63.7, 64.26, 62.94, 63.42, -1 
TWX, 12/22/2015, 63.52, 64.49, 63.52, 64.13, -1 
TWX, 12/23/2015, 64.2, 64.55, 63.9, 64.48, -1 
TWX, 12/24/2015, 64.16, 64.83, 64.16, 64.4, -1 
TWX, 12/28/2015, 63.97, 64.68, 63.84, 64.48, -1 
TWX, 12/29/2015, 64.48, 64.98, 64.48, 64.82, -1 
TWX, 12/30/2015, 64.4, 64.93, 64.39, 64.43, -1 
TWX, 12/31/2015, 63.26, 65.39, 63.26, 64.65, -1 
TWX, 01/04/2016, 63.47, 64.98, 63.47, 64.93, -1 
TWX, 01/05/2016, 64.87, 65.56, 64.4, 65.53, -1 
TWX, 01/06/2016, 61.56, 69.47, 61.55, 68.65, -1 
TWX, 01/07/2016, 67.52, 71.51, 67.46, 70.24, -1 
TWX, 01/08/2016, 72.9, 73.55, 70.97, 71.15, -1 
