Symbol, Date, Open, High, Low, Close, Volume 
TXN, 10/30/2015, 56.58, 57.0, 56.4, 56.71, -1 
TXN, 11/02/2015, 56.07, 57.18, 56.07, 56.98, -1 
TXN, 11/03/2015, 56.88, 57.42, 56.81, 57.14, -1 
TXN, 11/04/2015, 56.15, 57.4, 56.15, 56.95, -1 
TXN, 11/05/2015, 55.96, 57.73, 55.96, 57.4, -1 
TXN, 11/06/2015, 56.14, 57.84, 56.14, 57.61, -1 
TXN, 11/09/2015, 55.2, 57.52, 55.2, 57.2, -1 
TXN, 11/10/2015, 56.01, 57.22, 56.01, 57.03, -1 
TXN, 11/11/2015, 56.76, 58.51, 56.76, 57.59, -1 
TXN, 11/12/2015, 56.16, 57.36, 56.16, 56.67, -1 
TXN, 11/13/2015, 56.66, 57.1, 56.0, 56.13, -1 
TXN, 11/16/2015, 54.9, 56.88, 54.9, 56.87, -1 
TXN, 11/17/2015, 56.09, 57.47, 56.09, 57.07, -1 
TXN, 11/18/2015, 56.57, 58.01, 56.57, 57.95, -1 
TXN, 11/19/2015, 54.81, 58.28, 54.81, 57.93, -1 
TXN, 11/20/2015, 57.27, 58.29, 57.27, 58.11, -1 
TXN, 11/23/2015, 58.15, 58.15, 57.31, 57.35, -1 
TXN, 11/24/2015, 56.29, 57.94, 56.29, 57.84, -1 
TXN, 11/25/2015, 57.85, 57.85, 57.23, 57.27, -1 
TXN, 11/27/2015, 55.9, 57.76, 55.9, 57.55, -1 
TXN, 11/30/2015, 57.62, 58.34, 57.5, 58.13, -1 
TXN, 12/01/2015, 57.42, 58.83, 57.42, 58.3, -1 
TXN, 12/02/2015, 58.21, 58.33, 57.44, 57.55, -1 
TXN, 12/03/2015, 57.64, 58.2, 57.12, 57.68, -1 
TXN, 12/04/2015, 57.56, 58.96, 57.47, 58.87, -1 
TXN, 12/07/2015, 58.04, 58.62, 58.04, 58.35, -1 
TXN, 12/08/2015, 57.26, 57.91, 57.02, 57.66, -1 
TXN, 12/09/2015, 56.78, 57.6, 56.28, 56.75, -1 
