Symbol, Date, Open, High, Low, Close, Volume 
UHS, 10/30/2015, 115.95, 123.34, 115.93, 122.06, -1 
UHS, 11/02/2015, 121.6, 125.69, 121.6, 125.17, -1 
UHS, 11/03/2015, 118.5, 124.98, 118.48, 122.79, -1 
UHS, 11/04/2015, 122.31, 125.18, 122.3, 125.01, -1 
UHS, 11/05/2015, 124.01, 124.99, 121.32, 122.83, -1 
UHS, 11/06/2015, 121.45, 126.11, 121.45, 125.8, -1 
UHS, 11/09/2015, 125.15, 125.86, 122.51, 124.44, -1 
UHS, 11/10/2015, 123.3, 125.43, 123.0, 125.15, -1 
UHS, 11/11/2015, 124.73, 125.35, 120.62, 120.76, -1 
UHS, 11/12/2015, 119.27, 120.31, 117.47, 117.62, -1 
UHS, 11/13/2015, 116.47, 120.23, 115.69, 119.79, -1 
UHS, 11/16/2015, 118.48, 120.73, 118.48, 120.2, -1 
UHS, 11/17/2015, 119.45, 123.59, 119.27, 122.66, -1 
UHS, 11/18/2015, 122.42, 124.57, 122.39, 124.38, -1 
UHS, 11/19/2015, 106.31, 122.27, 105.36, 119.04, -1 
UHS, 11/20/2015, 119.1, 122.77, 119.1, 122.53, -1 
UHS, 11/23/2015, 121.79, 125.23, 121.36, 123.35, -1 
UHS, 11/24/2015, 122.19, 124.46, 121.99, 124.27, -1 
UHS, 11/25/2015, 123.75, 124.88, 122.5, 123.76, -1 
UHS, 11/27/2015, 120.38, 125.23, 120.38, 124.61, -1 
UHS, 11/30/2015, 124.41, 124.6, 121.11, 121.52, -1 
UHS, 12/01/2015, 121.48, 125.46, 121.02, 125.3, -1 
UHS, 12/02/2015, 124.54, 125.66, 122.67, 122.94, -1 
UHS, 12/03/2015, 122.29, 123.36, 116.68, 118.23, -1 
UHS, 12/04/2015, 118.18, 120.23, 117.79, 119.39, -1 
UHS, 12/07/2015, 118.62, 119.32, 116.42, 117.11, -1 
UHS, 12/08/2015, 115.34, 120.44, 115.0, 120.25, -1 
UHS, 12/09/2015, 119.26, 122.71, 118.35, 118.76, -1 
UHS, 12/10/2015, 117.97, 121.95, 117.96, 121.15, -1 
UHS, 12/11/2015, 119.23, 121.25, 118.86, 119.5, -1 
UHS, 12/14/2015, 118.94, 120.06, 113.8, 116.16, -1 
UHS, 12/15/2015, 116.35, 118.61, 116.35, 118.28, -1 
UHS, 12/16/2015, 109.19, 120.29, 109.19, 116.74, -1 
UHS, 12/17/2015, 116.55, 118.33, 115.49, 116.13, -1 
UHS, 12/18/2015, 114.9, 117.07, 114.79, 114.97, -1 
UHS, 12/21/2015, 115.09, 119.68, 115.09, 119.14, -1 
UHS, 12/22/2015, 118.75, 119.38, 116.27, 117.83, -1 
UHS, 12/23/2015, 117.95, 122.06, 117.95, 121.12, -1 
UHS, 12/24/2015, 120.43, 122.02, 119.78, 120.64, -1 
UHS, 12/28/2015, 119.29, 120.24, 118.2, 119.35, -1 
UHS, 12/29/2015, 119.17, 121.75, 119.17, 121.41, -1 
UHS, 12/30/2015, 115.21, 121.83, 115.17, 120.04, -1 
UHS, 12/31/2015, 118.94, 121.15, 118.64, 119.48, -1 
UHS, 01/04/2016, 116.75, 119.12, 116.27, 117.9, -1 
UHS, 01/05/2016, 111.53, 120.04, 111.53, 118.44, -1 
UHS, 01/06/2016, 112.81, 117.53, 111.89, 115.75, -1 
UHS, 01/07/2016, 113.05, 115.13, 112.24, 112.9, -1 
UHS, 01/08/2016, 112.78, 115.69, 112.04, 112.38, -1 
UHS, 01/11/2016, 113.19, 117.7, 112.78, 114.46, -1 
UHS, 01/12/2016, 114.59, 117.36, 110.06, 112.31, -1 
UHS, 01/13/2016, 111.89, 113.39, 107.92, 109.1, -1 
UHS, 01/14/2016, 108.98, 111.95, 108.91, 111.14, -1 
