Symbol, Date, Open, High, Low, Close, Volume 
UNP, 10/30/2015, 90.64, 91.13, 89.18, 89.34, -1 
UNP, 11/02/2015, 89.0, 89.75, 88.58, 89.09, -1 
UNP, 11/03/2015, 88.5, 89.31, 88.48, 88.69, -1 
UNP, 11/04/2015, 88.57, 89.41, 87.85, 88.19, -1 
UNP, 11/05/2015, 88.04, 88.45, 86.99, 87.19, -1 
UNP, 11/06/2015, 86.65, 87.19, 85.46, 85.96, -1 
UNP, 11/09/2015, 85.53, 89.02, 83.98, 86.16, -1 
UNP, 11/10/2015, 85.38, 86.25, 84.49, 84.85, -1 
UNP, 11/11/2015, 84.04, 85.47, 84.04, 84.34, -1 
UNP, 11/12/2015, 83.56, 84.79, 83.13, 83.95, -1 
UNP, 11/13/2015, 83.45, 85.08, 83.43, 83.79, -1 
UNP, 11/16/2015, 83.34, 84.54, 83.1, 84.35, -1 
UNP, 11/17/2015, 83.58, 85.91, 83.12, 85.1, -1 
UNP, 11/18/2015, 84.3, 87.75, 84.3, 87.09, -1 
UNP, 11/19/2015, 86.67, 87.14, 85.95, 87.02, -1 
UNP, 11/20/2015, 87.32, 88.04, 86.5, 86.75, -1 
UNP, 11/23/2015, 86.36, 87.42, 84.9, 85.12, -1 
UNP, 11/24/2015, 84.41, 85.28, 84.41, 84.82, -1 
UNP, 11/25/2015, 83.58, 84.95, 83.58, 84.64, -1 
UNP, 11/27/2015, 83.54, 84.95, 83.54, 84.5, -1 
UNP, 11/30/2015, 84.23, 84.88, 83.94, 83.97, -1 
UNP, 12/01/2015, 83.91, 84.99, 83.12, 84.41, -1 
UNP, 12/02/2015, 84.0, 84.32, 81.67, 82.08, -1 
UNP, 12/03/2015, 82.01, 82.2, 78.75, 79.24, -1 
UNP, 12/04/2015, 77.36, 78.62, 77.03, 78.3, -1 
UNP, 12/07/2015, 77.82, 78.61, 76.7, 77.28, -1 
UNP, 12/08/2015, 76.26, 76.68, 74.78, 75.61, -1 
UNP, 12/09/2015, 74.96, 77.8, 74.94, 77.54, -1 
UNP, 12/10/2015, 77.36, 78.61, 77.31, 77.45, -1 
UNP, 12/11/2015, 76.61, 77.94, 76.37, 77.27, -1 
UNP, 12/14/2015, 77.12, 77.95, 76.4, 76.88, -1 
UNP, 12/15/2015, 77.27, 77.69, 76.12, 76.39, -1 
UNP, 12/16/2015, 76.4, 79.02, 76.4, 78.91, -1 
UNP, 12/17/2015, 78.59, 79.44, 77.3, 77.33, -1 
UNP, 12/18/2015, 76.75, 76.75, 75.27, 75.35, -1 
UNP, 12/21/2015, 75.46, 76.35, 75.02, 75.45, -1 
UNP, 12/22/2015, 75.45, 77.58, 75.45, 77.08, -1 
UNP, 12/23/2015, 77.57, 79.12, 77.57, 78.77, -1 
UNP, 12/24/2015, 77.57, 79.06, 77.57, 78.79, -1 
UNP, 12/28/2015, 78.27, 78.73, 77.93, 78.35, -1 
UNP, 12/29/2015, 78.37, 79.04, 78.1, 78.96, -1 
UNP, 12/30/2015, 78.42, 78.77, 78.14, 78.5, -1 
UNP, 12/31/2015, 77.73, 79.15, 77.57, 78.18, -1 
UNP, 01/04/2016, 76.87, 79.03, 76.12, 78.99, -1 
UNP, 01/05/2016, 78.51, 79.27, 77.28, 78.21, -1 
UNP, 01/06/2016, 76.72, 77.05, 74.23, 74.85, -1 
UNP, 01/07/2016, 73.21, 74.19, 72.41, 73.1, -1 
UNP, 01/08/2016, 73.56, 74.36, 73.2, 73.83, -1 
UNP, 01/11/2016, 74.0, 75.03, 73.63, 74.8, -1 
UNP, 01/12/2016, 75.03, 76.46, 74.37, 76.26, -1 
UNP, 01/13/2016, 75.91, 76.83, 73.21, 73.85, -1 
UNP, 01/14/2016, 73.47, 76.57, 73.47, 75.39, -1 
UNP, 01/15/2016, 72.6, 74.27, 72.52, 74.11, -1 
UNP, 01/19/2016, 74.66, 75.09, 73.24, 74.06, -1 
UNP, 01/20/2016, 72.6, 74.15, 71.57, 73.61, -1 
UNP, 01/21/2016, 69.5, 71.73, 67.06, 71.08, -1 
UNP, 01/22/2016, 71.33, 72.33, 68.42, 69.99, -1 
UNP, 01/25/2016, 69.14, 69.76, 68.66, 68.81, -1 
UNP, 01/26/2016, 68.8, 70.47, 68.8, 70.01, -1 
UNP, 01/27/2016, 69.02, 70.97, 68.71, 69.06, -1 
UNP, 01/28/2016, 69.44, 70.29, 68.71, 70.14, -1 
UNP, 01/29/2016, 69.38, 72.02, 69.38, 71.96, -1 
UNP, 02/01/2016, 70.28, 73.55, 70.28, 73.06, -1 
UNP, 02/02/2016, 73.26, 73.3, 71.16, 71.71, -1 
UNP, 02/03/2016, 71.08, 72.38, 70.53, 72.28, -1 
UNP, 02/04/2016, 71.77, 76.41, 71.77, 75.51, -1 
UNP, 02/05/2016, 75.11, 75.99, 74.19, 75.02, -1 
UNP, 02/08/2016, 72.71, 76.55, 72.71, 76.03, -1 
UNP, 02/09/2016, 73.13, 77.85, 73.13, 77.12, -1 
UNP, 02/10/2016, 77.58, 78.58, 76.34, 76.96, -1 
UNP, 02/11/2016, 75.51, 76.29, 73.59, 75.51, -1 
UNP, 02/12/2016, 76.09, 78.33, 76.09, 77.18, -1 
UNP, 02/16/2016, 77.4, 80.26, 76.87, 79.37, -1 
UNP, 02/17/2016, 78.43, 80.49, 78.43, 79.93, -1 
UNP, 02/18/2016, 79.43, 80.12, 78.17, 78.64, -1 
UNP, 02/19/2016, 77.88, 79.99, 77.88, 79.87, -1 
UNP, 02/22/2016, 81.46, 82.24, 80.7, 81.58, -1 
UNP, 02/23/2016, 80.32, 80.95, 78.79, 78.97, -1 
UNP, 02/24/2016, 77.97, 80.28, 77.05, 80.07, -1 
UNP, 02/25/2016, 78.44, 80.26, 78.44, 79.31, -1 
UNP, 02/26/2016, 79.45, 81.24, 79.45, 79.97, -1 
UNP, 02/29/2016, 79.59, 79.97, 78.74, 78.85, -1 
UNP, 03/01/2016, 79.28, 80.92, 79.12, 80.13, -1 
UNP, 03/02/2016, 79.93, 80.83, 79.25, 79.46, -1 
UNP, 03/03/2016, 79.48, 80.54, 79.08, 80.01, -1 
UNP, 03/04/2016, 79.79, 81.45, 79.79, 80.49, -1 
UNP, 03/07/2016, 79.77, 81.56, 79.75, 81.41, -1 
UNP, 03/08/2016, 80.59, 80.95, 78.14, 78.26, -1 
UNP, 03/09/2016, 78.75, 80.19, 78.55, 80.11, -1 
UNP, 03/10/2016, 79.54, 80.62, 78.55, 79.35, -1 
UNP, 03/11/2016, 79.68, 81.37, 79.68, 81.23, -1 
UNP, 03/14/2016, 80.59, 81.47, 80.15, 80.34, -1 
UNP, 03/15/2016, 79.51, 80.15, 78.61, 80.12, -1 
UNP, 03/16/2016, 80.01, 80.78, 79.37, 80.31, -1 
UNP, 03/17/2016, 80.17, 83.26, 79.61, 83.08, -1 
UNP, 03/18/2016, 83.42, 85.28, 83.11, 84.45, -1 
UNP, 03/21/2016, 84.33, 84.97, 83.47, 84.02, -1 
UNP, 03/22/2016, 82.9, 83.13, 81.71, 82.06, -1 
UNP, 03/23/2016, 81.55, 82.33, 81.39, 81.53, -1 
UNP, 03/24/2016, 80.59, 81.27, 80.04, 80.94, -1 
UNP, 03/28/2016, 80.48, 80.91, 78.46, 78.84, -1 
UNP, 03/29/2016, 78.26, 79.98, 77.8, 79.8, -1 
UNP, 03/30/2016, 79.85, 81.43, 79.85, 80.54, -1 
UNP, 03/31/2016, 79.84, 80.44, 78.51, 79.53, -1 
UNP, 04/01/2016, 78.77, 79.41, 78.0, 78.92, -1 
UNP, 04/04/2016, 78.61, 80.02, 78.16, 78.31, -1 
UNP, 04/05/2016, 77.25, 78.97, 77.25, 78.63, -1 
UNP, 04/06/2016, 78.24, 78.51, 77.37, 78.34, -1 
UNP, 04/07/2016, 77.46, 78.67, 77.36, 78.02, -1 
UNP, 04/08/2016, 78.03, 80.55, 78.03, 79.18, -1 
UNP, 04/11/2016, 78.51, 80.48, 78.51, 78.67, -1 
UNP, 04/12/2016, 78.07, 80.25, 78.07, 79.64, -1 
UNP, 04/13/2016, 78.69, 82.14, 78.69, 81.72, -1 
UNP, 04/14/2016, 81.51, 83.03, 81.26, 82.29, -1 
UNP, 04/15/2016, 81.86, 82.35, 81.02, 81.2, -1 
UNP, 04/18/2016, 79.24, 82.03, 78.6, 80.88, -1 
UNP, 04/19/2016, 81.51, 83.01, 81.34, 82.24, -1 
UNP, 04/20/2016, 81.08, 84.6, 81.08, 83.87, -1 
UNP, 04/21/2016, 86.5, 88.64, 85.19, 87.48, -1 
UNP, 04/22/2016, 87.58, 89.9, 87.58, 89.66, -1 
UNP, 04/25/2016, 88.89, 89.21, 86.88, 87.61, -1 
UNP, 04/26/2016, 86.76, 88.83, 86.76, 88.74, -1 
UNP, 04/27/2016, 87.91, 89.74, 87.91, 89.18, -1 
UNP, 04/28/2016, 87.73, 89.75, 87.73, 88.49, -1 
UNP, 04/29/2016, 87.82, 89.18, 86.72, 87.24, -1 
UNP, 05/02/2016, 87.06, 88.42, 86.62, 88.13, -1 
UNP, 05/03/2016, 87.01, 87.29, 85.66, 86.76, -1 
UNP, 05/04/2016, 85.86, 86.99, 85.33, 85.64, -1 
UNP, 05/05/2016, 85.44, 86.35, 85.08, 85.18, -1 
UNP, 05/06/2016, 84.39, 86.26, 84.39, 85.74, -1 
UNP, 05/09/2016, 85.12, 85.59, 84.13, 84.64, -1 
UNP, 05/10/2016, 84.72, 86.72, 84.72, 86.09, -1 
UNP, 05/11/2016, 85.57, 86.34, 84.47, 84.49, -1 
UNP, 05/12/2016, 84.0, 85.21, 83.64, 83.84, -1 
UNP, 05/13/2016, 83.16, 83.8, 81.79, 81.99, -1 
UNP, 05/16/2016, 81.76, 82.93, 81.76, 82.0, -1 
UNP, 05/17/2016, 81.5, 83.45, 81.5, 82.18, -1 
UNP, 05/18/2016, 81.55, 83.44, 81.55, 82.44, -1 
UNP, 05/19/2016, 81.12, 81.81, 80.66, 81.43, -1 
UNP, 05/20/2016, 81.41, 82.56, 81.41, 82.41, -1 
UNP, 05/23/2016, 81.95, 82.44, 81.45, 81.49, -1 
UNP, 05/24/2016, 81.48, 82.13, 80.87, 81.29, -1 
UNP, 05/25/2016, 81.02, 83.21, 81.02, 82.89, -1 
UNP, 05/26/2016, 82.38, 83.29, 82.24, 82.34, -1 
UNP, 05/27/2016, 81.83, 83.07, 81.78, 82.96, -1 
UNP, 05/31/2016, 81.18, 84.51, 81.18, 84.19, -1 
UNP, 06/01/2016, 83.13, 84.18, 82.85, 84.08, -1 
UNP, 06/02/2016, 82.76, 84.61, 82.76, 84.6, -1 
UNP, 06/03/2016, 85.5, 86.65, 84.61, 86.38, -1 
UNP, 06/06/2016, 86.18, 87.13, 85.87, 86.83, -1 
UNP, 06/07/2016, 85.92, 88.07, 85.92, 87.57, -1 
UNP, 06/08/2016, 87.09, 90.12, 87.09, 89.04, -1 
UNP, 06/09/2016, 88.23, 89.52, 88.0, 89.39, -1 
UNP, 06/10/2016, 87.71, 88.89, 87.71, 88.78, -1 
UNP, 06/13/2016, 87.51, 89.6, 87.51, 88.71, -1 
UNP, 06/14/2016, 87.75, 89.09, 87.55, 87.96, -1 
UNP, 06/15/2016, 86.61, 88.61, 86.61, 87.57, -1 
UNP, 06/16/2016, 86.06, 87.3, 85.49, 87.09, -1 
UNP, 06/17/2016, 86.57, 87.8, 86.57, 87.58, -1 
UNP, 06/20/2016, 87.75, 89.24, 87.75, 88.09, -1 
UNP, 06/21/2016, 85.75, 88.08, 85.75, 87.64, -1 
UNP, 06/22/2016, 85.14, 88.04, 85.14, 87.5, -1 
UNP, 06/23/2016, 85.04, 88.97, 85.04, 88.52, -1 
UNP, 06/24/2016, 85.08, 86.34, 84.13, 85.2, -1 
UNP, 06/27/2016, 84.21, 84.28, 81.95, 82.48, -1 
UNP, 06/28/2016, 82.53, 84.86, 82.53, 84.81, -1 
UNP, 06/29/2016, 85.14, 86.76, 85.14, 86.24, -1 
UNP, 06/30/2016, 83.94, 87.38, 83.94, 87.26, -1 
