Symbol, Date, Open, High, Low, Close, Volume 
URI, 10/30/2015, 70.6, 75.46, 70.6, 74.86, -1 
URI, 11/02/2015, 72.09, 76.56, 72.09, 75.99, -1 
URI, 11/03/2015, 73.87, 78.08, 73.87, 76.96, -1 
URI, 11/04/2015, 75.16, 77.79, 75.16, 76.56, -1 
URI, 11/05/2015, 75.05, 78.6, 75.05, 78.31, -1 
URI, 11/06/2015, 75.13, 80.16, 75.12, 79.82, -1 
URI, 11/09/2015, 77.22, 79.74, 76.17, 77.51, -1 
URI, 11/10/2015, 76.73, 77.98, 76.25, 77.7, -1 
URI, 11/11/2015, 75.13, 77.97, 75.13, 76.96, -1 
URI, 11/12/2015, 75.15, 75.95, 73.32, 73.48, -1 
URI, 11/13/2015, 73.03, 74.79, 73.03, 74.12, -1 
URI, 11/16/2015, 72.99, 75.29, 72.99, 74.74, -1 
URI, 11/17/2015, 73.82, 77.6, 73.82, 75.64, -1 
URI, 11/18/2015, 75.42, 77.16, 75.42, 76.96, -1 
URI, 11/19/2015, 73.08, 76.75, 73.06, 75.55, -1 
URI, 11/20/2015, 75.46, 76.91, 75.23, 75.58, -1 
URI, 11/23/2015, 73.01, 76.44, 73.01, 76.12, -1 
URI, 11/24/2015, 73.09, 78.33, 73.08, 77.41, -1 
URI, 11/25/2015, 76.59, 78.58, 76.4, 77.87, -1 
URI, 11/27/2015, 76.44, 78.06, 76.44, 77.17, -1 
URI, 11/30/2015, 76.99, 79.15, 76.99, 78.65, -1 
URI, 12/01/2015, 78.55, 79.21, 77.4, 78.39, -1 
URI, 12/02/2015, 77.46, 78.15, 75.56, 76.2, -1 
URI, 12/03/2015, 76.11, 77.51, 74.55, 75.24, -1 
URI, 12/04/2015, 71.67, 75.47, 71.65, 74.08, -1 
URI, 12/07/2015, 71.97, 73.53, 69.69, 70.4, -1 
URI, 12/08/2015, 67.21, 69.76, 67.21, 67.93, -1 
URI, 12/09/2015, 69.19, 72.63, 69.19, 71.07, -1 
URI, 12/10/2015, 67.46, 72.06, 67.46, 71.04, -1 
URI, 12/11/2015, 67.19, 70.49, 67.19, 67.56, -1 
URI, 12/14/2015, 67.01, 67.13, 64.03, 66.13, -1 
URI, 12/15/2015, 66.57, 68.9, 66.57, 67.56, -1 
URI, 12/16/2015, 67.57, 69.38, 67.46, 69.23, -1 
URI, 12/17/2015, 68.9, 69.17, 66.86, 66.87, -1 
URI, 12/18/2015, 66.17, 68.21, 66.01, 67.18, -1 
URI, 12/21/2015, 66.8, 70.1, 66.8, 69.01, -1 
URI, 12/22/2015, 68.96, 72.63, 68.96, 72.05, -1 
URI, 12/23/2015, 71.75, 75.06, 71.75, 74.78, -1 
URI, 12/24/2015, 74.38, 75.44, 74.38, 74.61, -1 
URI, 12/28/2015, 72.13, 73.42, 71.01, 72.5, -1 
URI, 12/29/2015, 72.62, 73.76, 72.29, 73.31, -1 
URI, 12/30/2015, 72.11, 73.52, 72.11, 72.67, -1 
URI, 12/31/2015, 71.0, 73.07, 71.0, 72.54, -1 
URI, 01/04/2016, 70.98, 71.34, 68.73, 70.77, -1 
URI, 01/05/2016, 68.51, 71.24, 68.51, 70.06, -1 
URI, 01/06/2016, 68.57, 68.99, 66.01, 66.71, -1 
URI, 01/07/2016, 64.68, 64.83, 61.71, 62.35, -1 
URI, 01/08/2016, 63.0, 63.65, 61.51, 61.8, -1 
URI, 01/11/2016, 61.62, 62.1, 59.75, 60.98, -1 
URI, 01/12/2016, 60.14, 63.74, 59.64, 61.28, -1 
URI, 01/13/2016, 59.12, 63.46, 56.6, 57.73, -1 
URI, 01/14/2016, 58.04, 58.12, 54.66, 57.13, -1 
URI, 01/15/2016, 55.34, 55.99, 53.6, 54.91, -1 
URI, 01/19/2016, 55.66, 56.56, 52.93, 53.98, -1 
URI, 01/20/2016, 51.76, 55.0, 50.25, 54.4, -1 
URI, 01/21/2016, 54.4, 56.87, 53.67, 55.32, -1 
URI, 01/22/2016, 56.31, 59.58, 55.87, 57.74, -1 
URI, 01/25/2016, 56.14, 56.98, 54.51, 54.65, -1 
URI, 01/26/2016, 54.8, 56.92, 54.63, 56.89, -1 
URI, 01/27/2016, 55.15, 57.88, 54.72, 55.8, -1 
URI, 01/28/2016, 49.26, 50.09, 44.6, 45.57, -1 
URI, 01/29/2016, 45.0, 48.39, 44.59, 47.9, -1 
URI, 02/01/2016, 47.18, 49.46, 46.56, 48.81, -1 
URI, 02/02/2016, 47.6, 47.73, 44.6, 45.75, -1 
URI, 02/03/2016, 45.11, 48.45, 44.86, 48.45, -1 
URI, 02/04/2016, 47.9, 51.06, 47.9, 48.66, -1 
URI, 02/05/2016, 46.66, 50.03, 46.66, 48.21, -1 
URI, 02/08/2016, 45.07, 47.71, 45.07, 46.62, -1 
URI, 02/09/2016, 44.87, 46.03, 43.6, 44.77, -1 
URI, 02/10/2016, 43.09, 46.62, 43.09, 45.5, -1 
URI, 02/11/2016, 43.61, 44.79, 41.88, 43.33, -1 
URI, 02/12/2016, 43.75, 45.78, 43.48, 45.44, -1 
URI, 02/16/2016, 45.84, 47.75, 45.59, 47.56, -1 
URI, 02/17/2016, 47.49, 49.15, 47.27, 48.18, -1 
URI, 02/18/2016, 47.97, 50.4, 47.72, 49.87, -1 
URI, 02/19/2016, 48.85, 49.0, 46.64, 48.39, -1 
URI, 02/22/2016, 49.03, 52.16, 49.03, 51.6, -1 
URI, 02/23/2016, 50.12, 51.08, 49.37, 49.87, -1 
URI, 02/24/2016, 48.6, 49.75, 47.01, 49.66, -1 
URI, 02/25/2016, 48.96, 50.41, 47.73, 50.36, -1 
URI, 02/26/2016, 50.56, 52.29, 50.56, 51.51, -1 
URI, 02/29/2016, 51.21, 52.47, 50.88, 51.56, -1 
URI, 03/01/2016, 49.62, 52.7, 49.62, 52.44, -1 
URI, 03/02/2016, 51.8, 54.51, 51.8, 54.31, -1 
URI, 03/03/2016, 53.88, 56.64, 53.88, 56.56, -1 
URI, 03/04/2016, 56.6, 59.15, 55.69, 57.48, -1 
