Symbol, Date, Open, High, Low, Close, Volume 
USB, 10/30/2015, 42.83, 42.96, 42.07, 42.18, -1 
USB, 11/02/2015, 42.12, 42.83, 42.12, 42.59, -1 
USB, 11/03/2015, 42.45, 42.86, 42.22, 42.7, -1 
USB, 11/04/2015, 42.7, 42.92, 42.49, 42.62, -1 
USB, 11/05/2015, 42.33, 42.81, 42.33, 42.63, -1 
USB, 11/06/2015, 43.63, 44.24, 43.5, 43.7, -1 
USB, 11/09/2015, 43.7, 43.85, 43.03, 43.35, -1 
USB, 11/10/2015, 43.13, 43.53, 43.08, 43.36, -1 
USB, 11/11/2015, 43.43, 43.73, 43.19, 43.33, -1 
USB, 11/12/2015, 43.02, 43.06, 42.67, 42.72, -1 
USB, 11/13/2015, 42.44, 42.8, 42.24, 42.39, -1 
USB, 11/16/2015, 42.2, 43.12, 42.2, 43.1, -1 
USB, 11/17/2015, 42.86, 43.48, 42.83, 43.02, -1 
USB, 11/18/2015, 42.97, 43.97, 42.94, 43.88, -1 
USB, 11/19/2015, 43.62, 44.26, 43.62, 44.14, -1 
USB, 11/20/2015, 44.11, 44.41, 43.94, 44.03, -1 
USB, 11/23/2015, 43.96, 44.17, 43.69, 43.79, -1 
USB, 11/24/2015, 43.42, 43.98, 43.39, 43.85, -1 
USB, 11/25/2015, 43.77, 43.93, 43.64, 43.75, -1 
USB, 11/27/2015, 43.87, 43.98, 43.57, 43.89, -1 
USB, 11/30/2015, 43.87, 44.11, 43.74, 43.88, -1 
USB, 12/01/2015, 43.93, 44.42, 43.89, 44.29, -1 
USB, 12/02/2015, 44.36, 44.45, 43.68, 43.77, -1 
USB, 12/03/2015, 43.97, 43.97, 43.05, 43.2, -1 
USB, 12/04/2015, 43.37, 44.41, 43.37, 44.32, -1 
USB, 12/07/2015, 44.01, 44.37, 43.76, 44.11, -1 
USB, 12/08/2015, 43.8, 44.01, 43.35, 43.54, -1 
USB, 12/09/2015, 43.18, 43.8, 42.71, 43.02, -1 
USB, 12/10/2015, 42.93, 43.59, 42.78, 43.19, -1 
USB, 12/11/2015, 42.53, 42.76, 41.94, 42.21, -1 
USB, 12/14/2015, 42.23, 42.54, 41.84, 42.44, -1 
USB, 12/15/2015, 42.87, 43.83, 42.87, 43.65, -1 
USB, 12/16/2015, 43.83, 44.49, 43.41, 44.34, -1 
USB, 12/17/2015, 44.36, 44.56, 43.83, 43.84, -1 
USB, 12/18/2015, 43.51, 43.56, 42.35, 42.35, -1 
USB, 12/21/2015, 42.59, 42.97, 42.16, 42.59, -1 
USB, 12/22/2015, 42.81, 42.91, 42.16, 42.71, -1 
USB, 12/23/2015, 42.77, 43.48, 42.65, 43.46, -1 
USB, 12/24/2015, 43.24, 43.58, 43.24, 43.39, -1 
USB, 12/28/2015, 43.03, 43.24, 42.73, 43.05, -1 
USB, 12/29/2015, 42.96, 43.6, 42.96, 43.51, -1 
USB, 12/30/2015, 43.33, 43.48, 42.96, 43.0, -1 
USB, 12/31/2015, 42.76, 43.13, 42.65, 42.65, -1 
USB, 01/04/2016, 41.28, 41.77, 41.11, 41.5, -1 
USB, 01/05/2016, 41.46, 41.72, 41.19, 41.67, -1 
USB, 01/06/2016, 41.01, 41.56, 40.81, 41.06, -1 
USB, 01/07/2016, 40.19, 40.67, 39.89, 40.25, -1 
USB, 01/08/2016, 40.47, 40.7, 39.62, 39.7, -1 
USB, 01/11/2016, 39.91, 40.1, 39.48, 39.86, -1 
USB, 01/12/2016, 40.33, 40.65, 39.68, 40.61, -1 
USB, 01/13/2016, 40.84, 41.04, 38.94, 39.01, -1 
USB, 01/14/2016, 39.27, 40.21, 39.1, 39.91, -1 
USB, 01/15/2016, 38.01, 39.43, 37.58, 39.04, -1 
USB, 01/19/2016, 39.37, 39.86, 38.75, 39.13, -1 
USB, 01/20/2016, 38.1, 39.33, 38.1, 38.87, -1 
USB, 01/21/2016, 38.91, 39.45, 38.5, 38.51, -1 
USB, 01/22/2016, 39.15, 39.62, 39.03, 39.36, -1 
USB, 01/25/2016, 39.03, 39.34, 38.23, 38.29, -1 
USB, 01/26/2016, 38.13, 39.26, 38.13, 39.03, -1 
USB, 01/27/2016, 38.84, 39.99, 38.83, 39.18, -1 
USB, 01/28/2016, 39.29, 39.79, 39.0, 39.2, -1 
USB, 01/29/2016, 39.3, 40.07, 39.2, 40.05, -1 
USB, 02/01/2016, 39.71, 40.01, 39.55, 39.78, -1 
USB, 02/02/2016, 39.09, 39.14, 38.59, 38.75, -1 
USB, 02/03/2016, 38.79, 39.34, 37.97, 39.27, -1 
USB, 02/04/2016, 39.02, 40.19, 39.02, 40.1, -1 
USB, 02/05/2016, 39.97, 40.55, 39.94, 40.08, -1 
USB, 02/08/2016, 39.34, 40.01, 38.97, 39.53, -1 
USB, 02/09/2016, 38.39, 39.71, 38.39, 39.39, -1 
USB, 02/10/2016, 39.66, 40.28, 39.02, 39.04, -1 
USB, 02/11/2016, 38.0, 38.06, 37.07, 37.44, -1 
