Symbol, Date, Open, High, Low, Close, Volume 
UTX, 10/30/2015, 99.0, 99.13, 98.25, 98.42, -1 
UTX, 11/02/2015, 98.48, 99.57, 98.23, 99.4, -1 
UTX, 11/03/2015, 97.38, 100.33, 97.38, 100.01, -1 
UTX, 11/04/2015, 100.14, 101.04, 99.97, 100.33, -1 
UTX, 11/05/2015, 97.25, 100.99, 97.25, 100.81, -1 
UTX, 11/06/2015, 99.8, 100.79, 99.29, 100.78, -1 
UTX, 11/09/2015, 100.6, 100.63, 99.21, 99.67, -1 
UTX, 11/10/2015, 97.71, 99.33, 97.71, 98.69, -1 
UTX, 11/11/2015, 98.46, 99.38, 98.06, 98.21, -1 
UTX, 11/12/2015, 96.31, 99.73, 96.31, 99.22, -1 
UTX, 11/13/2015, 97.19, 99.61, 96.38, 96.45, -1 
UTX, 11/16/2015, 96.13, 97.86, 96.13, 97.82, -1 
UTX, 11/17/2015, 98.01, 98.27, 97.4, 97.52, -1 
UTX, 11/18/2015, 97.41, 97.85, 96.82, 97.73, -1 
UTX, 11/19/2015, 97.48, 98.88, 97.48, 98.27, -1 
UTX, 11/20/2015, 98.34, 99.54, 98.14, 98.23, -1 
UTX, 11/23/2015, 97.72, 98.53, 97.72, 98.05, -1 
UTX, 11/24/2015, 96.87, 97.86, 96.45, 97.32, -1 
UTX, 11/25/2015, 97.01, 98.04, 97.01, 97.28, -1 
UTX, 11/27/2015, 95.6, 97.17, 95.6, 96.84, -1 
UTX, 11/30/2015, 96.57, 97.17, 95.94, 96.04, -1 
UTX, 12/01/2015, 95.66, 97.45, 95.61, 96.66, -1 
UTX, 12/02/2015, 96.18, 96.83, 95.13, 95.26, -1 
UTX, 12/03/2015, 95.02, 95.79, 94.39, 94.72, -1 
UTX, 12/04/2015, 94.64, 96.63, 94.64, 95.75, -1 
UTX, 12/07/2015, 94.62, 96.24, 94.62, 95.93, -1 
UTX, 12/08/2015, 94.94, 95.22, 93.89, 94.25, -1 
UTX, 12/09/2015, 93.45, 95.59, 93.21, 94.21, -1 
UTX, 12/10/2015, 93.66, 94.38, 92.82, 93.89, -1 
UTX, 12/11/2015, 93.01, 94.62, 92.7, 93.3, -1 
UTX, 12/14/2015, 93.18, 93.55, 92.17, 93.06, -1 
UTX, 12/15/2015, 93.5, 94.63, 93.23, 93.27, -1 
UTX, 12/16/2015, 93.66, 95.42, 93.44, 95.13, -1 
UTX, 12/17/2015, 95.01, 95.64, 93.84, 93.87, -1 
UTX, 12/18/2015, 93.05, 94.31, 92.35, 92.36, -1 
UTX, 12/21/2015, 92.68, 93.89, 92.68, 93.57, -1 
UTX, 12/22/2015, 93.85, 95.4, 93.85, 94.89, -1 
UTX, 12/23/2015, 95.0, 96.59, 94.96, 96.25, -1 
UTX, 12/24/2015, 95.67, 96.51, 95.67, 96.3, -1 
UTX, 12/28/2015, 95.44, 96.3, 95.44, 96.11, -1 
UTX, 12/29/2015, 96.15, 97.77, 96.15, 97.27, -1 
UTX, 12/30/2015, 96.54, 97.49, 96.51, 96.88, -1 
UTX, 12/31/2015, 96.35, 96.64, 95.71, 96.03, -1 
UTX, 01/04/2016, 94.31, 95.63, 93.96, 95.57, -1 
UTX, 01/05/2016, 95.0, 95.99, 94.79, 95.75, -1 
UTX, 01/06/2016, 93.46, 94.63, 92.53, 93.11, -1 
UTX, 01/07/2016, 91.24, 93.35, 91.24, 91.91, -1 
UTX, 01/08/2016, 90.61, 91.86, 90.21, 90.35, -1 
UTX, 01/11/2016, 90.61, 91.38, 89.91, 90.44, -1 
UTX, 01/12/2016, 90.91, 91.09, 89.66, 90.5, -1 
UTX, 01/13/2016, 90.4, 90.66, 88.41, 88.82, -1 
UTX, 01/14/2016, 88.86, 89.57, 87.86, 88.95, -1 
UTX, 01/15/2016, 86.37, 87.09, 85.46, 85.64, -1 
UTX, 01/19/2016, 86.03, 86.27, 84.46, 85.21, -1 
UTX, 01/20/2016, 84.04, 85.57, 83.39, 84.81, -1 
UTX, 01/21/2016, 84.71, 86.78, 84.52, 85.55, -1 
UTX, 01/22/2016, 86.56, 87.35, 85.86, 86.35, -1 
