Symbol, Date, Open, High, Low, Close, Volume 
VAR, 10/30/2015, 78.19, 79.14, 78.17, 78.54, -1 
VAR, 11/02/2015, 78.26, 79.25, 78.26, 78.62, -1 
VAR, 11/03/2015, 78.17, 79.56, 78.07, 79.03, -1 
VAR, 11/04/2015, 78.87, 79.73, 78.87, 79.43, -1 
VAR, 11/05/2015, 79.18, 80.48, 79.08, 80.36, -1 
VAR, 11/06/2015, 79.79, 80.87, 79.78, 80.86, -1 
VAR, 11/09/2015, 80.4, 80.89, 80.04, 80.69, -1 
VAR, 11/10/2015, 79.97, 81.16, 79.97, 80.79, -1 
VAR, 11/11/2015, 80.6, 81.45, 80.59, 80.7, -1 
VAR, 11/12/2015, 68.48, 79.84, 68.48, 78.5, -1 
VAR, 11/13/2015, 77.93, 78.72, 77.93, 78.45, -1 
VAR, 11/16/2015, 78.04, 79.15, 78.04, 79.14, -1 
VAR, 11/17/2015, 78.78, 79.26, 78.2, 78.5, -1 
VAR, 11/18/2015, 78.22, 79.62, 78.22, 79.51, -1 
VAR, 11/19/2015, 79.06, 79.67, 79.06, 79.38, -1 
VAR, 11/20/2015, 79.22, 80.77, 79.22, 80.6, -1 
VAR, 11/23/2015, 67.92, 81.54, 67.92, 80.82, -1 
VAR, 11/24/2015, 80.02, 81.16, 79.96, 80.92, -1 
VAR, 11/25/2015, 80.48, 81.03, 80.47, 80.7, -1 
VAR, 11/27/2015, 80.3, 81.0, 80.01, 80.81, -1 
VAR, 11/30/2015, 76.56, 81.11, 75.8, 80.79, -1 
VAR, 12/01/2015, 80.65, 81.68, 80.23, 81.61, -1 
VAR, 12/02/2015, 80.9, 81.97, 80.9, 81.25, -1 
VAR, 12/03/2015, 80.98, 81.66, 79.38, 79.61, -1 
VAR, 12/04/2015, 68.82, 80.39, 68.82, 80.2, -1 
VAR, 12/07/2015, 79.62, 80.66, 79.56, 80.56, -1 
VAR, 12/08/2015, 79.37, 80.02, 79.0, 79.48, -1 
VAR, 12/09/2015, 78.52, 80.01, 78.52, 78.79, -1 
VAR, 12/10/2015, 78.34, 79.05, 78.33, 78.59, -1 
VAR, 12/11/2015, 77.78, 77.95, 77.21, 77.65, -1 
VAR, 12/14/2015, 77.37, 78.58, 77.37, 77.89, -1 
VAR, 12/15/2015, 78.04, 78.84, 78.04, 78.6, -1 
VAR, 12/16/2015, 78.69, 79.74, 77.9, 79.63, -1 
VAR, 12/17/2015, 79.39, 79.75, 78.24, 78.46, -1 
VAR, 12/18/2015, 77.97, 79.68, 77.78, 78.89, -1 
VAR, 12/21/2015, 78.99, 79.44, 78.69, 79.41, -1 
VAR, 12/22/2015, 66.6, 80.39, 66.6, 80.18, -1 
VAR, 12/23/2015, 80.11, 80.99, 80.03, 80.79, -1 
VAR, 12/24/2015, 80.07, 81.4, 80.07, 81.11, -1 
VAR, 12/28/2015, 80.37, 81.22, 80.35, 81.1, -1 
VAR, 12/29/2015, 81.17, 82.1, 81.13, 81.79, -1 
VAR, 12/30/2015, 71.41, 82.09, 71.41, 81.35, -1 
VAR, 12/31/2015, 80.53, 81.46, 80.53, 80.8, -1 
VAR, 01/04/2016, 79.39, 80.25, 78.07, 78.65, -1 
VAR, 01/05/2016, 72.54, 79.05, 72.18, 78.85, -1 
VAR, 01/06/2016, 77.72, 78.59, 77.64, 78.41, -1 
VAR, 01/07/2016, 77.07, 77.67, 76.25, 76.8, -1 
VAR, 01/08/2016, 76.72, 77.42, 76.25, 76.54, -1 
VAR, 01/11/2016, 73.62, 76.93, 73.62, 76.12, -1 
VAR, 01/12/2016, 76.28, 77.73, 75.66, 76.36, -1 
VAR, 01/13/2016, 73.34, 77.35, 73.34, 75.3, -1 
VAR, 01/14/2016, 75.24, 76.53, 74.47, 76.04, -1 
VAR, 01/15/2016, 74.06, 76.35, 74.06, 76.1, -1 
VAR, 01/19/2016, 76.57, 77.44, 75.24, 75.94, -1 
VAR, 01/20/2016, 74.51, 75.7, 73.31, 75.27, -1 
VAR, 01/21/2016, 74.93, 75.65, 74.15, 74.8, -1 
VAR, 01/22/2016, 72.04, 76.39, 72.04, 76.34, -1 
VAR, 01/25/2016, 75.57, 76.58, 75.42, 75.56, -1 
VAR, 01/26/2016, 72.04, 77.38, 72.03, 77.03, -1 
VAR, 01/27/2016, 76.5, 79.27, 76.46, 77.7, -1 
VAR, 01/28/2016, 75.51, 75.83, 74.46, 75.12, -1 
