Symbol, Date, Open, High, Low, Close, Volume 
VMC, 10/30/2015, 94.25, 97.56, 94.25, 96.58, -1 
VMC, 11/02/2015, 96.1, 97.46, 95.18, 96.68, -1 
VMC, 11/03/2015, 96.9, 97.04, 90.41, 94.82, -1 
VMC, 11/04/2015, 94.5, 97.13, 92.47, 97.03, -1 
VMC, 11/05/2015, 96.69, 102.18, 96.48, 101.62, -1 
VMC, 11/06/2015, 100.92, 103.25, 100.63, 102.15, -1 
VMC, 11/09/2015, 101.41, 102.19, 99.27, 100.63, -1 
VMC, 11/10/2015, 99.86, 101.64, 99.63, 100.09, -1 
VMC, 11/11/2015, 99.81, 102.93, 99.75, 101.55, -1 
VMC, 11/12/2015, 100.51, 101.42, 98.88, 98.99, -1 
VMC, 11/13/2015, 98.3, 101.32, 98.0, 99.19, -1 
VMC, 11/16/2015, 97.02, 101.71, 97.02, 101.65, -1 
VMC, 11/17/2015, 100.05, 102.91, 100.05, 101.54, -1 
VMC, 11/18/2015, 98.5, 103.2, 98.5, 103.03, -1 
VMC, 11/19/2015, 102.55, 105.75, 102.55, 104.7, -1 
VMC, 11/20/2015, 99.87, 105.97, 99.4, 105.67, -1 
VMC, 11/23/2015, 105.19, 106.81, 104.63, 105.49, -1 
VMC, 11/24/2015, 104.37, 105.63, 103.68, 104.73, -1 
VMC, 11/25/2015, 104.01, 104.96, 102.93, 103.4, -1 
VMC, 11/27/2015, 102.92, 104.39, 102.92, 104.01, -1 
VMC, 11/30/2015, 103.5, 104.23, 102.14, 102.68, -1 
VMC, 12/01/2015, 102.53, 103.81, 101.71, 103.73, -1 
VMC, 12/02/2015, 102.93, 104.58, 102.62, 103.05, -1 
VMC, 12/03/2015, 102.66, 103.11, 97.83, 98.64, -1 
VMC, 12/04/2015, 98.17, 100.24, 98.17, 99.49, -1 
VMC, 12/07/2015, 99.12, 99.52, 96.4, 97.93, -1 
VMC, 12/08/2015, 96.38, 98.62, 96.28, 98.28, -1 
VMC, 12/09/2015, 97.52, 98.64, 94.0, 94.69, -1 
VMC, 12/10/2015, 94.18, 96.78, 92.85, 95.6, -1 
VMC, 12/11/2015, 94.17, 95.72, 93.88, 94.24, -1 
VMC, 12/14/2015, 93.99, 95.28, 93.48, 94.69, -1 
VMC, 12/15/2015, 95.02, 97.13, 95.02, 95.53, -1 
VMC, 12/16/2015, 95.26, 98.01, 94.87, 97.53, -1 
VMC, 12/17/2015, 97.31, 97.62, 94.65, 94.66, -1 
VMC, 12/18/2015, 93.81, 94.6, 92.98, 93.79, -1 
VMC, 12/21/2015, 94.1, 95.53, 93.96, 95.33, -1 
VMC, 12/22/2015, 94.95, 95.72, 94.66, 95.48, -1 
VMC, 12/23/2015, 95.62, 97.32, 95.62, 96.85, -1 
VMC, 12/24/2015, 96.38, 97.4, 96.36, 96.84, -1 
VMC, 12/28/2015, 95.86, 96.6, 94.69, 95.8, -1 
VMC, 12/29/2015, 95.75, 97.38, 95.75, 96.51, -1 
VMC, 12/30/2015, 95.49, 96.82, 95.23, 95.52, -1 
VMC, 12/31/2015, 94.66, 96.01, 94.5, 94.97, -1 
VMC, 01/04/2016, 93.06, 93.5, 89.91, 92.44, -1 
VMC, 01/05/2016, 91.8, 93.21, 91.8, 92.55, -1 
VMC, 01/06/2016, 90.7, 92.48, 89.71, 90.39, -1 
VMC, 01/07/2016, 88.11, 90.41, 87.75, 88.27, -1 
VMC, 01/08/2016, 85.94, 89.04, 85.86, 86.24, -1 
VMC, 01/11/2016, 86.54, 87.24, 84.67, 85.86, -1 
VMC, 01/12/2016, 86.12, 88.13, 85.64, 86.69, -1 
VMC, 01/13/2016, 85.68, 87.14, 82.88, 83.53, -1 
VMC, 01/14/2016, 81.01, 85.86, 81.01, 85.3, -1 
VMC, 01/15/2016, 81.89, 84.38, 81.84, 83.85, -1 
VMC, 01/19/2016, 84.52, 85.4, 81.48, 82.49, -1 
VMC, 01/20/2016, 80.5, 83.03, 78.82, 81.61, -1 
VMC, 01/21/2016, 79.54, 83.36, 79.54, 82.2, -1 
VMC, 01/22/2016, 83.06, 88.01, 83.06, 85.36, -1 
VMC, 01/25/2016, 84.5, 85.61, 82.5, 82.89, -1 
VMC, 01/26/2016, 79.65, 84.25, 79.65, 84.23, -1 
VMC, 01/27/2016, 83.31, 85.56, 83.08, 83.68, -1 
VMC, 01/28/2016, 84.24, 85.46, 82.89, 83.23, -1 
VMC, 01/29/2016, 83.07, 88.93, 83.06, 88.27, -1 
VMC, 02/01/2016, 86.85, 88.25, 86.75, 87.12, -1 
VMC, 02/02/2016, 86.18, 87.63, 85.67, 86.92, -1 
VMC, 02/03/2016, 87.38, 88.43, 85.18, 87.9, -1 
VMC, 02/04/2016, 89.07, 95.3, 89.07, 93.72, -1 
VMC, 02/05/2016, 90.5, 94.44, 90.31, 93.59, -1 
VMC, 02/08/2016, 91.72, 91.82, 87.15, 89.25, -1 
VMC, 02/09/2016, 87.38, 94.64, 87.38, 91.0, -1 
VMC, 02/10/2016, 91.4, 94.26, 91.31, 93.0, -1 
VMC, 02/11/2016, 89.75, 91.85, 88.82, 89.93, -1 
VMC, 02/12/2016, 90.33, 92.35, 89.47, 92.01, -1 
VMC, 02/16/2016, 91.36, 93.94, 91.36, 93.26, -1 
VMC, 02/17/2016, 93.77, 96.96, 93.77, 95.31, -1 
