Symbol, Date, Open, High, Low, Close, Volume 
VRSK, 10/30/2015, 69.21, 71.77, 69.21, 71.6, -1 
VRSK, 11/02/2015, 69.01, 71.63, 69.01, 70.3, -1 
VRSK, 11/03/2015, 69.0, 70.47, 69.0, 69.87, -1 
VRSK, 11/04/2015, 69.51, 69.81, 68.58, 69.41, -1 
VRSK, 11/05/2015, 68.66, 69.43, 68.56, 69.02, -1 
VRSK, 11/06/2015, 67.18, 70.11, 67.18, 70.11, -1 
VRSK, 11/09/2015, 67.0, 70.35, 67.0, 70.11, -1 
VRSK, 11/10/2015, 69.9, 71.52, 69.9, 71.02, -1 
VRSK, 11/11/2015, 69.91, 71.39, 69.91, 70.83, -1 
VRSK, 11/12/2015, 69.9, 72.2, 69.9, 71.93, -1 
VRSK, 11/13/2015, 71.73, 72.08, 71.27, 71.65, -1 
VRSK, 11/16/2015, 71.49, 72.74, 71.4, 72.69, -1 
VRSK, 11/17/2015, 72.51, 73.0, 71.36, 71.57, -1 
VRSK, 11/18/2015, 71.03, 73.43, 71.03, 73.31, -1 
VRSK, 11/19/2015, 71.03, 73.56, 71.03, 73.27, -1 
VRSK, 11/20/2015, 72.76, 73.9, 72.76, 73.76, -1 
VRSK, 11/23/2015, 72.71, 74.37, 72.71, 73.62, -1 
VRSK, 11/24/2015, 73.41, 73.74, 72.7, 73.67, -1 
VRSK, 11/25/2015, 72.6, 74.7, 72.6, 74.44, -1 
VRSK, 11/27/2015, 72.99, 74.99, 72.99, 74.87, -1 
VRSK, 11/30/2015, 74.91, 75.5, 74.55, 74.95, -1 
VRSK, 12/01/2015, 73.59, 76.39, 73.59, 76.1, -1 
VRSK, 12/02/2015, 74.53, 76.21, 74.53, 74.96, -1 
VRSK, 12/03/2015, 73.75, 75.44, 73.75, 74.15, -1 
VRSK, 12/04/2015, 74.14, 75.63, 74.14, 75.31, -1 
VRSK, 12/07/2015, 74.8, 75.82, 74.54, 75.79, -1 
VRSK, 12/08/2015, 72.01, 76.62, 72.01, 76.6, -1 
VRSK, 12/09/2015, 72.42, 77.12, 72.42, 76.48, -1 
VRSK, 12/10/2015, 74.76, 77.26, 74.76, 76.26, -1 
VRSK, 12/11/2015, 71.39, 75.81, 71.39, 75.05, -1 
VRSK, 12/14/2015, 72.84, 76.21, 72.7, 76.12, -1 
VRSK, 12/15/2015, 76.14, 77.79, 76.14, 77.19, -1 
VRSK, 12/16/2015, 73.26, 79.04, 73.26, 78.82, -1 
VRSK, 12/17/2015, 74.81, 78.89, 74.81, 76.91, -1 
VRSK, 12/18/2015, 72.6, 76.51, 72.6, 75.08, -1 
VRSK, 12/21/2015, 72.71, 76.37, 72.71, 75.96, -1 
VRSK, 12/22/2015, 74.2, 76.77, 74.2, 76.26, -1 
VRSK, 12/23/2015, 74.76, 77.26, 74.52, 76.98, -1 
VRSK, 12/24/2015, 73.37, 77.23, 73.37, 76.95, -1 
VRSK, 12/28/2015, 73.39, 77.19, 73.39, 77.17, -1 
VRSK, 12/29/2015, 73.23, 77.97, 73.23, 77.75, -1 
VRSK, 12/30/2015, 73.78, 78.25, 73.78, 77.5, -1 
VRSK, 12/31/2015, 75.0, 77.72, 74.08, 76.85, -1 
VRSK, 01/04/2016, 73.26, 75.29, 73.26, 75.27, -1 
VRSK, 01/05/2016, 74.65, 75.55, 74.65, 75.01, -1 
VRSK, 01/06/2016, 72.71, 75.2, 72.71, 74.63, -1 
VRSK, 01/07/2016, 71.04, 73.77, 71.04, 73.03, -1 
VRSK, 01/08/2016, 72.84, 73.95, 72.74, 73.35, -1 
VRSK, 01/11/2016, 73.54, 74.35, 73.52, 74.03, -1 
VRSK, 01/12/2016, 72.05, 74.84, 72.05, 74.52, -1 
VRSK, 01/13/2016, 71.03, 74.64, 71.03, 71.89, -1 
VRSK, 01/14/2016, 72.06, 73.0, 71.49, 72.34, -1 
VRSK, 01/15/2016, 70.53, 72.23, 70.2, 72.02, -1 
VRSK, 01/19/2016, 72.49, 73.58, 70.52, 71.52, -1 
VRSK, 01/20/2016, 69.72, 71.64, 69.08, 70.96, -1 
VRSK, 01/21/2016, 71.32, 71.7, 69.97, 70.41, -1 
VRSK, 01/22/2016, 69.01, 71.92, 69.01, 71.12, -1 
VRSK, 01/25/2016, 68.81, 71.35, 68.81, 69.95, -1 
VRSK, 01/26/2016, 70.18, 71.27, 69.95, 71.19, -1 
VRSK, 01/27/2016, 68.86, 72.25, 68.86, 70.84, -1 
VRSK, 01/28/2016, 71.06, 71.97, 70.66, 71.21, -1 
VRSK, 01/29/2016, 71.03, 73.66, 71.03, 72.98, -1 
VRSK, 02/01/2016, 68.88, 72.47, 68.88, 72.09, -1 
VRSK, 02/02/2016, 68.85, 71.22, 68.85, 70.72, -1 
VRSK, 02/03/2016, 70.77, 70.93, 68.08, 68.86, -1 
VRSK, 02/04/2016, 67.81, 69.51, 67.81, 68.92, -1 
VRSK, 02/05/2016, 67.51, 69.14, 67.51, 67.92, -1 
VRSK, 02/08/2016, 67.3, 67.4, 64.78, 65.95, -1 
VRSK, 02/09/2016, 65.34, 68.33, 65.34, 67.76, -1 
VRSK, 02/10/2016, 68.16, 68.92, 66.8, 66.88, -1 
VRSK, 02/11/2016, 63.01, 66.7, 63.01, 66.33, -1 
VRSK, 02/12/2016, 67.2, 68.26, 66.87, 68.04, -1 
VRSK, 02/16/2016, 68.1, 69.19, 67.96, 68.21, -1 
VRSK, 02/17/2016, 68.42, 69.67, 68.04, 68.36, -1 
VRSK, 02/18/2016, 68.44, 69.24, 68.22, 68.45, -1 
VRSK, 02/19/2016, 68.04, 68.51, 67.59, 67.93, -1 
VRSK, 02/22/2016, 68.38, 69.24, 68.38, 68.49, -1 
VRSK, 02/23/2016, 65.06, 68.48, 65.06, 68.03, -1 
VRSK, 02/24/2016, 67.01, 72.05, 67.0, 71.66, -1 
VRSK, 02/25/2016, 71.65, 73.92, 71.65, 73.88, -1 
VRSK, 02/26/2016, 71.34, 74.54, 71.34, 74.03, -1 
VRSK, 02/29/2016, 72.57, 74.21, 72.57, 72.84, -1 
VRSK, 03/01/2016, 70.02, 74.54, 70.02, 74.33, -1 
VRSK, 03/02/2016, 68.94, 74.69, 68.94, 74.63, -1 
VRSK, 03/03/2016, 72.01, 76.2, 72.01, 76.12, -1 
VRSK, 03/04/2016, 72.23, 77.22, 72.23, 76.69, -1 
VRSK, 03/07/2016, 73.01, 76.62, 73.01, 76.15, -1 
VRSK, 03/08/2016, 73.01, 76.37, 73.01, 75.65, -1 
VRSK, 03/09/2016, 72.01, 76.81, 72.01, 76.47, -1 
VRSK, 03/10/2016, 72.58, 76.8, 72.58, 75.71, -1 
VRSK, 03/11/2016, 72.01, 76.36, 72.01, 76.29, -1 
VRSK, 03/14/2016, 75.01, 76.78, 75.01, 76.57, -1 
VRSK, 03/15/2016, 72.3, 76.69, 72.3, 76.46, -1 
VRSK, 03/16/2016, 72.55, 77.12, 72.55, 76.9, -1 
VRSK, 03/17/2016, 72.98, 77.33, 72.98, 77.18, -1 
VRSK, 03/18/2016, 76.8, 78.03, 76.71, 77.46, -1 
VRSK, 03/21/2016, 74.49, 78.05, 74.49, 78.0, -1 
VRSK, 03/22/2016, 75.91, 78.17, 75.91, 77.87, -1 
VRSK, 03/23/2016, 75.73, 77.89, 75.73, 77.52, -1 
VRSK, 03/24/2016, 75.57, 77.7, 75.57, 77.61, -1 
VRSK, 03/28/2016, 76.85, 78.08, 76.85, 77.74, -1 
VRSK, 03/29/2016, 76.3, 78.78, 76.3, 78.62, -1 
VRSK, 03/30/2016, 78.89, 79.02, 78.2, 78.72, -1 
VRSK, 03/31/2016, 75.65, 80.38, 75.65, 79.91, -1 
VRSK, 04/01/2016, 79.52, 80.23, 79.22, 80.17, -1 
VRSK, 04/04/2016, 79.24, 80.25, 79.18, 79.45, -1 
VRSK, 04/05/2016, 76.86, 79.35, 76.86, 78.71, -1 
VRSK, 04/06/2016, 78.09, 79.78, 78.09, 79.73, -1 
VRSK, 04/07/2016, 76.27, 79.24, 76.27, 78.27, -1 
VRSK, 04/08/2016, 77.77, 78.09, 77.28, 77.55, -1 
VRSK, 04/11/2016, 76.53, 77.86, 76.53, 76.84, -1 
VRSK, 04/12/2016, 75.47, 77.83, 75.47, 77.74, -1 
VRSK, 04/13/2016, 74.41, 78.7, 74.41, 78.57, -1 
VRSK, 04/14/2016, 75.34, 78.59, 75.34, 77.85, -1 
VRSK, 04/15/2016, 74.44, 78.27, 74.44, 78.15, -1 
VRSK, 04/18/2016, 74.66, 78.89, 74.66, 78.6, -1 
VRSK, 04/19/2016, 76.6, 78.98, 76.6, 78.6, -1 
VRSK, 04/20/2016, 75.69, 78.96, 75.69, 78.59, -1 
VRSK, 04/21/2016, 77.3, 78.74, 77.3, 78.06, -1 
VRSK, 04/22/2016, 77.6, 78.57, 77.6, 78.19, -1 
VRSK, 04/25/2016, 77.57, 78.5, 77.57, 78.4, -1 
VRSK, 04/26/2016, 77.76, 78.9, 77.75, 78.79, -1 
VRSK, 04/27/2016, 77.76, 79.11, 77.76, 78.7, -1 
VRSK, 04/28/2016, 77.75, 79.4, 77.75, 78.68, -1 
VRSK, 04/29/2016, 77.75, 78.27, 77.03, 77.58, -1 
VRSK, 05/02/2016, 76.03, 78.15, 75.87, 77.75, -1 
VRSK, 05/03/2016, 76.73, 77.39, 76.32, 77.09, -1 
VRSK, 05/04/2016, 75.0, 77.74, 75.0, 77.47, -1 
VRSK, 05/05/2016, 76.8, 77.76, 76.8, 77.23, -1 
VRSK, 05/06/2016, 76.22, 78.01, 76.22, 77.84, -1 
VRSK, 05/09/2016, 75.07, 78.39, 75.07, 77.76, -1 
VRSK, 05/10/2016, 75.02, 78.83, 75.02, 78.75, -1 
VRSK, 05/11/2016, 75.7, 78.65, 75.7, 77.45, -1 
VRSK, 05/12/2016, 74.82, 78.06, 74.82, 77.8, -1 
VRSK, 05/13/2016, 75.24, 77.66, 75.24, 77.08, -1 
VRSK, 05/16/2016, 72.99, 78.23, 72.99, 77.89, -1 
VRSK, 05/17/2016, 76.48, 77.93, 76.0, 76.85, -1 
VRSK, 05/18/2016, 73.93, 76.93, 73.93, 76.66, -1 
VRSK, 05/19/2016, 75.57, 76.47, 75.57, 76.32, -1 
VRSK, 05/20/2016, 76.34, 77.24, 76.24, 77.02, -1 
VRSK, 05/23/2016, 73.81, 77.27, 73.81, 76.99, -1 
VRSK, 05/24/2016, 75.11, 79.01, 75.11, 78.77, -1 
VRSK, 05/25/2016, 78.9, 79.37, 78.48, 79.14, -1 
VRSK, 05/26/2016, 75.11, 79.26, 75.11, 78.98, -1 
VRSK, 05/27/2016, 78.73, 79.53, 78.73, 79.24, -1 
VRSK, 05/31/2016, 76.43, 79.56, 76.43, 79.37, -1 
VRSK, 06/01/2016, 76.55, 79.43, 76.55, 79.41, -1 
VRSK, 06/02/2016, 78.41, 79.98, 78.41, 79.96, -1 
VRSK, 06/03/2016, 79.36, 80.03, 78.99, 79.78, -1 
VRSK, 06/06/2016, 75.7, 80.14, 75.7, 79.89, -1 
VRSK, 06/07/2016, 77.97, 80.11, 77.97, 79.62, -1 
