Symbol, Date, Open, High, Low, Close, Volume 
VRTX, 10/30/2015, 125.0, 126.81, 122.6, 124.64, -1 
VRTX, 11/02/2015, 121.41, 128.21, 121.41, 126.93, -1 
VRTX, 11/03/2015, 127.24, 128.88, 125.0, 128.34, -1 
VRTX, 11/04/2015, 125.63, 128.5, 122.56, 124.9, -1 
VRTX, 11/05/2015, 125.03, 126.11, 121.73, 121.9, -1 
VRTX, 11/06/2015, 110.4, 120.99, 110.4, 117.95, -1 
VRTX, 11/09/2015, 100.47, 120.0, 100.46, 118.84, -1 
VRTX, 11/10/2015, 118.79, 119.5, 117.53, 118.9, -1 
VRTX, 11/11/2015, 118.0, 119.81, 117.48, 118.19, -1 
VRTX, 11/12/2015, 110.16, 119.04, 110.16, 117.3, -1 
VRTX, 11/13/2015, 117.12, 123.08, 116.45, 123.05, -1 
VRTX, 11/16/2015, 120.03, 125.43, 120.03, 125.29, -1 
VRTX, 11/17/2015, 121.0, 128.33, 121.0, 128.27, -1 
VRTX, 11/18/2015, 126.76, 133.38, 126.76, 133.25, -1 
VRTX, 11/19/2015, 133.0, 133.01, 129.73, 130.06, -1 
VRTX, 11/20/2015, 131.0, 133.38, 130.11, 130.5, -1 
VRTX, 11/23/2015, 128.01, 134.61, 128.01, 132.26, -1 
VRTX, 11/24/2015, 130.73, 133.16, 130.06, 133.1, -1 
VRTX, 11/25/2015, 133.13, 133.9, 131.54, 131.96, -1 
VRTX, 11/27/2015, 131.97, 134.09, 131.97, 133.06, -1 
VRTX, 11/30/2015, 132.85, 132.86, 129.19, 129.36, -1 
VRTX, 12/01/2015, 129.58, 131.39, 127.66, 130.35, -1 
VRTX, 12/02/2015, 130.45, 132.54, 129.53, 130.41, -1 
VRTX, 12/03/2015, 128.31, 130.08, 120.45, 122.06, -1 
VRTX, 12/04/2015, 122.81, 125.8, 122.58, 125.14, -1 
VRTX, 12/07/2015, 125.16, 125.29, 121.35, 121.78, -1 
VRTX, 12/08/2015, 118.13, 123.67, 118.13, 123.29, -1 
VRTX, 12/09/2015, 119.17, 122.87, 119.17, 120.63, -1 
VRTX, 12/10/2015, 119.5, 123.05, 118.85, 121.82, -1 
VRTX, 12/11/2015, 119.19, 121.87, 117.22, 117.63, -1 
VRTX, 12/14/2015, 115.8, 118.03, 113.71, 115.7, -1 
VRTX, 12/15/2015, 117.03, 118.39, 115.82, 117.24, -1 
VRTX, 12/16/2015, 113.0, 119.37, 113.0, 118.51, -1 
VRTX, 12/17/2015, 114.66, 119.45, 114.66, 117.94, -1 
VRTX, 12/18/2015, 115.0, 119.25, 115.0, 116.62, -1 
VRTX, 12/21/2015, 115.0, 120.75, 115.0, 120.55, -1 
VRTX, 12/22/2015, 121.09, 122.87, 120.06, 122.73, -1 
VRTX, 12/23/2015, 123.89, 124.1, 121.89, 123.79, -1 
VRTX, 12/24/2015, 116.71, 125.33, 116.7, 124.83, -1 
VRTX, 12/28/2015, 120.21, 124.15, 120.21, 123.92, -1 
VRTX, 12/29/2015, 122.66, 129.09, 122.66, 127.87, -1 
VRTX, 12/30/2015, 119.52, 127.85, 119.52, 126.39, -1 
VRTX, 12/31/2015, 121.0, 127.55, 121.0, 125.83, -1 
VRTX, 01/04/2016, 121.0, 123.3, 121.0, 122.81, -1 
VRTX, 01/05/2016, 120.7, 124.61, 120.7, 123.39, -1 
VRTX, 01/06/2016, 119.69, 123.09, 119.5, 122.23, -1 
VRTX, 01/07/2016, 118.42, 119.66, 113.8, 114.95, -1 
VRTX, 01/08/2016, 115.26, 117.03, 110.53, 110.71, -1 
VRTX, 01/11/2016, 109.86, 109.86, 101.46, 103.94, -1 
VRTX, 01/12/2016, 104.76, 108.37, 98.85, 103.62, -1 
VRTX, 01/13/2016, 101.12, 105.09, 95.63, 96.37, -1 
VRTX, 01/14/2016, 97.44, 103.77, 94.53, 101.87, -1 
VRTX, 01/15/2016, 97.98, 100.07, 95.0, 97.91, -1 
VRTX, 01/19/2016, 100.64, 101.16, 92.5, 94.97, -1 
VRTX, 01/20/2016, 91.46, 98.47, 89.94, 96.96, -1 
VRTX, 01/21/2016, 97.06, 97.71, 94.82, 95.04, -1 
VRTX, 01/22/2016, 95.08, 97.71, 93.65, 94.69, -1 
VRTX, 01/25/2016, 90.08, 95.13, 90.08, 92.07, -1 
VRTX, 01/26/2016, 92.47, 93.3, 90.46, 92.16, -1 
VRTX, 01/27/2016, 84.76, 95.96, 84.76, 92.66, -1 
VRTX, 01/28/2016, 91.0, 94.06, 81.97, 92.75, -1 
VRTX, 01/29/2016, 92.08, 94.31, 90.0, 90.73, -1 
VRTX, 02/01/2016, 91.0, 93.85, 89.75, 92.38, -1 
VRTX, 02/02/2016, 89.78, 92.6, 89.34, 90.99, -1 
VRTX, 02/03/2016, 91.46, 93.97, 86.01, 93.87, -1 
VRTX, 02/04/2016, 93.48, 96.05, 90.66, 91.71, -1 
VRTX, 02/05/2016, 89.21, 92.16, 84.5, 86.6, -1 
VRTX, 02/08/2016, 85.27, 85.27, 79.78, 81.99, -1 
VRTX, 02/09/2016, 79.91, 83.41, 79.38, 80.14, -1 
VRTX, 02/10/2016, 82.26, 83.97, 80.25, 81.69, -1 
VRTX, 02/11/2016, 77.2, 81.03, 77.2, 79.71, -1 
VRTX, 02/12/2016, 81.94, 83.71, 79.5, 83.2, -1 
VRTX, 02/16/2016, 84.0, 85.66, 83.0, 85.36, -1 
VRTX, 02/17/2016, 79.97, 88.45, 79.96, 88.22, -1 
VRTX, 02/18/2016, 87.65, 88.27, 85.75, 86.64, -1 
VRTX, 02/19/2016, 85.5, 88.49, 84.04, 88.06, -1 
VRTX, 02/22/2016, 89.45, 91.54, 87.82, 88.99, -1 
VRTX, 02/23/2016, 81.76, 89.25, 81.76, 85.25, -1 
VRTX, 02/24/2016, 80.01, 87.08, 80.01, 86.77, -1 
VRTX, 02/25/2016, 82.72, 88.72, 82.72, 85.53, -1 
VRTX, 02/26/2016, 85.25, 87.83, 85.25, 87.0, -1 
