Symbol, Date, Open, High, Low, Close, Volume 
VTR, 10/30/2015, 54.92, 55.07, 53.6, 53.71, -1 
VTR, 11/02/2015, 53.72, 54.49, 53.48, 54.46, -1 
VTR, 11/03/2015, 54.12, 54.26, 53.31, 53.6, -1 
VTR, 11/04/2015, 53.38, 53.85, 53.24, 53.45, -1 
VTR, 11/05/2015, 53.06, 54.19, 53.06, 54.18, -1 
VTR, 11/06/2015, 53.23, 53.32, 50.5, 50.82, -1 
VTR, 11/09/2015, 50.82, 50.87, 49.31, 49.76, -1 
VTR, 11/10/2015, 49.72, 50.55, 49.53, 50.14, -1 
VTR, 11/11/2015, 50.15, 50.4, 49.68, 49.87, -1 
VTR, 11/12/2015, 49.54, 50.22, 49.54, 49.99, -1 
VTR, 11/13/2015, 50.03, 50.55, 49.64, 49.68, -1 
VTR, 11/16/2015, 49.27, 50.59, 49.27, 50.52, -1 
VTR, 11/17/2015, 49.43, 50.71, 49.43, 50.06, -1 
VTR, 11/18/2015, 49.93, 51.18, 49.93, 51.08, -1 
VTR, 11/19/2015, 50.08, 51.79, 50.08, 51.58, -1 
VTR, 11/20/2015, 51.47, 52.78, 51.47, 52.73, -1 
VTR, 11/23/2015, 52.5, 53.54, 52.5, 53.34, -1 
VTR, 11/24/2015, 52.74, 53.39, 52.48, 52.77, -1 
VTR, 11/25/2015, 52.5, 53.12, 52.5, 52.99, -1 
VTR, 11/27/2015, 53.02, 53.85, 53.0, 53.66, -1 
VTR, 11/30/2015, 53.53, 54.3, 53.16, 53.35, -1 
VTR, 12/01/2015, 53.27, 54.31, 53.27, 53.94, -1 
VTR, 12/02/2015, 53.06, 54.15, 52.85, 52.92, -1 
VTR, 12/03/2015, 52.15, 53.08, 51.78, 52.07, -1 
VTR, 12/04/2015, 51.06, 53.36, 51.06, 53.17, -1 
VTR, 12/07/2015, 52.94, 53.9, 52.9, 53.82, -1 
VTR, 12/08/2015, 51.91, 54.31, 51.81, 54.0, -1 
VTR, 12/09/2015, 53.52, 54.29, 53.19, 53.83, -1 
VTR, 12/10/2015, 53.63, 54.15, 53.42, 53.63, -1 
VTR, 12/11/2015, 53.3, 54.39, 53.29, 54.37, -1 
VTR, 12/14/2015, 51.82, 54.65, 51.8, 54.43, -1 
VTR, 12/15/2015, 54.44, 54.97, 54.44, 54.48, -1 
VTR, 12/16/2015, 54.15, 55.83, 54.15, 55.71, -1 
VTR, 12/17/2015, 54.75, 55.16, 54.55, 54.82, -1 
VTR, 12/18/2015, 54.35, 54.59, 53.62, 53.92, -1 
VTR, 12/21/2015, 54.03, 54.73, 53.73, 54.04, -1 
