Symbol, Date, Open, High, Low, Close, Volume 
VZ, 10/30/2015, 46.33, 46.97, 46.27, 46.87, -1 
VZ, 11/02/2015, 46.93, 47.08, 46.52, 46.77, -1 
VZ, 11/03/2015, 46.63, 46.74, 46.18, 46.46, -1 
VZ, 11/04/2015, 46.49, 46.64, 46.04, 46.13, -1 
VZ, 11/05/2015, 46.12, 46.42, 46.1, 46.2, -1 
VZ, 11/06/2015, 45.88, 46.03, 45.29, 45.77, -1 
VZ, 11/09/2015, 45.51, 45.54, 45.03, 45.29, -1 
VZ, 11/10/2015, 45.24, 45.32, 44.8, 45.11, -1 
VZ, 11/11/2015, 45.26, 45.53, 45.12, 45.32, -1 
VZ, 11/12/2015, 45.0, 45.08, 44.77, 44.84, -1 
VZ, 11/13/2015, 44.72, 44.98, 44.22, 44.23, -1 
VZ, 11/16/2015, 44.16, 45.06, 44.16, 45.05, -1 
VZ, 11/17/2015, 45.01, 45.31, 44.9, 45.08, -1 
VZ, 11/18/2015, 44.98, 45.42, 44.58, 45.37, -1 
VZ, 11/19/2015, 45.36, 45.87, 45.35, 45.76, -1 
VZ, 11/20/2015, 45.78, 45.97, 45.32, 45.38, -1 
VZ, 11/23/2015, 45.29, 45.49, 44.94, 45.0, -1 
VZ, 11/24/2015, 44.67, 45.34, 44.67, 45.19, -1 
VZ, 11/25/2015, 45.04, 45.12, 44.89, 44.93, -1 
VZ, 11/27/2015, 44.81, 45.38, 44.81, 45.23, -1 
VZ, 11/30/2015, 45.12, 45.63, 44.96, 45.5, -1 
VZ, 12/01/2015, 45.38, 45.88, 45.33, 45.57, -1 
VZ, 12/02/2015, 45.45, 45.55, 44.87, 44.93, -1 
VZ, 12/03/2015, 44.85, 45.04, 44.33, 44.57, -1 
VZ, 12/04/2015, 44.55, 45.77, 44.55, 45.69, -1 
VZ, 12/07/2015, 45.42, 46.11, 45.42, 46.06, -1 
VZ, 12/08/2015, 45.66, 45.98, 45.44, 45.7, -1 
VZ, 12/09/2015, 45.58, 46.12, 45.11, 45.36, -1 
VZ, 12/10/2015, 45.38, 45.65, 45.2, 45.32, -1 
VZ, 12/11/2015, 44.9, 45.34, 44.73, 44.81, -1 
VZ, 12/14/2015, 44.8, 45.49, 44.68, 45.46, -1 
VZ, 12/15/2015, 45.45, 45.86, 45.2, 45.54, -1 
VZ, 12/16/2015, 45.89, 46.56, 45.7, 46.5, -1 
VZ, 12/17/2015, 46.4, 46.69, 46.02, 46.1, -1 
VZ, 12/18/2015, 45.8, 46.03, 45.56, 45.56, -1 
VZ, 12/21/2015, 45.67, 45.91, 45.52, 45.91, -1 
VZ, 12/22/2015, 46.12, 46.45, 45.85, 46.33, -1 
VZ, 12/23/2015, 46.42, 46.96, 46.4, 46.95, -1 
VZ, 12/24/2015, 46.81, 46.92, 46.6, 46.69, -1 
VZ, 12/28/2015, 46.59, 46.83, 46.56, 46.75, -1 
VZ, 12/29/2015, 46.86, 47.22, 46.84, 47.2, -1 
VZ, 12/30/2015, 47.04, 47.18, 46.62, 46.76, -1 
VZ, 12/31/2015, 46.52, 46.65, 46.2, 46.21, -1 
VZ, 01/04/2016, 45.67, 45.9, 45.35, 45.87, -1 
VZ, 01/05/2016, 46.11, 46.54, 45.63, 46.51, -1 
VZ, 01/06/2016, 45.49, 45.94, 45.28, 45.53, -1 
VZ, 01/07/2016, 45.11, 45.66, 44.98, 45.27, -1 
VZ, 01/08/2016, 45.58, 45.73, 44.7, 44.81, -1 
VZ, 01/11/2016, 44.97, 45.22, 44.6, 45.07, -1 
VZ, 01/12/2016, 45.23, 45.24, 44.53, 44.91, -1 
VZ, 01/13/2016, 45.11, 45.26, 44.08, 44.14, -1 
VZ, 01/14/2016, 44.16, 45.18, 44.05, 44.86, -1 
VZ, 01/15/2016, 43.94, 44.54, 43.86, 44.42, -1 
VZ, 01/19/2016, 44.72, 45.01, 44.53, 44.86, -1 
VZ, 01/20/2016, 44.38, 44.76, 43.79, 44.44, -1 
VZ, 01/21/2016, 45.0, 46.32, 44.43, 45.87, -1 
VZ, 01/22/2016, 46.33, 47.11, 46.0, 47.04, -1 
VZ, 01/25/2016, 46.9, 47.77, 46.54, 47.04, -1 
VZ, 01/26/2016, 47.03, 48.26, 47.03, 48.24, -1 
VZ, 01/27/2016, 48.19, 49.48, 48.19, 49.06, -1 
VZ, 01/28/2016, 49.03, 49.46, 48.47, 49.01, -1 
VZ, 01/29/2016, 49.24, 49.98, 49.21, 49.93, -1 
VZ, 02/01/2016, 49.95, 51.01, 49.69, 50.74, -1 
VZ, 02/02/2016, 50.44, 50.62, 49.65, 49.89, -1 
VZ, 02/03/2016, 50.13, 50.61, 49.41, 50.61, -1 
VZ, 02/04/2016, 50.37, 50.59, 49.67, 50.43, -1 
VZ, 02/05/2016, 50.28, 51.19, 50.28, 50.95, -1 
VZ, 02/08/2016, 50.52, 50.79, 49.77, 50.72, -1 
VZ, 02/09/2016, 49.98, 50.61, 49.35, 50.17, -1 
VZ, 02/10/2016, 50.05, 50.32, 49.62, 49.96, -1 
VZ, 02/11/2016, 49.51, 50.1, 49.26, 49.4, -1 
VZ, 02/12/2016, 49.4, 50.19, 49.35, 50.09, -1 
VZ, 02/16/2016, 50.06, 50.29, 49.58, 50.22, -1 
VZ, 02/17/2016, 50.33, 50.6, 50.08, 50.3, -1 
VZ, 02/18/2016, 50.11, 51.09, 49.96, 50.96, -1 
VZ, 02/19/2016, 50.7, 51.05, 50.55, 50.85, -1 
VZ, 02/22/2016, 50.9, 51.14, 50.77, 51.05, -1 
VZ, 02/23/2016, 50.94, 50.99, 50.36, 50.61, -1 
VZ, 02/24/2016, 50.25, 50.86, 50.17, 50.83, -1 
VZ, 02/25/2016, 50.79, 51.29, 50.78, 51.1, -1 
VZ, 02/26/2016, 51.06, 51.33, 50.92, 51.01, -1 
VZ, 02/29/2016, 50.83, 51.37, 50.68, 50.71, -1 
VZ, 03/01/2016, 50.86, 51.46, 50.86, 51.44, -1 
VZ, 03/02/2016, 51.26, 52.19, 51.19, 52.09, -1 
VZ, 03/03/2016, 52.15, 52.21, 51.61, 51.89, -1 
VZ, 03/04/2016, 51.75, 51.99, 51.5, 51.8, -1 
VZ, 03/07/2016, 51.53, 52.34, 51.4, 52.2, -1 
VZ, 03/08/2016, 52.03, 52.74, 51.92, 52.47, -1 
VZ, 03/09/2016, 52.46, 52.95, 52.0, 52.33, -1 
VZ, 03/10/2016, 52.45, 52.65, 51.99, 52.31, -1 
VZ, 03/11/2016, 52.56, 52.78, 52.24, 52.52, -1 
VZ, 03/14/2016, 52.42, 52.74, 52.23, 52.53, -1 
VZ, 03/15/2016, 52.21, 52.74, 52.21, 52.68, -1 
VZ, 03/16/2016, 52.58, 53.37, 52.39, 53.22, -1 
VZ, 03/17/2016, 53.22, 53.8, 53.19, 53.63, -1 
VZ, 03/18/2016, 53.58, 53.84, 53.24, 53.25, -1 
VZ, 03/21/2016, 53.08, 53.58, 53.02, 53.42, -1 
VZ, 03/22/2016, 53.41, 53.45, 53.1, 53.19, -1 
VZ, 03/23/2016, 53.13, 53.22, 52.82, 52.92, -1 
VZ, 03/24/2016, 52.73, 53.61, 52.66, 53.57, -1 
VZ, 03/28/2016, 53.53, 53.73, 53.2, 53.41, -1 
VZ, 03/29/2016, 53.36, 54.07, 53.3, 54.04, -1 
VZ, 03/30/2016, 54.08, 54.36, 53.7, 54.03, -1 
VZ, 03/31/2016, 53.98, 54.25, 53.92, 54.07, -1 
VZ, 04/01/2016, 53.32, 54.08, 53.12, 54.01, -1 
VZ, 04/04/2016, 54.0, 54.41, 53.8, 54.4, -1 
VZ, 04/05/2016, 54.37, 54.48, 53.95, 54.08, -1 
VZ, 04/06/2016, 53.54, 53.61, 53.13, 53.51, -1 
VZ, 04/07/2016, 52.45, 52.69, 51.77, 51.99, -1 
VZ, 04/08/2016, 52.18, 52.57, 52.05, 52.18, -1 
VZ, 04/11/2016, 52.32, 52.4, 51.5, 51.6, -1 
VZ, 04/12/2016, 51.63, 52.19, 51.6, 51.96, -1 
VZ, 04/13/2016, 51.93, 52.07, 50.84, 51.28, -1 
VZ, 04/14/2016, 51.22, 51.54, 51.22, 51.37, -1 
VZ, 04/15/2016, 51.27, 51.49, 51.1, 51.34, -1 
VZ, 04/18/2016, 51.37, 51.89, 51.17, 51.73, -1 
VZ, 04/19/2016, 51.77, 52.16, 51.77, 52.07, -1 
VZ, 04/20/2016, 52.14, 52.22, 51.66, 51.74, -1 
VZ, 04/21/2016, 50.5, 50.65, 49.47, 50.01, -1 
VZ, 04/22/2016, 50.03, 50.62, 50.03, 50.54, -1 
VZ, 04/25/2016, 50.48, 50.94, 50.27, 50.74, -1 
VZ, 04/26/2016, 50.8, 50.99, 50.28, 50.43, -1 
VZ, 04/27/2016, 50.37, 51.8, 50.37, 51.69, -1 
VZ, 04/28/2016, 51.29, 51.55, 50.92, 51.03, -1 
VZ, 04/29/2016, 50.95, 51.05, 50.64, 50.96, -1 
VZ, 05/02/2016, 51.2, 51.44, 51.04, 51.31, -1 
VZ, 05/03/2016, 51.08, 51.23, 50.36, 50.68, -1 
VZ, 05/04/2016, 50.51, 50.98, 50.2, 50.84, -1 
VZ, 05/05/2016, 50.79, 51.04, 50.63, 50.85, -1 
VZ, 05/06/2016, 50.66, 51.13, 50.61, 51.12, -1 
VZ, 05/09/2016, 51.03, 51.42, 51.01, 51.08, -1 
VZ, 05/10/2016, 51.11, 51.54, 51.11, 51.54, -1 
VZ, 05/11/2016, 51.46, 51.69, 51.08, 51.14, -1 
VZ, 05/12/2016, 51.1, 51.59, 51.08, 51.47, -1 
VZ, 05/13/2016, 51.3, 51.48, 50.85, 50.91, -1 
