Symbol, Date, Open, High, Low, Close, Volume 
WDC, 10/30/2015, 67.37, 67.9, 66.05, 66.81, -1 
WDC, 11/02/2015, 66.18, 68.32, 66.11, 67.84, -1 
WDC, 11/03/2015, 67.44, 69.0, 66.58, 68.51, -1 
WDC, 11/04/2015, 67.91, 68.68, 66.46, 68.55, -1 
WDC, 11/05/2015, 68.6, 68.77, 67.07, 67.82, -1 
WDC, 11/06/2015, 67.18, 68.44, 67.15, 67.89, -1 
WDC, 11/09/2015, 67.33, 68.08, 66.51, 66.6, -1 
WDC, 11/10/2015, 66.0, 66.19, 63.3, 63.58, -1 
WDC, 11/11/2015, 63.58, 63.96, 61.5, 62.59, -1 
WDC, 11/12/2015, 61.27, 63.66, 61.27, 62.4, -1 
WDC, 11/13/2015, 61.4, 62.63, 60.12, 60.21, -1 
WDC, 11/16/2015, 59.83, 62.36, 59.83, 61.63, -1 
WDC, 11/17/2015, 61.22, 63.97, 61.22, 62.46, -1 
WDC, 11/18/2015, 62.9, 64.43, 62.59, 64.24, -1 
WDC, 11/19/2015, 63.89, 64.58, 61.72, 62.0, -1 
WDC, 11/20/2015, 62.1, 63.14, 61.5, 61.71, -1 
WDC, 11/23/2015, 61.5, 62.35, 61.25, 61.3, -1 
WDC, 11/24/2015, 60.31, 61.91, 60.31, 61.82, -1 
WDC, 11/25/2015, 61.38, 62.23, 61.0, 61.62, -1 
WDC, 11/27/2015, 61.44, 62.07, 61.27, 61.74, -1 
WDC, 11/30/2015, 62.02, 62.93, 61.57, 62.4, -1 
WDC, 12/01/2015, 62.41, 64.0, 62.41, 63.91, -1 
WDC, 12/02/2015, 63.16, 64.41, 62.01, 62.4, -1 
WDC, 12/03/2015, 62.4, 63.66, 61.38, 63.63, -1 
WDC, 12/04/2015, 63.66, 64.72, 63.02, 64.56, -1 
WDC, 12/07/2015, 63.34, 63.78, 62.61, 63.35, -1 
WDC, 12/08/2015, 61.61, 64.12, 61.61, 64.0, -1 
WDC, 12/09/2015, 63.5, 64.55, 62.21, 62.92, -1 
WDC, 12/10/2015, 61.79, 63.75, 61.79, 63.35, -1 
