Symbol, Date, Open, High, Low, Close, Volume 
WFC, 10/30/2015, 54.95, 55.04, 54.03, 54.14, -1 
WFC, 11/02/2015, 54.1, 55.01, 54.1, 54.84, -1 
WFC, 11/03/2015, 54.67, 55.15, 54.44, 54.94, -1 
WFC, 11/04/2015, 54.51, 54.74, 54.37, 54.58, -1 
WFC, 11/05/2015, 54.25, 55.07, 54.25, 54.86, -1 
WFC, 11/06/2015, 55.97, 56.34, 55.56, 55.85, -1 
WFC, 11/09/2015, 56.08, 56.22, 55.14, 55.48, -1 
WFC, 11/10/2015, 55.12, 55.95, 55.12, 55.92, -1 
WFC, 11/11/2015, 56.04, 56.16, 55.5, 55.81, -1 
WFC, 11/12/2015, 55.52, 55.74, 55.17, 55.17, -1 
WFC, 11/13/2015, 55.04, 55.37, 54.33, 54.56, -1 
WFC, 11/16/2015, 54.33, 55.26, 54.33, 55.25, -1 
WFC, 11/17/2015, 55.16, 55.48, 54.84, 54.96, -1 
WFC, 11/18/2015, 55.05, 55.76, 54.96, 55.67, -1 
WFC, 11/19/2015, 55.65, 56.06, 55.46, 55.96, -1 
WFC, 11/20/2015, 56.21, 56.26, 55.72, 55.79, -1 
WFC, 11/23/2015, 55.68, 56.03, 55.56, 55.6, -1 
WFC, 11/24/2015, 55.08, 55.47, 54.88, 55.28, -1 
WFC, 11/25/2015, 55.38, 55.51, 55.1, 55.2, -1 
WFC, 11/27/2015, 55.09, 55.46, 54.97, 55.41, -1 
WFC, 11/30/2015, 55.36, 55.68, 55.14, 55.14, -1 
WFC, 12/01/2015, 55.39, 55.77, 55.27, 55.69, -1 
WFC, 12/02/2015, 55.72, 55.79, 55.0, 55.11, -1 
WFC, 12/03/2015, 55.11, 55.21, 54.03, 54.21, -1 
WFC, 12/04/2015, 54.32, 55.87, 54.3, 55.65, -1 
WFC, 12/07/2015, 55.43, 55.54, 55.02, 55.44, -1 
WFC, 12/08/2015, 54.82, 55.2, 54.28, 54.41, -1 
WFC, 12/09/2015, 54.12, 54.94, 53.71, 54.12, -1 
WFC, 12/10/2015, 53.95, 54.98, 53.87, 54.34, -1 
WFC, 12/11/2015, 53.44, 53.94, 53.0, 53.31, -1 
WFC, 12/14/2015, 53.14, 53.57, 52.75, 53.2, -1 
WFC, 12/15/2015, 53.74, 55.11, 53.74, 54.9, -1 
WFC, 12/16/2015, 55.15, 56.04, 54.81, 55.84, -1 
WFC, 12/17/2015, 56.03, 56.23, 55.47, 55.48, -1 
WFC, 12/18/2015, 55.01, 55.15, 53.79, 53.8, -1 
WFC, 12/21/2015, 54.3, 54.54, 53.55, 54.04, -1 
WFC, 12/22/2015, 54.21, 54.49, 53.7, 54.35, -1 
WFC, 12/23/2015, 54.48, 55.05, 54.46, 55.03, -1 
WFC, 12/24/2015, 54.97, 55.08, 54.71, 54.78, -1 
WFC, 12/28/2015, 54.51, 54.77, 54.17, 54.68, -1 
WFC, 12/29/2015, 54.94, 55.34, 54.94, 55.27, -1 
WFC, 12/30/2015, 55.19, 55.31, 54.79, 54.87, -1 
WFC, 12/31/2015, 54.48, 54.94, 54.21, 54.33, -1 
WFC, 01/04/2016, 53.07, 53.27, 52.3, 52.93, -1 
WFC, 01/05/2016, 52.91, 53.26, 52.54, 52.89, -1 
WFC, 01/06/2016, 52.12, 52.61, 51.83, 51.88, -1 
WFC, 01/07/2016, 51.02, 51.18, 50.15, 50.41, -1 
WFC, 01/08/2016, 50.8, 50.85, 49.46, 49.56, -1 
WFC, 01/11/2016, 50.18, 50.32, 49.64, 50.08, -1 
WFC, 01/12/2016, 50.88, 51.51, 50.44, 51.38, -1 
WFC, 01/13/2016, 51.73, 51.79, 49.5, 49.72, -1 
WFC, 01/14/2016, 50.08, 50.99, 49.59, 50.59, -1 
WFC, 01/15/2016, 48.55, 49.63, 48.13, 48.81, -1 
WFC, 01/19/2016, 49.13, 49.54, 47.99, 48.24, -1 
WFC, 01/20/2016, 47.09, 48.24, 46.88, 47.87, -1 
WFC, 01/21/2016, 47.97, 49.04, 47.9, 48.01, -1 
WFC, 01/22/2016, 49.01, 49.27, 48.56, 49.0, -1 
WFC, 01/25/2016, 48.66, 48.98, 47.62, 47.67, -1 
WFC, 01/26/2016, 47.62, 48.55, 47.61, 48.28, -1 
WFC, 01/27/2016, 48.21, 49.29, 48.12, 48.55, -1 
WFC, 01/28/2016, 49.1, 49.39, 48.6, 48.9, -1 
WFC, 01/29/2016, 49.16, 50.24, 49.16, 50.2, -1 
WFC, 02/01/2016, 50.03, 50.17, 49.55, 49.92, -1 
WFC, 02/02/2016, 49.23, 49.32, 48.78, 48.83, -1 
WFC, 02/03/2016, 48.23, 48.47, 46.51, 47.62, -1 
WFC, 02/04/2016, 47.31, 48.61, 47.31, 48.23, -1 
WFC, 02/05/2016, 48.08, 48.66, 47.6, 47.84, -1 
WFC, 02/08/2016, 47.04, 47.31, 46.05, 46.49, -1 
WFC, 02/09/2016, 45.37, 46.76, 45.35, 46.46, -1 
WFC, 02/10/2016, 46.71, 47.22, 46.11, 46.15, -1 
WFC, 02/11/2016, 44.9, 45.52, 44.5, 45.14, -1 
WFC, 02/12/2016, 45.85, 47.38, 45.85, 47.3, -1 
WFC, 02/16/2016, 47.96, 48.41, 47.56, 48.21, -1 
WFC, 02/17/2016, 48.55, 48.95, 47.99, 48.13, -1 
WFC, 02/18/2016, 48.04, 48.14, 47.48, 47.73, -1 
WFC, 02/19/2016, 47.35, 48.16, 47.33, 48.07, -1 
WFC, 02/22/2016, 48.82, 49.33, 48.82, 49.16, -1 
WFC, 02/23/2016, 48.75, 48.91, 47.98, 48.1, -1 
WFC, 02/24/2016, 47.31, 47.68, 46.56, 47.59, -1 
WFC, 02/25/2016, 47.64, 48.15, 47.64, 47.74, -1 
WFC, 02/26/2016, 47.93, 48.53, 47.82, 48.05, -1 
WFC, 02/29/2016, 48.0, 48.02, 46.91, 46.91, -1 
WFC, 03/01/2016, 47.13, 48.71, 47.13, 48.7, -1 
WFC, 03/02/2016, 48.8, 49.56, 48.61, 49.55, -1 
WFC, 03/03/2016, 49.53, 49.78, 49.06, 49.77, -1 
WFC, 03/04/2016, 49.96, 50.49, 49.68, 50.11, -1 
WFC, 03/07/2016, 49.7, 50.15, 49.43, 50.06, -1 
WFC, 03/08/2016, 49.59, 49.65, 48.92, 49.05, -1 
WFC, 03/09/2016, 49.14, 49.49, 48.6, 48.77, -1 
WFC, 03/10/2016, 48.91, 49.12, 47.96, 48.5, -1 
WFC, 03/11/2016, 48.95, 50.12, 48.88, 50.05, -1 
WFC, 03/14/2016, 49.83, 50.06, 49.43, 49.87, -1 
WFC, 03/15/2016, 49.27, 49.98, 49.2, 49.97, -1 
WFC, 03/16/2016, 49.75, 50.28, 49.28, 49.55, -1 
WFC, 03/17/2016, 49.33, 49.92, 48.84, 49.73, -1 
WFC, 03/18/2016, 50.45, 50.69, 49.93, 50.48, -1 
WFC, 03/21/2016, 50.3, 50.74, 50.17, 50.66, -1 
WFC, 03/22/2016, 50.21, 50.57, 50.0, 50.38, -1 
WFC, 03/23/2016, 50.16, 50.33, 49.7, 49.75, -1 
WFC, 03/24/2016, 48.9, 49.07, 48.52, 48.89, -1 
WFC, 03/28/2016, 48.87, 49.03, 48.55, 48.69, -1 
WFC, 03/29/2016, 48.62, 48.65, 47.84, 48.06, -1 
WFC, 03/30/2016, 48.37, 49.16, 48.14, 48.65, -1 
WFC, 03/31/2016, 48.56, 48.83, 48.27, 48.35, -1 
WFC, 04/01/2016, 48.1, 48.58, 47.77, 48.45, -1 
WFC, 04/04/2016, 48.42, 48.66, 48.2, 48.49, -1 
WFC, 04/05/2016, 48.07, 48.08, 47.46, 47.52, -1 
WFC, 04/06/2016, 47.33, 48.12, 47.22, 48.08, -1 
WFC, 04/07/2016, 47.68, 47.77, 46.61, 46.92, -1 
WFC, 04/08/2016, 47.29, 47.64, 46.96, 47.07, -1 
WFC, 04/11/2016, 47.03, 47.7, 47.0, 47.03, -1 
WFC, 04/12/2016, 47.05, 47.82, 46.95, 47.75, -1 
WFC, 04/13/2016, 48.26, 49.24, 48.26, 49.05, -1 
WFC, 04/14/2016, 48.25, 49.29, 48.16, 48.78, -1 
WFC, 04/15/2016, 48.64, 48.93, 48.06, 48.24, -1 
WFC, 04/18/2016, 47.96, 48.87, 47.91, 48.83, -1 
WFC, 04/19/2016, 48.86, 49.91, 48.86, 49.87, -1 
WFC, 04/20/2016, 49.97, 50.52, 49.75, 50.44, -1 
WFC, 04/21/2016, 50.54, 50.77, 49.93, 50.05, -1 
WFC, 04/22/2016, 49.94, 50.73, 49.94, 50.62, -1 
WFC, 04/25/2016, 50.31, 50.59, 50.12, 50.5, -1 
WFC, 04/26/2016, 50.48, 50.98, 50.45, 50.92, -1 
WFC, 04/27/2016, 50.87, 51.41, 50.72, 50.94, -1 
WFC, 04/28/2016, 50.5, 50.92, 50.2, 50.42, -1 
WFC, 04/29/2016, 50.18, 50.39, 49.68, 49.99, -1 
WFC, 05/02/2016, 50.22, 50.69, 50.15, 50.57, -1 
WFC, 05/03/2016, 49.87, 50.12, 49.54, 50.01, -1 
WFC, 05/04/2016, 49.05, 49.26, 48.68, 48.93, -1 
WFC, 05/05/2016, 48.95, 49.19, 48.77, 48.95, -1 
WFC, 05/06/2016, 48.72, 49.12, 48.65, 49.02, -1 
WFC, 05/09/2016, 48.83, 49.22, 48.81, 48.88, -1 
WFC, 05/10/2016, 48.93, 49.51, 48.93, 49.39, -1 
WFC, 05/11/2016, 49.16, 49.71, 49.08, 49.08, -1 
WFC, 05/12/2016, 49.05, 49.58, 49.04, 49.21, -1 
WFC, 05/13/2016, 48.99, 49.42, 48.21, 48.23, -1 
WFC, 05/16/2016, 48.01, 48.62, 47.93, 48.26, -1 
WFC, 05/17/2016, 48.14, 48.17, 47.55, 47.61, -1 
WFC, 05/18/2016, 47.57, 48.71, 47.57, 48.64, -1 
WFC, 05/19/2016, 48.43, 48.96, 48.16, 48.38, -1 
WFC, 05/20/2016, 48.6, 49.2, 48.56, 48.75, -1 
WFC, 05/23/2016, 48.46, 48.88, 48.35, 48.71, -1 
WFC, 05/24/2016, 48.94, 49.36, 48.69, 49.2, -1 
WFC, 05/25/2016, 49.5, 50.82, 49.5, 50.48, -1 
WFC, 05/26/2016, 50.52, 50.65, 50.39, 50.54, -1 
WFC, 05/27/2016, 50.61, 50.85, 50.49, 50.84, -1 
WFC, 05/31/2016, 51.02, 51.18, 50.49, 50.7, -1 
WFC, 06/01/2016, 50.26, 51.03, 50.16, 51.0, -1 
WFC, 06/02/2016, 50.96, 51.09, 50.71, 51.09, -1 
WFC, 06/03/2016, 50.08, 50.3, 49.66, 50.18, -1 
WFC, 06/06/2016, 50.07, 50.86, 50.07, 50.48, -1 
WFC, 06/07/2016, 50.54, 50.72, 50.27, 50.28, -1 
WFC, 06/08/2016, 50.24, 50.43, 49.74, 49.98, -1 
WFC, 06/09/2016, 49.63, 49.67, 48.85, 49.13, -1 
WFC, 06/10/2016, 48.46, 48.7, 48.17, 48.34, -1 
WFC, 06/13/2016, 48.04, 48.5, 47.95, 47.97, -1 
WFC, 06/14/2016, 47.85, 48.12, 46.51, 46.87, -1 
WFC, 06/15/2016, 47.2, 47.55, 46.74, 46.78, -1 
WFC, 06/16/2016, 46.46, 46.85, 45.96, 46.84, -1 
WFC, 06/17/2016, 46.8, 47.0, 46.52, 46.59, -1 
WFC, 06/20/2016, 47.36, 47.89, 46.92, 46.94, -1 
WFC, 06/21/2016, 47.1, 47.33, 46.77, 47.22, -1 
WFC, 06/22/2016, 47.14, 47.57, 46.93, 46.97, -1 
WFC, 06/23/2016, 47.45, 47.9, 47.39, 47.9, -1 
WFC, 06/24/2016, 45.75, 46.96, 45.27, 45.7, -1 
WFC, 06/27/2016, 45.2, 45.32, 44.5, 45.02, -1 
WFC, 06/28/2016, 45.88, 46.1, 45.34, 46.09, -1 
WFC, 06/29/2016, 46.61, 46.98, 46.14, 46.95, -1 
WFC, 06/30/2016, 47.21, 47.35, 46.53, 47.35, -1 
WFC, 07/01/2016, 47.04, 47.27, 46.86, 47.03, -1 
WFC, 07/05/2016, 46.65, 46.75, 45.81, 46.2, -1 
WFC, 07/06/2016, 45.91, 46.65, 45.7, 46.63, -1 
WFC, 07/07/2016, 46.51, 47.21, 46.44, 46.79, -1 
WFC, 07/08/2016, 47.36, 47.91, 47.36, 47.76, -1 
WFC, 07/11/2016, 48.1, 48.44, 47.94, 48.09, -1 
WFC, 07/12/2016, 48.41, 48.62, 48.21, 48.34, -1 
WFC, 07/13/2016, 48.26, 48.46, 47.98, 48.26, -1 
WFC, 07/14/2016, 48.94, 49.14, 48.67, 48.92, -1 
WFC, 07/15/2016, 48.8, 48.87, 47.41, 47.69, -1 
WFC, 07/18/2016, 47.77, 48.32, 47.77, 48.25, -1 
WFC, 07/19/2016, 48.03, 48.54, 48.03, 48.37, -1 
WFC, 07/20/2016, 48.47, 48.68, 48.4, 48.59, -1 
WFC, 07/21/2016, 48.54, 48.8, 48.29, 48.3, -1 
WFC, 07/22/2016, 48.2, 48.35, 48.1, 48.31, -1 
WFC, 07/25/2016, 48.22, 48.25, 47.85, 48.11, -1 
WFC, 07/26/2016, 48.0, 48.16, 47.8, 47.95, -1 
WFC, 07/27/2016, 47.93, 48.21, 47.77, 48.01, -1 
WFC, 07/28/2016, 47.93, 48.21, 47.68, 48.11, -1 
WFC, 07/29/2016, 47.93, 48.16, 47.93, 47.96, -1 
WFC, 08/01/2016, 47.95, 48.04, 47.63, 47.79, -1 
WFC, 08/02/2016, 47.62, 47.83, 47.39, 47.68, -1 
WFC, 08/03/2016, 47.3, 47.63, 47.3, 47.57, -1 
WFC, 08/04/2016, 47.51, 47.99, 47.51, 47.84, -1 
WFC, 08/05/2016, 48.18, 48.69, 48.13, 48.66, -1 
WFC, 08/08/2016, 48.62, 49.04, 48.62, 48.89, -1 
WFC, 08/09/2016, 48.94, 49.14, 48.81, 48.91, -1 
WFC, 08/10/2016, 48.72, 48.92, 48.07, 48.16, -1 
WFC, 08/11/2016, 48.2, 48.5, 47.92, 48.22, -1 
WFC, 08/12/2016, 48.05, 48.06, 47.82, 47.89, -1 
WFC, 08/15/2016, 47.95, 48.33, 47.95, 48.26, -1 
WFC, 08/16/2016, 48.13, 48.59, 48.06, 48.45, -1 
WFC, 08/17/2016, 48.35, 48.65, 48.31, 48.59, -1 
WFC, 08/18/2016, 48.45, 48.65, 48.32, 48.51, -1 
WFC, 08/19/2016, 48.37, 48.72, 48.2, 48.64, -1 
WFC, 08/22/2016, 48.55, 48.73, 48.5, 48.64, -1 
WFC, 08/23/2016, 48.6, 48.74, 48.39, 48.41, -1 
WFC, 08/24/2016, 48.33, 48.76, 48.33, 48.63, -1 
WFC, 08/25/2016, 48.62, 48.69, 48.3, 48.39, -1 
WFC, 08/26/2016, 48.5, 48.84, 48.28, 48.51, -1 
WFC, 08/29/2016, 48.62, 49.74, 48.62, 49.56, -1 
WFC, 08/30/2016, 49.47, 50.63, 49.47, 50.63, -1 
WFC, 08/31/2016, 50.7, 50.92, 50.24, 50.78, -1 
WFC, 09/01/2016, 50.91, 50.99, 50.11, 50.41, -1 
WFC, 09/02/2016, 50.45, 50.65, 50.18, 50.54, -1 
WFC, 09/06/2016, 50.39, 50.56, 49.63, 49.97, -1 
WFC, 09/07/2016, 49.77, 50.02, 49.65, 49.76, -1 
WFC, 09/08/2016, 49.74, 49.98, 49.56, 49.89, -1 
WFC, 09/09/2016, 49.43, 49.86, 48.72, 48.73, -1 
WFC, 09/12/2016, 48.3, 48.63, 47.98, 48.51, -1 
WFC, 09/13/2016, 47.78, 47.85, 46.52, 46.94, -1 
WFC, 09/14/2016, 46.98, 47.57, 46.5, 46.52, -1 
WFC, 09/15/2016, 46.12, 46.34, 45.19, 46.15, -1 
WFC, 09/16/2016, 45.7, 45.87, 45.25, 45.41, -1 
WFC, 09/19/2016, 45.62, 46.28, 45.48, 46.01, -1 
WFC, 09/20/2016, 47.11, 47.19, 46.12, 46.56, -1 
WFC, 09/21/2016, 46.46, 46.54, 45.32, 45.81, -1 
WFC, 09/22/2016, 45.77, 46.11, 45.37, 45.71, -1 
WFC, 09/23/2016, 45.44, 45.9, 45.43, 45.74, -1 
WFC, 09/26/2016, 45.31, 45.49, 44.65, 44.88, -1 
WFC, 09/27/2016, 44.78, 45.09, 44.66, 45.08, -1 
WFC, 09/28/2016, 45.35, 45.47, 44.95, 45.3, -1 
WFC, 09/29/2016, 45.11, 45.25, 44.21, 44.37, -1 
WFC, 09/30/2016, 44.33, 44.72, 44.1, 44.28, -1 
WFC, 10/03/2016, 44.11, 44.15, 43.56, 43.8, -1 
WFC, 10/04/2016, 43.6, 44.08, 43.55, 43.74, -1 
WFC, 10/05/2016, 43.8, 45.07, 43.8, 45.0, -1 
WFC, 10/06/2016, 45.12, 45.38, 44.83, 45.18, -1 
WFC, 10/07/2016, 45.19, 45.44, 44.93, 45.35, -1 
WFC, 10/10/2016, 45.69, 45.91, 45.44, 45.64, -1 
WFC, 10/11/2016, 45.8, 45.8, 45.15, 45.45, -1 
WFC, 10/12/2016, 45.46, 45.82, 45.31, 45.32, -1 
WFC, 10/13/2016, 45.23, 45.24, 44.28, 44.73, -1 
WFC, 10/14/2016, 45.2, 45.51, 44.31, 44.71, -1 
WFC, 10/17/2016, 44.52, 44.75, 44.32, 44.49, -1 
WFC, 10/18/2016, 44.65, 44.99, 44.41, 44.94, -1 
WFC, 10/19/2016, 44.86, 45.52, 44.86, 45.27, -1 
WFC, 10/20/2016, 44.92, 45.28, 44.66, 44.93, -1 
WFC, 10/21/2016, 44.72, 45.29, 44.66, 45.09, -1 
WFC, 10/24/2016, 45.39, 45.67, 45.29, 45.51, -1 
WFC, 10/25/2016, 45.43, 45.79, 45.41, 45.72, -1 
WFC, 10/26/2016, 45.46, 46.16, 45.41, 46.15, -1 
WFC, 10/27/2016, 46.33, 46.8, 46.26, 46.41, -1 
WFC, 10/28/2016, 46.44, 46.63, 45.88, 46.22, -1 
